idx,skill,tf,df,tfidf,pr
0,관리,584.0,69,709.7565527781306,0.03687805796883573
1,회계,182.0,15,489.8062410670208,0.025449716358185756
2,업무,489.0,88,476.8705678585069,0.02477759504478294
3,경리,211.0,25,465.410141337871,0.024182125694170675
4,사무,199.0,33,385.5567848014803,0.020033045703533835
5,급여,128.0,17,329.40288603256903,0.017115359736605693
6,계산,81.0,8,264.5951854428406,0.013748033109158463
7,경력,107.0,20,258.866102301334,0.013450357153404655
8,매입,117.0,30,237.49181826323425,0.012339776232786077
9,신고,91.0,17,234.18486428877955,0.01216795106274311
10,지원,128.0,41,220.94875990300693,0.011480219723159876
11,세무,84.0,17,216.17064395887343,0.011231954827147487
12,4대보험,93.0,23,212.5773516450228,0.01104525187705781
13,경리업무,58.0,10,177.82431886917988,0.009239527995701808
14,정리,91.0,33,176.30988651725983,0.009160839995083311
15,근태,44.0,5,161.57118277509244,0.008395035482449168
16,매출,148.0,79,160.1071652120558,0.008318966970864837
17,징수,38.0,3,154.94642286841736,0.008050821288283985
18,세금계산서,46.0,8,150.26393247371198,0.007807524975571475
19,서류,81.0,41,139.81913712612155,0.007264826543562107
20,기타,57.0,20,137.90063393622466,0.007165143530318367
21,제조업,47.0,12,136.24747503551146,0.007079247472672167
22,엑셀,51.0,16,134.16154150943908,0.006970864989703135
23,작성,96.0,66,120.8773618209258,0.006280635717843825
24,프로그램,47.0,19,116.0006779791661,0.006027249357819168
25,보조,44.0,16,115.74721228265334,0.006014079598959568
26,ERP,36.0,9,113.80488163313632,0.005913158540876816
27,장부,36.0,10,110.37371516018062,0.005734879445608019
28,결산,37.0,12,107.25865055987072,0.005573024606146174
29,더존,35.0,11,104.26238043331634,0.005417342178157511
30,자격,43.0,20,104.03030279399404,0.005405283715854207
31,모집,61.0,42,103.86053304925493,0.0053964626934017365
32,신고하기,21.0,1,100.18437711377896,0.005205454253732789
33,문서,34.0,12,98.5620032171785,0.005121157746188376
34,사무실,29.0,7,98.14731763702746,0.00509961120490772
35,마감,42.0,23,96.0026749364619,0.004988178267058366
36,채용,31.0,11,92.3466798123659,0.004798217357796653
37,생산,35.0,16,92.07164613392878,0.004783926953717837
38,매입매출,38.0,20,91.9337559574831,0.004776762353545578
39,인사,33.0,14,90.9407929294722,0.0047251692432536555
40,제조,82.0,77,90.7840842235535,0.004717026855954137
41,발주,36.0,18,90.69814173093012,0.004712561392109463
42,경험,40.0,24,89.79823920629636,0.0046658035885501345
43,급여관리,33.0,15,88.81102173193236,0.004614509010000715
44,부가가치세,23.0,4,88.65105952960472,0.004606197575119035
45,경리 업무,29.0,11,86.38882950189068,0.004488654947616223
46,경영,33.0,18,83.1399632533526,0.004319847942767007
47,근태관리,29.0,13,81.9184597869002,0.004256380158681543
48,부가세,20.0,3,81.55074887811439,0.004237274362254729
49,법인,30.0,15,80.73729248357486,0.00419500819090974
50,총무,46.0,41,79.40346059014311,0.00412570396301058
51,경력자,40.0,32,78.6929697423652,0.004088787751996926
52,자금관리,16.0,1,76.33095399145064,0.003966060383796411
53,자금,37.0,31,73.9295483823577,0.003841286368097396
54,매출관리,24.0,10,73.58247677345375,0.003823252963738679
55,제품,24.0,10,73.58247677345375,0.003823252963738679
56,협의,24.0,10,73.58247677345375,0.003823252963738679
57,이카운트,24.0,13,67.79458740984845,0.0035225215106330014
58,계산서 발행,29.0,23,66.28756126565227,0.0034442183272545865
59,보험관리,19.0,7,64.30341500356971,0.0033411245825257473
60,정산,19.0,7,64.30341500356971,0.0033411245825257473
61,세금계산서 발행,20.0,9,63.22493424063129,0.0032850880782648983
62,전산,25.0,18,62.98482064647924,0.0032726120778537927
63,재무,17.0,5,62.42522970855843,0.0032435364364008148
64,입출고,20.0,10,61.31873064454479,0.0031860441364488998
65,4대보험관리,19.0,9,60.06368752859973,0.0031208336743516535
66,사무업무,30.0,32,59.019727306773895,0.003066590813997694
67,감사,20.0,12,57.977648951281466,0.0030124457330519857
68,세무사,15.0,4,57.81590838887264,0.0030040418968167617
69,전표관리,17.0,7,57.53463447687816,0.002989427258049353
