idx,skill,tf,df,tfidf,pr
0,관리,1052.0,69,1278.5340642510162,0.029584500383032713
1,회계,468.0,15,1259.501762743768,0.029144104505460983
2,업무,1273.0,88,1241.4237891285875,0.028725791194695913
3,경리,506.0,25,1116.1020451040888,0.025825922284072038
4,사무,560.0,33,1084.9839170292912,0.02510586773277823
5,급여,328.0,17,844.0948954584582,0.01953184233119025
6,지원,422.0,41,728.440442805226,0.016855668661290107
7,계산,205.0,8,669.6544816763251,0.015495397286312128
8,경력,271.0,20,655.6328385388927,0.015170944994919229
9,서류,270.0,41,466.06379042040527,0.010784432555801728
10,매입,215.0,30,436.4165891161997,0.010098414355063421
11,세금계산서,132.0,8,431.1921540549996,0.009977524106308297
12,신고,165.0,17,424.62090777635854,0.00982546946538534
13,채용,142.0,11,423.0073720437406,0.009788133230212256
14,경리업무,134.0,10,410.83549531845006,0.009506483408193211
15,4대보험,173.0,23,395.4395896192359,0.009150231517225908
16,세무,150.0,17,386.0190070694168,0.008932244968532125
17,정리,187.0,33,362.3071294365669,0.008383566546481303
18,기타,140.0,20,338.7033114223062,0.007837388558260857
19,엑셀,115.0,16,302.5211230114803,0.007000154731779969
20,작성,240.0,66,302.1934045523145,0.006992571526019708
21,사무실,89.0,7,301.2107334377739,0.006969833114289121
22,자격,123.0,20,297.575052178169,0.0068857056619006105
23,문서,98.0,12,284.0904798612792,0.006573680862539664
24,보조,102.0,16,268.3230830188781,0.006208832892535274
25,매출,247.0,79,267.2058770768769,0.006182981426748617
26,경리 업무,86.0,11,256.18756335043446,0.005928024350691931
27,모집,150.0,42,255.39475339980717,0.005909679210782229
28,법인,89.0,15,239.5206343679388,0.005542361754243648
29,프로그램,95.0,19,234.46945548980383,0.005425480548155101
30,근태,62.0,5,227.6684848194484,0.0052681102245728416
31,부가세,53.0,3,216.10948452700316,0.005000641990334084
32,협의,70.0,10,214.6155572559068,0.004966073422190485
33,경영,85.0,18,214.14839019802943,0.00495526346069696
34,전화,94.0,24,211.02586213479643,0.004883010061068642
