idx,skill,tf,df,tfidf,pr
0,경비지도사,4.0,0,21.85532722010244,0.047602186446441985
1,지도사,4.0,5,14.68828934319022,0.03199195696556359
2,경비,4.0,7,13.537561053383095,0.02948560315768236
3,경비지도사 직무교육,1.0,0,5.4638318050256105,0.011900546611610498
4,관리,4.0,69,4.861346251905005,0.010588297687487532
5,운전면허증,1.0,1,4.770684624465665,0.010390831337547195
6,인사관리,1.0,2,4.3652195163575005,0.0095077045154542
7,미화 관리,1.0,3,4.07753744390572,0.008881116063483893
8,미화,1.0,7,3.3843902633457743,0.007371400789420591
9,환경,1.0,7,3.3843902633457743,0.007371400789420591
10,운전면허,1.0,12,2.8988824475640733,0.006313936248382389
11,교육,1.0,13,2.824774475410352,0.00615252473200004
12,인사,1.0,14,2.7557816039234,0.006002254205326044
13,운전,1.0,17,2.573460047129445,0.0056051471452346
14,급여,1.0,17,2.573460047129445,0.0056051471452346
15,자격,1.0,20,2.419309367302187,0.005269397909907043
16,설비,1.0,23,2.2857779746776643,0.0049785586932642924
17,총괄,1.0,23,2.2857779746776643,0.0049785586932642924
18,면허,1.0,25,2.205735267004128,0.004804220974319087
19,근무시간,1.0,28,2.096535975039136,0.00456637850215716
20,현장관리,1.0,41,1.7261621867422416,0.003759682635843741
21,모집,1.0,42,1.7026316893320477,0.0037084318303253817
22,자격증,1.0,47,1.5926307941177191,0.0034688434192009904
23,월급,1.0,57,1.4033887944791907,0.0030566632280938583
24,현장,1.0,70,1.2011519279842946,0.002616179453667482
25,법인세 관리,0.01,0,0.0546383180502561,0.00011900546611610497
26,소모품 수입,0.01,0,0.0546383180502561,0.00011900546611610497
27,영문 서신 작성,0.01,0,0.0546383180502561,0.00011900546611610497
28,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00011900546611610497
29,유해화학물질관리자,0.01,0,0.0546383180502561,0.00011900546611610497
30,가구 설치,0.01,0,0.0546383180502561,0.00011900546611610497
31,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00011900546611610497
32,타이어 탈착,0.01,0,0.0546383180502561,0.00011900546611610497
33,현장 조율,0.01,0,0.0546383180502561,0.00011900546611610497
34,경영계획 분석,0.01,0,0.0546383180502561,0.00011900546611610497
35,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00011900546611610497
36,납품계획 세우기,0.01,0,0.0546383180502561,0.00011900546611610497
37,불량재고 처리하기,0.01,0,0.0546383180502561,0.00011900546611610497
38,매뉴얼 업무,0.01,0,0.0546383180502561,0.00011900546611610497
39,건축업무 경험,0.01,0,0.0546383180502561,0.00011900546611610497
40,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00011900546611610497
41,평가계획 수립하기,0.01,0,0.0546383180502561,0.00011900546611610497
42,현장상황파악,0.01,0,0.0546383180502561,0.00011900546611610497
43,인허가관리,0.01,0,0.0546383180502561,0.00011900546611610497
44,사건 수임,0.01,0,0.0546383180502561,0.00011900546611610497
45,PF심의자료 작성,0.01,0,0.0546383180502561,0.00011900546611610497
46,디지털 교육 이해,0.01,0,0.0546383180502561,0.00011900546611610497
47,여행상품개발,0.01,0,0.0546383180502561,0.00011900546611610497
48,주차매출 관리,0.01,0,0.0546383180502561,0.00011900546611610497
49,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00011900546611610497
50,어도비 포토샵,0.01,0,0.0546383180502561,0.00011900546611610497
51,데미지 관리,0.01,0,0.0546383180502561,0.00011900546611610497
52,기관 소통 업무,0.01,0,0.0546383180502561,0.00011900546611610497
53,비디오메타 사용,0.01,0,0.0546383180502561,0.00011900546611610497
54,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00011900546611610497
55,자습감독,0.01,0,0.0546383180502561,0.00011900546611610497
56,JLPT 2급이상,0.01,0,0.0546383180502561,0.00011900546611610497
57,한자 관련 자격증,0.01,0,0.0546383180502561,0.00011900546611610497
58,기성취합,0.01,0,0.0546383180502561,0.00011900546611610497
59,KUBERNETES,0.01,0,0.0546383180502561,0.00011900546611610497
60,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00011900546611610497
61,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00011900546611610497
62,데이터 마이닝,0.01,0,0.0546383180502561,0.00011900546611610497
63,채권현황 파악,0.01,0,0.0546383180502561,0.00011900546611610497
64,제품표준서 작성,0.01,0,0.0546383180502561,0.00011900546611610497
65,일용직 투입,0.01,0,0.0546383180502561,0.00011900546611610497
66,영업 손익관리,0.01,0,0.0546383180502561,0.00011900546611610497
67,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00011900546611610497
68,생산검토,0.01,0,0.0546383180502561,0.00011900546611610497
69,화학사고대응,0.01,0,0.0546383180502561,0.00011900546611610497
70,나라사업 발굴,0.01,0,0.0546383180502561,0.00011900546611610497
71,영상 프로그램,0.01,0,0.0546383180502561,0.00011900546611610497
72,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00011900546611610497
73,운영 원칙 이해,0.01,0,0.0546383180502561,0.00011900546611610497
74,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00011900546611610497
75,법규 검토,0.01,0,0.0546383180502561,0.00011900546611610497
76,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00011900546611610497
77,각종 사무관리,0.01,0,0.0546383180502561,0.00011900546611610497
78,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00011900546611610497
79,가격별 상품 구성,0.01,0,0.0546383180502561,0.00011900546611610497
80,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00011900546611610497
81,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00011900546611610497
82,수입신고서 작성,0.01,0,0.0546383180502561,0.00011900546611610497
83,근무표관리,0.01,0,0.0546383180502561,0.00011900546611610497
84,직업훈련 평가,0.01,0,0.0546383180502561,0.00011900546611610497
85,제품 기술정보,0.01,0,0.0546383180502561,0.00011900546611610497
86,지장물 조서 작성,0.01,0,0.0546383180502561,0.00011900546611610497
87,의료 비품 관리,0.01,0,0.0546383180502561,0.00011900546611610497
88,어도브 프로그램,0.01,0,0.0546383180502561,0.00011900546611610497
89,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00011900546611610497
90,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00011900546611610497
91,에어컨 조립,0.01,0,0.0546383180502561,0.00011900546611610497
92,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00011900546611610497
93,서버 기본 설치,0.01,0,0.0546383180502561,0.00011900546611610497
94,CLAIM 업무,0.01,0,0.0546383180502561,0.00011900546611610497
95,PPT 활용능력,0.01,0,0.0546383180502561,0.00011900546611610497
96,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00011900546611610497
