idx,skill,tf,df,tfidf,pr
0,경비,15.0,7,50.76585395018662,0.031697722824879336
1,출발,10.0,1,47.70684624465665,0.029787707118964033
2,청소,22.0,31,43.95810984896944,0.027447031291258518
3,미화,11.0,7,37.22829289680352,0.023244996738244848
4,관리,30.0,69,36.460096889287534,0.022765342359825178
5,업무,33.0,88,32.18144936468452,0.020093794995856843
6,급여,12.0,17,30.881520565553345,0.019282131652079156
7,근무시간,14.0,28,29.351503650547905,0.018326803447873085
8,순찰,5.0,0,27.31915902512805,0.017057826535076467
9,경비업무,4.0,0,21.85532722010244,0.013646261228061172
10,지원,11.0,41,18.987784054164656,0.011855794183983435
11,경험,8.0,24,17.959647841259272,0.011213835580571107
12,조출,4.0,2,17.460878065430002,0.010902408412948227
13,교육,6.0,13,16.94864685246211,0.010582576050296751
14,경력,7.0,20,16.93516557111531,0.010574158464730784
15,협의,5.0,10,15.329682661136196,0.009571710001428384
16,채용,5.0,11,14.894625776188049,0.00930006456499638
17,계약,6.0,19,14.808597188829715,0.009246349122333361
18,객실,3.0,1,14.312053873396994,0.00893631213568921
19,주차,4.0,6,14.071686623881186,0.008786229080673395
20,안내,5.0,14,13.778908019617,0.008603420867575522
21,자격,5.0,20,12.096546836510935,0.007552970331950559
22,모집,7.0,42,11.918421825324334,0.0074417507464726584
23,차량,4.0,13,11.299097901641408,0.007055050700197835
24,지시,3.0,5,11.016217007392664,0.006878422524354498
25,직원 할인,2.0,0,10.92766361005122,0.006823130614030586
26,이수자,2.0,0,10.92766361005122,0.006823130614030586
27,재활용,3.0,8,9.79982168306817,0.0061189166983764585
28,셔틀버스 운행,2.0,1,9.54136924893133,0.005957541423792807
29,인원,3.0,10,9.19780959668172,0.0057430260008570315
30,마감,4.0,23,9.143111898710655,0.005708873271521541
31,C,6.0,53,8.849086550768014,0.005525286603370157
32,통화,2.0,2,8.730439032715001,0.005451204206474113
33,오피스,2.0,2,8.730439032715001,0.005451204206474113
34,시설,5.0,42,8.513158446660238,0.00531553624748047
35,경력자,4.0,32,7.869296974236519,0.00491351518602976
36,주차장,3.0,18,7.55817847757751,0.0047192557162202475
37,CE,2.0,5,7.34414467159511,0.004585615016236333
38,기타,3.0,20,7.257928101906561,0.004531782199170335
39,용역,2.0,6,7.035843311940593,0.004393114540336697
40,4대보험,3.0,23,6.857333924032993,0.004281654953641157
41,사무실,2.0,7,6.768780526691549,0.004226363043317245
42,환경,2.0,7,6.768780526691549,0.004226363043317245
43,셔틀,3.0,25,6.617205801012384,0.004131721206965005
44,보안,2.0,8,6.533214455378781,0.00407927779891764
45,노무,2.0,8,6.533214455378781,0.00407927779891764
46,아파트,2.0,9,6.322493424063129,0.003947705564348902
47,정리,3.0,33,5.812413841228346,0.0036292166593618596
48,사무,3.0,33,5.812413841228346,0.0036292166593618596
