idx,skill,tf,df,tfidf,pr
0,기획,146.0,8,476.924655242651,0.030792785932073057
1,지원,255.0,41,440.1713576192717,0.028419798053225233
2,관리,255.0,69,309.91082355894406,0.02000948691366712
3,경력,113.0,20,273.3819585051471,0.0176509895921754
4,업무,279.0,88,272.07952644687816,0.017566897668806626
5,C,181.0,53,266.94744428150176,0.017235543217391566
6,경영,104.0,18,262.0168538893537,0.016917198143814052
7,연구,47.0,2,205.1653172688025,0.013246561329755109
8,채용,68.0,11,202.56691055615747,0.013078794407270819
9,자격,83.0,20,200.80267748608156,0.012964886160624413
10,평가,62.0,15,166.8570711327214,0.0107731777255853
11,계획,64.0,19,157.95837001418363,0.010198630371816774
12,경험,69.0,24,154.90196263086122,0.010001292496239822
13,수행,52.0,12,150.74188727333183,0.009732695961048076
14,작성,114.0,66,143.5418671623494,0.009267824465001595
15,CE,39.0,5,143.21082109610464,0.009246450374693047
16,사업계획,30.0,1,143.12053873396997,0.009240621266425955
17,IT,36.0,5,132.19460408871197,0.00853518496125512
18,보고,39.0,7,131.9912202704852,0.00852205342295476
19,사무,67.0,33,129.81057578743307,0.008381259446332988
20,운영,87.0,58,120.60760941743048,0.007787067113736185
21,개발,67.0,42,114.0763231852472,0.0073653726246844685
22,문서,39.0,12,113.05641545499886,0.0072995219707860555
23,제안,34.0,8,111.06464574143928,0.007170922751304685
24,보고서,32.0,9,101.15989478501008,0.006531419482687456
25,보조,38.0,16,99.96350151683696,0.00645417398616624
26,회계,37.0,15,99.57599406307568,0.006429154449139616
27,행정,28.0,6,98.5018063671683,0.006359799192691166
28,사업기획,17.0,0,92.88514068543536,0.005997157458638587
29,컨설팅,17.0,0,92.88514068543536,0.005997157458638587
30,PPT,19.0,1,90.64300786484765,0.0058523934687364386
31,디자인,24.0,5,88.12973605914132,0.005690123307503413
32,기타,36.0,20,87.09513722287873,0.00562332411786119
33,프로그램,34.0,19,83.91538407003506,0.005418022385027661
34,교육,29.0,13,81.9184597869002,0.005289090359188392
35,모집,48.0,42,81.72632108793829,0.005276684865445589
36,사업 기획,20.0,3,81.55074887811439,0.005265348992130384
37,설계,22.0,6,77.39427643134653,0.004996985079971631
38,공간,14.0,0,76.49364527035854,0.004938835554172954
39,서류,43.0,41,74.2249740299164,0.004792358103092882
40,엑셀,28.0,16,73.65731690714303,0.004755707147701441
41,CI,13.0,0,71.02981346533294,0.004586061586017744
42,분석,42.0,43,70.54497118650865,0.004554757596302515
43,급여,27.0,17,69.48342127249504,0.004486218302099323
44,인사,25.0,14,68.894540098085,0.0044481970093359835
45,기술,24.0,13,67.79458740984845,0.004377178228293842
46,사업관리,14.0,1,66.78958474251931,0.004312289924332112
47,보고서 작성,15.0,2,65.47829274536251,0.004227625956304822
48,경력자,33.0,32,64.92170003745129,0.004191689378236022
49,프로젝트,19.0,9,60.06368752859973,0.003878030317845677
50,접수,26.0,25,57.34911694210733,0.003702763239391044
51,영업,22.0,17,56.6161210368478,0.003655437135043893
52,UI,10.0,0,54.6383180502561,0.00352773968155211
53,PL,14.0,4,53.96151449628113,0.003484041653516604
54,홍보,20.0,15,53.824861655716575,0.0034752186211565485
55,제안서 작성,13.0,3,53.00798677077436,0.00342247684488475
56,전시,15.0,6,52.76882483955445,0.0034070352817988387
57,사업계획서 작성,12.0,2,52.382634196290006,0.0033821007650438576
58,협의,17.0,10,52.12092104786307,0.0033652031757359212
59,운전,20.0,17,51.46920094258891,0.003323124668221721
60,환경,15.0,7,50.76585395018662,0.0032777128549826002
61,SI,13.0,4,50.10712060368962,0.003235181535408275
62,공연,9.0,0,49.1744862452305,0.0031749657133968994
63,학력,19.0,17,48.89574089545947,0.003156968434810635
64,에너지,11.0,2,48.01741467993251,0.0031002590346235364
