idx,skill,tf,df,tfidf,pr
0,C,58.0,53,85.54116999075747,0.09064296878453851
1,SI,16.0,4,61.67030228146415,0.0653484080850869
2,CE,10.0,5,36.72072335797555,0.038910800278302085
3,IT,9.0,5,33.04865102217799,0.03501972025047188
4,경영,11.0,18,27.713321084450868,0.02936618353764849
5,PL,7.0,4,26.980757248140566,0.02858992853722552
6,MANAGEMENT,11.0,21,26.100682868340236,0.027657365251676204
7,AS,8.0,10,24.527492257817915,0.025990347283403017
8,기획,7.0,8,22.866250593825733,0.02423002676979433
9,CI,4.0,0,21.85532722010244,0.023158810467540553
10,예산 관리,4.0,1,19.08273849786266,0.020220860553721305
11,예산,4.0,4,15.417575570366038,0.016337102021271727
12,BI,4.0,5,14.68828934319022,0.015564320111320834
13,조직,2.0,2,8.730439032715001,0.009251135012570045
14,GO,2.0,2,8.730439032715001,0.009251135012570045
15,인사,3.0,14,8.2673448117702,0.008760421184153445
16,IA,3.0,15,8.073729248357488,0.00855525810919766
17,PM,2.0,4,7.708787785183019,0.008168551010635863
18,발굴,3.0,26,6.503984817063843,0.006891891855254363
19,AI,2.0,11,5.957850310475219,0.00631318509875079
20,MIS,1.0,0,5.4638318050256105,0.00578970261688514
21,MARKETING,1.0,0,5.4638318050256105,0.00578970261688514
22,컨설팅,1.0,0,5.4638318050256105,0.00578970261688514
23,전략기획,1.0,0,5.4638318050256105,0.00578970261688514
24,프로그램,2.0,19,4.936199062943238,0.005230601096816611
25,관리,4.0,69,4.861346251905005,0.005151283956133281
26,실행,1.0,1,4.770684624465665,0.005055215138430326
27,IPT,1.0,2,4.3652195163575005,0.004625567506285022
28,예술,1.0,2,4.3652195163575005,0.004625567506285022
29,AR,3.0,59,4.1084617284105285,0.004353496313424565
30,IP,1.0,4,3.8543938925915096,0.004084275505317932
31,OA,1.0,5,3.672072335797555,0.0038910800278302085
32,NAVER,1.0,5,3.672072335797555,0.0038910800278302085
33,브랜딩,1.0,6,3.5179216559702966,0.0037277355790553404
34,지원,2.0,41,3.4523243734844837,0.0036582259800008203
35,보고,1.0,7,3.3843902633457743,0.0035862401815206996
36,환경,1.0,7,3.3843902633457743,0.0035862401815206996
37,분석,2.0,43,3.3592843422146976,0.0035596369070315013
38,프로젝트,1.0,9,3.1612467120315646,0.0033497880268631187
39,런칭,1.0,10,3.0659365322272394,0.003248793410425377
40,채용,1.0,11,2.9789251552376097,0.003156592549375395
41,운전면허,1.0,12,2.8988824475640733,0.0030717759791336484
42,수행,1.0,12,2.8988824475640733,0.0030717759791336484
43,개선,2.0,57,2.806777588958381,0.0029741778538753413
44,평가,1.0,15,2.691243082785829,0.0028517527030658863
45,발생,1.0,15,2.691243082785829,0.0028517527030658863
46,운전,1.0,17,2.573460047129445,0.002726944917230091
47,운전면허 소지자,1.0,18,2.51939282585917,0.002669653048877135
48,계획,1.0,19,2.468099531471619,0.0026153005484083054
49,경력,1.0,20,2.419309367302187,0.0025636004684552235
50,경험,1.0,24,2.244955980157409,0.0023788483937507245
51,면허,1.0,25,2.205735267004128,0.002337288500678835
52,정리,1.0,33,1.9374712804094487,0.0020530248628826174
53,개발,1.0,42,1.7026316893320477,0.0018041790997757692
54,관련 업무,1.0,46,1.6136842033155514,0.0017099266573632143
55,운영,1.0,58,1.3862943611198906,0.0014689749569096265
56,영어,1.0,63,1.304948721665938,0.0013827777461562591
57,마케팅,1.0,77,1.1071229783360184,0.001173153390078718
58,문화,1.0,77,1.1071229783360184,0.001173153390078718
59,매출,1.0,79,1.0818051703517284,0.0011463255914986787
60,제출,1.0,81,1.057112557761357,0.0011201602758678594
