idx,skill,tf,df,tfidf,pr
0,안내,2.0,14,5.5115632078468,0.013385673896204568
1,바리스타 자격 소지자,1.0,0,5.4638318050256105,0.013269750886945925
2,지원,3.0,41,5.178486560226725,0.012576746334394904
3,컨시어지,1.0,3,4.07753744390572,0.009902923084684802
4,서비스,2.0,39,3.549904701823348,0.008621486302390504
5,발송,1.0,7,3.3843902633457743,0.00821950918355424
6,주문,1.0,9,3.1612467120315646,0.007677570953456375
7,C,2.0,53,2.9496955169226715,0.007163786532722812
8,.NET,1.0,12,2.8988824475640733,0.0070403792251315525
9,관련 업무 경력자,1.0,14,2.7557816039234,0.006692836948102284
10,자격,1.0,20,2.419309367302187,0.005875662679262196
11,경력,1.0,20,2.419309367302187,0.005875662679262196
12,상품,1.0,21,2.372789351667294,0.0057626817089907354
13,전화,1.0,24,2.244955980157409,0.005452218822227948
14,접수,1.0,25,2.205735267004128,0.00535696532400099
15,경력자,1.0,32,1.9673242435591296,0.004777947703636645
16,업무,2.0,88,1.9503908705869404,0.004736822418482367
17,발급,1.0,38,1.8002701588959635,0.0043722313186468995
18,시설,1.0,42,1.7026316893320477,0.004135101367665595
19,관련 업무,1.0,46,1.6136842033155514,0.003919078798966946
20,보건,1.0,47,1.5926307941177191,0.003867947375939025
21,근무 가능자,1.0,53,1.4748477584613358,0.003581893266361406
22,포상,1.0,55,1.4384801142904609,0.0034935688823551636
23,작성,1.0,66,1.259139185634644,0.0030580120182314746
24,법인세 관리,0.01,0,0.0546383180502561,0.00013269750886945925
25,소모품 수입,0.01,0,0.0546383180502561,0.00013269750886945925
26,영문 서신 작성,0.01,0,0.0546383180502561,0.00013269750886945925
27,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013269750886945925
28,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013269750886945925
29,가구 설치,0.01,0,0.0546383180502561,0.00013269750886945925
30,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013269750886945925
31,타이어 탈착,0.01,0,0.0546383180502561,0.00013269750886945925
32,현장 조율,0.01,0,0.0546383180502561,0.00013269750886945925
33,경영계획 분석,0.01,0,0.0546383180502561,0.00013269750886945925
34,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013269750886945925
35,납품계획 세우기,0.01,0,0.0546383180502561,0.00013269750886945925
36,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013269750886945925
37,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013269750886945925
38,건축업무 경험,0.01,0,0.0546383180502561,0.00013269750886945925
39,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013269750886945925
40,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013269750886945925
41,현장상황파악,0.01,0,0.0546383180502561,0.00013269750886945925
42,인허가관리,0.01,0,0.0546383180502561,0.00013269750886945925
43,사건 수임,0.01,0,0.0546383180502561,0.00013269750886945925
44,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013269750886945925
45,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013269750886945925
46,여행상품개발,0.01,0,0.0546383180502561,0.00013269750886945925
47,주차매출 관리,0.01,0,0.0546383180502561,0.00013269750886945925
48,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013269750886945925
49,어도비 포토샵,0.01,0,0.0546383180502561,0.00013269750886945925
50,데미지 관리,0.01,0,0.0546383180502561,0.00013269750886945925
