idx,skill,tf,df,tfidf,pr
0,상담,31.0,9,97.9986480729785,0.05584304224333264
1,관리,48.0,69,58.336155022860055,0.03324197255077668
2,교육,18.0,13,50.84594055738633,0.02897378751933028
3,업무,38.0,88,37.05742654115187,0.02111661208046137
4,운영관리,7.0,1,33.394792371259655,0.01902951558787658
5,행정,9.0,6,31.66129490373267,0.018041708365926633
6,지원,17.0,41,29.34475717461811,0.01672166449992469
7,전화 업무,6.0,1,28.62410774679399,0.016311013361037068
8,학생,14.0,30,28.41782440756649,0.016193465931015394
9,시설,14.0,42,23.836843650648667,0.013583063573893564
10,서류,13.0,41,22.440108427649143,0.012787155205824763
11,자격,9.0,20,21.773784305719683,0.012407460517986326
12,채용,7.0,11,20.852476086663263,0.01188246701238629
13,접수,9.0,25,19.851617403037157,0.011312142881917495
14,전화,8.0,24,17.959647841259272,0.010234032742247169
15,운영,12.0,58,16.635532333438686,0.009479505616697309
16,게임,3.0,0,16.391495415076832,0.009340444882605698
17,감독,3.0,0,16.391495415076832,0.009340444882605698
18,상담사,3.0,0,16.391495415076832,0.009340444882605698
19,급여,6.0,17,15.440760282776672,0.00879868289711666
20,매니저,4.0,5,14.68828934319022,0.00836989875271791
21,행정 서류 관리,2.0,0,10.92766361005122,0.006226963255070464
22,학생 상담,2.0,0,10.92766361005122,0.006226963255070464
23,참여,3.0,6,10.55376496791089,0.00601390278864221
24,영업,4.0,17,10.293840188517782,0.005865788598077774
25,정규직,6.0,44,9.943015891531742,0.00566587669702798
26,경력,4.0,20,9.677237469208748,0.005514426896882812
27,학원 운영,2.0,1,9.54136924893133,0.005437004453679023
28,행정 업무,3.0,9,9.483740136094694,0.00540416537838703
29,경험,4.0,24,8.979823920629636,0.005117016371123584
30,운용,2.0,2,8.730439032715001,0.004974908177750397
31,문서,3.0,12,8.69664734269222,0.004955652496059661
32,모집,5.0,42,8.513158446660238,0.0048510941335334155
33,관련 사무,2.0,3,8.15507488781144,0.0046470456522875805
34,보조,3.0,16,7.891855382908181,0.0044970540123964306
35,사무,4.0,33,7.749885121637795,0.004416154413745689
36,학력,3.0,17,7.720380141388336,0.00439934144855833
37,인바운드,2.0,4,7.708787785183019,0.004392735720316129
38,소통,2.0,4,7.708787785183019,0.004392735720316129
39,재무,2.0,5,7.34414467159511,0.004184949376358955
40,기타,3.0,20,7.257928101906561,0.004135820172662109
41,교육원,2.0,6,7.035843311940593,0.004009268525761473
42,문서작업,2.0,6,7.035843311940593,0.004009268525761473
43,마감,3.0,23,6.857333924032993,0.0039075476603641045
44,보고,2.0,7,6.768780526691549,0.003857086850896138
45,운영 전반,2.0,8,6.533214455378781,0.0037228531004303293
46,친절,2.0,9,6.322493424063129,0.0036027769189246866
47,작성,5.0,66,6.295695928173219,0.003587506772607144
48,근무시간,3.0,28,6.289607925117408,0.0035840376164656216
49,마케팅,5.0,77,5.535614891680092,0.0031543861299873264
50,서류 관리,2.0,14,5.5115632078468,0.0031406806429960608
51,응대,3.0,37,5.478736935897673,0.0031219750901420955
52,이벤트 관리,1.0,0,5.4638318050256105,0.0031134816275352325
53,부대시설 관리,1.0,0,5.4638318050256105,0.0031134816275352325
54,고객선호도 평가,1.0,0,5.4638318050256105,0.0031134816275352325
55,고객만족 교육,1.0,0,5.4638318050256105,0.0031134816275352325
56,자금조달,1.0,0,5.4638318050256105,0.0031134816275352325
57,내방자 상담,1.0,0,5.4638318050256105,0.0031134816275352325
58,스포츠시설 홍보,1.0,0,5.4638318050256105,0.0031134816275352325
59,업무관련 행정서류 작성,1.0,0,5.4638318050256105,0.0031134816275352325
60,교육생 상담,1.0,0,5.4638318050256105,0.0031134816275352325
61,시장분석,1.0,0,5.4638318050256105,0.0031134816275352325
62,강습서비스,1.0,0,5.4638318050256105,0.0031134816275352325
63,수요예측,1.0,0,5.4638318050256105,0.0031134816275352325
64,국비지원 훈련과정 전화,1.0,0,5.4638318050256105,0.0031134816275352325
65,스포츠시설 일정 관리,1.0,0,5.4638318050256105,0.0031134816275352325
66,근로계약서 작성,1.0,0,5.4638318050256105,0.0031134816275352325
67,현장서비스 관리,1.0,0,5.4638318050256105,0.0031134816275352325
68,바우처대상 관리,1.0,0,5.4638318050256105,0.0031134816275352325
69,입장객 관리,1.0,0,5.4638318050256105,0.0031134816275352325
70,강사 스케줄 관리,1.0,0,5.4638318050256105,0.0031134816275352325
71,대외협력 지원,1.0,0,5.4638318050256105,0.0031134816275352325
72,게임 좋아하셨던 분이나 개발 쪽 관심있으신분들도 지원하세요,1.0,0,5.4638318050256105,0.0031134816275352325
73,상품개발,1.0,0,5.4638318050256105,0.0031134816275352325
74,도전 정신,1.0,0,5.4638318050256105,0.0031134816275352325
75,자산관리,1.0,0,5.4638318050256105,0.0031134816275352325
76,콜센터 상담직,1.0,0,5.4638318050256105,0.0031134816275352325
77,직업상담,1.0,0,5.4638318050256105,0.0031134816275352325
78,고객정보 관리,1.0,0,5.4638318050256105,0.0031134816275352325
79,재무관리,1.0,0,5.4638318050256105,0.0031134816275352325
80,고객민원 해결,1.0,0,5.4638318050256105,0.0031134816275352325
81,재무성과 평가,1.0,0,5.4638318050256105,0.0031134816275352325
82,일반 행정 업무,1.0,0,5.4638318050256105,0.0031134816275352325
83,요양보호사,1.0,0,5.4638318050256105,0.0031134816275352325
84,마케팅전략 수립,1.0,0,5.4638318050256105,0.0031134816275352325
85,관련 문서 작성,1.0,0,5.4638318050256105,0.0031134816275352325
86,평가,2.0,15,5.382486165571658,0.003067128049504695
