idx,skill,tf,df,tfidf,pr
0,관리,105.0,69,127.61033911250637,0.04128501559118356
1,쇼핑몰,39.0,9,123.288621769231,0.03988683603035262
2,상담,31.0,9,97.9986480729785,0.03170492094720337
3,주문,26.0,9,82.19241451282068,0.02659122402023508
4,판매,23.0,13,64.96981293443808,0.021019297955079883
5,업무,63.0,88,61.43731242348862,0.01987644903167224
6,반품,17.0,8,55.53232287071964,0.017966042810300863
7,배송,15.0,11,44.683877328564144,0.01445630961420671
8,상품,18.0,21,42.71020833001129,0.013817780197673685
9,CS,22.0,34,41.98664235779632,0.013583689193356173
10,경력,16.0,20,38.70894987683499,0.012523276799496061
11,C,26.0,53,38.34604171999473,0.012405867277528498
12,제품,12.0,10,36.79123838672688,0.011902850983538441
13,지원,21.0,41,36.24940592158708,0.011727555142098948
14,급여,14.0,17,36.02844065981224,0.011656067562480171
15,쇼핑몰 관리,8.0,2,34.921756130860004,0.011298028485473777
16,온라인,15.0,34,28.627256153042943,0.00926160626819739
17,고객상담,6.0,1,28.62410774679399,0.009260587683010801
18,응대,15.0,37,27.393684679488363,0.00886251621113203
19,통신,8.0,8,26.132857821515124,0.008454608381318052
20,전화,11.0,24,24.6945157817315,0.00798927011836141
21,전자,7.0,6,24.625451591792075,0.007966926190915784
22,답변,5.0,1,23.853423122328326,0.007717156402509002
23,온라인 쇼핑,5.0,1,23.853423122328326,0.007717156402509002
24,오픈마켓,5.0,1,23.853423122328326,0.007717156402509002
25,채용,8.0,11,23.83140124190088,0.00771003179424358
26,재고,12.0,34,22.901804922434355,0.007409285014557912
27,경험,10.0,24,22.44955980157409,0.00726297283487401
28,송장,8.0,15,21.52994466228663,0.006965455207169105
29,엑셀,8.0,16,21.04494768775515,0.0068085470146632
30,포장,8.0,17,20.587680377035564,0.0066606100357029544
31,택배,10.0,30,20.29844600540464,0.0065670357561787756
32,온라인쇼핑몰,5.0,4,19.271969462957543,0.00623494589297772
33,쇼핑몰관리,4.0,2,17.460878065430002,0.005649014242736889
34,고객 상담,6.0,12,17.39329468538444,0.005627149392926984
35,자격,7.0,20,16.93516557111531,0.0054789335997795265
36,주문관리,3.0,0,16.391495415076832,0.005303043221111064
37,보안 관리하기,3.0,0,16.391495415076832,0.005303043221111064
38,DB,3.0,0,16.391495415076832,0.005303043221111064
39,송장출력,4.0,3,16.31014977562288,0.0052767259491996515
40,재고 관리,5.0,9,15.806233560157825,0.005113696926968286
41,사무,8.0,33,15.49977024327559,0.005014548669048102
42,영업,6.0,17,15.440760282776672,0.004995457526777216
43,모집,8.0,42,13.62105351465638,0.004406738596824417
44,성실,5.0,16,13.15309230484697,0.0042553418841645005
45,운용,3.0,2,13.0956585490725,0.004236760682052666
46,학력,5.0,17,12.867300235647228,0.004162881272314347
47,운영,9.0,58,12.476649250079015,0.004036496277633972
48,블로그,4.0,11,11.91570062095044,0.00385501589712179
49,편집,3.0,4,11.563181677774528,0.0037409675357866325
50,인근거주자,3.0,4,11.563181677774528,0.0037409675357866325
51,교육,4.0,13,11.299097901641408,0.003655530079144329
52,상담 업무,3.0,5,11.016217007392664,0.003564011302447004
53,포토샵,3.0,5,11.016217007392664,0.003564011302447004
54,게시판 관리,2.0,0,10.92766361005122,0.0035353621474073747
55,소싱,2.0,0,10.92766361005122,0.0035353621474073747
56,배송일정,2.0,0,10.92766361005122,0.0035353621474073747
57,플레이오토,2.0,0,10.92766361005122,0.0035353621474073747
58,문의답변,2.0,0,10.92766361005122,0.0035353621474073747
59,고객 응대하기,3.0,6,10.55376496791089,0.003414396938963908
60,DB 관리,3.0,7,10.153170790037322,0.0032847950822940766
61,발주,4.0,18,10.07757130343668,0.0032603368291094243
62,전산,4.0,18,10.07757130343668,0.0032603368291094243
63,경력자,5.0,32,9.83662121779565,0.003182383678043689
64,보안,3.0,8,9.79982168306817,0.003170478142994269
65,송장입력,2.0,1,9.54136924893133,0.003086862561003601
66,카카오톡,2.0,1,9.54136924893133,0.003086862561003601
