idx,skill,tf,df,tfidf,pr
0,기획,44.0,8,143.7307180183332,0.041533312197394
1,홍보,48.0,15,129.1796679737198,0.037328551290085756
2,광고,40.0,10,122.63746128908956,0.03543807501306634
3,SNS,19.0,2,82.9391708107925,0.023966612858903606
4,경력,33.0,20,79.83720912097218,0.02307025093249042
5,채용,22.0,11,65.53635341522741,0.01893778771999315
6,마케팅,56.0,77,61.99888678681703,0.01791557960824566
7,제작,20.0,14,55.115632078468,0.015926551996906676
8,관리,34.0,69,41.32144314119254,0.011940498329738442
9,업무,40.0,88,39.007817411738806,0.01127193881056128
10,운영,26.0,58,36.04365338911715,0.010415395745493413
11,C,23.0,53,33.92149844461072,0.009802164801846511
12,포토샵,9.0,5,33.04865102217799,0.009549941442801127
13,콘텐츠 기획,6.0,0,32.782990830153665,0.009473174639949988
14,언론,6.0,0,32.782990830153665,0.009473174639949988
15,디자인,8.0,5,29.37657868638044,0.008488836838045447
16,지원,17.0,41,29.34475717461811,0.008479641498309863
17,미디어,8.0,6,28.143373247762373,0.008132482210504274
18,블로그,9.0,11,26.81032639713849,0.007747276794542653
19,실행,5.0,1,23.853423122328326,0.006892831839814725
20,행사,8.0,12,23.191059580512587,0.006701431197351534
21,급여,9.0,17,23.16114042416501,0.006692785573935751
22,광고기획,4.0,0,21.85532722010244,0.006315449759966657
23,전시,6.0,6,21.10752993582178,0.006099361657878206
24,서류,12.0,41,20.7139462409069,0.005985629292924609
25,커뮤니케이션,7.0,12,20.292177132948517,0.005863752297682594
26,제안,6.0,8,19.59964336613634,0.005663633481462817
27,편집,5.0,4,19.271969462957543,0.005568946815262987
28,소통,5.0,4,19.271969462957543,0.005568946815262987
29,홈페이지,5.0,4,19.271969462957543,0.005568946815262987
30,오프라인 홍보,4.0,1,19.08273849786266,0.00551426547185178
31,협의,6.0,10,18.39561919336344,0.005315711251959953
32,촬영,5.0,5,18.360361678987772,0.005305523023778403
33,NAVER,5.0,5,18.360361678987772,0.005305523023778403
34,접수,8.0,25,17.645882136033023,0.005099062621121778
35,캠페인 기획,4.0,2,17.460878065430002,0.005045602707137602
36,온라인,9.0,34,17.176353691825767,0.00496338479436571
37,유튜브,8.0,28,16.772287800313087,0.004846623429419534
38,AE,3.0,0,16.391495415076832,0.004736587319974994
39,영상 촬영,4.0,3,16.31014977562288,0.004713081183736902
40,인스타,4.0,3,16.31014977562288,0.004713081183736902
41,쇼핑몰,5.0,9,15.806233560157825,0.004567466455119393
42,등록,5.0,9,15.806233560157825,0.004567466455119393
43,영업,6.0,17,15.440760282776672,0.004461857049290501
44,제품,5.0,10,15.329682661136196,0.004429759376633293
45,문서,5.0,12,14.494412237820368,0.004188394498344709
46,페이스북,3.0,1,14.312053873396994,0.004135699103888835
47,마케팅 경력,3.0,1,14.312053873396994,0.004135699103888835
48,이메일 접수,3.0,1,14.312053873396994,0.004135699103888835
49,대행사,4.0,6,14.071686623881186,0.004066241105252137
50,작성,11.0,66,13.850531041981082,0.004002334628238074
51,모집,8.0,42,13.62105351465638,0.003936023390695608
52,일러스트,4.0,7,13.537561053383095,0.003911896895622023
53,경험,6.0,24,13.469735880944455,0.0038922977166811878
54,자사몰,3.0,2,13.0956585490725,0.003784202030353201
55,조직,3.0,2,13.0956585490725,0.003784202030353201
