idx,skill,tf,df,tfidf,pr
0,교육,118.0,13,333.3233880984215,0.05384432302218124
1,지원,125.0,41,215.7702733427802,0.03485505281442331
2,채용,64.0,11,190.65120993520705,0.030797374858345834
3,행정,47.0,6,165.34231783060395,0.026709032394325875
4,자격,56.0,20,135.48132456892247,0.021885353575633437
5,접수,61.0,25,134.5498512872518,0.021734885441516198
6,경력,50.0,20,120.96546836510936,0.019540494263958427
7,상담,35.0,9,110.64363492110476,0.017873128114493896
8,관리,87.0,69,105.73428097893384,0.01708008193492483
9,서류,59.0,41,101.84356901779226,0.016451584928407804
10,운영,67.0,58,92.88172219503268,0.015003908010346796
11,업무,92.0,88,89.71798004699926,0.014492844099862059
12,기획,22.0,8,71.8653590091666,0.011608971175620045
13,C,43.0,53,63.41845361383744,0.010244476757035733
14,사무,29.0,33,56.18666713187401,0.009076269960675839
15,인원,18.0,10,55.18685758009031,0.008914762936599246
16,교육원,15.0,6,52.76882483955445,0.008524159274784853
17,심사,14.0,6,49.25090318358415,0.007955881989799195
18,HRD,10.0,1,47.70684624465665,0.007706458446319241
19,문서,16.0,12,46.38211916102517,0.007492464962650991
20,직업상담,8.0,0,43.71065444020488,0.007060922459165648
21,평가,16.0,15,43.05988932457326,0.006955799301449246
22,이메일 접수,9.0,1,42.93616162019099,0.006935812601687317
23,기타,17.0,20,41.12825924413718,0.006643768049745866
24,모집,24.0,42,40.86316054396914,0.006600944591943997
25,경험,18.0,24,40.409207642833366,0.006527614044138592
26,계약,16.0,19,39.48959250354591,0.006379061448119554
27,행정업무,11.0,6,38.69713821567326,0.006251050134842226
28,상담사,7.0,0,38.24682263517927,0.006178307151769943
29,요양보호사,7.0,0,38.24682263517927,0.006178307151769943
30,평생교육,7.0,0,38.24682263517927,0.006178307151769943
31,교육운영,8.0,1,38.16547699572532,0.006165166757055393
32,보수,8.0,1,38.16547699572532,0.006165166757055393
33,전화,17.0,24,38.16425166267595,0.0061649688194642255
34,홍보,14.0,15,37.67740315900161,0.00608632438876809
35,급여,14.0,17,36.02844065981224,0.005819954633065263
36,제출,34.0,81,35.941826963886136,0.005805963248157664
37,조직,8.0,2,34.921756130860004,0.005641183261513741
38,홈페이지,9.0,4,34.68954503332358,0.005603672394315325
39,프로그램,14.0,19,34.55339344060267,0.0055816787671046095
40,CE,9.0,5,33.04865102217799,0.00533860600432892
41,훈련,22.0,52,32.85787761241674,0.005307788889580901
42,회계,12.0,15,32.29491699342995,0.0052168494760869355
43,경력자,16.0,32,31.47718789694608,0.005084755326117738
44,학사,7.0,2,30.556536614502505,0.0049360353538245244
45,자격증,19.0,47,30.259985088236665,0.004888131076047701
46,컨설팅,5.0,0,27.31915902512805,0.00441307653697853
47,엑셀,10.0,16,26.30618460969394,0.0042494428899398345
48,보조,10.0,16,26.30618460969394,0.0042494428899398345
49,컴퓨터,14.0,36,25.9407944933394,0.004190418578545589
50,학력,10.0,17,25.734600471294456,0.004157110452189473
51,매니저,7.0,5,25.70450635058289,0.0041522491144780505
52,NAVER,7.0,5,25.70450635058289,0.0041522491144780505
53,작성,20.0,66,25.18278371269288,0.004067971193259275
54,근무시간,12.0,28,25.15843170046963,0.004064037423055302
55,이메일,13.0,36,24.08788060095801,0.0038911029657923315
56,응대,13.0,37,23.741193388889915,0.0038350998801980436
57,직업상담사,7.0,8,22.866250593825733,0.003693763555879105
58,창업,7.0,8,22.866250593825733,0.003693763555879105
59,심사평가,4.0,0,21.85532722010244,0.003530461229582824
60,예술,5.0,2,21.8260975817875,0.0035257395384460885
61,협의,7.0,10,21.461555725590674,0.0034668522531219282
62,성실,8.0,16,21.04494768775515,0.003399554311951867
63,PD,5.0,3,20.3876872195286,0.0032933819093407105
64,수행,7.0,12,20.292177132948517,0.003277953421159809
65,안내,7.0,14,19.2904712274638,0.0031161400642998344
66,강의,4.0,1,19.08273849786266,0.0030825833785276965
