idx,skill,tf,df,tfidf,pr
0,경력,9.0,20,21.773784305719683,0.049115129482597615
1,채용,4.0,11,11.91570062095044,0.026878248202362995
2,경력자,5.0,32,9.83662121779565,0.022188468389318493
3,공무,2.0,12,5.797764895128147,0.013078019398726007
4,자격,2.0,20,4.838618734604374,0.010914473218355026
5,예술,1.0,2,4.3652195163575005,0.009846626509914549
6,재단,1.0,2,4.3652195163575005,0.009846626509914549
7,취득,2.0,30,4.059689201080928,0.009157441718471297
8,홈페이지,1.0,4,3.8543938925915096,0.008694357051283753
9,행정,1.0,6,3.5179216559702966,0.007935376561860562
10,건축기사,1.0,7,3.3843902633457743,0.007634169773611898
11,문화,3.0,77,3.321368935008055,0.00749201255105416
12,인원,1.0,10,3.0659365322272394,0.006915833630546748
13,법인,1.0,15,2.691243082785829,0.006070637543949998
14,2급,1.0,18,2.51939282585917,0.005682994886061018
15,건축,1.0,20,2.419309367302187,0.005457236609177513
16,건설,1.0,27,2.1316272948504063,0.004808312102536763
17,자격증,1.0,47,1.5926307941177191,0.0035924975912669478
18,C,1.0,53,1.4748477584613358,0.003326814374886548
19,법인세 관리,0.01,0,0.0546383180502561,0.000123247664625976
20,소모품 수입,0.01,0,0.0546383180502561,0.000123247664625976
21,영문 서신 작성,0.01,0,0.0546383180502561,0.000123247664625976
22,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.000123247664625976
23,유해화학물질관리자,0.01,0,0.0546383180502561,0.000123247664625976
24,가구 설치,0.01,0,0.0546383180502561,0.000123247664625976
25,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.000123247664625976
26,타이어 탈착,0.01,0,0.0546383180502561,0.000123247664625976
27,현장 조율,0.01,0,0.0546383180502561,0.000123247664625976
28,경영계획 분석,0.01,0,0.0546383180502561,0.000123247664625976
29,폐기물 관련 업무,0.01,0,0.0546383180502561,0.000123247664625976
30,납품계획 세우기,0.01,0,0.0546383180502561,0.000123247664625976
31,불량재고 처리하기,0.01,0,0.0546383180502561,0.000123247664625976
32,매뉴얼 업무,0.01,0,0.0546383180502561,0.000123247664625976
33,건축업무 경험,0.01,0,0.0546383180502561,0.000123247664625976
34,UX 시나리오 제작,0.01,0,0.0546383180502561,0.000123247664625976
35,평가계획 수립하기,0.01,0,0.0546383180502561,0.000123247664625976
36,현장상황파악,0.01,0,0.0546383180502561,0.000123247664625976
37,인허가관리,0.01,0,0.0546383180502561,0.000123247664625976
38,사건 수임,0.01,0,0.0546383180502561,0.000123247664625976
39,PF심의자료 작성,0.01,0,0.0546383180502561,0.000123247664625976
40,디지털 교육 이해,0.01,0,0.0546383180502561,0.000123247664625976
41,여행상품개발,0.01,0,0.0546383180502561,0.000123247664625976
42,주차매출 관리,0.01,0,0.0546383180502561,0.000123247664625976
43,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.000123247664625976
44,어도비 포토샵,0.01,0,0.0546383180502561,0.000123247664625976
45,데미지 관리,0.01,0,0.0546383180502561,0.000123247664625976
46,기관 소통 업무,0.01,0,0.0546383180502561,0.000123247664625976
47,비디오메타 사용,0.01,0,0.0546383180502561,0.000123247664625976
48,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.000123247664625976
49,자습감독,0.01,0,0.0546383180502561,0.000123247664625976
50,JLPT 2급이상,0.01,0,0.0546383180502561,0.000123247664625976
51,한자 관련 자격증,0.01,0,0.0546383180502561,0.000123247664625976
52,기성취합,0.01,0,0.0546383180502561,0.000123247664625976
53,KUBERNETES,0.01,0,0.0546383180502561,0.000123247664625976
54,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.000123247664625976
55,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.000123247664625976
56,경비지도사 직무교육,0.01,0,0.0546383180502561,0.000123247664625976
57,데이터 마이닝,0.01,0,0.0546383180502561,0.000123247664625976
58,채권현황 파악,0.01,0,0.0546383180502561,0.000123247664625976
59,제품표준서 작성,0.01,0,0.0546383180502561,0.000123247664625976
60,일용직 투입,0.01,0,0.0546383180502561,0.000123247664625976
61,영업 손익관리,0.01,0,0.0546383180502561,0.000123247664625976
62,불꽃놀이 연출,0.01,0,0.0546383180502561,0.000123247664625976
63,생산검토,0.01,0,0.0546383180502561,0.000123247664625976
64,화학사고대응,0.01,0,0.0546383180502561,0.000123247664625976
65,나라사업 발굴,0.01,0,0.0546383180502561,0.000123247664625976
66,영상 프로그램,0.01,0,0.0546383180502561,0.000123247664625976
67,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.000123247664625976
68,운영 원칙 이해,0.01,0,0.0546383180502561,0.000123247664625976
69,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.000123247664625976
70,법규 검토,0.01,0,0.0546383180502561,0.000123247664625976
71,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.000123247664625976
72,각종 사무관리,0.01,0,0.0546383180502561,0.000123247664625976
73,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.000123247664625976
74,가격별 상품 구성,0.01,0,0.0546383180502561,0.000123247664625976
75,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.000123247664625976
76,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.000123247664625976
77,수입신고서 작성,0.01,0,0.0546383180502561,0.000123247664625976
78,근무표관리,0.01,0,0.0546383180502561,0.000123247664625976
79,직업훈련 평가,0.01,0,0.0546383180502561,0.000123247664625976
80,제품 기술정보,0.01,0,0.0546383180502561,0.000123247664625976
81,지장물 조서 작성,0.01,0,0.0546383180502561,0.000123247664625976
82,의료 비품 관리,0.01,0,0.0546383180502561,0.000123247664625976
83,어도브 프로그램,0.01,0,0.0546383180502561,0.000123247664625976
84,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.000123247664625976
85,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.000123247664625976
86,에어컨 조립,0.01,0,0.0546383180502561,0.000123247664625976
87,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.000123247664625976
88,서버 기본 설치,0.01,0,0.0546383180502561,0.000123247664625976
89,CLAIM 업무,0.01,0,0.0546383180502561,0.000123247664625976
90,PPT 활용능력,0.01,0,0.0546383180502561,0.000123247664625976
91,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.000123247664625976
92,중량 점검표,0.01,0,0.0546383180502561,0.000123247664625976
93,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.000123247664625976
94,관련업계 경험,0.01,0,0.0546383180502561,0.000123247664625976
95,대표 업무,0.01,0,0.0546383180502561,0.000123247664625976
96,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.000123247664625976
97,농업법인 상담,0.01,0,0.0546383180502561,0.000123247664625976
98,온라인 MD 경력,0.01,0,0.0546383180502561,0.000123247664625976
99,GUI 프로그래밍,0.01,0,0.0546383180502561,0.000123247664625976
100,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.000123247664625976
101,인터칩 통신,0.01,0,0.0546383180502561,0.000123247664625976
102,품질 개선방법 파악,0.01,0,0.0546383180502561,0.000123247664625976
103,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.000123247664625976
104,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.000123247664625976
105,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.000123247664625976
106,입출납업무,0.01,0,0.0546383180502561,0.000123247664625976
107,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.000123247664625976
108,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.000123247664625976
109,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.000123247664625976
110,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.000123247664625976
111,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.000123247664625976
112,축구 전공자,0.01,0,0.0546383180502561,0.000123247664625976
113,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.000123247664625976
114,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.000123247664625976
115,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.000123247664625976
116,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.000123247664625976
117,DB DESIGN,0.01,0,0.0546383180502561,0.000123247664625976
