idx,skill,tf,df,tfidf,pr
0,보수,4.0,1,19.08273849786266,0.030554830321272222
1,유지보수,4.0,2,17.460878065430002,0.027957945690519907
2,네트워크,3.0,0,16.391495415076832,0.026245675439910267
3,보안,4.0,8,13.066428910757562,0.020921657461159454
4,GO,2.0,2,8.730439032715001,0.013978972845259953
5,유지,4.0,27,8.526509179401625,0.0136524451791113
6,설계,2.0,6,7.035843311940593,0.011265626188163784
7,클라우드,3.0,25,6.617205801012384,0.01059531369009314
8,C,4.0,53,5.899391033845343,0.009445965633190875
9,구축,5.0,73,5.7988335591072016,0.009284955378897255
10,기술,2.0,13,5.649548950820703,0.009045924388859717
11,KUBERNETES,1.0,0,5.4638318050256105,0.008748558479970088
12,컨테이너 오케스트레이션,1.0,0,5.4638318050256105,0.008748558479970088
13,네트워크 운영,1.0,0,5.4638318050256105,0.008748558479970088
14,클라우드 네이티브 개발자,1.0,0,5.4638318050256105,0.008748558479970088
15,보안 조치,1.0,0,5.4638318050256105,0.008748558479970088
16,DOCKER,1.0,0,5.4638318050256105,0.008748558479970088
17,MSA,1.0,0,5.4638318050256105,0.008748558479970088
18,GOOGLE CLOUD PLATFORM,1.0,0,5.4638318050256105,0.008748558479970088
19,컨테이너 기술,1.0,0,5.4638318050256105,0.008748558479970088
20,마이크로서비스 아키텍처,1.0,0,5.4638318050256105,0.008748558479970088
21,자동화된 배포,1.0,0,5.4638318050256105,0.008748558479970088
22,GOOGLE,1.0,0,5.4638318050256105,0.008748558479970088
23,클라우드 인프라스트럭처 기술,1.0,0,5.4638318050256105,0.008748558479970088
24,AWS,1.0,0,5.4638318050256105,0.008748558479970088
25,AZURE,1.0,0,5.4638318050256105,0.008748558479970088
26,네트워크 관리,1.0,0,5.4638318050256105,0.008748558479970088
27,정보처리기사,1.0,0,5.4638318050256105,0.008748558479970088
28,JAVA,1.0,0,5.4638318050256105,0.008748558479970088
29,자격,2.0,20,4.838618734604374,0.0077474820734835595
30,통신 설계,1.0,1,4.770684624465665,0.0076387075803180556
31,CCNA,1.0,1,4.770684624465665,0.0076387075803180556
32,경험,2.0,24,4.489911960314818,0.0071891410197878905
33,모니터링,1.0,2,4.3652195163575005,0.006989486422629977
34,GOOGLE CLOUD,1.0,3,4.07753744390572,0.006528856680666021
35,PL,1.0,4,3.8543938925915096,0.006171564494932016
36,PYTHON,1.0,5,3.672072335797555,0.0058796355229779424
37,프로그래밍 언어,1.0,6,3.5179216559702966,0.005632813094081892
38,자동화,1.0,6,3.5179216559702966,0.005632813094081892
39,리눅스,1.0,7,3.3843902633457743,0.005419005781013988
40,테스트,1.0,8,3.2666072276893905,0.0052304143652898635
41,통신,1.0,8,3.2666072276893905,0.0052304143652898635
42,자격증,2.0,47,3.1852615882354383,0.005100165648043684
43,2급,1.0,18,2.51939282585917,0.0040339923075181
44,경력,1.0,20,2.419309367302187,0.0038737410367417797
45,서비스,1.0,39,1.7749523509116738,0.0028420117959759164
46,개발,1.0,42,1.7026316893320477,0.002726213660213844
47,운영,1.0,58,1.3862943611198906,0.002219701799304067
