idx,skill,tf,df,tfidf,pr
0,연구,15.0,2,65.47829274536251,0.09746075262866179
1,모집,8.0,42,13.62105351465638,0.020274171354715275
2,과학,5.0,15,13.456215413929144,0.020028819121399855
3,접수,6.0,25,13.234411602024768,0.01969867663390139
4,자격,5.0,20,12.096546836510935,0.0180050289869189
5,기술,4.0,13,11.299097901641408,0.01681807114002523
6,사무실,3.0,7,10.153170790037322,0.015112423144759921
7,직무기술서,2.0,1,9.54136924893133,0.01420179099239996
8,수학,3.0,10,9.19780959668172,0.013690421790834151
9,연구소,3.0,12,8.69664734269222,0.012944469988870704
10,업무,8.0,88,7.8015634823477615,0.01161218805179901
11,지도사,2.0,5,7.34414467159511,0.010931345902541566
12,진단,2.0,5,7.34414467159511,0.010931345902541566
13,시험,3.0,20,7.257928101906561,0.01080301739215134
14,자격증,4.0,47,6.3705231764708765,0.0094821651174031
15,채용,2.0,11,5.957850310475219,0.008867924787928227
16,사무,3.0,33,5.812413841228346,0.008651450790849868
17,생명과,1.0,0,5.4638318050256105,0.00813260605350665
18,보조,2.0,16,5.261236921938788,0.007831054975179916
19,학력,2.0,17,5.146920094258891,0.007660900812683173
20,급여,2.0,17,5.146920094258891,0.007660900812683173
21,경력,2.0,20,4.838618734604374,0.00720201159476756
22,생명과학,1.0,1,4.770684624465665,0.00710089549619998
23,이메일 접수,1.0,1,4.770684624465665,0.00710089549619998
24,유지,2.0,27,4.2632545897008125,0.006345614455399276
25,현장 업무,1.0,4,3.8543938925915096,0.005737048324704394
26,공무업무,1.0,5,3.672072335797555,0.005465672951270783
27,전자,1.0,6,3.5179216559702966,0.0052362283423129765
28,설계,1.0,6,3.5179216559702966,0.0052362283423129765
29,발송,1.0,7,3.3843902633457743,0.005037474381586641
30,사무실 업무,1.0,9,3.1612467120315646,0.004705337767397726
31,아파트,1.0,9,3.1612467120315646,0.004705337767397726
32,등록,1.0,9,3.1612467120315646,0.004705337767397726
33,인원,1.0,10,3.0659365322272394,0.004563473930278049
34,AI,1.0,11,2.9789251552376097,0.0044339623939641136
35,공무,1.0,12,2.8988824475640733,0.004314823329623568
36,수행,1.0,12,2.8988824475640733,0.004314823329623568
37,교육,1.0,13,2.824774475410352,0.004204517785006308
38,업무보조,1.0,15,2.691243082785829,0.004005763824279971
39,제반업무,1.0,15,2.691243082785829,0.004005763824279971
40,법인,1.0,15,2.691243082785829,0.004005763824279971
41,계약,1.0,19,2.468099531471619,0.003673627210091056
42,프로그램,1.0,19,2.468099531471619,0.003673627210091056
43,기타,1.0,20,2.419309367302187,0.00360100579738378
44,조정,1.0,23,2.2857779746776643,0.003402251836657444
45,취득,1.0,30,2.029844600540464,0.0030213094171107602
46,이메일,1.0,36,1.8529138923813853,0.0027579580183905
47,운영,1.0,58,1.3862943611198906,0.0020634211146133385
48,영어,1.0,63,1.304948721665938,0.001942342709666632
49,작성,1.0,66,1.259139185634644,0.0018741577941474978
50,관리,1.0,69,1.2153365629762511,0.0018089600562040536
51,현장,1.0,70,1.2011519279842946,0.0017878470255473886
52,문화,1.0,77,1.1071229783360184,0.0016478902273877024
53,기업,1.0,94,0.9099549134250692,0.0013544166624111793
54,법인세 관리,0.01,0,0.0546383180502561,8.132606053506649e-05
55,소모품 수입,0.01,0,0.0546383180502561,8.132606053506649e-05
56,영문 서신 작성,0.01,0,0.0546383180502561,8.132606053506649e-05
57,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,8.132606053506649e-05
58,유해화학물질관리자,0.01,0,0.0546383180502561,8.132606053506649e-05
59,가구 설치,0.01,0,0.0546383180502561,8.132606053506649e-05
60,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,8.132606053506649e-05
61,타이어 탈착,0.01,0,0.0546383180502561,8.132606053506649e-05
62,현장 조율,0.01,0,0.0546383180502561,8.132606053506649e-05
63,경영계획 분석,0.01,0,0.0546383180502561,8.132606053506649e-05
64,폐기물 관련 업무,0.01,0,0.0546383180502561,8.132606053506649e-05
65,납품계획 세우기,0.01,0,0.0546383180502561,8.132606053506649e-05
66,불량재고 처리하기,0.01,0,0.0546383180502561,8.132606053506649e-05
67,매뉴얼 업무,0.01,0,0.0546383180502561,8.132606053506649e-05
68,건축업무 경험,0.01,0,0.0546383180502561,8.132606053506649e-05
69,UX 시나리오 제작,0.01,0,0.0546383180502561,8.132606053506649e-05
70,평가계획 수립하기,0.01,0,0.0546383180502561,8.132606053506649e-05
71,현장상황파악,0.01,0,0.0546383180502561,8.132606053506649e-05
72,인허가관리,0.01,0,0.0546383180502561,8.132606053506649e-05
73,사건 수임,0.01,0,0.0546383180502561,8.132606053506649e-05
74,PF심의자료 작성,0.01,0,0.0546383180502561,8.132606053506649e-05
75,디지털 교육 이해,0.01,0,0.0546383180502561,8.132606053506649e-05
76,여행상품개발,0.01,0,0.0546383180502561,8.132606053506649e-05
77,주차매출 관리,0.01,0,0.0546383180502561,8.132606053506649e-05
78,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,8.132606053506649e-05
79,어도비 포토샵,0.01,0,0.0546383180502561,8.132606053506649e-05
80,데미지 관리,0.01,0,0.0546383180502561,8.132606053506649e-05
81,기관 소통 업무,0.01,0,0.0546383180502561,8.132606053506649e-05
82,비디오메타 사용,0.01,0,0.0546383180502561,8.132606053506649e-05
83,소프트웨어 테스트하기,0.01,0,0.0546383180502561,8.132606053506649e-05
84,자습감독,0.01,0,0.0546383180502561,8.132606053506649e-05
85,JLPT 2급이상,0.01,0,0.0546383180502561,8.132606053506649e-05
86,한자 관련 자격증,0.01,0,0.0546383180502561,8.132606053506649e-05
87,기성취합,0.01,0,0.0546383180502561,8.132606053506649e-05
88,KUBERNETES,0.01,0,0.0546383180502561,8.132606053506649e-05
89,프로젝트 코디네이팅,0.01,0,0.0546383180502561,8.132606053506649e-05
90,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,8.132606053506649e-05
91,경비지도사 직무교육,0.01,0,0.0546383180502561,8.132606053506649e-05
92,데이터 마이닝,0.01,0,0.0546383180502561,8.132606053506649e-05
93,채권현황 파악,0.01,0,0.0546383180502561,8.132606053506649e-05
