idx,skill,tf,df,tfidf,pr
0,환경,25.0,7,84.60975658364436,0.07486503353161503
1,농업,13.0,4,50.10712060368962,0.04433615478445955
2,연구,8.0,2,34.921756130860004,0.030899727753443292
3,스마트팜,6.0,0,32.782990830153665,0.02900728954750964
4,분석,15.0,43,25.19463256661023,0.022292902001807786
5,개발,13.0,42,22.13421196131662,0.0195849579007082
6,상품개발,4.0,0,21.85532722010244,0.01933819303167309
7,상품,8.0,21,18.982314813338352,0.016796072845373943
8,수행,6.0,12,17.39329468538444,0.015390064248196667
9,계획,7.0,19,17.276696720301334,0.015286895170325188
10,관리,14.0,69,17.014711881667516,0.015055083798669653
11,컨설팅,3.0,0,16.391495415076832,0.01450364477375482
12,기획,5.0,8,16.333036138446953,0.014451918402212749
13,업무,16.0,88,15.603126964695525,0.013806074743344485
14,환경 관리,3.0,1,14.312053873396994,0.012663697857101147
15,설계,4.0,6,14.071686623881186,0.012451014321283226
16,생산,5.0,16,13.15309230484697,0.011638216870099664
17,제품,4.0,10,12.263746128908958,0.010851298978225201
18,경력,5.0,20,12.096546836510935,0.010703356457914726
19,시설,7.0,42,11.918421825324334,0.010545746561919799
20,환경 분석하기,2.0,0,10.92766361005122,0.009669096515836546
21,감리,3.0,6,10.55376496791089,0.009338260740962421
22,보조,4.0,16,10.522473843877576,0.009310573496079732
23,채용,3.0,11,8.936775465712829,0.007907504074233889
24,연구과제,2.0,2,8.730439032715001,0.007724931938360823
25,제품개발,2.0,2,8.730439032715001,0.007724931938360823
26,기술,3.0,13,8.474323426231056,0.007498313824308749
27,개선,6.0,57,8.420332766875145,0.0074505414079080665
28,운영,5.0,58,6.931471805599453,0.006133156388845574
29,경험,3.0,24,6.734867940472228,0.005959195895995744
30,경력자,3.0,32,5.9019727306773895,0.005222227367455317
31,감사,2.0,12,5.797764895128147,0.0051300214160655555
32,동종 업종 경력,1.0,0,5.4638318050256105,0.004834548257918273
33,시장분석,1.0,0,5.4638318050256105,0.004834548257918273
34,보고서작성,1.0,0,5.4638318050256105,0.004834548257918273
35,자격,2.0,20,4.838618734604374,0.00428134258316589
36,기획업무,1.0,1,4.770684624465665,0.004221232619033716
37,상품 기획,1.0,1,4.770684624465665,0.004221232619033716
38,유관업무 경력,1.0,1,4.770684624465665,0.004221232619033716
39,제품 개발,1.0,1,4.770684624465665,0.004221232619033716
40,보수,1.0,1,4.770684624465665,0.004221232619033716
41,연구기획,1.0,2,4.3652195163575005,0.0038624659691804115
42,블로그 운영,1.0,2,4.3652195163575005,0.0038624659691804115
43,개발업무,1.0,2,4.3652195163575005,0.0038624659691804115
44,선정,1.0,2,4.3652195163575005,0.0038624659691804115
45,SNS,1.0,2,4.3652195163575005,0.0038624659691804115
46,인증,2.0,26,4.335989878042562,0.003836602783409376
47,농약,1.0,3,4.07753744390572,0.0036079169801491585
48,조경,1.0,4,3.8543938925915096,0.003410473444958427
49,소통,1.0,4,3.8543938925915096,0.003410473444958427
50,안전관리,1.0,4,3.8543938925915096,0.003410473444958427
51,유지관리,1.0,6,3.5179216559702966,0.0031127535803208064
52,전시,1.0,6,3.5179216559702966,0.0031127535803208064
53,참여,1.0,6,3.5179216559702966,0.0031127535803208064
54,지원,2.0,41,3.4523243734844837,0.003054711305396776
55,제어,1.0,7,3.3843902633457743,0.002994601341264601
56,보고,1.0,7,3.3843902633457743,0.002994601341264601
57,사무실,1.0,7,3.3843902633457743,0.002994601341264601
58,제조,3.0,77,3.321368935008055,0.0029388383412310764
59,제안,1.0,8,3.2666072276893905,0.0028903836804425494
60,초보,1.0,8,3.2666072276893905,0.0028903836804425494
61,노무,1.0,8,3.2666072276893905,0.0028903836804425494
62,자재,2.0,47,3.1852615882354383,0.0028184068272843637
63,보고서,1.0,9,3.1612467120315646,0.00279715780607387
64,프로젝트,1.0,9,3.1612467120315646,0.00279715780607387
65,유통,1.0,9,3.1612467120315646,0.00279715780607387
66,계획수립,1.0,11,2.9789251552376097,0.0026358346914112964
67,블로그,1.0,11,2.9789251552376097,0.0026358346914112964
68,연구소,1.0,12,2.8988824475640733,0.0025650107080327778
69,운전면허,1.0,12,2.8988824475640733,0.0025650107080327778
70,품질관리,1.0,12,2.8988824475640733,0.0025650107080327778
71,환경관리,1.0,13,2.824774475410352,0.00249943794143625
72,유관업무 경력자,1.0,13,2.824774475410352,0.00249943794143625
73,교육,1.0,13,2.824774475410352,0.00249943794143625
74,판매,1.0,13,2.824774475410352,0.00249943794143625
75,제작,1.0,14,2.7557816039234,0.0024383911562205654
76,법인,1.0,15,2.691243082785829,0.002381285702380044
77,하드웨어,1.0,16,2.630618460969394,0.002327643374019933
78,성실,1.0,16,2.630618460969394,0.002327643374019933
79,품질,1.0,17,2.573460047129445,0.002277068041557992
80,신고,1.0,17,2.573460047129445,0.002277068041557992
81,학력,1.0,17,2.573460047129445,0.002277068041557992
82,운전,1.0,17,2.573460047129445,0.002277068041557992
83,경영,1.0,18,2.51939282585917,0.0022292278810753315
84,시험,1.0,20,2.419309367302187,0.002140671291582945
85,실험,1.0,21,2.372789351667294,0.002099509105671743
86,문화,2.0,77,2.2142459566720367,0.0019592255608207178
87,면허,1.0,25,2.205735267004128,0.0019516950691482202
88,발굴,1.0,26,2.167994939021281,0.001918301391704688
89,유지,1.0,27,2.1316272948504063,0.001886122302551692
90,검토,1.0,33,1.9374712804094487,0.0017143277351353756
91,사무,1.0,33,1.9374712804094487,0.0017143277351353756
92,원사,1.0,35,1.8803128665695,0.0016637524026734349
93,관련 업무,1.0,46,1.6136842033155514,0.001427832047610563
94,자격증,1.0,47,1.5926307941177191,0.0014092034136421819
95,유경험자,1.0,57,1.4033887944791907,0.001241756901318011
96,안전,1.0,58,1.3862943611198906,0.0012266312777691145
97,작성,1.0,66,1.259139185634644,0.0011141208905419571
98,진행,1.0,69,1.2153365629762511,0.0010753631284764037
99,구축,1.0,73,1.1597667118214403,0.0010261933998536887
100,마케팅,1.0,77,1.1071229783360184,0.0009796127804103589
101,기업,1.0,94,0.9099549134250692,0.0008051530681154854
102,법인세 관리,0.01,0,0.0546383180502561,4.834548257918273e-05
103,소모품 수입,0.01,0,0.0546383180502561,4.834548257918273e-05
104,영문 서신 작성,0.01,0,0.0546383180502561,4.834548257918273e-05
105,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,4.834548257918273e-05
106,유해화학물질관리자,0.01,0,0.0546383180502561,4.834548257918273e-05
107,가구 설치,0.01,0,0.0546383180502561,4.834548257918273e-05
108,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,4.834548257918273e-05
109,타이어 탈착,0.01,0,0.0546383180502561,4.834548257918273e-05
110,현장 조율,0.01,0,0.0546383180502561,4.834548257918273e-05
111,경영계획 분석,0.01,0,0.0546383180502561,4.834548257918273e-05
112,폐기물 관련 업무,0.01,0,0.0546383180502561,4.834548257918273e-05
113,납품계획 세우기,0.01,0,0.0546383180502561,4.834548257918273e-05
114,불량재고 처리하기,0.01,0,0.0546383180502561,4.834548257918273e-05
115,매뉴얼 업무,0.01,0,0.0546383180502561,4.834548257918273e-05
116,건축업무 경험,0.01,0,0.0546383180502561,4.834548257918273e-05
117,UX 시나리오 제작,0.01,0,0.0546383180502561,4.834548257918273e-05
118,평가계획 수립하기,0.01,0,0.0546383180502561,4.834548257918273e-05
119,현장상황파악,0.01,0,0.0546383180502561,4.834548257918273e-05
120,인허가관리,0.01,0,0.0546383180502561,4.834548257918273e-05
121,사건 수임,0.01,0,0.0546383180502561,4.834548257918273e-05
122,PF심의자료 작성,0.01,0,0.0546383180502561,4.834548257918273e-05
123,디지털 교육 이해,0.01,0,0.0546383180502561,4.834548257918273e-05
