idx,skill,tf,df,tfidf,pr
0,업무,196.0,88,191.13830531752012,0.0302044633621717
1,사무,96.0,33,185.99724291930707,0.029392051477533987
2,관리,143.0,69,173.7931285056039,0.02746350698163037
3,경리,78.0,25,172.04735082632197,0.027187631992235794
4,엑셀,44.0,16,115.74721228265334,0.018290851887889238
5,보조,41.0,16,107.85535689974516,0.01704374835007861
6,회계,39.0,15,104.95848022864732,0.016585971950253617
7,계산,31.0,8,101.2648240583711,0.01600228516762658
8,사무실,26.0,7,87.99414684699013,0.013905198019362417
9,급여,34.0,17,87.49764160240115,0.01382673821276111
10,지원,42.0,41,72.49881184317415,0.011456561271067275
11,정리,35.0,33,67.8114948143307,0.010715852101184265
12,경리업무,22.0,10,67.45060370899927,0.010658822600213181
13,문서,21.0,12,60.87653139884554,0.009619960578796563
14,서류,34.0,41,58.68951434923622,0.009274359124197318
15,경리 업무,19.0,11,56.59957794951458,0.00894409875430549
16,기타,23.0,20,55.6441154479503,0.008793112628973438
17,작성,44.0,66,55.40212416792433,0.008754872168803158
18,경력,22.0,20,53.22480608064812,0.008410803384235464
19,채용,16.0,11,47.66280248380176,0.007531872635204625
20,세금계산서,14.0,8,45.732501187651465,0.007226838462799101
21,세무,17.0,17,43.74882080120057,0.006913369106380555
22,원가,19.0,26,41.19190384140434,0.006509314542309867
23,전화,18.0,24,40.409207642833366,0.006385629660756817
24,협의,13.0,10,39.85717491895412,0.006298395172853246
25,매입,19.0,30,38.56704741026881,0.006094523902759676
26,사무보조,18.0,27,38.369291307307314,0.00606327366771849
27,상담,12.0,9,37.934960544378775,0.005994638929149755
28,발주,15.0,18,37.790892387887546,0.005971872684847409
29,근무시간,17.0,28,35.64111157566531,0.005632155454062093
30,거래명세서,9.0,4,34.68954503332358,0.005481784984275393
31,4대보험,15.0,23,34.286669620164965,0.005418120949815871
32,근태,9.0,5,33.04865102217799,0.005222484144715679
33,매출,30.0,79,32.45415511055185,0.005128539448743601
34,계산서 발행,14.0,23,32.0008916454873,0.005056912886494813
35,감사,11.0,12,31.887706923204806,0.0050390269698458185
36,세금계산서 발행,10.0,9,31.61246712031565,0.004995532440958129
37,운전,12.0,17,30.881520565553345,0.004880025251562744
38,프로그램,12.0,19,29.61719437765943,0.0046802312125989835
39,접수,13.0,25,28.674558471053665,0.004531271998705966
40,행정,8.0,6,28.143373247762373,0.004447331918831468
41,워드,8.0,6,28.143373247762373,0.004447331918831468
42,전산,11.0,18,27.713321084450868,0.004379373302221433
43,장부,9.0,10,27.59342879004516,0.004360427427359938
44,마감,12.0,23,27.42933569613197,0.004334496759852697
45,자격,11.0,20,26.612403040324057,0.004205401692117731
46,재무,7.0,5,25.70450635058289,0.00406193211255664
47,보조 업무,7.0,5,25.70450635058289,0.00406193211255664
48,매출관리,8.0,10,24.527492257817915,0.0038759354909866112
49,징수,6.0,3,24.46522466343432,0.0038660957088974823
50,원가계산,6.0,3,24.46522466343432,0.0038660957088974823
51,응대,13.0,37,23.741193388889915,0.0037516813006044187
52,정산,7.0,7,23.69073184342042,0.003743707159059112
53,모집,13.0,42,22.13421196131662,0.0034977394673743065
