idx,skill,tf,df,tfidf,pr
0,대출,4.0,2,17.460878065430002,0.04274060105509812
1,영업,3.0,17,7.720380141388336,0.018897886256366497
2,상담,2.0,9,6.322493424063129,0.01547615005950783
3,상담사,1.0,0,5.4638318050256105,0.013374324849854295
4,자격,2.0,20,4.838618734604374,0.011843933175553982
5,페이스북,1.0,1,4.770684624465665,0.011677644590948362
6,토지,1.0,2,4.3652195163575005,0.01068515026377453
7,계약,1.0,19,2.468099531471619,0.006041394770847983
8,전화,1.0,24,2.244955980157409,0.005495185727465398
9,취득,1.0,30,2.029844600540464,0.004968637771276278
10,자금,1.0,31,1.9980959022258835,0.004890923555324634
11,관리,1.0,69,1.2153365629762511,0.0029748913537563765
12,마케팅,1.0,77,1.1071229783360184,0.002710006985827175
13,법인세 관리,0.01,0,0.0546383180502561,0.00013374324849854295
14,소모품 수입,0.01,0,0.0546383180502561,0.00013374324849854295
15,영문 서신 작성,0.01,0,0.0546383180502561,0.00013374324849854295
16,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013374324849854295
17,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013374324849854295
18,가구 설치,0.01,0,0.0546383180502561,0.00013374324849854295
19,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013374324849854295
20,타이어 탈착,0.01,0,0.0546383180502561,0.00013374324849854295
21,현장 조율,0.01,0,0.0546383180502561,0.00013374324849854295
22,경영계획 분석,0.01,0,0.0546383180502561,0.00013374324849854295
23,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013374324849854295
24,납품계획 세우기,0.01,0,0.0546383180502561,0.00013374324849854295
25,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013374324849854295
26,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013374324849854295
27,건축업무 경험,0.01,0,0.0546383180502561,0.00013374324849854295
28,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013374324849854295
29,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013374324849854295
30,현장상황파악,0.01,0,0.0546383180502561,0.00013374324849854295
31,인허가관리,0.01,0,0.0546383180502561,0.00013374324849854295
32,사건 수임,0.01,0,0.0546383180502561,0.00013374324849854295
33,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013374324849854295
34,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013374324849854295
35,여행상품개발,0.01,0,0.0546383180502561,0.00013374324849854295
36,주차매출 관리,0.01,0,0.0546383180502561,0.00013374324849854295
37,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013374324849854295
38,어도비 포토샵,0.01,0,0.0546383180502561,0.00013374324849854295
39,데미지 관리,0.01,0,0.0546383180502561,0.00013374324849854295
40,기관 소통 업무,0.01,0,0.0546383180502561,0.00013374324849854295
41,비디오메타 사용,0.01,0,0.0546383180502561,0.00013374324849854295
42,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00013374324849854295
43,자습감독,0.01,0,0.0546383180502561,0.00013374324849854295
44,JLPT 2급이상,0.01,0,0.0546383180502561,0.00013374324849854295
45,한자 관련 자격증,0.01,0,0.0546383180502561,0.00013374324849854295
46,기성취합,0.01,0,0.0546383180502561,0.00013374324849854295
47,KUBERNETES,0.01,0,0.0546383180502561,0.00013374324849854295
48,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00013374324849854295
49,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00013374324849854295
50,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00013374324849854295
51,데이터 마이닝,0.01,0,0.0546383180502561,0.00013374324849854295
52,채권현황 파악,0.01,0,0.0546383180502561,0.00013374324849854295
53,제품표준서 작성,0.01,0,0.0546383180502561,0.00013374324849854295
54,일용직 투입,0.01,0,0.0546383180502561,0.00013374324849854295
55,영업 손익관리,0.01,0,0.0546383180502561,0.00013374324849854295
56,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00013374324849854295
57,생산검토,0.01,0,0.0546383180502561,0.00013374324849854295
58,화학사고대응,0.01,0,0.0546383180502561,0.00013374324849854295
59,나라사업 발굴,0.01,0,0.0546383180502561,0.00013374324849854295
60,영상 프로그램,0.01,0,0.0546383180502561,0.00013374324849854295
61,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00013374324849854295
62,운영 원칙 이해,0.01,0,0.0546383180502561,0.00013374324849854295
63,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00013374324849854295
64,법규 검토,0.01,0,0.0546383180502561,0.00013374324849854295
65,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00013374324849854295
66,각종 사무관리,0.01,0,0.0546383180502561,0.00013374324849854295
67,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00013374324849854295
68,가격별 상품 구성,0.01,0,0.0546383180502561,0.00013374324849854295
69,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00013374324849854295
70,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00013374324849854295
71,수입신고서 작성,0.01,0,0.0546383180502561,0.00013374324849854295
72,근무표관리,0.01,0,0.0546383180502561,0.00013374324849854295
73,직업훈련 평가,0.01,0,0.0546383180502561,0.00013374324849854295
74,제품 기술정보,0.01,0,0.0546383180502561,0.00013374324849854295
75,지장물 조서 작성,0.01,0,0.0546383180502561,0.00013374324849854295
76,의료 비품 관리,0.01,0,0.0546383180502561,0.00013374324849854295
77,어도브 프로그램,0.01,0,0.0546383180502561,0.00013374324849854295
78,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00013374324849854295
79,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00013374324849854295
80,에어컨 조립,0.01,0,0.0546383180502561,0.00013374324849854295
81,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00013374324849854295
82,서버 기본 설치,0.01,0,0.0546383180502561,0.00013374324849854295
83,CLAIM 업무,0.01,0,0.0546383180502561,0.00013374324849854295
84,PPT 활용능력,0.01,0,0.0546383180502561,0.00013374324849854295
85,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00013374324849854295
86,중량 점검표,0.01,0,0.0546383180502561,0.00013374324849854295
87,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00013374324849854295
88,관련업계 경험,0.01,0,0.0546383180502561,0.00013374324849854295
89,대표 업무,0.01,0,0.0546383180502561,0.00013374324849854295
90,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.00013374324849854295
91,농업법인 상담,0.01,0,0.0546383180502561,0.00013374324849854295
92,온라인 MD 경력,0.01,0,0.0546383180502561,0.00013374324849854295
93,GUI 프로그래밍,0.01,0,0.0546383180502561,0.00013374324849854295
94,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.00013374324849854295
95,인터칩 통신,0.01,0,0.0546383180502561,0.00013374324849854295
96,품질 개선방법 파악,0.01,0,0.0546383180502561,0.00013374324849854295
97,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.00013374324849854295
98,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.00013374324849854295
99,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.00013374324849854295
100,입출납업무,0.01,0,0.0546383180502561,0.00013374324849854295
101,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.00013374324849854295
102,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.00013374324849854295
103,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.00013374324849854295
104,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.00013374324849854295
105,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.00013374324849854295
106,축구 전공자,0.01,0,0.0546383180502561,0.00013374324849854295
107,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.00013374324849854295
108,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.00013374324849854295
109,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.00013374324849854295
110,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.00013374324849854295
111,DB DESIGN,0.01,0,0.0546383180502561,0.00013374324849854295
112,식자재 입고하기,0.01,0,0.0546383180502561,0.00013374324849854295
113,펌웨어 검증하기,0.01,0,0.0546383180502561,0.00013374324849854295
114,불만사항 수집,0.01,0,0.0546383180502561,0.00013374324849854295
115,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,0.00013374324849854295
116,화장품과학,0.01,0,0.0546383180502561,0.00013374324849854295
117,노무 관련 업무,0.01,0,0.0546383180502561,0.00013374324849854295
118,구내통신구축 공사관리,0.01,0,0.0546383180502561,0.00013374324849854295
119,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,0.00013374324849854295
120,소분하기,0.01,0,0.0546383180502561,0.00013374324849854295
121,자재사무원,0.01,0,0.0546383180502561,0.00013374324849854295
122,사진 찍기,0.01,0,0.0546383180502561,0.00013374324849854295
123,경제적 환경분석하기,0.01,0,0.0546383180502561,0.00013374324849854295
124,인적관리,0.01,0,0.0546383180502561,0.00013374324849854295
125,공구자재 관리,0.01,0,0.0546383180502561,0.00013374324849854295
126,봉제부,0.01,0,0.0546383180502561,0.00013374324849854295
127,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,0.00013374324849854295
128,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,0.00013374324849854295
