idx,skill,tf,df,tfidf,pr
0,채용,22.0,11,65.53635341522741,0.04331526773963328
1,학사,11.0,2,48.01741467993251,0.03173638850255302
2,행정,12.0,6,42.21505987164356,0.027901409304839715
3,지원,24.0,41,41.4278924818138,0.027381142850123268
4,연구,9.0,2,39.2869756472175,0.025966136047543373
5,접수,13.0,25,28.674558471053665,0.01895201842586605
6,업무,29.0,88,28.280667623510634,0.018691682190594933
7,서류,15.0,41,25.892432801133623,0.01711321428132704
8,자격,10.0,20,24.19309367302187,0.015990061626673956
9,C,16.0,53,23.59756413538137,0.015596455329931714
10,계약,8.0,19,19.744796251772957,0.013050026306641212
11,관리,16.0,69,19.44538500762002,0.01285213494514645
12,경력,8.0,20,19.354474938417496,0.012792049301339163
13,사회복지,9.0,29,18.56370981027109,0.012269404975558465
14,제출,16.0,81,16.91380092418171,0.011178922496404288
15,경험,7.0,24,15.714691861101864,0.01038638938448024
16,인원,5.0,10,15.329682661136196,0.010131923340678969
17,자가,4.0,5,14.68828934319022,0.009708004067703575
18,보수,3.0,1,14.312053873396994,0.009459336888985422
19,학생,7.0,30,14.208912203783246,0.009391166952734526
20,교육,5.0,13,14.123872377051756,0.00933496115745525
21,협력,6.0,34,11.450902461217176,0.0075683018679034725
22,학교 환경,2.0,0,10.92766361005122,0.0072224750138148
23,외국인 유학생 관리,2.0,0,10.92766361005122,0.0072224750138148
24,행정업무,3.0,6,10.55376496791089,0.006975352326209929
25,보조,4.0,16,10.522473843877576,0.006954670928104214
26,환경,3.0,7,10.153170790037322,0.006710585625511867
27,기타,4.0,20,9.677237469208748,0.006396024650669582
28,간호학,2.0,1,9.54136924893133,0.006306224592656949
29,이메일 접수,2.0,1,9.54136924893133,0.006306224592656949
30,사업비 관리,2.0,1,9.54136924893133,0.006306224592656949
31,등록,3.0,9,9.483740136094694,0.006268135496727232
32,문서,3.0,12,8.69664734269222,0.005747918345398173
33,현장,7.0,70,8.408063495890062,0.005557183189440222
34,운영,6.0,58,8.317766166719343,0.0054975025269471105
35,안내,3.0,14,8.2673448117702,0.0054641772902562676
36,국제,2.0,3,8.15507488781144,0.005389974171499097
37,평가,3.0,15,8.073729248357488,0.005336209993775091
38,보건,5.0,47,7.963153970588595,0.005263126925945579
39,자격증,5.0,47,7.963153970588595,0.005263126925945579
40,경력자,4.0,32,7.869296974236519,0.005201093554932853
41,급여,3.0,17,7.720380141388336,0.005102669212569939
42,홈페이지,2.0,4,7.708787785183019,0.005095007418976005
43,확정,2.0,4,7.708787785183019,0.005095007418976005
44,사회복지사,2.0,6,7.035843311940593,0.004650234884139952
45,문서작업,2.0,6,7.035843311940593,0.004650234884139952
46,심사,2.0,6,7.035843311940593,0.004650234884139952
47,마감,3.0,23,6.857333924032993,0.004532251787304125
48,HSK 5급 이상,1.0,0,5.4638318050256105,0.0036112375069074004
49,RCMS 사용,1.0,0,5.4638318050256105,0.0036112375069074004
50,교내 사업비 관리 경험,1.0,0,5.4638318050256105,0.0036112375069074004
51,연구자료 검색,1.0,0,5.4638318050256105,0.0036112375069074004
52,행정 지원,1.0,0,5.4638318050256105,0.0036112375069074004
