idx,skill,tf,df,tfidf,pr
0,설계,29.0,6,102.0197280231386,0.06421697376692807
1,인공지능,10.0,0,54.6383180502561,0.03439244060821821
2,기계,12.0,11,35.74710186285132,0.022501243112996557
3,경력,14.0,20,33.87033114223062,0.021319897715709243
4,공학,6.0,2,26.191317098145003,0.016486292951412327
5,개발,13.0,42,22.13421196131662,0.013932522036807587
6,지그,4.0,0,21.85532722010244,0.013756976243287282
7,C,12.0,53,17.698173101536028,0.01114022885383621
8,연구,4.0,2,17.460878065430002,0.010990861967608219
9,지원,10.0,41,17.261621867422416,0.010865438872602036
10,분석,10.0,43,16.79642171107349,0.010572615643061035
11,가공,5.0,10,15.329682661136196,0.009649367317292226
12,상품,6.0,21,14.236736110003765,0.008961405083293647
13,하역,3.0,2,13.0956585490725,0.008243146475706162
14,자격,5.0,20,12.096546836510935,0.007614249184181872
15,AI,4.0,11,11.91570062095044,0.007500414370998853
16,경력자,6.0,32,11.80394546135478,0.007430069367232075
17,기구,3.0,5,11.016217007392664,0.00693422862697765
18,IOT,2.0,0,10.92766361005122,0.006878488121643641
19,머신러닝,2.0,0,10.92766361005122,0.006878488121643641
20,도면분석,2.0,0,10.92766361005122,0.006878488121643641
21,데이터 분석,2.0,0,10.92766361005122,0.006878488121643641
22,바이오,2.0,0,10.92766361005122,0.006878488121643641
23,프로그램,4.0,19,9.872398125886477,0.006214244477528237
24,도면,5.0,32,9.83662121779565,0.006191724472693394
25,금형,3.0,8,9.79982168306817,0.006168560768946864
26,압력용기 설계,2.0,1,9.54136924893133,0.0060058762224913
27,협의,3.0,10,9.19780959668172,0.005789620390375337
28,경험,4.0,24,8.979823920629636,0.005652407904987924
29,제관,3.0,11,8.936775465712829,0.005625310778249138
30,에너지,2.0,2,8.730439032715001,0.005495430983804109
31,모집,5.0,42,8.513158446660238,0.005358662321849072
32,빅데이터,2.0,3,8.15507488781144,0.005133264323338958
33,딥러닝,2.0,3,8.15507488781144,0.005133264323338958
34,급여,3.0,17,7.720380141388336,0.004859642920218352
35,SI,2.0,4,7.708787785183019,0.004852346037068802
36,2D,2.0,4,7.708787785183019,0.004852346037068802
37,컴퓨터,4.0,36,7.411655569525542,0.004665314253433211
38,PYTHON,2.0,5,7.34414467159511,0.004622819084651768
39,진단,2.0,5,7.34414467159511,0.004622819084651768
40,판금,2.0,5,7.34414467159511,0.004622819084651768
41,자가,2.0,5,7.34414467159511,0.004622819084651768
42,참여,2.0,6,7.035843311940593,0.004428756811512282
43,전자,2.0,6,7.035843311940593,0.004428756811512282
44,3D,3.0,23,6.857333924032993,0.004316392929520626
45,업무,7.0,88,6.826368047054292,0.004296901259153105
46,프로그램 개발,2.0,7,6.768780526691549,0.004260652424186617
47,시공,2.0,7,6.768780526691549,0.004260652424186617
48,CAD,2.0,7,6.768780526691549,0.004260652424186617
49,퇴직연금,2.0,8,6.533214455378781,0.004112373845964576
50,통신,2.0,8,6.533214455378781,0.004112373845964576
