idx,skill,tf,df,tfidf,pr
0,게임,9.0,0,49.1744862452305,0.04760513694058567
1,기획,8.0,8,26.132857821515124,0.025298856586686673
2,CE,5.0,5,18.360361678987772,0.017774411056336547
3,지원,10.0,41,17.261621867422416,0.01671073630982681
4,MICE,4.0,3,16.31014977562288,0.01578962939679514
5,채용,5.0,11,14.894625776188049,0.014419280279170827
6,경력,6.0,20,14.515856203813122,0.014052598718494952
7,전시,4.0,6,14.071686623881186,0.01362260431912178
8,마케팅,12.0,77,13.28547574003222,0.012861484485491813
9,광고,4.0,10,12.263746128908958,0.011872362244108115
10,자격,5.0,20,12.096546836510935,0.011710498932079127
11,교육,4.0,13,11.299097901641408,0.010938499697389206
12,관리,9.0,69,10.93802906678626,0.01058895397478546
13,컨설팅,2.0,0,10.92766361005122,0.010578919320130147
14,모집,6.0,42,10.215790135992286,0.009889764500129706
15,C,6.0,53,8.849086550768014,0.008566677747228421
16,접수,4.0,25,8.822941068016512,0.008541366668622416
17,회의,2.0,2,8.730439032715001,0.008451816733400909
18,홍보,3.0,15,8.073729248357488,0.007816065114997491
19,편집,2.0,4,7.708787785183019,0.0074627703547212034
20,서류,4.0,41,6.904648746968967,0.006684294523930724
21,사무실,2.0,7,6.768780526691549,0.0065527623875312815
22,경험,3.0,24,6.734867940472228,0.0065199320839683895
23,제품,2.0,10,6.131873064454479,0.005936181122054057
24,사무,3.0,33,5.812413841228346,0.005626917086375632
25,커뮤니케이션,2.0,12,5.797764895128147,0.005612735645177497
26,감사,2.0,12,5.797764895128147,0.005612735645177497
27,수행,2.0,12,5.797764895128147,0.005612735645177497
28,운영,4.0,58,5.545177444479562,0.005368209243465155
29,인사,2.0,14,5.5115632078468,0.005335667767991964
30,건강검진센터 영업,1.0,0,5.4638318050256105,0.0052894596600650745
31,건강검진 컨설팅,1.0,0,5.4638318050256105,0.0052894596600650745
32,광고기획,1.0,0,5.4638318050256105,0.0052894596600650745
33,전략수립,1.0,0,5.4638318050256105,0.0052894596600650745
34,사진 편집,1.0,0,5.4638318050256105,0.0052894596600650745
35,기업 건강검진 컨설팅,1.0,0,5.4638318050256105,0.0052894596600650745
36,퍼포먼스 마케팅,1.0,0,5.4638318050256105,0.0052894596600650745
37,검진 협약,1.0,0,5.4638318050256105,0.0052894596600650745
38,DB,1.0,0,5.4638318050256105,0.0052894596600650745
39,마케팅 기획,1.0,0,5.4638318050256105,0.0052894596600650745
