idx,skill,tf,df,tfidf,pr
0,채용,436.0,11,1298.8113676835978,0.08101480331505762
1,물류,208.0,19,513.3647025460969,0.032021694173989416
2,관리,404.0,69,490.9959714424055,0.030626419697754287
3,지원,232.0,41,400.4696273242001,0.024979738319651154
4,업무,308.0,88,300.36019407038884,0.018735301100485113
5,서류,169.0,41,291.7214095594388,0.018196447310435536
6,C,181.0,53,266.94744428150176,0.016651143678002998
7,청구,95.0,14,261.799252372723,0.016330019482992498
8,자격,105.0,20,254.02748356672964,0.01584524676164607
9,경력,101.0,20,244.35024609752088,0.015241618313583363
10,지게차,83.0,14,228.7298731256422,0.014267280179877656
11,출고,130.0,47,207.0420032353035,0.012914475178931297
12,CD,38.0,1,181.2860157296953,0.011307916818056027
13,자재,112.0,47,178.37464894118455,0.011126317077233118
14,재고,92.0,34,175.58050440533006,0.010952029204768761
15,공정,61.0,17,156.98106287489617,0.009791868357050424
16,제품,51.0,10,156.3627631435892,0.009753301223771538
17,자가,40.0,5,146.8828934319022,0.009161983809053784
18,제출,138.0,81,145.88153297106726,0.00909952283681368
19,급여,54.0,17,138.96684254499007,0.008668211332470869
20,입출고,45.0,10,137.96714395022576,0.008605854020974886
21,창고,78.0,40,136.5202595890616,0.008515603000036868
22,운전,53.0,17,136.3933824978606,0.008507688900388074
23,학력,48.0,17,123.52608226221338,0.0077050767399741045
24,포장,48.0,17,123.52608226221338,0.0077050767399741045
25,상품,51.0,21,121.012256935032,0.0075482740898608494
26,개인,39.0,10,119.57152475686232,0.007458406818178233
27,계약,44.0,19,108.59637938475124,0.006773819921420838
28,특근,25.0,3,101.938436097643,0.006358523305369597
29,차량,35.0,13,98.8671066393623,0.006166945715144063
30,발송,29.0,7,98.14731763702746,0.006122048075730496
31,기타,40.0,20,96.77237469208748,0.006036284480627075
32,배송,32.0,11,95.32560496760352,0.005946040610279459
33,운영,68.0,58,94.26801655615256,0.00588007235709517
34,재고 관리,29.0,9,91.67615464891536,0.005718402088525604
35,확정,23.0,4,88.65105952960472,0.0055297084166051145
36,물류관리,25.0,6,87.94804139925742,0.005485856878980691
37,모집,51.0,42,86.83421615593443,0.005416380790873999
38,입고,38.0,25,83.81794014615686,0.005228237220717331
39,재고관리,31.0,15,83.4285355663607,0.005203947677041383
40,캠프,19.0,2,82.9391708107925,0.005173423006247666
41,근무시간,39.0,28,81.7649030265263,0.005100176747438581
42,시행,20.0,3,81.55074887811439,0.005086818644295677
43,유선,20.0,3,81.55074887811439,0.005086818644295677
44,전자,23.0,6,80.91219808731682,0.005046988328662235
45,마감,35.0,23,80.00222911371824,0.004990228002064253
46,출고 관리,26.0,10,79.71434983790823,0.004972271212118824
47,홈페이지,20.0,4,77.08787785183019,0.004808442101395751
48,현장,64.0,70,76.87372339099485,0.004795083978765088
49,정규직,45.0,44,74.57261918648805,0.004651550045220871
50,자재관리,25.0,11,74.47312888094024,0.004645344226780826
51,배송업무,20.0,5,73.4414467159511,0.004580991904526892
52,접수,33.0,25,72.78926381113622,0.004540311270622946
53,경험,32.0,24,71.83859136503709,0.004481012019666183
54,전산,28.0,18,70.54299912405675,0.004400198012958855
55,운송,23.0,10,70.51654024122651,0.004398547610720498
56,배차,22.0,9,69.54742766469442,0.004338098136122874
57,지게차 운전,18.0,4,69.37909006664717,0.0043275978912561755
58,사무,35.0,33,67.8114948143307,0.004229817394254109
59,MR,20.0,7,67.68780526691549,0.004222102121193446
60,출하,34.0,32,66.88902428101042,0.004172277268966967
61,유통,21.0,9,66.38618095266285,0.0041409118572081965
62,4대보험,29.0,23,66.28756126565227,0.004134760344567524
63,기계,22.0,11,65.53635341522741,0.004087902919567127
64,평가,24.0,15,64.5898339868599,0.004028862717709458
65,협의,20.0,10,61.31873064454479,0.003824824009322172
66,교육,21.0,13,59.32026398361739,0.003700167429086438
67,수행,20.0,12,57.977648951281466,0.0036164203234797737
68,창고관리,15.0,4,57.81590838887264,0.0036063315760468135
69,관리자,25.0,23,57.14444936694161,0.003564448572903038
70,택배,28.0,30,56.83564881513298,0.003545186795103098
71,자재 출고,16.0,6,56.286746495524746,0.0035109484025476418
72,이수자,10.0,0,54.6383180502561,0.0034081258452500693
73,기능,20.0,16,52.61236921938788,0.003281755034104579
74,제반업무,19.0,15,51.13361857293075,0.0031895163181866544
75,이메일,26.0,36,48.175761201916025,0.0030050166755833355
76,자재 입,13.0,5,47.73694036536821,0.00297764473794248
77,주문,15.0,9,47.41870068047347,0.002957794183720141
78,환경,14.0,7,47.38146368684084,0.002955471484835412
79,엑셀,18.0,16,47.35113229744909,0.002953579530694121
80,수출,12.0,4,46.25272671109811,0.0028850652608374506
81,운전 가능,14.0,10,42.92311145118135,0.00267737680652552
82,창고 관리,14.0,11,41.70495217332653,0.0026013927669972627
83,영업,16.0,17,41.17536075407113,0.0025683589133247016
84,건설,19.0,27,40.50091860215772,0.0025262898341310864
85,현장관리,23.0,41,39.70173029507156,0.0024764395747930027
86,생산,15.0,16,39.45927691454091,0.002461316275578434
87,근무 가능자,26.0,53,38.34604171999473,0.00239187699242032
88,포워딩,8.0,1,38.16547699572532,0.002380614066959163
89,인근 거주자,19.0,31,37.96382214229179,0.0023680356212395347
90,작성,30.0,66,37.77417556903932,0.0023562062053492003
91,출고관리,14.0,15,37.67740315900161,0.0023501699186638508
92,경력자,19.0,32,37.37916062762346,0.0023315667091285985
93,입출고 관리,15.0,19,37.021492972074284,0.0023092567913934672
94,프로그램,15.0,19,37.021492972074284,0.0023092567913934672
95,보조,14.0,16,36.82865845357152,0.002297228523873206
96,검사,12.0,10,36.79123838672688,0.0022948944055933037
97,상품 입,10.0,5,36.72072335797555,0.002290495952263446
98,운전가능,11.0,8,35.9326795045833,0.0022413408406169594
99,쇼핑몰,11.0,9,34.77371383234721,0.002169049068061437
100,인근거주자,9.0,4,34.68954503332358,0.0021637989456280877
101,검수,10.0,7,33.843902633457745,0.002111051060596723
102,수입,11.0,10,33.725301854499634,0.0021036532051271943
103,정리,17.0,33,32.93701176696063,0.002054482734351996
104,보험,66.0,146,31.244348404293667,0.0019489009748932396
105,택배 포장,7.0,2,30.556536614502505,0.0019059979496701932
106,하차,7.0,2,30.556536614502505,0.0019059979496701932
107,사무실,9.0,7,30.45951237011197,0.0018999459545370506
108,문서,10.0,12,28.988824475640733,0.0018082101617398869
109,성실,11.0,16,28.93680307066333,0.0018049652687575181
110,물류팀,7.0,3,28.54276210734004,0.001780386525503487
111,납품,12.0,22,27.940051069157526,0.001742791754292595
112,발주,11.0,18,27.713321084450868,0.0017286492193766929
113,운전가능자,10.0,14,27.557816039234,0.0017189494192623683
114,통관,5.0,0,27.31915902512805,0.0017040629226250346
115,PL,7.0,4,26.980757248140566,0.001682954735488513
116,지게차 자격증,6.0,2,26.191317098145003,0.001633712528288737
117,패킹,7.0,6,24.625451591792075,0.0015360399261145933
118,부품,8.0,10,24.527492257817915,0.0015299296037288687
119,운전면허,8.0,12,23.191059580512587,0.0014465681293919096
120,품질,9.0,17,23.16114042416501,0.0014447018887451446
121,별도,21.0,78,22.98206300373036,0.001433531735514537
122,설비 관리,7.0,8,22.866250593825733,0.0014263078076653375
123,초보,7.0,8,22.866250593825733,0.0014263078076653375
124,판매,8.0,13,22.598195803282813,0.0014095875920329287
125,취득,11.0,30,22.328290605945103,0.0013927519552190744
126,등록,7.0,9,22.128726984220958,0.0013803039524027327
127,자재품질 기준 파악하기,4.0,0,21.85532722010244,0.0013632503381000277
128,지게차운전,5.0,2,21.8260975817875,0.0013614271069072807
129,창고 입,5.0,2,21.8260975817875,0.0013614271069072807
130,송장,8.0,15,21.52994466228663,0.001342954239236486
131,발생,8.0,15,21.52994466228663,0.001342954239236486
132,가공,7.0,10,21.461555725590674,0.00133868840326276
133,경력 무관,6.0,6,21.10752993582178,0.0013166056509553658
134,설비,9.0,23,20.57200177209898,0.0012832014862450935
135,국제,5.0,3,20.3876872195286,0.0012717046610739194
136,행사,7.0,12,20.292177132948517,0.0012657471132179212
