idx,skill,tf,df,tfidf,pr
0,소방,3.0,24,6.734867940472228,0.01624586750073675
1,아파트,2.0,9,6.322493424063129,0.015251136525537725
2,관련 유경헙자,1.0,0,5.4638318050256105,0.01317987053871371
3,특급소방안전관리자 선임가능자,1.0,0,5.4638318050256105,0.01317987053871371
4,자격,2.0,20,4.838618734604374,0.01167172980134982
5,소방안전관리,1.0,1,4.770684624465665,0.011507858948669592
6,소방안전관리자,1.0,3,4.07753744390572,0.009835847358625473
7,안전관리,1.0,4,3.8543938925915096,0.00929757985281298
8,NAVER,1.0,5,3.672072335797555,0.008857783277678508
9,협의,1.0,10,3.0659365322272394,0.007395660777387064
10,채용,1.0,11,2.9789251552376097,0.00718577168763439
11,관리자,1.0,23,2.2857779746776643,0.005513760097590271
12,접수,1.0,25,2.205735267004128,0.005320680851678094
13,이메일,1.0,36,1.8529138923813853,0.004469604133587764
14,서류,1.0,41,1.7261621867422416,0.004163853310630792
15,지원,1.0,41,1.7261621867422416,0.004163853310630792
16,자격증,1.0,47,1.5926307941177191,0.003841748507546154
17,C,1.0,53,1.4748477584613358,0.003557631935696344
18,안전,1.0,58,1.3862943611198906,0.003344023180088236
19,관리,1.0,69,1.2153365629762511,0.002931638295721146
20,제출,1.0,81,1.057112557761357,0.0025499699026840556
21,직원,1.0,147,0.4666195312614949,0.0011255809534995286
22,법인세 관리,0.01,0,0.0546383180502561,0.0001317987053871371
23,소모품 수입,0.01,0,0.0546383180502561,0.0001317987053871371
24,영문 서신 작성,0.01,0,0.0546383180502561,0.0001317987053871371
25,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.0001317987053871371
26,유해화학물질관리자,0.01,0,0.0546383180502561,0.0001317987053871371
27,가구 설치,0.01,0,0.0546383180502561,0.0001317987053871371
28,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.0001317987053871371
29,타이어 탈착,0.01,0,0.0546383180502561,0.0001317987053871371
30,현장 조율,0.01,0,0.0546383180502561,0.0001317987053871371
31,경영계획 분석,0.01,0,0.0546383180502561,0.0001317987053871371
32,폐기물 관련 업무,0.01,0,0.0546383180502561,0.0001317987053871371
33,납품계획 세우기,0.01,0,0.0546383180502561,0.0001317987053871371
34,불량재고 처리하기,0.01,0,0.0546383180502561,0.0001317987053871371
35,매뉴얼 업무,0.01,0,0.0546383180502561,0.0001317987053871371
36,건축업무 경험,0.01,0,0.0546383180502561,0.0001317987053871371
37,UX 시나리오 제작,0.01,0,0.0546383180502561,0.0001317987053871371
38,평가계획 수립하기,0.01,0,0.0546383180502561,0.0001317987053871371
39,현장상황파악,0.01,0,0.0546383180502561,0.0001317987053871371
40,인허가관리,0.01,0,0.0546383180502561,0.0001317987053871371
41,사건 수임,0.01,0,0.0546383180502561,0.0001317987053871371
42,PF심의자료 작성,0.01,0,0.0546383180502561,0.0001317987053871371
43,디지털 교육 이해,0.01,0,0.0546383180502561,0.0001317987053871371
44,여행상품개발,0.01,0,0.0546383180502561,0.0001317987053871371
45,주차매출 관리,0.01,0,0.0546383180502561,0.0001317987053871371
46,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.0001317987053871371
47,어도비 포토샵,0.01,0,0.0546383180502561,0.0001317987053871371
48,데미지 관리,0.01,0,0.0546383180502561,0.0001317987053871371
49,기관 소통 업무,0.01,0,0.0546383180502561,0.0001317987053871371
50,비디오메타 사용,0.01,0,0.0546383180502561,0.0001317987053871371
51,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.0001317987053871371
52,자습감독,0.01,0,0.0546383180502561,0.0001317987053871371
53,JLPT 2급이상,0.01,0,0.0546383180502561,0.0001317987053871371
54,한자 관련 자격증,0.01,0,0.0546383180502561,0.0001317987053871371
55,기성취합,0.01,0,0.0546383180502561,0.0001317987053871371
56,KUBERNETES,0.01,0,0.0546383180502561,0.0001317987053871371
57,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.0001317987053871371
58,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.0001317987053871371
59,경비지도사 직무교육,0.01,0,0.0546383180502561,0.0001317987053871371
60,데이터 마이닝,0.01,0,0.0546383180502561,0.0001317987053871371
61,채권현황 파악,0.01,0,0.0546383180502561,0.0001317987053871371
62,제품표준서 작성,0.01,0,0.0546383180502561,0.0001317987053871371
63,일용직 투입,0.01,0,0.0546383180502561,0.0001317987053871371
64,영업 손익관리,0.01,0,0.0546383180502561,0.0001317987053871371
65,불꽃놀이 연출,0.01,0,0.0546383180502561,0.0001317987053871371
66,생산검토,0.01,0,0.0546383180502561,0.0001317987053871371
67,화학사고대응,0.01,0,0.0546383180502561,0.0001317987053871371
68,나라사업 발굴,0.01,0,0.0546383180502561,0.0001317987053871371
69,영상 프로그램,0.01,0,0.0546383180502561,0.0001317987053871371
70,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.0001317987053871371
71,운영 원칙 이해,0.01,0,0.0546383180502561,0.0001317987053871371
72,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.0001317987053871371
73,법규 검토,0.01,0,0.0546383180502561,0.0001317987053871371
74,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.0001317987053871371
75,각종 사무관리,0.01,0,0.0546383180502561,0.0001317987053871371
76,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.0001317987053871371
77,가격별 상품 구성,0.01,0,0.0546383180502561,0.0001317987053871371
78,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.0001317987053871371
79,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.0001317987053871371
80,수입신고서 작성,0.01,0,0.0546383180502561,0.0001317987053871371
81,근무표관리,0.01,0,0.0546383180502561,0.0001317987053871371
82,직업훈련 평가,0.01,0,0.0546383180502561,0.0001317987053871371
83,제품 기술정보,0.01,0,0.0546383180502561,0.0001317987053871371
84,지장물 조서 작성,0.01,0,0.0546383180502561,0.0001317987053871371
85,의료 비품 관리,0.01,0,0.0546383180502561,0.0001317987053871371
86,어도브 프로그램,0.01,0,0.0546383180502561,0.0001317987053871371
87,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.0001317987053871371
88,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.0001317987053871371
89,에어컨 조립,0.01,0,0.0546383180502561,0.0001317987053871371
90,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.0001317987053871371
91,서버 기본 설치,0.01,0,0.0546383180502561,0.0001317987053871371
92,CLAIM 업무,0.01,0,0.0546383180502561,0.0001317987053871371
93,PPT 활용능력,0.01,0,0.0546383180502561,0.0001317987053871371
94,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.0001317987053871371
95,중량 점검표,0.01,0,0.0546383180502561,0.0001317987053871371
96,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.0001317987053871371
97,관련업계 경험,0.01,0,0.0546383180502561,0.0001317987053871371
98,대표 업무,0.01,0,0.0546383180502561,0.0001317987053871371
99,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.0001317987053871371
100,농업법인 상담,0.01,0,0.0546383180502561,0.0001317987053871371
101,온라인 MD 경력,0.01,0,0.0546383180502561,0.0001317987053871371
102,GUI 프로그래밍,0.01,0,0.0546383180502561,0.0001317987053871371
103,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.0001317987053871371
104,인터칩 통신,0.01,0,0.0546383180502561,0.0001317987053871371
105,품질 개선방법 파악,0.01,0,0.0546383180502561,0.0001317987053871371
106,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.0001317987053871371
107,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.0001317987053871371
108,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.0001317987053871371
109,입출납업무,0.01,0,0.0546383180502561,0.0001317987053871371
110,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.0001317987053871371
111,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.0001317987053871371
112,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.0001317987053871371
113,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.0001317987053871371
114,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.0001317987053871371
115,축구 전공자,0.01,0,0.0546383180502561,0.0001317987053871371
116,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.0001317987053871371
117,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.0001317987053871371
118,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.0001317987053871371
119,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.0001317987053871371
120,DB DESIGN,0.01,0,0.0546383180502561,0.0001317987053871371
121,식자재 입고하기,0.01,0,0.0546383180502561,0.0001317987053871371
122,펌웨어 검증하기,0.01,0,0.0546383180502561,0.0001317987053871371
123,불만사항 수집,0.01,0,0.0546383180502561,0.0001317987053871371
124,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,0.0001317987053871371
125,화장품과학,0.01,0,0.0546383180502561,0.0001317987053871371
126,노무 관련 업무,0.01,0,0.0546383180502561,0.0001317987053871371
127,구내통신구축 공사관리,0.01,0,0.0546383180502561,0.0001317987053871371
128,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,0.0001317987053871371
129,소분하기,0.01,0,0.0546383180502561,0.0001317987053871371
130,자재사무원,0.01,0,0.0546383180502561,0.0001317987053871371
131,사진 찍기,0.01,0,0.0546383180502561,0.0001317987053871371
132,경제적 환경분석하기,0.01,0,0.0546383180502561,0.0001317987053871371
133,인적관리,0.01,0,0.0546383180502561,0.0001317987053871371
134,공구자재 관리,0.01,0,0.0546383180502561,0.0001317987053871371
135,봉제부,0.01,0,0.0546383180502561,0.0001317987053871371
136,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,0.0001317987053871371
137,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,0.0001317987053871371
138,음 매출대비 원가 산출,0.01,0,0.0546383180502561,0.0001317987053871371
139,사무OA 프로그램 자,0.01,0,0.0546383180502561,0.0001317987053871371
140,수강생관리,0.01,0,0.0546383180502561,0.0001317987053871371
141,신규 수강상담,0.01,0,0.0546383180502561,0.0001317987053871371
142,일반행정관리,0.01,0,0.0546383180502561,0.0001317987053871371
143,간이지급명세서 전자신고,0.01,0,0.0546383180502561,0.0001317987053871371
144,HSK 5급 이상,0.01,0,0.0546383180502561,0.0001317987053871371
