idx,skill,tf,df,tfidf,pr
0,비교견적,1.0,1,4.770684624465665,0.012098062053185307
1,유관업무 경력,1.0,1,4.770684624465665,0.012098062053185307
2,인근거주자,1.0,4,3.8543938925915096,0.009774424461187972
3,초보가능,1.0,5,3.672072335797555,0.009312072056584478
4,컴퓨터활용,1.0,6,3.5179216559702966,0.008921158668487743
5,견적,1.0,7,3.3843902633457743,0.008582534089169494
6,초보,1.0,8,3.2666072276893905,0.008283846041991555
7,상담,1.0,9,3.1612467120315646,0.008016660479180066
8,유관업무 경력자,1.0,13,2.824774475410352,0.007163394686479839
9,자격,1.0,20,2.419309367302187,0.006135168671886916
10,경력,1.0,20,2.419309367302187,0.006135168671886916
11,자동차,1.0,31,1.9980959022258835,0.005067006125153682
12,경력자,1.0,32,1.9673242435591296,0.004988971741132432
13,업무,2.0,88,1.9503908705869404,0.004946030106311996
14,컴퓨터,1.0,36,1.8529138923813853,0.004698836543140781
15,자격증,1.0,47,1.5926307941177191,0.004038780110560761
16,보험,1.0,146,0.4733992182468737,0.001200501305181447
17,법인세 관리,0.01,0,0.0546383180502561,0.00013855826035193212
18,소모품 수입,0.01,0,0.0546383180502561,0.00013855826035193212
19,영문 서신 작성,0.01,0,0.0546383180502561,0.00013855826035193212
20,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013855826035193212
21,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013855826035193212
22,가구 설치,0.01,0,0.0546383180502561,0.00013855826035193212
23,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013855826035193212
24,타이어 탈착,0.01,0,0.0546383180502561,0.00013855826035193212
25,현장 조율,0.01,0,0.0546383180502561,0.00013855826035193212
26,경영계획 분석,0.01,0,0.0546383180502561,0.00013855826035193212
27,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013855826035193212
28,납품계획 세우기,0.01,0,0.0546383180502561,0.00013855826035193212
29,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013855826035193212
30,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013855826035193212
31,건축업무 경험,0.01,0,0.0546383180502561,0.00013855826035193212
32,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013855826035193212
33,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013855826035193212
34,현장상황파악,0.01,0,0.0546383180502561,0.00013855826035193212
35,인허가관리,0.01,0,0.0546383180502561,0.00013855826035193212
36,사건 수임,0.01,0,0.0546383180502561,0.00013855826035193212
37,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013855826035193212
38,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013855826035193212
39,여행상품개발,0.01,0,0.0546383180502561,0.00013855826035193212
40,주차매출 관리,0.01,0,0.0546383180502561,0.00013855826035193212
41,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013855826035193212
42,어도비 포토샵,0.01,0,0.0546383180502561,0.00013855826035193212
43,데미지 관리,0.01,0,0.0546383180502561,0.00013855826035193212
44,기관 소통 업무,0.01,0,0.0546383180502561,0.00013855826035193212
45,비디오메타 사용,0.01,0,0.0546383180502561,0.00013855826035193212
46,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00013855826035193212
47,자습감독,0.01,0,0.0546383180502561,0.00013855826035193212
48,JLPT 2급이상,0.01,0,0.0546383180502561,0.00013855826035193212
49,한자 관련 자격증,0.01,0,0.0546383180502561,0.00013855826035193212
50,기성취합,0.01,0,0.0546383180502561,0.00013855826035193212
51,KUBERNETES,0.01,0,0.0546383180502561,0.00013855826035193212
52,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00013855826035193212
53,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00013855826035193212
54,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00013855826035193212
55,데이터 마이닝,0.01,0,0.0546383180502561,0.00013855826035193212
56,채권현황 파악,0.01,0,0.0546383180502561,0.00013855826035193212
57,제품표준서 작성,0.01,0,0.0546383180502561,0.00013855826035193212
58,일용직 투입,0.01,0,0.0546383180502561,0.00013855826035193212
59,영업 손익관리,0.01,0,0.0546383180502561,0.00013855826035193212
60,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00013855826035193212
61,생산검토,0.01,0,0.0546383180502561,0.00013855826035193212
62,화학사고대응,0.01,0,0.0546383180502561,0.00013855826035193212
63,나라사업 발굴,0.01,0,0.0546383180502561,0.00013855826035193212
64,영상 프로그램,0.01,0,0.0546383180502561,0.00013855826035193212
65,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00013855826035193212
66,운영 원칙 이해,0.01,0,0.0546383180502561,0.00013855826035193212
67,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00013855826035193212
68,법규 검토,0.01,0,0.0546383180502561,0.00013855826035193212
69,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00013855826035193212
70,각종 사무관리,0.01,0,0.0546383180502561,0.00013855826035193212
71,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00013855826035193212
72,가격별 상품 구성,0.01,0,0.0546383180502561,0.00013855826035193212
73,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00013855826035193212
74,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00013855826035193212
75,수입신고서 작성,0.01,0,0.0546383180502561,0.00013855826035193212
76,근무표관리,0.01,0,0.0546383180502561,0.00013855826035193212
77,직업훈련 평가,0.01,0,0.0546383180502561,0.00013855826035193212
78,제품 기술정보,0.01,0,0.0546383180502561,0.00013855826035193212
79,지장물 조서 작성,0.01,0,0.0546383180502561,0.00013855826035193212
80,의료 비품 관리,0.01,0,0.0546383180502561,0.00013855826035193212
81,어도브 프로그램,0.01,0,0.0546383180502561,0.00013855826035193212
82,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00013855826035193212
83,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00013855826035193212
84,에어컨 조립,0.01,0,0.0546383180502561,0.00013855826035193212
85,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00013855826035193212
86,서버 기본 설치,0.01,0,0.0546383180502561,0.00013855826035193212
87,CLAIM 업무,0.01,0,0.0546383180502561,0.00013855826035193212
88,PPT 활용능력,0.01,0,0.0546383180502561,0.00013855826035193212
89,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00013855826035193212
90,중량 점검표,0.01,0,0.0546383180502561,0.00013855826035193212
91,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00013855826035193212
92,관련업계 경험,0.01,0,0.0546383180502561,0.00013855826035193212
93,대표 업무,0.01,0,0.0546383180502561,0.00013855826035193212
94,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.00013855826035193212
95,농업법인 상담,0.01,0,0.0546383180502561,0.00013855826035193212
96,온라인 MD 경력,0.01,0,0.0546383180502561,0.00013855826035193212
97,GUI 프로그래밍,0.01,0,0.0546383180502561,0.00013855826035193212
98,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.00013855826035193212
99,인터칩 통신,0.01,0,0.0546383180502561,0.00013855826035193212
100,품질 개선방법 파악,0.01,0,0.0546383180502561,0.00013855826035193212
101,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.00013855826035193212
102,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.00013855826035193212
103,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.00013855826035193212
104,입출납업무,0.01,0,0.0546383180502561,0.00013855826035193212
105,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.00013855826035193212
106,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.00013855826035193212
107,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.00013855826035193212
108,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.00013855826035193212
109,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.00013855826035193212
110,축구 전공자,0.01,0,0.0546383180502561,0.00013855826035193212
111,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.00013855826035193212
112,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.00013855826035193212
113,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.00013855826035193212
114,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.00013855826035193212
115,DB DESIGN,0.01,0,0.0546383180502561,0.00013855826035193212
116,식자재 입고하기,0.01,0,0.0546383180502561,0.00013855826035193212
117,펌웨어 검증하기,0.01,0,0.0546383180502561,0.00013855826035193212
118,불만사항 수집,0.01,0,0.0546383180502561,0.00013855826035193212
119,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,0.00013855826035193212
120,화장품과학,0.01,0,0.0546383180502561,0.00013855826035193212
121,노무 관련 업무,0.01,0,0.0546383180502561,0.00013855826035193212
122,구내통신구축 공사관리,0.01,0,0.0546383180502561,0.00013855826035193212
123,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,0.00013855826035193212
124,소분하기,0.01,0,0.0546383180502561,0.00013855826035193212
125,자재사무원,0.01,0,0.0546383180502561,0.00013855826035193212
126,사진 찍기,0.01,0,0.0546383180502561,0.00013855826035193212
127,경제적 환경분석하기,0.01,0,0.0546383180502561,0.00013855826035193212
128,인적관리,0.01,0,0.0546383180502561,0.00013855826035193212
129,공구자재 관리,0.01,0,0.0546383180502561,0.00013855826035193212
130,봉제부,0.01,0,0.0546383180502561,0.00013855826035193212
131,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,0.00013855826035193212
132,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,0.00013855826035193212
133,음 매출대비 원가 산출,0.01,0,0.0546383180502561,0.00013855826035193212
134,관련 유경헙자,0.01,0,0.0546383180502561,0.00013855826035193212
135,사무OA 프로그램 자,0.01,0,0.0546383180502561,0.00013855826035193212
136,수강생관리,0.01,0,0.0546383180502561,0.00013855826035193212
137,신규 수강상담,0.01,0,0.0546383180502561,0.00013855826035193212
138,일반행정관리,0.01,0,0.0546383180502561,0.00013855826035193212
139,간이지급명세서 전자신고,0.01,0,0.0546383180502561,0.00013855826035193212
140,HSK 5급 이상,0.01,0,0.0546383180502561,0.00013855826035193212
141,MES전산사용,0.01,0,0.0546383180502561,0.00013855826035193212
142,신선 수산물 취급관리하기,0.01,0,0.0546383180502561,0.00013855826035193212
143,HRD-NET 교육 행정사무,0.01,0,0.0546383180502561,0.00013855826035193212
144,학교 환경,0.01,0,0.0546383180502561,0.00013855826035193212
145,빅데이터 또는 RDB 기반 데이터를 분석하고 조합하여 고객이 원하는 데이터 융복합 DATASET을 만들어 제공한 경험,0.01,0,0.0546383180502561,0.00013855826035193212
146,판매처별 행사,0.01,0,0.0546383180502561,0.00013855826035193212
147,산업용 미디어 컨버터,0.01,0,0.0546383180502561,0.00013855826035193212
148,원자력공학,0.01,0,0.0546383180502561,0.00013855826035193212
149,전화 소통,0.01,0,0.0546383180502561,0.00013855826035193212
150,철판 절단절곡제작,0.01,0,0.0546383180502561,0.00013855826035193212
151,인스타그램운영,0.01,0,0.0546383180502561,0.00013855826035193212
152,건축 또는 토목 소지자,0.01,0,0.0546383180502561,0.00013855826035193212
153,SIEM,0.01,0,0.0546383180502561,0.00013855826035193212
154,기타서류 보조,0.01,0,0.0546383180502561,0.00013855826035193212
155,카본섬유 활용 스포츠제품 개발,0.01,0,0.0546383180502561,0.00013855826035193212
156,국내외 식품 관련 규정,0.01,0,0.0546383180502561,0.00013855826035193212
157,관능평가,0.01,0,0.0546383180502561,0.00013855826035193212
158,재가장깅양기관,0.01,0,0.0546383180502561,0.00013855826035193212
159,수집 데이터 검증모듈 개발,0.01,0,0.0546383180502561,0.00013855826035193212
160,현장검측·시공 확인하기,0.01,0,0.0546383180502561,0.00013855826035193212
161,보증수리 일반정비 내역서 발행,0.01,0,0.0546383180502561,0.00013855826035193212
162,서버내 탑재된 솔류션,0.01,0,0.0546383180502561,0.00013855826035193212
163,상품 원가 분석,0.01,0,0.0546383180502561,0.00013855826035193212
164,영문 E-MAIL 독해,0.01,0,0.0546383180502561,0.00013855826035193212
165,각종 센서 활용한 개발 경험,0.01,0,0.0546383180502561,0.00013855826035193212
166,자동화 등,0.01,0,0.0546383180502561,0.00013855826035193212
167,RETAIL DEVELOPMENT,0.01,0,0.0546383180502561,0.00013855826035193212
168,EAP,0.01,0,0.0546383180502561,0.00013855826035193212
169,조직문화 활성화 방안 실행하기,0.01,0,0.0546383180502561,0.00013855826035193212
170,SW테스트 전략,0.01,0,0.0546383180502561,0.00013855826035193212
171,생산진도 관리하기,0.01,0,0.0546383180502561,0.00013855826035193212
172,개인결체창,0.01,0,0.0546383180502561,0.00013855826035193212
173,SNS 기반 활용,0.01,0,0.0546383180502561,0.00013855826035193212
174,세미나 개최,0.01,0,0.0546383180502561,0.00013855826035193212
175,교육 개발,0.01,0,0.0546383180502561,0.00013855826035193212
176,정보통신 지식,0.01,0,0.0546383180502561,0.00013855826035193212
177,구급차 운전,0.01,0,0.0546383180502561,0.00013855826035193212
178,환경미화원,0.01,0,0.0546383180502561,0.00013855826035193212
179,원자재 입출고 검수,0.01,0,0.0546383180502561,0.00013855826035193212
180,거래처 불만대응,0.01,0,0.0546383180502561,0.00013855826035193212
181,분양상품 수요 분석하기,0.01,0,0.0546383180502561,0.00013855826035193212
182,부동산 권리분석,0.01,0,0.0546383180502561,0.00013855826035193212
183,활동 유경험자,0.01,0,0.0546383180502561,0.00013855826035193212
184,부동산관련업무,0.01,0,0.0546383180502561,0.00013855826035193212
