idx,skill,tf,df,tfidf,pr
0,영업,6.0,17,15.440760282776672,0.03170375454277044
1,설계,3.0,6,10.55376496791089,0.02166952714225852
2,대리점,2.0,5,7.34414467159511,0.015079371464277166
3,상담,2.0,9,6.322493424063129,0.012981665147561751
4,자동차,3.0,31,5.9942877066776505,0.012307776471553374
5,안내,2.0,14,5.5115632078468,0.011316621972523548
6,DB,1.0,0,5.4638318050256105,0.01121861742797317
7,정규직,3.0,44,4.971507945765871,0.01020775303375479
8,관리,4.0,69,4.861346251905005,0.009981563439575515
9,아웃바운드,1.0,1,4.770684624465665,0.009795412373815428
10,업무,4.0,88,3.9007817411738808,0.008009283518574141
11,상담 업무,1.0,5,3.672072335797555,0.007539685732138583
12,발급,2.0,38,3.600540317791927,0.0073928125536637445
13,코칭,1.0,6,3.5179216559702966,0.007223175714086172
14,심사,1.0,6,3.5179216559702966,0.007223175714086172
15,전자,1.0,6,3.5179216559702966,0.007223175714086172
16,보험관리,1.0,7,3.3843902633457743,0.0069490022654999425
17,건강보험,1.0,8,3.2666072276893905,0.006707164144619481
18,고객 관리,1.0,9,3.1612467120315646,0.0064908325737808754
19,채용,1.0,11,2.9789251552376097,0.006116480677980841
20,교육,1.0,13,2.824774475410352,0.005799970659928432
21,판매,1.0,13,2.824774475410352,0.005799970659928432
22,공단,1.0,16,2.630618460969394,0.005401319653623721
23,열정,1.0,16,2.630618460969394,0.005401319653623721
24,신고,1.0,17,2.573460047129445,0.005283959090461739
25,운전,1.0,17,2.573460047129445,0.005283959090461739
26,급여,1.0,17,2.573460047129445,0.005283959090461739
27,계약,1.0,19,2.468099531471619,0.0050676275196231335
28,기타,1.0,20,2.419309367302187,0.004967449072409329
29,입고,1.0,25,2.205735267004128,0.004528927864350974
30,영업관리,1.0,30,2.029844600540464,0.00416778019974093
31,취득,1.0,30,2.029844600540464,0.00416778019974093
32,보험,4.0,146,1.893596872987495,0.0038880294340893303
33,지원,1.0,41,1.7261621867422416,0.0035442440182515867
34,관리 업무,1.0,88,0.9751954352934702,0.0020023208796435352
35,직원,2.0,147,0.93323906252299,0.0019161739205910064
36,법인세 관리,0.01,0,0.0546383180502561,0.00011218617427973169
37,소모품 수입,0.01,0,0.0546383180502561,0.00011218617427973169
38,영문 서신 작성,0.01,0,0.0546383180502561,0.00011218617427973169
39,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00011218617427973169
40,유해화학물질관리자,0.01,0,0.0546383180502561,0.00011218617427973169
41,가구 설치,0.01,0,0.0546383180502561,0.00011218617427973169
42,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00011218617427973169
43,타이어 탈착,0.01,0,0.0546383180502561,0.00011218617427973169
44,현장 조율,0.01,0,0.0546383180502561,0.00011218617427973169
45,경영계획 분석,0.01,0,0.0546383180502561,0.00011218617427973169
46,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00011218617427973169
47,납품계획 세우기,0.01,0,0.0546383180502561,0.00011218617427973169
48,불량재고 처리하기,0.01,0,0.0546383180502561,0.00011218617427973169
49,매뉴얼 업무,0.01,0,0.0546383180502561,0.00011218617427973169
50,건축업무 경험,0.01,0,0.0546383180502561,0.00011218617427973169
51,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00011218617427973169
52,평가계획 수립하기,0.01,0,0.0546383180502561,0.00011218617427973169
53,현장상황파악,0.01,0,0.0546383180502561,0.00011218617427973169
54,인허가관리,0.01,0,0.0546383180502561,0.00011218617427973169
55,사건 수임,0.01,0,0.0546383180502561,0.00011218617427973169
56,PF심의자료 작성,0.01,0,0.0546383180502561,0.00011218617427973169
57,디지털 교육 이해,0.01,0,0.0546383180502561,0.00011218617427973169
58,여행상품개발,0.01,0,0.0546383180502561,0.00011218617427973169
59,주차매출 관리,0.01,0,0.0546383180502561,0.00011218617427973169
60,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00011218617427973169
61,어도비 포토샵,0.01,0,0.0546383180502561,0.00011218617427973169
62,데미지 관리,0.01,0,0.0546383180502561,0.00011218617427973169
63,기관 소통 업무,0.01,0,0.0546383180502561,0.00011218617427973169
64,비디오메타 사용,0.01,0,0.0546383180502561,0.00011218617427973169
65,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00011218617427973169
66,자습감독,0.01,0,0.0546383180502561,0.00011218617427973169
67,JLPT 2급이상,0.01,0,0.0546383180502561,0.00011218617427973169
68,한자 관련 자격증,0.01,0,0.0546383180502561,0.00011218617427973169
69,기성취합,0.01,0,0.0546383180502561,0.00011218617427973169
70,KUBERNETES,0.01,0,0.0546383180502561,0.00011218617427973169
71,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00011218617427973169
72,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00011218617427973169
73,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00011218617427973169
74,데이터 마이닝,0.01,0,0.0546383180502561,0.00011218617427973169
75,채권현황 파악,0.01,0,0.0546383180502561,0.00011218617427973169
76,제품표준서 작성,0.01,0,0.0546383180502561,0.00011218617427973169
