idx,skill,tf,df,tfidf,pr
0,부동산,11.0,26,23.84794432923409,0.03181768064010133
1,관리,13.0,69,15.799375318691265,0.021079363120911927
2,경력,6.0,20,14.515856203813122,0.019366905194607726
3,분양,2.0,0,10.92766361005122,0.014579575752399165
4,대관,3.0,7,10.153170790037322,0.013546255443317199
5,자격,4.0,20,9.677237469208748,0.012911270129738485
6,보수,2.0,1,9.54136924893133,0.012729996155669934
7,토지,2.0,2,8.730439032715001,0.011648061449484373
8,시행,2.0,3,8.15507488781144,0.0108804165589407
9,설계,2.0,6,7.035843311940593,0.009387149367784035
10,개발,4.0,42,6.810526757328191,0.009086534351302418
11,분석,4.0,43,6.718568684429395,0.008963844841658339
12,기획,2.0,8,6.533214455378781,0.00871654714656958
13,유지,3.0,27,6.394881884551219,0.008531985261488354
14,행사,2.0,12,5.797764895128147,0.007735317950798928
15,사업구조설계,1.0,0,5.4638318050256105,0.007289787876199583
16,토지매입,1.0,0,5.4638318050256105,0.007289787876199583
17,설비유지관리,1.0,0,5.4638318050256105,0.007289787876199583
18,자료 수집,1.0,0,5.4638318050256105,0.007289787876199583
19,부동산 개발,1.0,0,5.4638318050256105,0.007289787876199583
20,개발기획,1.0,0,5.4638318050256105,0.007289787876199583
21,기계설비유지관리,1.0,0,5.4638318050256105,0.007289787876199583
22,PF,1.0,0,5.4638318050256105,0.007289787876199583
23,유지관리자,1.0,0,5.4638318050256105,0.007289787876199583
24,사업수지,1.0,0,5.4638318050256105,0.007289787876199583
25,토지권리분석,1.0,0,5.4638318050256105,0.007289787876199583
26,정보 제공하기,1.0,0,5.4638318050256105,0.007289787876199583
27,준공정산,1.0,0,5.4638318050256105,0.007289787876199583
28,업무,5.0,88,4.875977176467351,0.006505478311565808
29,기계설비유지관리자,1.0,1,4.770684624465665,0.006364998077834967
30,유관업무 경력,1.0,1,4.770684624465665,0.006364998077834967
31,사업계획,1.0,1,4.770684624465665,0.006364998077834967
32,사업관리,1.0,1,4.770684624465665,0.006364998077834967
33,시설 관리,1.0,1,4.770684624465665,0.006364998077834967
34,시행사,1.0,2,4.3652195163575005,0.005824030724742186
35,사업계획서 작성,1.0,2,4.3652195163575005,0.005824030724742186
36,유지보수,1.0,2,4.3652195163575005,0.005824030724742186
37,건설,2.0,27,4.2632545897008125,0.005687990174325569
38,사회적기업,1.0,3,4.07753744390572,0.00544020827947035
39,사업 기획,1.0,3,4.07753744390572,0.00544020827947035
40,경력자,2.0,32,3.93464848711826,0.005249567311372843
41,건축 현장,1.0,4,3.8543938925915096,0.00514249246151156
42,기계설비,1.0,4,3.8543938925915096,0.00514249246151156
43,준공,1.0,4,3.8543938925915096,0.00514249246151156
44,홈페이지,1.0,4,3.8543938925915096,0.00514249246151156
45,대행사,1.0,6,3.5179216559702966,0.0046935746838920175
46,유지관리,1.0,6,3.5179216559702966,0.0046935746838920175
47,시공,1.0,7,3.3843902633457743,0.004515418481105734
48,환경,1.0,7,3.3843902633457743,0.004515418481105734
49,정산,1.0,7,3.3843902633457743,0.004515418481105734
50,초급,1.0,8,3.2666072276893905,0.00435827357328479
51,자격증,2.0,47,3.1852615882354383,0.004249743062567441
52,고객 관리,1.0,9,3.1612467120315646,0.004217702663146945
53,문서작성 우수자,1.0,9,3.1612467120315646,0.004217702663146945
54,가공,1.0,10,3.0659365322272394,0.004090540807143817
55,기계,1.0,11,2.9789251552376097,0.003974451128012953
56,공무,1.0,12,2.8988824475640733,0.003867658975399464
57,문서,1.0,12,2.8988824475640733,0.003867658975399464
58,유관업무 경력자,1.0,13,2.824774475410352,0.0037687848855274017
59,계획서 작성,1.0,15,2.691243082785829,0.003590628682741117
60,회계,1.0,15,2.691243082785829,0.003590628682741117
61,세무,1.0,17,2.573460047129445,0.0034334837749201734
62,공정,1.0,17,2.573460047129445,0.0034334837749201734
63,학력,1.0,17,2.573460047129445,0.0034334837749201734
64,작성,2.0,66,2.518278371269288,0.0033598609537887195
65,계획,1.0,19,2.468099531471619,0.003292912864782328
66,물류,1.0,19,2.468099531471619,0.003292912864782328
67,계약,1.0,19,2.468099531471619,0.003292912864782328
68,건축,1.0,20,2.419309367302187,0.003227817532434621
69,작성 가능,1.0,22,2.3283375890964604,0.0031064439269677677
70,솔루션,1.0,22,2.3283375890964604,0.0031064439269677677
71,설비,1.0,23,2.2857779746776643,0.003049661329648337
72,관리자,1.0,23,2.2857779746776643,0.003049661329648337
73,경험,1.0,24,2.244955980157409,0.0029951970468235383
74,발굴,1.0,26,2.167994939021281,0.0028925164218273937
75,매입,1.0,30,2.029844600540464,0.0027081976692581774
76,검토,1.0,33,1.9374712804094487,0.0025849541410522025
77,정리,1.0,33,1.9374712804094487,0.0025849541410522025
78,협업,1.0,37,1.826245645299224,0.0024365580492099657
79,경력자 우대,1.0,37,1.826245645299224,0.0024365580492099657
80,창고,1.0,40,1.7502597383213023,0.0023351784381208784
81,문서작성,1.0,40,1.7502597383213023,0.0023351784381208784
82,현장관리,1.0,41,1.7261621867422416,0.0023030277340700045
83,총무,1.0,41,1.7261621867422416,0.0023030277340700045
84,지원,1.0,41,1.7261621867422416,0.0023030277340700045
85,시설,1.0,42,1.7026316893320477,0.0022716335878256045
86,관련 업무,1.0,46,1.6136842033155514,0.002152960772058274
87,C,1.0,53,1.4748477584613358,0.0019677266234627774
88,운영,1.0,58,1.3862943611198906,0.001849579596729233
89,현장,1.0,70,1.2011519279842946,0.0016025644775594667
90,기업,1.0,94,0.9099549134250692,0.0012140524328865606
91,법인세 관리,0.01,0,0.0546383180502561,7.289787876199583e-05
92,소모품 수입,0.01,0,0.0546383180502561,7.289787876199583e-05
93,영문 서신 작성,0.01,0,0.0546383180502561,7.289787876199583e-05
94,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,7.289787876199583e-05
95,유해화학물질관리자,0.01,0,0.0546383180502561,7.289787876199583e-05
96,가구 설치,0.01,0,0.0546383180502561,7.289787876199583e-05
