idx,skill,tf,df,tfidf,pr
0,분양,32.0,0,174.84261776081954,0.12483254745264666
1,경력,11.0,20,26.612403040324057,0.01900048230749299
2,분석,15.0,43,25.19463256661023,0.017988235395364552
3,업무,24.0,88,23.404690447043286,0.016710268744899524
4,관리,19.0,69,23.09139469654877,0.016486584684679034
5,계약,8.0,19,19.744796251772957,0.014097210660698668
6,부동산,9.0,26,19.511954451191528,0.013930968382401264
7,자산관리,3.0,0,16.391495415076832,0.011703051323685624
8,시행,4.0,3,16.31014977562288,0.01164497290134644
9,경력자,8.0,32,15.73859394847304,0.01123689865246896
10,채용,5.0,11,14.894625776188049,0.010634329906561641
11,대관,4.0,7,13.537561053383095,0.009665425136229243
12,경험,5.0,24,11.224779900787045,0.008014166611983271
13,분양 관리,2.0,0,10.92766361005122,0.007802034215790415
14,시장분석,2.0,0,10.92766361005122,0.007802034215790415
15,시행 총괄업무,2.0,0,10.92766361005122,0.007802034215790415
16,분양사무,2.0,0,10.92766361005122,0.007802034215790415
17,PF,2.0,0,10.92766361005122,0.007802034215790415
18,분양대금 수납,2.0,0,10.92766361005122,0.007802034215790415
19,계획,4.0,19,9.872398125886477,0.007048605330349333
20,사무,5.0,33,9.687356402047245,0.006916490917583678
21,기타,4.0,20,9.677237469208748,0.006909266293633814
22,분양계약,2.0,1,9.54136924893133,0.0068122603332318185
23,문의 응대,2.0,1,9.54136924893133,0.0068122603332318185
24,상품,4.0,21,9.491157406669176,0.006776410537214409
25,상담,3.0,9,9.483740136094694,0.006771114821599897
26,작성,7.0,66,8.813974299442506,0.006292921480314992
27,행사,3.0,12,8.69664734269222,0.006209153443187794
28,건설,4.0,27,8.526509179401625,0.006087679739496549
29,수납,2.0,4,7.708787785183019,0.005503850430291862
30,자격,3.0,20,7.257928101906561,0.005181949720225361
31,대행사,2.0,6,7.035843311940593,0.005023387634865471
32,총괄,3.0,23,6.857333924032993,0.004895937120099087
33,사무실,2.0,7,6.768780526691549,0.004832712568114622
34,환경,2.0,7,6.768780526691549,0.004832712568114622
35,총괄업무,2.0,8,6.533214455378781,0.004664525239693289
36,건물관리,2.0,9,6.322493424063129,0.004514076547733265
37,차량,2.0,13,5.649548950820703,0.004033613752306873
38,응대,3.0,37,5.478736935897673,0.003911658938134903
39,경력자 우대,3.0,37,5.478736935897673,0.003911658938134903
40,분양 타당성 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
41,경제적 환경분석하기,1.0,0,5.4638318050256105,0.003901017107895208
42,분양상품 수요 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
43,임대매매,1.0,0,5.4638318050256105,0.003901017107895208
44,임대기준 책정하기,1.0,0,5.4638318050256105,0.003901017107895208
45,분양상품 공급 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
46,물리적 환경분석하기,1.0,0,5.4638318050256105,0.003901017107895208
47,수지분석,1.0,0,5.4638318050256105,0.003901017107895208
48,임대면적계획 수립하기,1.0,0,5.4638318050256105,0.003901017107895208
49,임대차계약 체결,1.0,0,5.4638318050256105,0.003901017107895208
50,사업성 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
51,입지적 특성 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
52,분양성보고서 작성,1.0,0,5.4638318050256105,0.003901017107895208
53,투자위험 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
54,분양 계약,1.0,0,5.4638318050256105,0.003901017107895208
55,전략수립,1.0,0,5.4638318050256105,0.003901017107895208
56,수익성 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
57,분양사업 파악하기,1.0,0,5.4638318050256105,0.003901017107895208
58,부동산 임대전략수립,1.0,0,5.4638318050256105,0.003901017107895208
59,종합건설 근무경험,1.0,0,5.4638318050256105,0.003901017107895208
60,금융조달,1.0,0,5.4638318050256105,0.003901017107895208
61,분양상품 파악하기,1.0,0,5.4638318050256105,0.003901017107895208
62,수분양자,1.0,0,5.4638318050256105,0.003901017107895208
63,용도계획 수립하기,1.0,0,5.4638318050256105,0.003901017107895208
64,사업기획,1.0,0,5.4638318050256105,0.003901017107895208
65,지역특성 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
66,컴퓨터 기본능력,1.0,0,5.4638318050256105,0.003901017107895208
67,투자방법 결정하기,1.0,0,5.4638318050256105,0.003901017107895208
68,분양현장관리,1.0,0,5.4638318050256105,0.003901017107895208
69,분양업무 수주하기,1.0,0,5.4638318050256105,0.003901017107895208
70,사업성 분석,1.0,0,5.4638318050256105,0.003901017107895208
71,분양업무 기본계획 작성하기,1.0,0,5.4638318050256105,0.003901017107895208
72,건설사 경영관리,1.0,0,5.4638318050256105,0.003901017107895208
73,분양상품의 사업성 분석하기,1.0,0,5.4638318050256105,0.003901017107895208
74,엑셀,2.0,16,5.261236921938788,0.003756370249592069
75,운전,2.0,17,5.146920094258891,0.003674751357134691
76,회계보조,1.0,1,4.770684624465665,0.0034061301666159093
77,사업계획,1.0,1,4.770684624465665,0.0034061301666159093
78,건물 관리,1.0,1,4.770684624465665,0.0034061301666159093
79,운전면허증,1.0,1,4.770684624465665,0.0034061301666159093
80,사무업무 지원,1.0,2,4.3652195163575005,0.0031166398638709262
81,법인차량,1.0,2,4.3652195163575005,0.0031166398638709262
82,시행사,1.0,2,4.3652195163575005,0.0031166398638709262
83,고객문의 응대,1.0,2,4.3652195163575005,0.0031166398638709262
84,보고서 작성,1.0,2,4.3652195163575005,0.0031166398638709262
85,매매,1.0,3,4.07753744390572,0.00291124322533661
86,계약 관리,1.0,3,4.07753744390572,0.00291124322533661
87,계약 체결,1.0,3,4.07753744390572,0.00291124322533661
88,한글,2.0,30,4.059689201080928,0.002898500098701317
89,골프장,1.0,4,3.8543938925915096,0.002751925215145931
