idx,skill,tf,df,tfidf,pr
0,비서,38.0,6,133.68102292687126,0.056286347743149036
1,경영,31.0,18,78.10117760163426,0.03288447339335388
2,업무,73.0,88,71.18926677642332,0.029974215768453133
3,관리,45.0,69,54.6901453339313,0.023027266480994624
4,경력,15.0,20,36.2896405095328,0.015279740388512882
5,수행,11.0,12,31.887706923204806,0.01342630779832509
6,일정관리,9.0,8,29.399465049204515,0.012378634431360653
7,출장,8.0,6,28.143373247762373,0.011849757419610325
8,수행비서,5.0,0,27.31915902512805,0.01150272231070468
9,비서업무,6.0,2,26.191317098145003,0.011027844863543025
10,회의,6.0,2,26.191317098145003,0.011027844863543025
11,채용,8.0,11,23.83140124190088,0.01003420312127575
12,사무,11.0,33,21.312184084503937,0.008973487622118323
13,보고,6.0,7,20.306341580074644,0.008549977988966295
14,응대,11.0,37,20.088702098291467,0.00845834096161509
15,지원,11.0,41,18.987784054164656,0.007994799805872085
16,차량,6.0,13,16.94864685246211,0.007136221803414638
17,경영진에게 업무 보고,3.0,0,16.391495415076832,0.006901633386422809
18,경영진 일정 조율,3.0,0,16.391495415076832,0.006901633386422809
19,경조사 관련 업무하기,3.0,0,16.391495415076832,0.006901633386422809
20,사무환경 관리하기,3.0,0,16.391495415076832,0.006901633386422809
21,경영진 일정 조율하기,3.0,0,16.391495415076832,0.006901633386422809
22,경영진 지원업무,3.0,0,16.391495415076832,0.006901633386422809
23,경영진의 업무 지시,3.0,0,16.391495415076832,0.006901633386422809
24,명함관리 하기,3.0,0,16.391495415076832,0.006901633386422809
25,명함관리,3.0,0,16.391495415076832,0.006901633386422809
26,경영진에게 업무 보고하기,3.0,0,16.391495415076832,0.006901633386422809
27,메시지 전달,3.0,0,16.391495415076832,0.006901633386422809
28,경조사 관련 업무,3.0,0,16.391495415076832,0.006901633386422809
29,예약,6.0,15,16.147458496714975,0.006798881727673189
30,운전,6.0,17,15.440760282776672,0.006501326692947329
31,급여,6.0,17,15.440760282776672,0.006501326692947329
32,지원업무,4.0,5,14.68828934319022,0.0061844990681666125
33,기타,6.0,20,14.515856203813122,0.0061118961554051535
34,자격,6.0,20,14.515856203813122,0.0061118961554051535
35,업무 보고,3.0,1,14.312053873396994,0.006026085255776254
36,사무환경 관리,3.0,1,14.312053873396994,0.006026085255776254
37,업무 지시받기,3.0,1,14.312053873396994,0.006026085255776254
38,환경 관리,3.0,1,14.312053873396994,0.006026085255776254
39,협의,4.0,10,12.263746128908958,0.005163645999500455
40,예약업무하기,3.0,3,12.23261233171716,0.005150537125129701
41,메시지 전달하기,3.0,3,12.23261233171716,0.005150537125129701
42,업무지원,3.0,4,11.563181677774528,0.004868673583448464
43,지시,3.0,5,11.016217007392664,0.004638374301124959
44,CE,3.0,5,11.016217007392664,0.004638374301124959
45,의전업무,2.0,0,10.92766361005122,0.004601088924281871
46,정보 기기 관리하기,2.0,0,10.92766361005122,0.004601088924281871
47,내방객 방문 후 업무하기,2.0,0,10.92766361005122,0.004601088924281871
48,경영진 전화 연결하기,2.0,0,10.92766361005122,0.004601088924281871
49,내방객 응대 준비하기,2.0,0,10.92766361005122,0.004601088924281871
50,경영진 부재 중 응대,2.0,0,10.92766361005122,0.004601088924281871
51,경영진 일정표 작성,2.0,0,10.92766361005122,0.004601088924281871
52,내방객 방문 후 업무,2.0,0,10.92766361005122,0.004601088924281871
53,내방객 선별ㆍ응대하기,2.0,0,10.92766361005122,0.004601088924281871
54,경영진의 신상정보 관리,2.0,0,10.92766361005122,0.004601088924281871
55,정보 검색하기,2.0,0,10.92766361005122,0.004601088924281871
56,내방객 선별ㆍ응대,2.0,0,10.92766361005122,0.004601088924281871
57,경영진 전화 연결,2.0,0,10.92766361005122,0.004601088924281871
58,신상정보 관리,2.0,0,10.92766361005122,0.004601088924281871
59,정보 보안 유지하기,2.0,0,10.92766361005122,0.004601088924281871
60,출퇴근 업무지원,2.0,0,10.92766361005122,0.004601088924281871
61,숙박,2.0,0,10.92766361005122,0.004601088924281871
62,경영진 일정 계획,2.0,0,10.92766361005122,0.004601088924281871
63,정보 검색,2.0,0,10.92766361005122,0.004601088924281871
64,정보 기기 관리,2.0,0,10.92766361005122,0.004601088924281871
65,미팅,2.0,0,10.92766361005122,0.004601088924281871
66,정보 보안 유지,2.0,0,10.92766361005122,0.004601088924281871
67,내방객 응대 준비,2.0,0,10.92766361005122,0.004601088924281871
68,출장관리,2.0,0,10.92766361005122,0.004601088924281871
69,법인,4.0,15,10.764972331143316,0.004532587818448792
70,예약업무,3.0,6,10.55376496791089,0.004443659032353871
71,사무환경,3.0,6,10.55376496791089,0.004443659032353871
72,서류,6.0,41,10.35697312045345,0.004360799894112047
73,C,7.0,53,10.323934309229353,0.004346888914252197
74,학력,4.0,17,10.293840188517782,0.004334217795298219
75,모집,6.0,42,10.215790135992286,0.0043013548481002145
76,경영진의 업무 지시받기,3.0,7,10.153170790037322,0.004274988994483147
77,환경,3.0,7,10.153170790037322,0.004274988994483147
78,전화,4.0,24,8.979823920629636,0.003780951707298828
79,경험,4.0,24,8.979823920629636,0.003780951707298828
80,일정 관리,3.0,11,8.936775465712829,0.0037628261704784056
81,작성,7.0,66,8.813974299442506,0.00371112078255856
82,총무,5.0,41,8.630810933711208,0.0036339999117600387
83,근무시간,4.0,28,8.386143900156544,0.0035309829432298378
84,경영진 부재 중 응대하기,2.0,3,8.15507488781144,0.003433691416753134
85,엑셀,3.0,16,7.891855382908181,0.003322862936678823
86,보조,3.0,16,7.891855382908181,0.003322862936678823
87,경력자,4.0,32,7.869296974236519,0.0033133647266320623
88,재무,2.0,5,7.34414467159511,0.0030922495340833063
89,건축,3.0,20,7.257928101906561,0.0030559480777025767
90,파워포인트,2.0,6,7.035843311940593,0.002962439354902581
91,4대보험,3.0,23,6.857333924032993,0.0028872780398318523
92,접수,3.0,25,6.617205801012384,0.0027861721779875617
93,보안,2.0,8,6.533214455378781,0.0027508076514134784
94,은행,2.0,8,6.533214455378781,0.0027508076514134784
95,기획,2.0,8,6.533214455378781,0.0027508076514134784
96,제출,6.0,81,6.342675346568141,0.0026705812265823917
97,인근 거주자,3.0,31,5.9942877066776505,0.0025238927331900406
98,총무 업무,2.0,11,5.957850310475219,0.002508550780318937
99,커뮤니케이션,2.0,12,5.797764895128147,0.0024411468724227434
100,공무,2.0,12,5.797764895128147,0.0024411468724227434
101,문서,2.0,12,5.797764895128147,0.0024411468724227434
102,교육,2.0,13,5.649548950820703,0.0023787406011382124
103,컴퓨터,3.0,36,5.558741677144156,0.002340506230455984
104,항공,2.0,14,5.5115632078468,0.0023206417525314465
105,기타 수명업무,1.0,0,5.4638318050256105,0.002300544462140936
106,회의종료 후 업무,1.0,0,5.4638318050256105,0.002300544462140936
107,재무팀 업무,1.0,0,5.4638318050256105,0.002300544462140936
108,이해와 능력,1.0,0,5.4638318050256105,0.002300544462140936
109,출장 중 업무,1.0,0,5.4638318050256105,0.002300544462140936
110,국회의원 의정활동 보좌,1.0,0,5.4638318050256105,0.002300544462140936
111,탕비실 관리,1.0,0,5.4638318050256105,0.002300544462140936
112,전자문서수발,1.0,0,5.4638318050256105,0.002300544462140936
113,출장 전 준비,1.0,0,5.4638318050256105,0.002300544462140936
114,출장 후 업무,1.0,0,5.4638318050256105,0.002300544462140936
115,회의 기획,1.0,0,5.4638318050256105,0.002300544462140936
116,회장님 비서업무,1.0,0,5.4638318050256105,0.002300544462140936
117,파워포인트 사용 가능자,1.0,0,5.4638318050256105,0.002300544462140936
118,비서직 경력자,1.0,0,5.4638318050256105,0.002300544462140936
119,회의 지원,1.0,0,5.4638318050256105,0.002300544462140936
120,법인카드 관리,1.0,0,5.4638318050256105,0.002300544462140936
121,차량운전,1.0,0,5.4638318050256105,0.002300544462140936
122,회계,2.0,15,5.382486165571658,0.002266293909224396
123,신고,2.0,17,5.146920094258891,0.0021671088976491096
124,계획,2.0,19,4.936199062943238,0.002078384881436905
125,계약,2.0,19,4.936199062943238,0.002078384881436905
126,관련 업무,3.0,46,4.841052609946654,0.0020383235008262666
127,커뮤니케이션 가능,1.0,1,4.770684624465665,0.0020086950852587515
128,회계전표 작성,1.0,1,4.770684624465665,0.0020086950852587515
129,소통 능력,1.0,1,4.770684624465665,0.0020086950852587515
130,E-MAIL,1.0,1,4.770684624465665,0.0020086950852587515
131,유관업무 경력,1.0,1,4.770684624465665,0.0020086950852587515
132,컴퓨터 활용 능력,1.0,1,4.770684624465665,0.0020086950852587515
133,PPT,1.0,1,4.770684624465665,0.0020086950852587515
134,스케줄 관리,1.0,1,4.770684624465665,0.0020086950852587515
135,보수,1.0,1,4.770684624465665,0.0020086950852587515
136,선별,2.0,23,4.571555949355329,0.0019248520265545681
137,법인차량,1.0,2,4.3652195163575005,0.0018379741439238377
138,교육관리,1.0,2,4.3652195163575005,0.0018379741439238377
139,제증명,1.0,2,4.3652195163575005,0.0018379741439238377
140,엑셀 고급능력,1.0,2,4.3652195163575005,0.0018379741439238377
141,봉제,1.0,2,4.3652195163575005,0.0018379741439238377
142,오피스,1.0,2,4.3652195163575005,0.0018379741439238377
143,연구,1.0,2,4.3652195163575005,0.0018379741439238377
