idx,skill,tf,df,tfidf,pr
0,관리소장,61.0,0,333.29374010656227,0.05378869570720699
1,관리,270.0,69,328.1408720035878,0.052957098767157505
2,안전관리,45.0,4,173.44772516661794,0.027991905599881954
3,자격,67.0,20,162.09372760924654,0.026159537792798147
4,경력,58.0,20,140.31994330352686,0.022645570029586455
5,관리자,57.0,23,130.28934455662687,0.021026779278864306
6,전기,78.0,49,121.04108636860218,0.019534246759836803
7,업무,107.0,88,104.3459115764013,0.016839891695174594
8,전기기사,19.0,0,103.8128042954866,0.016753856039949718
9,시설,59.0,42,100.4552696705908,0.01621199945360282
10,소방안전관리,21.0,1,100.18437711377896,0.01616828138886197
11,유지관리자,18.0,0,98.348972490461,0.01587207414311026
12,소방,43.0,24,96.5331071467686,0.015579020249011005
13,기계설비,25.0,4,96.35984731478774,0.015551058666601085
14,설비유지관리,17.0,0,92.88514068543536,0.014990292246270798
15,기계설비유지관리,17.0,0,92.88514068543536,0.014990292246270798
16,기계,30.0,11,89.36775465712829,0.014422638000196749
17,지원,51.0,41,88.03427152385433,0.014207433482813874
18,유지관리,25.0,6,87.94804139925742,0.014193517212045467
19,시설관리,21.0,3,85.62828632202012,0.013819142944095307
20,소방안전관리자,20.0,3,81.55074887811439,0.013161088518186004
21,안전,58.0,58,80.40507294495366,0.012976193313949195
22,기계설비유지관리자,16.0,1,76.33095399145064,0.012318690581990073
23,급여,29.0,17,74.63034136675392,0.012044236777497976
24,유지,33.0,27,70.3437007300634,0.011352436179204787
25,설비,30.0,23,68.57333924032993,0.011066725936244371
26,자격증,37.0,47,58.927339382355605,0.009510003775826791
27,전기안전,14.0,4,53.96151449628113,0.008708592853296606
28,행정,14.0,6,49.25090318358415,0.007948369638745461
29,전기안전관리자,9.0,0,49.1744862452305,0.00793603707155513
30,전기안전관리,11.0,2,48.01741467993251,0.007749302780303885
31,총괄,19.0,23,43.42978151887562,0.0070089264262881016
32,건물 관리,9.0,1,42.93616162019099,0.006929263452369416
33,경력자,20.0,32,39.3464848711826,0.006349942549798865
34,보수,8.0,1,38.16547699572532,0.006159345290995036
35,전기산업기사,10.0,5,36.72072335797555,0.005926183354716376
36,오피스,8.0,2,34.921756130860004,0.005635856567493735
37,기타,14.0,20,33.87033114223062,0.005466172076107075
38,이메일,18.0,36,33.35245006286494,0.005382593705323351
39,시설물 유지,6.0,0,32.782990830153665,0.0052906913810367535
40,채용,11.0,11,32.768176707613705,0.005288300600072141
41,미화,9.0,7,30.45951237011197,0.004915716213997989
42,주차,8.0,6,28.143373247762373,0.00454192550785455
43,행정업무,8.0,6,28.143373247762373,0.00454192550785455
44,근무시간,13.0,28,27.25496767550877,0.004398549946779632
45,건물관리,8.0,9,25.28997369625252,0.0040814288895917135
46,중급,8.0,9,25.28997369625252,0.0040814288895917135
47,소방안전관리자 1급,5.0,1,23.853423122328326,0.003849590806871898
48,주택관리사,5.0,1,23.853423122328326,0.003849590806871898
49,사무,12.0,33,23.249655364913384,0.003752151592528923
50,학력,9.0,17,23.16114042416501,0.0037378665861200608
51,전화,10.0,24,22.44955980157409,0.00362302796488628
52,경험,10.0,24,22.44955980157409,0.00362302796488628
53,전기안전관리자 선임,4.0,0,21.85532722010244,0.003527127587357835
54,전기기사 자격증,4.0,0,21.85532722010244,0.003527127587357835
55,전기기사 자격,5.0,2,21.8260975817875,0.003522410354683584
56,서류,12.0,41,20.7139462409069,0.00334292552536797
57,인근거주자,5.0,4,19.271969462957543,0.003110211733320216
58,안전 관리,4.0,1,19.08273849786266,0.003079672645497518
59,모집,11.0,42,18.728948582652524,0.0030225761693157805
60,C,12.0,53,17.698173101536028,0.002856224203993845
61,2급,7.0,18,17.635749781014187,0.002846150000405415
62,통화,4.0,2,17.460878065430002,0.0028179282837468675
63,문서,6.0,12,17.39329468538444,0.002807021322629107
64,소방안전관리자2급,3.0,0,16.391495415076832,0.0026453456905183768
65,기계설비유지관리자 초급,3.0,0,16.391495415076832,0.0026453456905183768
66,가스안전,3.0,0,16.391495415076832,0.0026453456905183768
67,전기기사자격증,3.0,0,16.391495415076832,0.0026453456905183768
68,감독,3.0,0,16.391495415076832,0.0026453456905183768
69,소방안전관리자 1급 이상,3.0,0,16.391495415076832,0.0026453456905183768
70,가스안전관리자,3.0,0,16.391495415076832,0.0026453456905183768
71,가스,6.0,17,15.440760282776672,0.002491911057413374
72,협의,5.0,10,15.329682661136196,0.0024739847669634257
73,AI,5.0,11,14.894625776188049,0.0024037730000327916
74,계획,6.0,19,14.808597188829715,0.0023898892544033093
75,직원 관리,3.0,1,14.312053873396994,0.0023097544841231385
76,부과,5.0,13,14.123872377051756,0.002279384765083697
77,운영,10.0,58,13.862943611198906,0.0022372747093015854
78,4대보험,6.0,23,13.714667848065986,0.002213345187248874
79,엑셀,5.0,16,13.15309230484697,0.0021227151742124477
80,시설물 관리,3.0,2,13.0956585490725,0.0021134462128101503
81,보일러,3.0,2,13.0956585490725,0.0021134462128101503
82,관리비 부과,3.0,2,13.0956585490725,0.0021134462128101503
83,에너지,3.0,2,13.0956585490725,0.0021134462128101503
84,유지보수,3.0,2,13.0956585490725,0.0021134462128101503
85,보안,4.0,8,13.066428910757562,0.0021087289801358998
86,초급,4.0,8,13.066428910757562,0.0021087289801358998
87,실무,4.0,9,12.644986848126258,0.0020407144447958567
88,점검,6.0,33,11.624827682456692,0.0018760757962644615
89,.NET,4.0,12,11.595529790256291,0.0018713475484194043
90,접수,5.0,25,11.02867633502064,0.0017798657581988594
91,영선,3.0,5,11.016217007392664,0.0017778550064149125
