idx,skill,tf,df,tfidf,pr
0,사무,661.0,33,1280.6685163506456,0.03516167403427815
1,보조,453.0,16,1191.6701628191354,0.032718160309602805
2,업무,1044.0,88,1018.1040344463828,0.02795277758072541
3,문서,277.0,12,802.9904379752483,0.02204667927121693
4,지원,464.0,41,800.9392546484002,0.021990362559591428
5,관리,653.0,69,793.614775623492,0.02178926372671108
6,채용,168.0,11,500.4594260799184,0.013740473028374169
7,경력,203.0,20,491.119801562344,0.013484046928492137
8,급여,184.0,17,473.516648671818,0.013000739721350046
9,엑셀,180.0,16,473.5113229744909,0.013000593500504426
10,사무보조,204.0,27,434.8519681494829,0.011939173144356429
11,서류,242.0,41,417.73124919162245,0.011469111507373115
12,작성,296.0,66,372.70519894785457,0.010232888955237758
13,모집,194.0,42,330.3105477304172,0.009068913353532326
14,행정,90.0,6,316.6129490373267,0.008692835942282113
15,자격,128.0,20,309.67159901467994,0.0085022561913645
16,사무실,91.0,7,307.97951396446547,0.008455798780868102
17,기타,122.0,20,295.1557428108668,0.00810371293239429
18,정리,139.0,33,269.30850797691335,0.0073940585336833
19,계약,101.0,19,249.27805267863357,0.006844107995379089
20,C,169.0,53,249.24927117996572,0.006843317778659106
21,협의,77.0,10,236.07711298149744,0.006481666713618263
22,보조 업무,55.0,5,201.96397846886552,0.00554506610174515
23,교육,69.0,13,194.90943880331423,0.005351378647876264
24,접수,88.0,25,194.10470349636324,0.00532928406197396
25,회계,72.0,15,193.76950196057967,0.00532008086303018
26,전화,85.0,24,190.82125831337976,0.005239134715941411
27,근무시간,90.0,28,188.68823775352223,0.0051805711042990765
28,경험,84.0,24,188.5763023332224,0.005177497836930336
29,응대,103.0,37,188.1033014658201,0.005164511258354232
30,워드,51.0,6,179.41400445448514,0.004925940367293198
31,전산,69.0,18,173.83810498428272,0.004772850042110657
32,문서작성,90.0,40,157.52337644891722,0.004324917451128471
33,운전,61.0,17,156.98106287489617,0.004310027842404091
34,한글,76.0,30,154.26818964107525,0.0042355439590837235
35,영업,59.0,17,151.83414278063728,0.004168715454128547
36,계산,46.0,8,150.26393247371198,0.004125604202253081
37,사무 보조,50.0,11,148.94625776188047,0.004089426496539931
38,현장,124.0,70,148.94283907005254,0.004089332633900112
39,발주,59.0,18,148.644176725691,0.004081132644703315
40,학력,57.0,17,146.6872226863784,0.004027403065853003
41,경리,65.0,25,143.3727923552683,0.003936403000321675
42,4대보험,62.0,23,141.71823443001517,0.003890975923997224
43,업무 보조,38.0,5,139.5387487603071,0.0038311365793875585
44,정산,38.0,7,128.60683000713942,0.0035309928975053606
45,건설,58.0,27,123.63438310132356,0.0033944707959444745
46,프로그램,50.0,19,123.40497657358095,0.0033881722749401423
47,제품,40.0,10,122.63746128908956,0.0033670995914900064
48,사무업무,62.0,32,121.97410310066604,0.0033488866159295683
49,인원,39.0,10,119.57152475686232,0.003282922101702756
50,상담,37.0,9,116.96612834516787,0.0032113890717356203
51,컴퓨터,63.0,36,116.73357522002728,0.003205004158639492
52,보조업무,39.0,11,116.17808105426678,0.0031897526673011468
53,문서 작성,33.0,6,116.0914146470198,0.003187373178836775
54,차량,41.0,13,115.81575349182442,0.003179804703810534
55,OA,31.0,5,113.8342424097242,0.0031254008937109026
56,경력자,57.0,32,112.1374818828704,0.003078815114644926
57,문서관리,29.0,4,111.77742288515378,0.003068929436228393
58,판매,39.0,13,110.16620454100372,0.0030246922792344106
59,연구,24.0,2,104.76526839258,0.002876405697729327
60,등록,33.0,9,104.32114149704164,0.0028642118747912297
61,업무지원,27.0,4,104.06863509997076,0.0028572791302816074
62,일반사무,31.0,8,101.2648240583711,0.0027802984841270766
63,캐드,28.0,6,98.5018063671683,0.0027044378487099904
64,기획,30.0,8,97.99821683068171,0.002690611436252009
65,이메일,50.0,36,92.64569461906927,0.002543654094158327
66,생산,35.0,16,92.07164613392878,0.002527893180653638
67,ERP,28.0,9,88.51490793688382,0.00243024037861074
68,경영,35.0,18,88.17874890507095,0.0024210108909256955
69,공무,30.0,12,86.96647342692219,0.0023877269968827003
70,운전가능,26.0,8,84.93178791992415,0.0023318632447517414
71,사무직,56.0,51,84.70493284087424,0.0023256347756040003
72,견적,25.0,7,84.60975658364436,0.002323021643095632
73,CE,23.0,5,84.45766372334377,0.002318845824366154
74,자격증,52.0,47,82.81680129412139,0.002273794767722848
75,구매,26.0,9,82.19241451282068,0.002256651780138544
76,행정업무,23.0,6,80.91219808731682,0.0022215025185832065
77,평가,30.0,15,80.73729248357486,0.002216700359595908
78,마감,35.0,23,80.00222911371824,0.0021965186667726264
79,쇼핑몰,25.0,9,79.03116780078912,0.0021698574809024466
80,통신,24.0,8,78.39857346454536,0.0021524891490016075
81,출고,49.0,47,78.03890891176823,0.002142614300354222
82,자재,49.0,47,78.03890891176823,0.002142614300354222
83,서류 작성,26.0,11,77.45205403617786,0.0021265017782007645
84,인사,28.0,14,77.1618849098552,0.002118534976405994
85,매입,38.0,30,77.13409482053763,0.0021177719795418617
86,NAVER,21.0,5,77.11351905174865,0.002117207057029966
87,홈페이지,20.0,4,77.08787785183019,0.002116503059467857
88,세금계산서,23.0,8,75.13196623685599,0.0020628021011265406
89,신고,29.0,17,74.63034136675392,0.002049029629995388
90,사무 보조 업무,17.0,2,74.2087317780775,0.0020374540358916067
91,전자,21.0,6,73.87635477537623,0.002028328386532493
92,운영,53.0,58,73.4736011393542,0.0020172704961532706
93,포토샵,20.0,5,73.4414467159511,0.002016387673361873
94,디자인,20.0,5,73.4414467159511,0.002016387673361873
95,준공,19.0,4,73.23348395923868,0.0020106779064944643
96,온라인,38.0,34,72.52238225437546,0.0019911540983954964
97,CAD,21.0,7,71.07219553026125,0.0019513381802003307
98,분양,13.0,0,71.02981346533294,0.0019501745501642339
99,기술,25.0,13,70.6193618852588,0.0019389053072015453
100,편집,18.0,4,69.37909006664717,0.0019048527535210713
101,성실,26.0,16,68.39607998520424,0.001877863505628417
102,진행,56.0,69,68.05884752667006,0.001868604546241685
103,정규직,41.0,44,67.9439419254669,0.0018654497304227318
104,환경,20.0,7,67.68780526691549,0.0018584173144765058
105,입출고,22.0,10,67.45060370899927,0.0018519047753195038
106,세무,26.0,17,66.90996122536558,0.0018370610475820714
107,감리,19.0,6,66.84051146343563,0.0018351542544817793
108,지시,18.0,5,66.09730204435598,0.0018147489060256852
109,인근거주자,17.0,4,65.52469617405566,0.0017990276005476786
110,초보,20.0,8,65.33214455378781,0.0017937409575013398
111,품질,25.0,17,64.33650117823613,0.0017664048534442995
112,안내,23.0,14,63.3829768902382,0.0017402251591906376
113,컴퓨터활용,18.0,6,63.32258980746534,0.0017385671884564224
