idx,skill,tf,df,tfidf,pr
0,사회복지사,22.0,6,77.39427643134653,0.03504418997987538
1,사회복지,35.0,29,72.1922048177209,0.032688687811978936
2,채용,21.0,11,62.557428259989805,0.028326053316619474
3,서류,26.0,41,44.880216855298286,0.02032179792016326
4,자격,18.0,20,43.54756861143937,0.019718373734454044
5,경력,17.0,20,41.12825924413718,0.018622908526984377
6,시설장,7.0,0,38.24682263517927,0.017318191736604375
7,시설,22.0,42,37.45789716530505,0.016960965655800332
8,관리,29.0,69,35.24476032631128,0.015958855533277812
9,운영,25.0,58,34.657359027997266,0.01569287975778488
10,업무,31.0,88,30.23105849409757,0.013688647352361433
11,발표,5.0,0,27.31915902512805,0.012370136954717411
12,접수,12.0,25,26.46882320404953,0.011985104218000727
13,행정,7.0,6,24.625451591792075,0.011150424084505802
14,법인,9.0,15,24.22118774507246,0.010967373092886227
15,지원,13.0,41,22.440108427649143,0.01016089896008163
16,사회복지사 2급,4.0,0,21.85532722010244,0.009896109563773929
17,총괄,9.0,23,20.57200177209898,0.009315018779292781
18,사무,10.0,33,19.37471280409449,0.008772885381446783
19,인사,7.0,14,19.2904712274638,0.008734740728485672
20,계획,7.0,19,17.276696720301334,0.007822902028524025
21,기타,7.0,20,16.93516557111531,0.007668256452287684
22,케어포,3.0,0,16.391495415076832,0.007422082172830448
23,장애인복지,3.0,0,16.391495415076832,0.007422082172830448
24,요양보호사,3.0,0,16.391495415076832,0.007422082172830448
25,지시,4.0,5,14.68828934319022,0.006650869107597928
26,자가,4.0,5,14.68828934319022,0.006650869107597928
27,사업계획,3.0,1,14.312053873396994,0.006480509387363355
28,비서,4.0,6,14.071686623881186,0.006371670905431887
29,심사,4.0,6,14.071686623881186,0.006371670905431887
30,경험,6.0,24,13.469735880944455,0.006099107129831318
31,회의,3.0,2,13.0956585490725,0.005929724616165539
32,운전,5.0,17,12.867300235647228,0.005826323790055897
33,급여,5.0,17,12.867300235647228,0.005826323790055897
34,자격증,8.0,47,12.741046352941751,0.005769155931459114
35,개인,4.0,10,12.263746128908958,0.0055530340100495915
36,인원,4.0,10,12.263746128908958,0.0055530340100495915
37,매매,3.0,3,12.23261233171716,0.005538936601896262
38,제출,11.0,81,11.628238135374929,0.005265275484664428
39,운전면허,4.0,12,11.595529790256291,0.005250465119956366
40,확정,3.0,4,11.563181677774528,0.005235817868873053
41,이메일,6.0,36,11.117483354288312,0.00503400531318855
42,장기요양기관 평가 관련 업무 유경험자,2.0,0,10.92766361005122,0.004948054781886964
43,행정 총괄,2.0,0,10.92766361005122,0.004948054781886964
44,방문요양,2.0,0,10.92766361005122,0.004948054781886964
45,감독,2.0,0,10.92766361005122,0.004948054781886964
46,운전면허 1종,2.0,0,10.92766361005122,0.004948054781886964
47,행정업무,3.0,6,10.55376496791089,0.004778753179073916
48,모집,6.0,42,10.215790135992286,0.004625717906127364
49,2급,4.0,18,10.07757130343668,0.004563132308713426
50,프로그램,4.0,19,9.872398125886477,0.004470229730585157
51,운영관리,2.0,1,9.54136924893133,0.00432033959157557
52,프로그램 활용,2.0,1,9.54136924893133,0.00432033959157557
53,노인복지,2.0,1,9.54136924893133,0.00432033959157557
54,보수,2.0,1,9.54136924893133,0.00432033959157557
55,상담,3.0,9,9.483740136094694,0.0042942450834059604
56,면허,4.0,25,8.822941068016512,0.003995034739333577
