idx,skill,tf,df,tfidf,pr
0,기획,30.0,8,97.99821683068171,0.066570981550705
1,관리,26.0,69,31.59875063738253,0.021465286958649316
2,상품기획,6.0,1,28.62410774679399,0.019444587976631643
3,서비스,15.0,39,26.624285263675105,0.018086092384222954
4,유통,8.0,9,25.28997369625252,0.017179683741183532
5,상품,10.0,21,23.72789351667294,0.01611855003713682
6,영업,9.0,17,23.16114042416501,0.01573355007606265
7,PM,5.0,4,19.271969462957543,0.013091604776655729
8,서비스 기획,4.0,1,19.08273849786266,0.012963058651087763
9,온도,4.0,1,19.08273849786266,0.012963058651087763
10,운영,13.0,58,18.021826694558577,0.01224237267976334
11,IOT,3.0,0,16.391495415076832,0.01113487545136544
12,전략기획,3.0,0,16.391495415076832,0.01113487545136544
13,C,10.0,53,14.748477584613358,0.010018760146244714
14,개발,8.0,42,13.62105351465638,0.009252891854063416
15,환경,4.0,7,13.537561053383095,0.00919617474962212
16,경험,6.0,24,13.469735880944455,0.009150100561242882
17,제품,4.0,10,12.263746128908958,0.00833086196558755
18,최적화,3.0,3,12.23261233171716,0.008309712525266208
19,자격,5.0,20,12.096546836510935,0.008217282133530495
20,경력,5.0,20,12.096546836510935,0.008217282133530495
21,공동사업 개발,2.0,0,10.92766361005122,0.007423250300910292
22,브랜드기획,2.0,0,10.92766361005122,0.007423250300910292
23,사업기획,2.0,0,10.92766361005122,0.007423250300910292
24,상품개발,2.0,0,10.92766361005122,0.007423250300910292
25,쇼핑몰운영,2.0,0,10.92766361005122,0.007423250300910292
26,B2B,2.0,0,10.92766361005122,0.007423250300910292
27,B2B운영,2.0,0,10.92766361005122,0.007423250300910292
28,업무,11.0,88,10.727149788228171,0.00728703963948258
29,생산,4.0,16,10.522473843877576,0.007148001614548123
30,지원,6.0,41,10.35697312045345,0.007035575634137361
31,모집,6.0,42,10.215790135992286,0.006939668890547563
32,계획,4.0,19,9.872398125886477,0.006706399919858943
33,운영관리,2.0,1,9.54136924893133,0.0064815293255438815
34,실행,2.0,1,9.54136924893133,0.0064815293255438815
35,AI,3.0,11,8.936775465712829,0.0060708238771187365
36,마케팅,8.0,77,8.856983826688147,0.0060166207711725315
37,에너지,2.0,2,8.730439032715001,0.00593065786881198
38,선정,2.0,2,8.730439032715001,0.00593065786881198
39,POS,2.0,3,8.15507488781144,0.005539808350177471
40,디자인,2.0,5,7.34414467159511,0.004988936893445569
41,NAVER,2.0,5,7.34414467159511,0.004988936893445569
42,분석,4.0,43,6.718568684429395,0.004563978064121906
43,고객 관리,2.0,9,6.322493424063129,0.004294920935295883
44,쇼핑몰,2.0,9,6.322493424063129,0.004294920935295883
45,생산관리,2.0,14,5.5115632078468,0.0037440494785639803
46,새로운 상품 컨텍,1.0,0,5.4638318050256105,0.0037116251504551463
47,인형 디자인 연구,1.0,0,5.4638318050256105,0.0037116251504551463
48,외부업체 대응,1.0,0,5.4638318050256105,0.0037116251504551463
49,상품개발경험,1.0,0,5.4638318050256105,0.0037116251504551463
50,신상 인형 기획,1.0,0,5.4638318050256105,0.0037116251504551463
51,시장분석,1.0,0,5.4638318050256105,0.0037116251504551463
52,신사업기획,1.0,0,5.4638318050256105,0.0037116251504551463
53,쇼핑몰운영경험,1.0,0,5.4638318050256105,0.0037116251504551463
54,시생산 공정 확인,1.0,0,5.4638318050256105,0.0037116251504551463
55,시장조사,1.0,0,5.4638318050256105,0.0037116251504551463
56,머신러닝,1.0,0,5.4638318050256105,0.0037116251504551463
57,자료 수집,1.0,0,5.4638318050256105,0.0037116251504551463
58,리서치,1.0,0,5.4638318050256105,0.0037116251504551463
59,신규거래처 영업,1.0,0,5.4638318050256105,0.0037116251504551463
60,컴퓨터활용능력 중급 이상,1.0,0,5.4638318050256105,0.0037116251504551463
61,소싱,1.0,0,5.4638318050256105,0.0037116251504551463
62,HACCP 서류,1.0,0,5.4638318050256105,0.0037116251504551463
63,데이터 분석,1.0,0,5.4638318050256105,0.0037116251504551463
64,직무 관련 자격증,1.0,0,5.4638318050256105,0.0037116251504551463
65,AE,1.0,0,5.4638318050256105,0.0037116251504551463
66,제품 샘플작업 보조,1.0,0,5.4638318050256105,0.0037116251504551463
67,실행계획,1.0,0,5.4638318050256105,0.0037116251504551463
68,제조사,1.0,0,5.4638318050256105,0.0037116251504551463
69,마케팅 기획,1.0,0,5.4638318050256105,0.0037116251504551463
70,HMP 상품 R,1.0,0,5.4638318050256105,0.0037116251504551463
71,시험,2.0,20,4.838618734604374,0.003286912853412198
72,문제해결,1.0,1,4.770684624465665,0.0032407646627719408
73,강의,1.0,1,4.770684624465665,0.0032407646627719408
74,IPS,1.0,1,4.770684624465665,0.0032407646627719408
75,운영 관리,1.0,1,4.770684624465665,0.0032407646627719408
76,규격서 작성,1.0,1,4.770684624465665,0.0032407646627719408
77,관리자,2.0,23,4.571555949355329,0.0031054949427127467
78,해외영업,1.0,2,4.3652195163575005,0.00296532893440599
79,HACCP,1.0,2,4.3652195163575005,0.00296532893440599
80,협력사 관리,1.0,2,4.3652195163575005,0.00296532893440599
81,조직,1.0,2,4.3652195163575005,0.00296532893440599
82,비용,1.0,2,4.3652195163575005,0.00296532893440599
83,인증관리,1.0,2,4.3652195163575005,0.00296532893440599
84,거래처 영업,1.0,2,4.3652195163575005,0.00296532893440599
85,연구,1.0,2,4.3652195163575005,0.00296532893440599
86,발굴,2.0,26,4.335989878042562,0.0029454730046153538
87,원가,2.0,26,4.335989878042562,0.0029454730046153538
88,데이터 관리,1.0,3,4.07753744390572,0.0027699041750887353
89,컴퓨터활용능력,1.0,3,4.07753744390572,0.0027699041750887353
90,경력자,2.0,32,3.93464848711826,0.0026728385506954626
91,택배업무,1.0,4,3.8543938925915096,0.0026183209553311466
92,공장 관리,1.0,4,3.8543938925915096,0.0026183209553311466
93,IP,1.0,4,3.8543938925915096,0.0026183209553311466
94,PL,1.0,4,3.8543938925915096,0.0026183209553311466
95,협력,2.0,34,3.8169674870723926,0.002592896895262512
96,매니저,1.0,5,3.672072335797555,0.0024944684467227843
97,영업사원,1.0,5,3.672072335797555,0.0024944684467227843
98,CE,1.0,5,3.672072335797555,0.0024944684467227843
99,대응,1.0,5,3.672072335797555,0.0024944684467227843
100,브랜딩,1.0,6,3.5179216559702966,0.0023897526427552555
101,제품 생산,1.0,6,3.5179216559702966,0.0023897526427552555
102,컴퓨터활용,1.0,6,3.5179216559702966,0.0023897526427552555
