idx,skill,tf,df,tfidf,pr
0,관리,716.0,69,870.1809790909958,0.05134204478937889
1,품질,301.0,17,774.6114741859631,0.04570329386372822
2,생산,286.0,16,752.3568798372467,0.044390237835986925
3,품질관리,155.0,12,449.32677937243136,0.026510985859177633
4,경력,151.0,20,365.31571446263024,0.021554201051139005
5,검사,118.0,10,361.7805108028143,0.02134561848153211
6,제품,107.0,10,328.0552089483146,0.019355772690880804
7,업무,316.0,88,308.16175755273656,0.0181820278066453
8,생산관리,104.0,14,286.6012868080336,0.016909926161984005
9,공정,89.0,17,229.03794419452063,0.01351359851784655
10,지원,126.0,41,217.49643552952244,0.012832631375316792
11,자격,81.0,20,195.96405875147715,0.01156218731882291
12,C,107.0,53,157.80871015536292,0.009310961810972308
13,모집,82.0,42,139.61579852522792,0.00823755144438473
14,부품,45.0,10,137.96714395022576,0.008140278234482582
15,채용,46.0,11,137.03055714093006,0.008085018141389955
16,경험,61.0,24,136.94231478960197,0.008079811704036039
17,자재,77.0,47,122.63257114706435,0.0072355143490339035
18,대응,33.0,5,121.17838708131931,0.007149715204684099
19,식품,34.0,7,115.06926895375632,0.006789267637953102
20,운전,43.0,17,110.65878202656616,0.006529041980532603
21,협의,33.0,10,101.1759055634989,0.0059695373719538935
22,경력자,51.0,32,100.33353642151562,0.005919836269245265
23,서류,58.0,41,100.11740683105002,0.005907084283875984
24,사무,51.0,33,98.81103530088188,0.005830006311333392
25,기타,40.0,20,96.77237469208748,0.0057097221327520545
26,인원,31.0,10,95.04403249904442,0.005607747228199112
27,급여,35.0,17,90.07110164953059,0.005314336495782351
28,재고,46.0,34,87.79025220266503,0.005179762795284864
29,공학,20.0,2,87.30439032715,0.005151096181357952
30,공정관리,20.0,2,87.30439032715,0.005151096181357952
31,계획,33.0,19,81.44728453856344,0.004805517738528882
32,성적서,22.0,5,80.78559138754622,0.004766476803122733
33,출고,50.0,47,79.63153970588596,0.004698385940931107
34,현장,63.0,70,75.67257146301056,0.004464800595204787
35,가공,24.0,10,73.58247677345375,0.004341481725057377
36,제작,26.0,14,71.6503217020084,0.004227481540496001
37,엑셀,27.0,16,71.02669844617364,0.004190686788712052
38,학력,27.0,17,69.48342127249504,0.0040996310110321
39,작성,55.0,66,69.25265520990541,0.004086015450814131
40,문서,23.0,12,66.67429629397368,0.003933888224265067
41,기계,22.0,11,65.53635341522741,0.003866747806751717
42,인증,30.0,26,65.03984817063842,0.003837453217329091
43,제조,57.0,77,63.10600976515305,0.003723353713414896
44,측정,20.0,10,61.31873064454479,0.0036179014375478146
45,품질 관리,22.0,15,59.20734782128824,0.0034933265340692274
46,출하,30.0,32,59.019727306773895,0.003482256628967803
47,납품,25.0,22,58.20843972741151,0.003434389387281824
48,수행,20.0,12,57.977648951281466,0.003420772368926146
49,자동차,29.0,31,57.94478116455062,0.0034188331178749156
50,지게차,21.0,14,57.8714136823914,0.003414504321169847
51,인근거주자,15.0,4,57.81590838887264,0.003411229421655421
52,차량,20.0,13,56.49548950820703,0.0033333226333655953
53,임금,19.0,13,53.67071503279668,0.0031666565016973155
54,경력자 우대,28.0,37,51.13487806837828,0.003017038137087995
55,검수,15.0,7,50.76585395018662,0.0029952651343910747
56,입고,23.0,25,50.73191114109494,0.0029932624553317337
57,자재관리,17.0,11,50.64172763903937,0.002987941487035418
58,근무시간,24.0,28,50.31686340093926,0.002968773986637482
59,QC,13.0,4,50.10712060368962,0.002956398832101365
60,제조업,17.0,12,49.28100160858925,0.002907656513587224
61,성적서 작성,12.0,3,48.93044932686864,0.0028869733782606864
62,영업,19.0,17,48.89574089545947,0.002884925526281848
63,자격증,30.0,47,47.77892382353157,0.0028190315645586638
64,포장,18.0,17,46.32228084833002,0.0027330873406880662
65,도장,12.0,4,46.25272671109811,0.002728983537324337
66,생산계획,12.0,4,46.25272671109811,0.002728983537324337
67,보조,17.0,16,44.7205138364797,0.0026385805706705514
68,면허,20.0,25,44.11470534008256,0.0026028369176797684
69,접수,20.0,25,44.11470534008256,0.0026028369176797684
70,품질검사,12.0,5,44.06486802957066,0.002599896438066945
71,지시,12.0,5,44.06486802957066,0.002599896438066945
72,재고관리,16.0,15,43.05988932457326,0.0025406011156867106
73,입출고,14.0,10,42.92311145118135,0.00253253100628347
74,생산관리 업무,10.0,3,40.7753744390572,0.002405811148550572
75,용접,14.0,12,40.58435426589703,0.0023945406582483028
76,유지,19.0,27,40.50091860215772,0.002389617823013257
77,관리 업무,41.0,88,39.98301284703228,0.0023590605698495487
78,운전가능,12.0,8,39.19928673227268,0.0023128194978732034
79,사출,14.0,16,36.82865845357152,0.0021729487052581016
80,설비,16.0,23,36.57244759484263,0.0021578318620950557
81,발주,14.0,18,35.271499562028374,0.002081073884416462
82,금속,10.0,6,35.179216559702965,0.0020756290423059862
83,전자,10.0,6,35.179216559702965,0.0020756290423059862
84,평가,13.0,15,34.986160076215775,0.0020642384064954522
85,외주,18.0,33,34.87448304737008,0.002057649286352962
86,운전면허,12.0,12,34.78658937076888,0.002052463421355688
87,화학,9.0,4,34.68954503332358,0.0020467376529932526
88,불량,10.0,7,33.843902633457745,0.001996843422927383
89,보고,10.0,7,33.843902633457745,0.001996843422927383
