idx,skill,tf,df,tfidf,pr
0,관리,654.0,69,794.8301121864682,0.05197062817667286
1,식품,229.0,7,775.0253703061824,0.050675678651466834
2,품질,222.0,17,571.3081304627369,0.037355457433428746
3,HACCP,107.0,2,467.0784882502526,0.030540315559259464
4,생산,176.0,16,462.98884913061335,0.030272911102879628
5,C,285.0,53,420.3316111614807,0.027483732107837285
6,품질관리,142.0,12,411.6413075540984,0.026915509376215726
7,ACC,118.0,9,373.0271120197246,0.024390688074544305
8,제품,90.0,10,275.9342879004515,0.01804219298916681
9,경력,105.0,20,254.02748356672964,0.016609798361546198
10,업무,235.0,88,229.1709272939655,0.01498453174922476
11,검사,58.0,10,177.82431886917988,0.011627191037463055
12,공정,68.0,17,174.9952832048023,0.011442212186816013
13,가공,57.0,10,174.75838233695265,0.011426722226472315
14,지원,80.0,41,138.09297493937933,0.00902932405849944
15,위생 관리,30.0,2,130.95658549072502,0.008562705296988634
16,공정관리,30.0,2,130.95658549072502,0.008562705296988634
17,유통,39.0,9,123.288621769231,0.008061329109383286
18,채용,39.0,11,116.17808105426678,0.007596400488830717
19,자격,47.0,20,113.7075402632028,0.007434862123739728
20,생산관리,40.0,14,110.231264156936,0.007207562918301648
21,인증,48.0,26,104.06375707302148,0.006804295336310591
22,서류,60.0,41,103.56973120453448,0.006771993043874579
23,제조,87.0,77,96.3196991152336,0.006297943663755463
24,급여,37.0,17,95.21802174378948,0.006225909572238124
25,대응,24.0,5,88.12973605914132,0.005762436115358751
26,모집,51.0,42,86.83421615593443,0.005677727468626896
27,협의,28.0,10,85.8462229023627,0.005613126707740786
28,위생관리,22.0,4,84.7966656370132,0.0055445005327238945
29,인원,27.0,10,82.78028637013546,0.0054126578967500436
30,보고,23.0,7,77.84097605695281,0.005089696982461735
31,포장,30.0,17,77.20380141388337,0.005048034788301182
32,경력자,39.0,32,76.72564549880606,0.005016770165972518
33,실험,32.0,21,75.92925925335341,0.004964697788727547
34,현장,62.0,70,74.47141953502627,0.004869375725835457
35,경험,31.0,24,69.59363538487968,0.004550437750906464
36,HACCP 관리,18.0,4,69.37909006664717,0.004536409526774095
37,시정조치하기,12.0,0,65.56598166030733,0.004287086261154357
38,환경,18.0,7,60.91902474022394,0.003983241116709183
39,결과보고하기,11.0,0,60.10214985528172,0.003929829072724827
40,교육,21.0,13,59.32026398361739,0.0038787048144841834
41,계획,24.0,19,59.23438875531886,0.003873089791234482
42,개인,19.0,10,58.252794112317545,0.0038089074088241046
43,사무,30.0,33,58.124138412283465,0.0038004951488370144
44,기타,23.0,20,55.6441154479503,0.0036383367839577384
45,작성,44.0,66,55.40212416792433,0.0036225139827787156
46,IT,15.0,5,55.08108503696333,0.0036015225720992194
47,근무시간,26.0,28,54.50993535101753,0.0035641774746923553
48,운전,21.0,17,54.04266098971836,0.0035336243518108274
49,QC,14.0,4,53.96151449628113,0.0035283185208242964
50,샘플링하기,11.0,1,52.47753086912232,0.0034312870167017553
51,공학,12.0,2,52.382634196290006,0.0034250821187954534
52,HACCP 인증,9.0,0,49.1744862452305,0.0032153146958657677
53,적합 여부 판정하기,11.0,2,48.01741467993251,0.0031396586088958327
54,원료,13.0,5,47.73694036536821,0.0031213195624859896
55,보조,18.0,16,47.35113229744909,0.0030960931809763254
56,샘플,21.0,24,47.14407558330559,0.0030825546054527664
57,점검,24.0,33,46.49931072982677,0.0030403961190696113
58,심사,13.0,6,45.73298152761386,0.002990289046604055
59,미생물 실험,10.0,2,43.652195163575,0.002854235098996211
60,연구,10.0,2,43.652195163575,0.002854235098996211
61,설비,19.0,23,43.42978151887562,0.0028396923977914304
62,안전관리,11.0,4,42.3983328185066,0.0027722502663619472
63,분석,25.0,43,41.99105427768372,0.002745620020118234
64,학력,16.0,17,41.17536075407113,0.002692285220427297
65,품질 관리,15.0,15,40.36864624178743,0.002639537520862555
66,재고,21.0,34,40.078158614260126,0.002620543745653641
67,엑셀,15.0,16,39.45927691454091,0.0025800776508136045
68,인증관리,9.0,2,39.2869756472175,0.00256881158909659
69,농업,10.0,4,38.54393892591509,0.0025202275148744975
70,인근거주자,10.0,4,38.54393892591509,0.0025202275148744975
71,식품공학,7.0,0,38.24682263517927,0.002500800319006708
72,작업장 위생 관리하기,7.0,0,38.24682263517927,0.002500800319006708
73,문서,13.0,12,37.68547181833296,0.0024640959288084823
74,입고,17.0,25,37.497499539070176,0.002451805204937674
75,개발,22.0,42,37.45789716530505,0.0024492157707802294
76,기계,12.0,11,35.74710186285132,0.002337353996563298
77,인원관리,10.0,6,35.179216559702965,0.002300222343541581
78,자재,22.0,47,35.03787747058982,0.0022909807696070922
79,생산계획,9.0,4,34.68954503332358,0.0022682047633870474
80,검수,10.0,7,33.843902633457745,0.002212911731505102
81,제품 개발,7.0,1,33.394792371259655,0.0021835462833556625
82,관리 업무,34.0,88,33.15664479997799,0.0021679748062708166
83,지게차,12.0,14,33.0693792470808,0.0021622688754904945
84,품질인증,6.0,0,32.782990830153665,0.0021435431305771783
85,발주,13.0,18,32.75210673616921,0.002141523748396722
