idx,skill,tf,df,tfidf,pr
0,품질,188.0,17,483.8104888603357,0.06275510881443894
1,관리,277.0,69,336.6482279444216,0.04366667664978817
2,품질관리,104.0,12,301.48377454666365,0.03910549174332865
3,생산,104.0,16,273.5843199408169,0.035486650585548715
4,검사,64.0,10,196.2199380625433,0.02545170856812918
5,제품,59.0,10,180.89025540140716,0.023463293836244094
6,화학,44.0,4,169.5933312740264,0.0219979686330799
7,경력,69.0,20,166.9323463438509,0.021652812001109994
8,업무,124.0,88,120.9242339763903,0.015685094962217108
9,지원,66.0,41,113.92670432498797,0.014777444663563117
10,생산관리,35.0,14,96.452356137319,0.012510845143239111
11,공학,22.0,2,96.034829359865,0.01245668770152306
12,자격,33.0,20,79.83720912097218,0.010355692696183043
13,C,52.0,53,76.69208343998946,0.009947738117087232
14,환경,22.0,7,74.45658579360703,0.009657771484938318
15,의료기기,26.0,15,69.97232015243155,0.009076116922368357
16,공정,26.0,17,66.90996122536558,0.00867889802752879
17,채용,22.0,11,65.53635341522741,0.008500727215654416
18,QC,16.0,4,61.67030228146415,0.007999261321119965
19,경험,26.0,24,58.36885548409264,0.00757103031376382
20,연구,13.0,2,56.74785371264751,0.007360770005445446
21,문서,19.0,12,55.07876650371739,0.0071442725300311935
22,서류,27.0,41,46.60637904204052,0.006045318271457638
23,섬유,12.0,4,46.25272671109811,0.005999445990839973
24,경력자,23.0,32,45.24845760185998,0.005869182140261464
25,모집,26.0,42,44.26842392263324,0.005742061869829618
26,대응,12.0,5,44.06486802957066,0.0057156586137756754
27,사출,16.0,16,42.0898953755103,0.005459484705469034
28,시험,17.0,20,41.12825924413718,0.005334750782882173
29,작성,32.0,66,40.29245394030861,0.005226338390019421
30,기술,14.0,13,39.546842655744925,0.005129625072773471
31,협의,12.0,10,36.79123838672688,0.004772195356524223
32,교육,13.0,13,36.722068180334574,0.00476322328186108
33,자재,23.0,47,36.63050826470754,0.004751347035685123
34,계획,14.0,19,34.55339344060267,0.00448192425588174
35,기타,14.0,20,33.87033114223062,0.00439332417413826
36,보수,7.0,1,33.394792371259655,0.004331641990711306
37,제조,30.0,77,33.21368935008055,0.004308151099003915
38,품질검사,9.0,5,33.04865102217799,0.004286743960331756
39,개발,19.0,42,32.3500020973089,0.00419612213564472
40,심사,9.0,6,31.66129490373267,0.004106789853957376
41,보조,12.0,16,31.567421531632725,0.004094613529101775
42,급여,12.0,17,30.881520565553345,0.004005645243474826
43,품질개선,7.0,2,30.556536614502505,0.003963491541393702
44,분석,18.0,43,30.23355907993228,0.003921598091802896
45,수행,10.0,12,28.988824475640733,0.0037601434368585234
46,구매,9.0,9,28.45122040828408,0.0036904107573841206
47,근무시간,13.0,28,27.25496767550877,0.003535244691035039
48,품질 관리,10.0,15,26.912430827858287,0.0034908142009109065
49,운전,10.0,17,25.734600471294456,0.0033380377028956886
50,성적서,7.0,5,25.70450635058289,0.0033341341913691444
51,평가,9.0,15,24.22118774507246,0.003141732780819816
52,내부감사,5.0,1,23.853423122328326,0.003094029993365219
53,인증,11.0,26,23.84794432923409,0.003093319338543306
54,유지,11.0,27,23.447900243354468,0.0030414295785691366
55,사무,12.0,33,23.249655364913384,0.0030157152147739633
56,영업,9.0,17,23.16114042416501,0.0030042339326061193
57,보증,6.0,5,22.03243401478533,0.0028578293068878377
58,원료,6.0,5,22.03243401478533,0.0028578293068878377
59,편직,4.0,0,21.85532722010244,0.002834856766134779
60,화학공학,7.0,10,21.461555725590674,0.002783780624639129
61,관리 업무,22.0,88,21.454299576456343,0.0027828394287804543
62,재고,11.0,34,20.99332117889816,0.0027230458729027925
63,학력,8.0,17,20.587680377035564,0.002670430162316551
64,품질경영,5.0,3,20.3876872195286,0.002644489029061964
65,품질보증,5.0,3,20.3876872195286,0.002644489029061964
66,감사,7.0,12,20.292177132948517,0.0026321004058009667
67,제조업,7.0,12,20.292177132948517,0.0026321004058009667
68,샘플,9.0,24,20.204603821416683,0.0026207412624567068
69,정규직,12.0,44,19.886031783063483,0.0025794192502382744
70,임금,7.0,13,19.773421327872462,0.0025648125363867355
71,운전가능,6.0,8,19.59964336613634,0.002542271778901319
72,인근거주자,5.0,4,19.271969462957543,0.002499769162849988
73,성실,7.0,16,18.41432922678576,0.002388524558642703
74,측정,6.0,10,18.39561919336344,0.0023860976782621116
75,AS,6.0,10,18.39561919336344,0.0023860976782621116
76,가공,6.0,10,18.39561919336344,0.0023860976782621116
77,수입,6.0,10,18.39561919336344,0.0023860976782621116
78,QA,5.0,6,17.589608279851483,0.0022815499188652087
79,제품 생산,5.0,6,17.589608279851483,0.0022815499188652087
80,문서 작성,5.0,6,17.589608279851483,0.0022815499188652087
81,모니터링,4.0,2,17.460878065430002,0.0022648523093678295
82,유지보수,4.0,2,17.460878065430002,0.0022648523093678295
83,불량,5.0,7,16.921951316728872,0.0021949480647587088
84,검수,5.0,7,16.921951316728872,0.0021949480647587088
85,산업공학,4.0,3,16.31014977562288,0.002115591223249571
86,성적서 작성,4.0,3,16.31014977562288,0.002115591223249571
87,자동차,8.0,31,15.984767217807068,0.002073385817843517
88,출고,10.0,47,15.92630794117719,0.002065803058993532
89,인원,5.0,10,15.329682661136196,0.0019884147318850924
90,식약처,3.0,1,14.312053873396994,0.0018564179960191313
91,실험,6.0,21,14.236736110003765,0.0018466485210982047
92,차량,5.0,13,14.123872377051756,0.0018320089545619536
93,안전,10.0,58,13.862943611198906,0.0017981638572130206
94,운전가능자,5.0,14,13.778908019617,0.0017872635918913017
95,입고,6.0,25,13.234411602024768,0.0017166369049512076
96,현장,11.0,70,13.21267120782724,0.0017138169561593812
97,생산 관리,5.0,16,13.15309230484697,0.0017060889704590733
98,열정,5.0,16,13.15309230484697,0.0017060889704590733
99,기능,5.0,16,13.15309230484697,0.0017060889704590733
100,조직,3.0,2,13.0956585490725,0.0016986392320258719
101,봉제,3.0,2,13.0956585490725,0.0016986392320258719
102,공정관리,3.0,2,13.0956585490725,0.0016986392320258719
103,포장,5.0,17,12.867300235647228,0.0016690188514478443
104,공정검사,4.0,9,12.644986848126258,0.0016401825588373872
