idx,skill,tf,df,tfidf,pr
0,세무,29.0,17,74.63034136675392,0.08414068179041216
1,세무사,11.0,4,42.3983328185066,0.04780126373259707
2,세무조정,6.0,2,26.191317098145003,0.029528945429807742
3,기장,7.0,13,19.773421327872462,0.022293200344349857
4,조정,8.0,23,18.286223797421314,0.02061648532633547
5,세무조사 대응,3.0,0,16.391495415076832,0.018480306729554603
6,신고,6.0,17,15.440760282776672,0.017408416922154238
7,업무,15.0,88,14.627931529402051,0.016492007265769385
8,법인,5.0,15,13.456215413929144,0.015170976288084176
9,개인,4.0,10,12.263746128908958,0.013826547509946217
10,대응,3.0,5,11.016217007392664,0.012420042475727845
11,사무,5.0,33,9.687356402047245,0.01092184167307156
12,더존,3.0,11,8.936775465712829,0.010075612236551824
13,인사,3.0,14,8.2673448117702,0.009320874276057566
14,회계,3.0,15,8.073729248357488,0.009102585772850507
15,경력,3.0,20,7.257928101906561,0.008182824943532375
16,세무신고,2.0,6,7.035843311940593,0.007932439305455402
17,사무실,2.0,7,6.768780526691549,0.007631344008017686
18,자문,3.0,25,6.617205801012384,0.007460453716920598
19,채용,2.0,11,5.957850310475219,0.006717074824367883
20,직원교육,1.0,0,5.4638318050256105,0.006160102243184867
21,SMART A,1.0,0,5.4638318050256105,0.006160102243184867
22,기타 배정업무,1.0,0,5.4638318050256105,0.006160102243184867
23,재산세 신고,1.0,0,5.4638318050256105,0.006160102243184867
24,프로그램,2.0,19,4.936199062943238,0.005565231874904164
25,신고조정업무,1.0,1,4.770684624465665,0.005378625496792859
26,더존 회계인사 업무,1.0,1,4.770684624465665,0.005378625496792859
27,기장업체 관리,1.0,1,4.770684624465665,0.005378625496792859
28,세무회계사무소 경력,1.0,1,4.770684624465665,0.005378625496792859
29,사대보험 업무,1.0,1,4.770684624465665,0.005378625496792859
30,직원 관리,1.0,1,4.770684624465665,0.005378625496792859
31,프로그램 활용,1.0,1,4.770684624465665,0.005378625496792859
32,이메일 접수,1.0,1,4.770684624465665,0.005378625496792859
33,접수,2.0,25,4.411470534008256,0.004973635811280399
34,더존 위하고 사용,1.0,2,4.3652195163575005,0.004921490904967957
35,세무회계사무소,1.0,2,4.3652195163575005,0.004921490904967957
36,연구,1.0,2,4.3652195163575005,0.004921490904967957
37,신고대행,1.0,3,4.07753744390572,0.004597148750400851
38,기장대리,1.0,3,4.07753744390572,0.004597148750400851
39,법인세,1.0,3,4.07753744390572,0.004597148750400851
40,부가세,1.0,3,4.07753744390572,0.004597148750400851
41,부가가치세,1.0,4,3.8543938925915096,0.004345569430236097
42,위하고,1.0,4,3.8543938925915096,0.004345569430236097
43,4대보험신고,1.0,4,3.8543938925915096,0.004345569430236097
44,세무업무,1.0,4,3.8543938925915096,0.004345569430236097
45,거래처 응대,1.0,4,3.8543938925915096,0.004345569430236097
46,이메일,2.0,36,3.705827784762771,0.0041780711530645205
47,진단,1.0,5,3.672072335797555,0.004140014158575949
48,NAVER,1.0,5,3.672072335797555,0.004140014158575949
49,건설업,1.0,5,3.672072335797555,0.004140014158575949
50,관리,3.0,69,3.6460096889287534,0.004110630280160774
51,소득세,1.0,6,3.5179216559702966,0.003966219652727701
52,용역,1.0,6,3.5179216559702966,0.003966219652727701
53,서류,2.0,41,3.4523243734844837,0.0038922631362375685
54,지원,2.0,41,3.4523243734844837,0.0038922631362375685
55,세무기장,1.0,7,3.3843902633457743,0.003815672004008843
56,제출,3.0,81,3.1713376732840706,0.0035754695627938184
57,회계사무소,1.0,9,3.1612467120315646,0.00356409268384409
58,협의,1.0,10,3.0659365322272394,0.0034566368774865542
59,결산,1.0,12,2.8988824475640733,0.0032682946520322075
60,교육,1.0,13,2.824774475410352,0.0031847429063356944
61,원천세,1.0,14,2.7557816039234,0.003106958092019188
62,청구,1.0,14,2.7557816039234,0.003106958092019188
63,급여,1.0,17,2.573460047129445,0.0029014028203590394
64,기타,1.0,20,2.419309367302187,0.002727608314510792
65,자격,1.0,20,2.419309367302187,0.002727608314510792
66,경력 3년 이상,1.0,23,2.2857779746776643,0.0025770606657919337
67,4대보험,1.0,23,2.2857779746776643,0.0025770606657919337
68,경험,1.0,24,2.244955980157409,0.002531036617287328
69,업체 관리,1.0,26,2.167994939021281,0.002444268228534138
70,건설,1.0,27,2.1316272948504063,0.002403266159943686
71,근무시간,1.0,28,2.096535975039136,0.002363703061078363
72,응대,1.0,37,1.826245645299224,0.0020589689246778733
73,협의 가능,1.0,44,1.6571693152552902,0.0018683467538022785
74,정규직,1.0,44,1.6571693152552902,0.0018683467538022785
75,자격증,1.0,47,1.5926307941177191,0.0017955839193999259
76,C,1.0,53,1.4748477584613358,0.0016627914821421305
77,월급,1.0,57,1.4033887944791907,0.0015822263146863555
78,직원,3.0,147,1.399858593784485,0.0015782462512447342
79,AR,1.0,59,1.3694872428035094,0.0015440045992351724
80,거래처,1.0,71,1.1871656860095547,0.0013384493275750242
81,보험,2.0,146,0.9467984364937476,0.001067451448107254
82,법인세 관리,0.01,0,0.0546383180502561,6.160102243184866e-05
83,소모품 수입,0.01,0,0.0546383180502561,6.160102243184866e-05
84,영문 서신 작성,0.01,0,0.0546383180502561,6.160102243184866e-05
85,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,6.160102243184866e-05
86,유해화학물질관리자,0.01,0,0.0546383180502561,6.160102243184866e-05
87,가구 설치,0.01,0,0.0546383180502561,6.160102243184866e-05
88,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,6.160102243184866e-05
89,타이어 탈착,0.01,0,0.0546383180502561,6.160102243184866e-05
90,현장 조율,0.01,0,0.0546383180502561,6.160102243184866e-05
91,경영계획 분석,0.01,0,0.0546383180502561,6.160102243184866e-05
92,폐기물 관련 업무,0.01,0,0.0546383180502561,6.160102243184866e-05
93,납품계획 세우기,0.01,0,0.0546383180502561,6.160102243184866e-05
94,불량재고 처리하기,0.01,0,0.0546383180502561,6.160102243184866e-05
95,매뉴얼 업무,0.01,0,0.0546383180502561,6.160102243184866e-05
96,건축업무 경험,0.01,0,0.0546383180502561,6.160102243184866e-05
97,UX 시나리오 제작,0.01,0,0.0546383180502561,6.160102243184866e-05
98,평가계획 수립하기,0.01,0,0.0546383180502561,6.160102243184866e-05
99,현장상황파악,0.01,0,0.0546383180502561,6.160102243184866e-05
100,인허가관리,0.01,0,0.0546383180502561,6.160102243184866e-05
101,사건 수임,0.01,0,0.0546383180502561,6.160102243184866e-05
102,PF심의자료 작성,0.01,0,0.0546383180502561,6.160102243184866e-05
103,디지털 교육 이해,0.01,0,0.0546383180502561,6.160102243184866e-05
