idx,skill,tf,df,tfidf,pr
0,C,100.0,53,147.48477584613357,0.03634928092555394
1,개발,72.0,42,122.58948163190745,0.030213555811381437
2,경험,51.0,24,114.49275498802784,0.02821802651239235
3,경력,44.0,20,106.44961216129624,0.02623570354749031
4,IT,17.0,5,62.42522970855843,0.01538539960142003
5,설계,15.0,6,52.76882483955445,0.013005470071062916
6,연구,12.0,2,52.382634196290006,0.012910289045751635
7,자격,21.0,20,50.80549671334593,0.012521585784029465
8,공학,11.0,2,48.01741467993251,0.011834431625272332
9,지원,27.0,41,46.60637904204052,0.01148666603046129
10,JAVA,8.0,0,43.71065444020488,0.0107729821506758
11,서비스,23.0,39,40.823904070968496,0.0100615100713963
12,기술,14.0,13,39.546842655744925,0.009746763929804196
13,네트워크,7.0,0,38.24682263517927,0.009426359381841326
14,PLC,7.0,0,38.24682263517927,0.009426359381841326
15,통신,11.0,8,35.9326795045833,0.008856012793365436
16,학사,8.0,2,34.921756130860004,0.008606859363834422
17,PL,9.0,4,34.68954503332358,0.00854962832849564
18,업무,34.0,88,33.15664479997799,0.00817182783422051
19,PYTHON,9.0,5,33.04865102217799,0.008145211553692955
20,채용,11.0,11,32.768176707613705,0.008076085505977118
21,소프트웨어 개발,8.0,4,30.83515114073208,0.007599669625329459
22,C#,8.0,4,30.83515114073208,0.007599669625329459
23,IP,8.0,4,30.83515114073208,0.007599669625329459
24,기획,9.0,8,29.399465049204515,0.007245828649117174
25,SPRING,5.0,0,27.31915902512805,0.006733113844172377
26,서류,15.0,41,25.892432801133623,0.00638148112803405
27,학력,10.0,17,25.734600471294456,0.006342581576107118
28,프로젝트,8.0,9,25.28997369625252,0.00623299830922211
29,AI,8.0,11,23.83140124190088,0.005873516731619724
30,보안,7.0,8,22.866250593825733,0.005635644504868913
31,교육,8.0,13,22.598195803282813,0.0055695793884595396
32,UX,4.0,0,21.85532722010244,0.0053864910753379
33,프론트엔드,4.0,0,21.85532722010244,0.0053864910753379
34,UI,4.0,0,21.85532722010244,0.0053864910753379
35,프론트,5.0,2,21.8260975817875,0.005379287102396514
36,심사,6.0,6,21.10752993582178,0.005202188028425167
37,전자,6.0,6,21.10752993582178,0.005202188028425167
38,LC,10.0,28,20.96535975039136,0.005167148588050387
39,SI,5.0,4,19.271969462957543,0.0047497935158309105
40,LINUX,4.0,1,19.08273849786266,0.004703155417284227
41,보수,4.0,1,19.08273849786266,0.004703155417284227
42,BI,5.0,5,18.360361678987772,0.004525117529829419
43,운영,13.0,58,18.021826694558577,0.004441681777348887
44,IPT,4.0,2,17.460878065430002,0.004303429681917211
45,리눅스,5.0,7,16.921951316728872,0.004170605126471096
46,분석,10.0,43,16.79642171107349,0.004139666944043358
47,컴퓨터,9.0,36,16.67622503143247,0.004110043121180799
48,ANGULAR,3.0,0,16.391495415076832,0.004039868306503426
49,임베디드,3.0,0,16.391495415076832,0.004039868306503426
50,백엔드,3.0,0,16.391495415076832,0.004039868306503426
51,인공지능,3.0,0,16.391495415076832,0.004039868306503426
52,VPN,3.0,0,16.391495415076832,0.004039868306503426
53,개발 경험자,3.0,0,16.391495415076832,0.004039868306503426
54,C++,5.0,8,16.333036138446953,0.004025460360620652
55,최적화,4.0,3,16.31014977562288,0.004019819759230552
56,AS,5.0,10,15.329682661136196,0.0037781726171558666
57,협의,5.0,10,15.329682661136196,0.0037781726171558666
58,AR,11.0,59,15.064359670838604,0.0037127807836258974
59,프로그램,6.0,19,14.808597188829715,0.003649745244836069
60,CE,4.0,5,14.68828934319022,0.0036200940238635365
61,자격증,9.0,47,14.333677147059472,0.003532695861830651
62,설계 경험,3.0,1,14.312053873396994,0.0035273665629631697
63,LABVIEW,3.0,1,14.312053873396994,0.0035273665629631697
64,전자공학,3.0,1,14.312053873396994,0.0035273665629631697
65,CD,3.0,1,14.312053873396994,0.0035273665629631697
66,참여,4.0,6,14.071686623881186,0.0034681253522834445
67,솔루션,6.0,22,13.970025534578763,0.0034430698340236696
68,과학,5.0,15,13.456215413929144,0.003316435553904001
69,정규직,8.0,44,13.257354522042322,0.0032674240516467005
70,접수,6.0,25,13.234411602024768,0.003261769511100491
71,개발업무,3.0,2,13.0956585490725,0.0032275722614379084
72,유지보수,3.0,2,13.0956585490725,0.0032275722614379084
73,비용,3.0,2,13.0956585490725,0.0032275722614379084
74,테스트,4.0,8,13.066428910757562,0.0032203682884965217
75,운전,5.0,17,12.867300235647228,0.003171290788053559
76,급여,5.0,17,12.867300235647228,0.003171290788053559
77,기업,14.0,94,12.73936878795097,0.0031397606446550595
78,유경험자,9.0,57,12.630499150312716,0.003112928498624579
79,JAVASCRIPT,3.0,3,12.23261233171716,0.0030148648194229135
80,HTML,3.0,3,12.23261233171716,0.0030148648194229135
81,PD,3.0,3,12.23261233171716,0.0030148648194229135
82,컴퓨터활용능력,3.0,3,12.23261233171716,0.0030148648194229135
83,경력자,6.0,32,11.80394546135478,0.0029092150504560063
84,.NET,4.0,12,11.595529790256291,0.002857848665454002
85,차량,4.0,13,11.299097901641408,0.00278478969422977
86,SIEM,2.0,0,10.92766361005122,0.00269324553766895
87,DEEP LEARNING,2.0,0,10.92766361005122,0.00269324553766895
88,GIT,2.0,0,10.92766361005122,0.00269324553766895
89,WINDOWS,2.0,0,10.92766361005122,0.00269324553766895
90,ORACLE,2.0,0,10.92766361005122,0.00269324553766895
91,TENSORFLOW,2.0,0,10.92766361005122,0.00269324553766895
92,DBMS,2.0,0,10.92766361005122,0.00269324553766895
93,TCP,2.0,0,10.92766361005122,0.00269324553766895
94,ANDROID,2.0,0,10.92766361005122,0.00269324553766895
95,CSS,2.0,0,10.92766361005122,0.00269324553766895
96,PYTORCH,2.0,0,10.92766361005122,0.00269324553766895
97,데이터 분석,2.0,0,10.92766361005122,0.00269324553766895
98,SPRING BOOT,2.0,0,10.92766361005122,0.00269324553766895
99,플랫폼 기획,2.0,0,10.92766361005122,0.00269324553766895
100,CAN,2.0,0,10.92766361005122,0.00269324553766895
101,API,2.0,0,10.92766361005122,0.00269324553766895
102,W 개발,2.0,0,10.92766361005122,0.00269324553766895
103,AWS,2.0,0,10.92766361005122,0.00269324553766895
104,정보처리기사,2.0,0,10.92766361005122,0.00269324553766895
105,어플리케이션,2.0,0,10.92766361005122,0.00269324553766895
106,운영 유경험자,2.0,0,10.92766361005122,0.00269324553766895
107,DB,2.0,0,10.92766361005122,0.00269324553766895
108,전기,7.0,49,10.862661597182248,0.0026772250608912947
109,주차,3.0,6,10.55376496791089,0.0026010940142125833
110,컴퓨터활용,3.0,6,10.55376496791089,0.0026010940142125833
111,프로그램 개발,3.0,7,10.153170790037322,0.002502363075882657
112,제어,3.0,7,10.153170790037322,0.002502363075882657
113,환경,3.0,7,10.153170790037322,0.002502363075882657
114,관리,8.0,69,9.72269250381001,0.002396266863113196
115,기타,4.0,20,9.677237469208748,0.002385063958862755
116,온라인,5.0,34,9.54241871768098,0.0023518363620128407
117,SPI,2.0,1,9.54136924893133,0.0023515777086421134
118,펌웨어,2.0,1,9.54136924893133,0.0023515777086421134
119,유관업무 경력,2.0,1,9.54136924893133,0.0023515777086421134
120,관제,2.0,1,9.54136924893133,0.0023515777086421134
121,ACC,3.0,9,9.483740136094694,0.002337374365958291
122,실무,3.0,9,9.483740136094694,0.002337374365958291
123,개인,3.0,10,9.19780959668172,0.0022669035702935205
