idx,skill,tf,df,tfidf,pr
0,생산,53.0,16,139.42277843137788,0.06272166531686914
1,관리,85.0,69,103.30360785298134,0.046472853221533356
2,식품,26.0,7,87.99414684699013,0.039585636511302216
3,생산관리,19.0,14,52.3598504745446,0.023554953175187864
4,급여,13.0,17,33.45498061268279,0.015050281745775265
5,경력,13.0,20,31.45102177492843,0.01414876739536175
6,업무,30.0,88,29.255863058804103,0.013161238586517042
7,유통,8.0,9,25.28997369625252,0.011377117024170455
8,품질,9.0,17,23.16114042416501,0.01041942582399826
9,HACCP,5.0,2,21.8260975817875,0.009818834505381714
10,가공,7.0,10,21.461555725590674,0.009654839263315718
11,협의,7.0,10,21.461555725590674,0.009654839263315718
12,채용,7.0,11,20.852476086663263,0.009380834615768637
13,공정,8.0,17,20.587680377035564,0.00926171184355401
14,제조,18.0,77,19.92821361004833,0.008965039704955586
15,품질관리,6.0,12,17.39329468538444,0.00782466409211108
16,모집,10.0,42,17.026316893320477,0.007659573003613741
17,설비,7.0,23,16.00044582274365,0.0071980677698857565
18,관리자,7.0,23,16.00044582274365,0.0071980677698857565
19,ACC,5.0,9,15.806233560157825,0.007110698140106534
20,경험,7.0,24,15.714691861101864,0.007069516577987892
21,지원,9.0,41,15.535459680680177,0.00698888598834608
22,위생관리,4.0,4,15.417575570366038,0.00693585385258973
23,제품,5.0,10,15.329682661136196,0.006896313759511228
24,기계,5.0,11,14.894625776188049,0.006700596154120456
25,C,10.0,53,14.748477584613358,0.006634848949382852
26,대응,4.0,5,14.68828934319022,0.006607772263800869
27,공정관리,3.0,2,13.0956585490725,0.005891300703229028
28,포장,5.0,17,12.867300235647228,0.005788569902221256
29,근무시간,6.0,28,12.579215850234815,0.005658970330270775
30,인원,4.0,10,12.263746128908958,0.005517051007608982
31,제조업,4.0,12,11.595529790256291,0.005216442728074052
32,지게차 운전,3.0,4,11.563181677774528,0.005201890389442297
33,임금,4.0,13,11.299097901641408,0.0050830878923999005
34,생산라인 관리자,2.0,0,10.92766361005122,0.004915991973164617
35,밀키트,2.0,0,10.92766361005122,0.004915991973164617
36,현장,9.0,70,10.810367351858652,0.00486322429250262
37,운전,4.0,17,10.293840188517782,0.004630855921777005
38,경력자,5.0,32,9.83662121779565,0.004425168331981398
39,재고,5.0,34,9.54241871768098,0.00429281642395612
40,당면 제조,2.0,1,9.54136924893133,0.004292344302912366
41,4대보험,4.0,23,9.143111898710655,0.00411318158279186
42,생산라인 관리,2.0,2,8.730439032715001,0.003927533802152686
43,위생 관리,2.0,2,8.730439032715001,0.003927533802152686
44,인증,4.0,26,8.671979756085124,0.003901234920257644
45,지게차,3.0,14,8.2673448117702,0.0037192031329244
46,생산공정,2.0,3,8.15507488781144,0.0036686966326601148
47,재고관리,3.0,15,8.073729248357488,0.0036321019382334167
48,법인,3.0,15,8.073729248357488,0.0036321019382334167
49,생산 관리,3.0,16,7.891855382908181,0.0035502829424642907
50,성실,3.0,16,7.891855382908181,0.0035502829424642907
51,영업,3.0,17,7.720380141388336,0.0034731419413327534
52,공장 관리,2.0,4,7.708787785183019,0.003467926926294865
53,농업,2.0,4,7.708787785183019,0.003467926926294865
54,생산계획,2.0,4,7.708787785183019,0.003467926926294865
55,수출,2.0,4,7.708787785183019,0.003467926926294865
56,진단,2.0,5,7.34414467159511,0.0033038861319004344
57,총괄,3.0,23,6.857333924032993,0.0030848861870938957
58,퇴직연금,2.0,8,6.533214455378781,0.002939075631140754
59,운전가능,2.0,8,6.533214455378781,0.002939075631140754
60,원가,3.0,26,6.503984817063843,0.0029259261901932333
61,유지,3.0,27,6.394881884551219,0.0028768444139215467
62,실무,2.0,9,6.322493424063129,0.0028442792560426137
63,수입,2.0,10,6.131873064454479,0.002758525503804491
64,방충ㆍ방서 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
65,소분하기,1.0,0,5.4638318050256105,0.002457995986582309
66,제품공정별 관리,1.0,0,5.4638318050256105,0.002457995986582309
67,현장 설비 관리,1.0,0,5.4638318050256105,0.002457995986582309
68,현장 생산 공정 확인,1.0,0,5.4638318050256105,0.002457995986582309
69,생산직원관리,1.0,0,5.4638318050256105,0.002457995986582309
70,건강식품 제조,1.0,0,5.4638318050256105,0.002457995986582309
71,생산 현장 직원 관리,1.0,0,5.4638318050256105,0.002457995986582309
72,제조지시서 작성,1.0,0,5.4638318050256105,0.002457995986582309
73,작업장 청결 유지 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
74,농산식품 수입,1.0,0,5.4638318050256105,0.002457995986582309
75,포장 후 검사하기,1.0,0,5.4638318050256105,0.002457995986582309
76,양념육 생산,1.0,0,5.4638318050256105,0.002457995986582309
77,포장하기,1.0,0,5.4638318050256105,0.002457995986582309
78,식품 생산,1.0,0,5.4638318050256105,0.002457995986582309
79,인공지능,1.0,0,5.4638318050256105,0.002457995986582309
80,생산 현장 안전관리,1.0,0,5.4638318050256105,0.002457995986582309
81,소분 포장하기,1.0,0,5.4638318050256105,0.002457995986582309
82,조미건어포 생산관리,1.0,0,5.4638318050256105,0.002457995986582309
83,외부심사 대응,1.0,0,5.4638318050256105,0.002457995986582309
84,작업스케줄 관리,1.0,0,5.4638318050256105,0.002457995986582309
85,재고위치 확인하기,1.0,0,5.4638318050256105,0.002457995986582309
86,수출관리하기,1.0,0,5.4638318050256105,0.002457995986582309
87,반자동 기계조작,1.0,0,5.4638318050256105,0.002457995986582309
88,시설ㆍ설비 청결상태 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
89,육류 가공,1.0,0,5.4638318050256105,0.002457995986582309
90,업무시간 동안 서서 작업,1.0,0,5.4638318050256105,0.002457995986582309
91,원부자재 발주,1.0,0,5.4638318050256105,0.002457995986582309
92,식품기계 조작,1.0,0,5.4638318050256105,0.002457995986582309
93,제조품질 관리,1.0,0,5.4638318050256105,0.002457995986582309
94,유지 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
95,작업자 위생 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
96,개인위생 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
97,선입선출하기,1.0,0,5.4638318050256105,0.002457995986582309
98,HACCP 인증,1.0,0,5.4638318050256105,0.002457995986582309
99,생산계획 파악,1.0,0,5.4638318050256105,0.002457995986582309
100,보안 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
101,현장 점검,1.0,0,5.4638318050256105,0.002457995986582309
102,방충 방서 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
103,생산공정 현장 점검,1.0,0,5.4638318050256105,0.002457995986582309
104,농산식품 관리하기,1.0,0,5.4638318050256105,0.002457995986582309
105,제품공정,1.0,0,5.4638318050256105,0.002457995986582309
106,부자재 발주,1.0,0,5.4638318050256105,0.002457995986582309
107,품질 관리,2.0,15,5.382486165571658,0.002421401292155611
108,발주,2.0,18,5.03878565171834,0.002266781876005085
109,협의 가능,3.0,44,4.971507945765871,0.0022365158764065017
110,계획,2.0,19,4.936199062943238,0.002220631585790362
111,자격,2.0,20,4.838618734604374,0.0021767334454402694
112,자재,3.0,47,4.777892382353158,0.0021494146817155183
113,식품업계 생산관련,1.0,1,4.770684624465665,0.002146172151456183
