idx,skill,tf,df,tfidf,pr
0,채권,40.0,5,146.8828934319022,0.15005242735944005
1,전화 업무,7.0,1,33.394792371259655,0.034115406766515026
2,경력,12.0,20,29.031712407626244,0.029658177445865387
3,급여,11.0,17,28.3080605184239,0.028918910128882702
4,업무,24.0,88,23.404690447043286,0.023909731971635914
5,지원,12.0,41,20.7139462409069,0.021160925149408507
6,전산입력,6.0,7,20.306341580074644,0.020744524931984566
7,자격,8.0,20,19.354474938417496,0.019772118297243593
8,전화,8.0,24,17.959647841259272,0.018347192720240664
9,인사,6.0,14,16.5346896235404,0.016891485833899753
10,평가,6.0,15,16.147458496714975,0.01649589878375613
11,전산,6.0,18,15.11635695515502,0.015442547467274454
12,계약,6.0,19,14.808597188829715,0.015128146661968314
13,상품,6.0,21,14.236736110003765,0.01454394559549079
14,관리,11.0,69,13.368702192738764,0.013657180681805837
15,상담,4.0,9,12.644986848126258,0.01291784854013117
16,청소,6.0,31,11.9885754133553,0.012247272635527684
17,채용,4.0,11,11.91570062095044,0.012172825303791712
18,C,8.0,53,11.798782067690686,0.012053383806486828
19,사무,6.0,33,11.624827682456692,0.011875675721193142
20,운영,8.0,58,11.090354888959125,0.011329669728609175
21,사무원,6.0,43,10.077853026644092,0.010295319447262348
22,기본급,5.0,36,9.264569461906929,0.0094644863245684
23,경험,4.0,24,8.979823920629636,0.009173596360120332
24,국제,2.0,3,8.15507488781144,0.008331050360071004
25,경력직,4.0,36,7.411655569525542,0.007571589059654719
26,진행,6.0,69,7.292019377857507,0.0074493712809850015
27,접수,3.0,25,6.617205801012384,0.006759996141002062
28,경력자,3.0,32,5.9019727306773895,0.006029329309596893
29,경력자 우대,3.0,37,5.478736935897673,0.0055969606595230054
30,소송,1.0,0,5.4638318050256105,0.005581733896111649
31,기타,2.0,20,4.838618734604374,0.004943029574310898
32,경력 3년 이상,2.0,23,4.571555949355329,0.0046702039358197086
33,마감,2.0,23,4.571555949355329,0.0046702039358197086
34,엑셀 고급능력,1.0,2,4.3652195163575005,0.004459415042024075
35,컴퓨터활용능력,1.0,3,4.07753744390572,0.004165525180035502
36,전화업무,1.0,4,3.8543938925915096,0.003937566493070865
37,발급,2.0,38,3.600540317791927,0.003678235101902374
38,컴퓨터활용,1.0,6,3.5179216559702966,0.003593833641243023
39,전자,1.0,6,3.5179216559702966,0.003593833641243023
40,서류,2.0,41,3.4523243734844837,0.0035268208582347515
41,엑셀 고급능력자,1.0,7,3.3843902633457743,0.003457420821997428
42,협의,1.0,10,3.0659365322272394,0.0031320952906198716
43,엑셀,1.0,16,2.630618460969394,0.002687383644903597
44,문화,2.0,77,2.2142459566720367,0.002262026385826227
45,별도,2.0,78,2.188767905117177,0.002235998552421869
46,컴퓨터,1.0,36,1.8529138923813853,0.0018928972649136795
47,컴퓨터활용능력 우수,1.0,66,1.259139185634644,0.0012863097041008508
48,직원,2.0,147,0.93323906252299,0.0009533770976750657
49,법인세 관리,0.01,0,0.0546383180502561,5.581733896111649e-05
50,소모품 수입,0.01,0,0.0546383180502561,5.581733896111649e-05
51,영문 서신 작성,0.01,0,0.0546383180502561,5.581733896111649e-05
52,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,5.581733896111649e-05
53,유해화학물질관리자,0.01,0,0.0546383180502561,5.581733896111649e-05
54,가구 설치,0.01,0,0.0546383180502561,5.581733896111649e-05
55,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,5.581733896111649e-05
56,타이어 탈착,0.01,0,0.0546383180502561,5.581733896111649e-05
57,현장 조율,0.01,0,0.0546383180502561,5.581733896111649e-05
58,경영계획 분석,0.01,0,0.0546383180502561,5.581733896111649e-05
59,폐기물 관련 업무,0.01,0,0.0546383180502561,5.581733896111649e-05
60,납품계획 세우기,0.01,0,0.0546383180502561,5.581733896111649e-05
61,불량재고 처리하기,0.01,0,0.0546383180502561,5.581733896111649e-05
62,매뉴얼 업무,0.01,0,0.0546383180502561,5.581733896111649e-05
63,건축업무 경험,0.01,0,0.0546383180502561,5.581733896111649e-05
64,UX 시나리오 제작,0.01,0,0.0546383180502561,5.581733896111649e-05
65,평가계획 수립하기,0.01,0,0.0546383180502561,5.581733896111649e-05
66,현장상황파악,0.01,0,0.0546383180502561,5.581733896111649e-05
67,인허가관리,0.01,0,0.0546383180502561,5.581733896111649e-05
68,사건 수임,0.01,0,0.0546383180502561,5.581733896111649e-05
69,PF심의자료 작성,0.01,0,0.0546383180502561,5.581733896111649e-05
70,디지털 교육 이해,0.01,0,0.0546383180502561,5.581733896111649e-05
71,여행상품개발,0.01,0,0.0546383180502561,5.581733896111649e-05
72,주차매출 관리,0.01,0,0.0546383180502561,5.581733896111649e-05
73,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,5.581733896111649e-05
74,어도비 포토샵,0.01,0,0.0546383180502561,5.581733896111649e-05
75,데미지 관리,0.01,0,0.0546383180502561,5.581733896111649e-05
76,기관 소통 업무,0.01,0,0.0546383180502561,5.581733896111649e-05
77,비디오메타 사용,0.01,0,0.0546383180502561,5.581733896111649e-05
78,소프트웨어 테스트하기,0.01,0,0.0546383180502561,5.581733896111649e-05
79,자습감독,0.01,0,0.0546383180502561,5.581733896111649e-05
80,JLPT 2급이상,0.01,0,0.0546383180502561,5.581733896111649e-05
81,한자 관련 자격증,0.01,0,0.0546383180502561,5.581733896111649e-05
82,기성취합,0.01,0,0.0546383180502561,5.581733896111649e-05
83,KUBERNETES,0.01,0,0.0546383180502561,5.581733896111649e-05
84,프로젝트 코디네이팅,0.01,0,0.0546383180502561,5.581733896111649e-05
85,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,5.581733896111649e-05
86,경비지도사 직무교육,0.01,0,0.0546383180502561,5.581733896111649e-05
87,데이터 마이닝,0.01,0,0.0546383180502561,5.581733896111649e-05
88,채권현황 파악,0.01,0,0.0546383180502561,5.581733896111649e-05
89,제품표준서 작성,0.01,0,0.0546383180502561,5.581733896111649e-05
90,일용직 투입,0.01,0,0.0546383180502561,5.581733896111649e-05
91,영업 손익관리,0.01,0,0.0546383180502561,5.581733896111649e-05
92,불꽃놀이 연출,0.01,0,0.0546383180502561,5.581733896111649e-05
93,생산검토,0.01,0,0.0546383180502561,5.581733896111649e-05
94,화학사고대응,0.01,0,0.0546383180502561,5.581733896111649e-05
95,나라사업 발굴,0.01,0,0.0546383180502561,5.581733896111649e-05
96,영상 프로그램,0.01,0,0.0546383180502561,5.581733896111649e-05
97,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,5.581733896111649e-05
98,운영 원칙 이해,0.01,0,0.0546383180502561,5.581733896111649e-05
99,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,5.581733896111649e-05
100,법규 검토,0.01,0,0.0546383180502561,5.581733896111649e-05
101,분양 타당성 분석하기,0.01,0,0.0546383180502561,5.581733896111649e-05
102,각종 사무관리,0.01,0,0.0546383180502561,5.581733896111649e-05
103,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,5.581733896111649e-05
104,가격별 상품 구성,0.01,0,0.0546383180502561,5.581733896111649e-05
105,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,5.581733896111649e-05
106,국제계약규범 활용하기,0.01,0,0.0546383180502561,5.581733896111649e-05
