idx,skill,tf,df,tfidf,pr
0,영업,974.0,17,2506.55008590408,0.05212997885035367
1,관리,1608.0,69,1954.261193265812,0.0406437498480181
2,지원,770.0,41,1329.144883791526,0.02764289254412271
3,업무,1107.0,88,1079.5413468698714,0.022451762642560772
4,경력,437.0,20,1057.2381935110557,0.02198791277998286
5,사무,320.0,33,619.9908097310235,0.012894259715953158
6,영업지원,127.0,5,466.3531866462895,0.00969898103907126
7,판매,163.0,13,460.4382394918873,0.0095759649175128
8,채용,151.0,11,449.81769844087904,0.00935508420043402
9,견적,132.0,7,446.7395147616422,0.009291065671142098
10,자격,179.0,20,433.05637674709146,0.00900649058951243
11,영업관리,207.0,30,420.177832311876,0.00873864904395282
12,급여,145.0,17,373.1517068337696,0.007760623134806245
13,운전,143.0,17,368.00478673951073,0.00765358005708478
14,제품,117.0,10,358.71457427058704,0.007460366850516995
15,협의,117.0,10,358.71457427058704,0.007460366850516995
16,C,232.0,53,342.16467996302987,0.007116170400950593
17,문서,115.0,12,333.37148146986846,0.006933293843225583
18,엑셀,126.0,16,331.4579260821436,0.006893496672424148
19,발주,129.0,18,325.0016745358329,0.006759222772032348
20,계약,126.0,19,310.98054096542404,0.006467618227366023
21,서류,173.0,41,298.6260583064078,0.006210675857315883
22,작성,237.0,66,298.4159869954106,0.00620630689893722
23,모집,175.0,42,297.9605456331083,0.006196834856579913
24,기타,122.0,20,295.1557428108668,0.006138501966036405
25,경험,130.0,24,291.8442774204632,0.00606963176003645
26,경력자,148.0,32,291.16398804675123,0.006055483440853379
27,거래처,243.0,71,288.4812617003218,0.005999689435983052
28,기획,86.0,8,280.9282215812876,0.005842605073745339
29,납품,109.0,22,253.78879721151415,0.005278172858182102
30,거래처 관리,74.0,7,250.4448794875873,0.005208627724731176
31,마감,98.0,23,224.00624151841112,0.004658770115295776
32,접수,96.0,25,211.75058563239628,0.004403883095192714
33,생산,80.0,16,210.44947687755152,0.004376823284078825
34,보조,79.0,16,207.8188584165821,0.004322112993027838
35,전자,57.0,6,200.5215343903069,0.004170346886580101
36,교육,67.0,13,189.2598898524936,0.003936132818854955
37,계산,57.0,8,186.19661197829527,0.0038724242930637713
38,상담,57.0,9,180.1910625857992,0.0037475238713342547
39,전화,80.0,24,179.59647841259272,0.0037351580061762766
40,기술,63.0,13,177.96079195085215,0.0037011398147442113
41,주문,56.0,9,177.02981587376763,0.0036817778385038295
42,상품,74.0,21,175.58641202337975,0.003651758644945166
43,대리점,47.0,5,172.58739978248508,0.0035893866837507812
44,차량,60.0,13,169.4864685246211,0.0035248950616611537
45,운전가능,50.0,8,163.3303613844695,0.00339686341496822
46,행정,46.0,6,161.82439617463365,0.0033655431014506083
47,매출,147.0,79,159.02536004170406,0.003307330143635977
48,견적서,39.0,3,159.02396031232306,0.003307301032762255
49,수출,41.0,4,158.0301495962519,0.0032866322530313453
50,ERP,49.0,9,154.90108888954666,0.0032215556086908504
51,출고,96.0,47,152.89255623530104,0.0031797831480586494
52,대응,41.0,5,150.55496576769977,0.0031311671071017457
53,전산,57.0,18,143.60539107397267,0.0029866333178747585
54,학력,54.0,17,138.96684254499007,0.0028901630984795672
55,응대,75.0,37,136.96842339744182,0.0028486009735167795
56,구매,43.0,9,135.9336086173573,0.002827079411708298
57,사무실,40.0,7,135.37561053383098,0.0028154744458006357
58,컴퓨터,73.0,36,135.26271414384115,0.0028131264829749382
59,인원,44.0,10,134.9012074179985,0.002805608046348271
60,등록,42.0,9,132.7723619053257,0.0027613333788778717
61,출하,66.0,32,129.84340007490258,0.002700418291191372
62,지원업무,35.0,5,128.52253175291443,0.0026729475304527097
63,운전가능자,46.0,14,126.7659537804764,0.002636415097661061
64,재고,66.0,34,125.95992707338895,0.002619651756114613
65,자재,78.0,47,124.22520194118208,0.002583573807797652
66,유통,39.0,9,123.288621769231,0.0025640952803865948
67,컴퓨터활용능력,30.0,3,122.3261233171716,0.0025440777175094274
68,입찰,33.0,5,121.17838708131931,0.0025202076715696974
69,세금계산서,37.0,8,120.86446742450744,0.002513678927076483
70,면허,54.0,25,119.1097044182229,0.0024771842410459015
71,운영,85.0,58,117.83502069519068,0.0024506740045673863
72,근무시간,56.0,28,117.40601460219162,0.00244175174975968
73,컴퓨터활용,33.0,6,116.0914146470198,0.0024144113553884804
74,IT,31.0,5,113.8342424097242,0.0023674678126866856
75,현장,93.0,70,111.7071293025394,0.0023232291749217997
76,정리,57.0,33,110.43586298333858,0.0022967900119041564
77,CE,30.0,5,110.16217007392666,0.00229109788324518
78,운전면허,38.0,12,110.15753300743478,0.002291001443848453
79,경력자 우대,60.0,37,109.57473871795344,0.002278880778813423
80,워드,31.0,6,109.0555713350792,0.0022680833944558445
81,제안,33.0,8,107.79803851374989,0.0022419298538790254
82,프로그램,43.0,19,106.12827985327962,0.0022072030458471347
83,회계,39.0,15,104.95848022864732,0.0021828741365489835
84,거래처관리,37.0,13,104.516655590183,0.002173685288024378
85,부품,34.0,10,104.24184209572614,0.0021679698539963915
86,정규직,62.0,44,102.744497545828,0.0021368288286656616
87,수행,35.0,12,101.46088566474256,0.0021101329088077858
88,기업,111.0,94,101.00499539018269,0.002100651530197186
89,홈페이지,26.0,4,100.21424120737925,0.0020842058189954873
90,매입,49.0,30,99.46238542648273,0.0020685690973608127
91,온라인,52.0,34,99.2411546638822,0.002063968050272119
92,외국어,18.0,0,98.348972490461,0.0020454128902963973
93,재고관리,36.0,15,96.88475098028984,0.002014960741429831
