idx,skill,tf,df,tfidf,pr
0,영업,247.0,17,635.6446316409731,0.0634907407569695
1,관리,260.0,69,315.9875063738253,0.03156210223600761
2,판매,79.0,13,223.15718355741777,0.02228983646526275
3,경력,86.0,20,208.06060558798808,0.020781929577572997
4,지원,88.0,41,151.90227243331725,0.015172609535866695
5,업무,142.0,88,138.47775181167276,0.013831714456842668
6,조형,21.0,0,114.74046790553784,0.011460739129216146
7,제품,37.0,10,113.43965169240786,0.011330808377268967
8,운전,42.0,17,108.08532197943671,0.010795996404019107
9,자격,41.0,20,99.19168405938969,0.009907664100935966
10,경험,44.0,24,98.778063126926,0.009866349979668376
11,급여,38.0,17,97.79148179091894,0.009767806270303001
12,모집,50.0,42,85.13158446660239,0.008503284839589446
13,식품,25.0,7,84.60975658364436,0.008451162573172886
14,거래처,68.0,71,80.72726664864972,0.008063363872949586
15,채용,27.0,11,80.43097919141546,0.008033769490805214
16,C,45.0,53,66.3681491307601,0.006629117499353023
17,납품,27.0,22,62.86511490560443,0.006279220360635783
18,차량,22.0,13,62.14503845902774,0.006207296230832665
19,거래처 관리,18.0,7,60.91902474022394,0.006084837052684478
20,상품,25.0,21,59.31973379168235,0.005925093444456896
21,협의,19.0,10,58.252794112317545,0.005818523220759739
22,기타,23.0,20,55.6441154479503,0.0055579579102811505
23,매니저,15.0,5,55.08108503696333,0.005501720169753115
24,영업관리,27.0,30,54.80580421459252,0.005474224014734249
25,교육,19.0,13,53.67071503279668,0.005360846744810029
26,운전가능,16.0,8,52.26571564303025,0.005220509758420209
27,인원,17.0,10,52.12092104786307,0.005206047092258715
28,유통,16.0,9,50.57994739250504,0.005052128449678378
29,기획,15.0,8,48.99910841534086,0.004894227898518946
30,기술,16.0,13,45.196391606565626,0.004514397258787392
31,매장관리,11.0,3,44.852911882962914,0.004480089123390675
32,환경,13.0,7,43.99707342349507,0.004394604538049901
33,경력자,21.0,32,41.31380911474173,0.004126589313615957
34,운전면허,14.0,12,40.58435426589703,0.004053728431298191
35,배송,13.0,11,38.72602701808893,0.0038681112363136215
36,학력,15.0,17,38.60190070694168,0.0038557130014353945
37,운전가능자,14.0,14,38.5809424549276,0.0038536196069833563
38,인근거주자,10.0,4,38.54393892591509,0.0038499235457713533
39,물류영업,8.0,1,38.16547699572532,0.0038121212469711123
40,상담,12.0,9,37.934960544378775,0.0037890963372587834
41,근무시간,18.0,28,37.737647550704445,0.003769387922358751
42,기술영업,13.0,12,37.68547181833296,0.003764176400491177
43,법인,14.0,15,37.67740315900161,0.0037633704703655016
44,면허,17.0,25,37.497499539070176,0.003745400973691205
45,계약,15.0,19,37.021492972074284,0.003697855524489927
46,서류,21.0,41,36.24940592158708,0.0036207363665136444
47,농업,9.0,4,34.68954503332358,0.003464931191194218
48,거래처관리,12.0,13,33.89729370492422,0.0033857979440905447
49,가공,11.0,10,33.725301854499634,0.0033686187067556387
50,제작,12.0,14,33.0693792470808,0.003303102520271449
51,IT,9.0,5,33.04865102217799,0.0033010321018518687
52,대응,9.0,5,33.04865102217799,0.0033010321018518687
53,한국어,6.0,0,32.782990830153665,0.003274496894061755
54,공기조형물,6.0,0,32.782990830153665,0.003274496894061755
55,매장 관리,6.0,0,32.782990830153665,0.003274496894061755
56,계획,13.0,19,32.08529390913105,0.003204808121224604
57,물류,13.0,19,32.08529390913105,0.003204808121224604
58,4대보험,14.0,23,32.0008916454873,0.0031963776838802773
59,분석,19.0,43,31.913201251039627,0.0031876188148147423
60,정규직,18.0,44,29.829047674595223,0.0029794451784259076
61,대리점,8.0,5,29.37657868638044,0.0029342507572016614
62,수행,10.0,12,28.988824475640733,0.0028955203080701358
63,문서,10.0,12,28.988824475640733,0.0028955203080701358
64,서비스,16.0,39,28.39923761458678,0.0028366300025668006
65,일본어,5.0,0,27.31915902512805,0.0027287474117181293
66,B2B,5.0,0,27.31915902512805,0.0027287474117181293
67,사무,14.0,33,27.12459792573228,0.0027093138670797705
68,자재,17.0,47,27.074723500001227,0.0027043322089694544
69,기존 거래처 관리,6.0,2,26.191317098145003,0.002616094026734667
70,조직,6.0,2,26.191317098145003,0.002616094026734667
71,영업지원,7.0,5,25.70450635058289,0.002567469412551454
72,프로젝트,8.0,9,25.28997369625252,0.002526064224839189
73,운영,18.0,58,24.95329850015803,0.0024924357530005242
74,빅데이터,6.0,3,24.46522466343432,0.002443684976394914
75,접수,11.0,25,24.263087937045405,0.0024234947476825443
76,홍보,9.0,15,24.22118774507246,0.002419309588092108
77,작성,19.0,66,23.923644527058237,0.002389589775513551
78,특판,5.0,1,23.853423122328326,0.0023825757793569454
79,영업직,5.0,1,23.853423122328326,0.0023825757793569454
80,해당직무 근무경험,8.0,11,23.83140124190088,0.0023803761454237672
81,유지,11.0,27,23.447900243354468,0.0023420705242217276
82,행사,8.0,12,23.191059580512587,0.0023164162464561085
83,소통,6.0,4,23.126363355549056,0.002309954127462812
84,재고,12.0,34,22.901804922434355,0.0022875243285595003
85,제안,7.0,8,22.866250593825733,0.0022839730193088413
86,프로그램,9.0,19,22.212895783244573,0.0022187133146939564
87,구매,7.0,9,22.128726984220958,0.0022103061967342907
88,외근,6.0,5,22.03243401478533,0.002200688067901246
89,거래처 영업,5.0,2,21.8260975817875,0.002180078355612222
90,건축,9.0,20,21.773784305719683,0.002174853095327407
91,발굴,10.0,26,21.67994939021281,0.002165480486800817
92,개인,7.0,10,21.461555725590674,0.0021436664497535883
93,참여,6.0,6,21.10752993582178,0.002108304930878693
94,마감,9.0,23,20.57200177209898,0.0020548142253516066
95,기업,21.0,94,19.109053181926456,0.0019086890399006887
96,비행조형물,4.0,1,19.08273849786266,0.0019060606234855562
97,실행,4.0,1,19.08273849786266,0.0019060606234855562
98,1톤,4.0,1,19.08273849786266,0.0019060606234855562
99,신규 거래처 발굴,4.0,1,19.08273849786266,0.0019060606234855562
100,문서작성 우수자,6.0,9,18.967480272189388,0.0018945481686293917
101,영업 관리,7.0,15,18.838701579500803,0.0018816852351827508
102,보조,7.0,16,18.41432922678576,0.001839297218845543
103,영업사원,5.0,5,18.360361678987772,0.001833906723251038
104,디자인,5.0,5,18.360361678987772,0.001833906723251038
105,CE,5.0,5,18.360361678987772,0.001833906723251038
106,전화,8.0,24,17.959647841259272,0.0017938818144851594
107,발주,7.0,18,17.635749781014187,0.0017615295743323293
108,전자,5.0,6,17.589608279851483,0.0017569207757322438
109,소매,4.0,2,17.460878065430002,0.0017440626844897778
110,도매,4.0,2,17.460878065430002,0.0017440626844897778
111,정리,9.0,33,17.43724152368504,0.0017417017716941383
112,개발,10.0,42,17.026316893320477,0.0017006569679178891
113,임금,6.0,13,16.94864685246211,0.0016928989720452724
114,견적,5.0,7,16.921951316728872,0.0016902325146345774
115,경력직,9.0,36,16.67622503143247,0.0016656883855720056
116,경량조형물,3.0,0,16.391495415076832,0.0016372484470308776
117,영업 전략수립,3.0,0,16.391495415076832,0.0016372484470308776
118,전략수립,3.0,0,16.391495415076832,0.0016372484470308776
119,유전,3.0,0,16.391495415076832,0.0016372484470308776
120,가맹점 관리,3.0,0,16.391495415076832,0.0016372484470308776
121,UX,3.0,0,16.391495415076832,0.0016372484470308776
122,성과관리,3.0,0,16.391495415076832,0.0016372484470308776
123,소싱,3.0,0,16.391495415076832,0.0016372484470308776
124,진열,5.0,8,16.333036138446953,0.0016314092995063155
125,인쇄,5.0,8,16.333036138446953,0.0016314092995063155
126,초보,5.0,8,16.333036138446953,0.0016314092995063155
127,평가,6.0,15,16.147458496714975,0.0016128730587280722
128,고객 관리,5.0,9,15.806233560157825,0.0015787901405244934
129,열정,6.0,16,15.783710765816362,0.0015765404732961793
130,성실,6.0,16,15.783710765816362,0.0015765404732961793
131,생산,6.0,16,15.783710765816362,0.0015765404732961793
132,문서작성,9.0,40,15.75233764489172,0.0015734067998751967
133,PL,4.0,4,15.417575570366038,0.0015399694183085414
134,홈페이지,4.0,4,15.417575570366038,0.0015399694183085414
135,운전 가능,5.0,10,15.329682661136196,0.0015311903212525632
136,협의 가능,9.0,44,14.914523837297612,0.0014897225892129538
137,기계,5.0,11,14.894625776188049,0.0014877350908898545
138,제출,14.0,81,14.799575808658997,0.0014782411180834358
139,제품 판매,4.0,5,14.68828934319022,0.0014671253786008307
140,채권,4.0,5,14.68828934319022,0.0014671253786008307
141,배치,4.0,5,14.68828934319022,0.0014671253786008307
142,원료,4.0,5,14.68828934319022,0.0014671253786008307
143,경력자 우대,8.0,37,14.609965162393792,0.0014593020446019103
144,영업 목표관리,3.0,1,14.312053873396994,0.0014295454676141672
145,비료,3.0,1,14.312053873396994,0.0014295454676141672
146,컴퓨터활용,4.0,6,14.071686623881186,0.0014055366205857952
147,출장,4.0,6,14.071686623881186,0.0014055366205857952
148,유경험자,10.0,57,14.033887944791909,0.0014017611365880497
149,관리자,6.0,23,13.714667848065986,0.0013698761502344045
150,근무 시간,4.0,7,13.537561053383095,0.0013521860117076618
151,조리,3.0,2,13.0956585490725,0.0013080470133673332
152,컴퓨터,7.0,36,12.970397246669698,0.0012955354110004487
153,등록,4.0,9,12.644986848126258,0.0012630321124195946
154,건축자재,3.0,3,12.23261233171716,0.001221842488197457
155,견적서,3.0,3,12.23261233171716,0.001221842488197457
156,마감업무,3.0,3,12.23261233171716,0.001221842488197457
157,구내,3.0,3,12.23261233171716,0.001221842488197457
158,매입,6.0,30,12.179067603242782,0.0012164942254964998
159,자동차,6.0,31,11.9885754133553,0.0011974670998946512
160,인터넷,4.0,11,11.91570062095044,0.0011901880727118836
161,무역,4.0,11,11.91570062095044,0.0011901880727118836
162,매출,11.0,79,11.899856873869012,0.0011886055355700706
163,납기,3.0,4,11.563181677774528,0.001154977063731406
164,1종보통,3.0,4,11.563181677774528,0.001154977063731406
165,보험,24.0,146,11.36158123792497,0.0011348404014741701
166,배송업무,3.0,5,11.016217007392664,0.0011003440339506228
167,영업 기획하기,2.0,0,10.92766361005122,0.0010914989646872515
168,건축물 친환경인증,2.0,0,10.92766361005122,0.0010914989646872515
169,매장지원,2.0,0,10.92766361005122,0.0010914989646872515
170,필드영업,2.0,0,10.92766361005122,0.0010914989646872515
171,거래처 개척,2.0,0,10.92766361005122,0.0010914989646872515
172,피트니스,2.0,0,10.92766361005122,0.0010914989646872515
173,전산 입력 업무,2.0,0,10.92766361005122,0.0010914989646872515
174,신규 거래처 영업,2.0,0,10.92766361005122,0.0010914989646872515
175,근무 환경,2.0,0,10.92766361005122,0.0010914989646872515
176,경쟁사 분석,2.0,0,10.92766361005122,0.0010914989646872515
177,영업판매관리,2.0,0,10.92766361005122,0.0010914989646872515
178,물류영업 기획,2.0,0,10.92766361005122,0.0010914989646872515
179,업체 관리,5.0,26,10.839974695106404,0.0010827402434004086
180,원가,5.0,26,10.839974695106404,0.0010827402434004086
181,현장,9.0,70,10.810367351858652,0.0010797829429512681
182,의료기기,4.0,15,10.764972331143316,0.0010752487058187147
183,팀원,6.0,39,10.649714105470045,0.0010637362509625505
184,유관업무 경험,3.0,6,10.55376496791089,0.0010541524654393464
185,경력 무관,3.0,6,10.55376496791089,0.0010541524654393464
186,설계,3.0,6,10.55376496791089,0.0010541524654393464
187,엑셀,4.0,16,10.522473843877576,0.001051026982197453
188,MR,3.0,7,10.153170790037322,0.0010141395087807463
189,수금,3.0,7,10.153170790037322,0.0010141395087807463
190,시공,3.0,7,10.153170790037322,0.0010141395087807463
191,사무실,3.0,7,10.153170790037322,0.0010141395087807463
192,전산,4.0,18,10.07757130343668,0.0010065883281899024
193,세금계산서,3.0,8,9.79982168306817,0.0009788455797037892
194,퇴직연금,3.0,8,9.79982168306817,0.0009788455797037892
195,계산,3.0,8,9.79982168306817,0.0009788455797037892
196,온라인,5.0,34,9.54241871768098,0.0009531351368997916
197,판매실적 정리,2.0,1,9.54136924893133,0.0009530303117427781
198,공공조달 마케팅,2.0,1,9.54136924893133,0.0009530303117427781
199,강의,2.0,1,9.54136924893133,0.0009530303117427781
200,꼼꼼함,2.0,1,9.54136924893133,0.0009530303117427781
