idx,skill,tf,df,tfidf,pr
0,운송,22.0,10,67.45060370899927,0.03878791295527676
1,배차,17.0,9,53.7411941045366,0.030904226862557838
2,관리,36.0,69,43.75211626714504,0.02515994200290233
3,차량,13.0,13,36.722068180334574,0.021117266648371245
4,급여,14.0,17,36.02844065981224,0.02071839158410232
5,업무,34.0,88,33.15664479997799,0.019066946501162117
6,정산,8.0,7,27.075122106766194,0.015569726908027964
7,지원,13.0,41,22.440108427649143,0.012904331830057406
8,경력,9.0,20,21.773784305719683,0.012521157764590105
9,보조,7.0,16,18.41432922678576,0.010589281042759283
10,사무,9.0,33,17.43724152368504,0.010027400337568713
11,시내,3.0,0,16.391495415076832,0.00942603716506085
12,컨테이너 운송,3.0,0,16.391495415076832,0.00942603716506085
13,협의,5.0,10,15.329682661136196,0.0088154347625629
14,교육,5.0,13,14.123872377051756,0.008122025633988937
15,운송배차,3.0,2,13.0956585490725,0.007530744514680732
16,대출,3.0,2,13.0956585490725,0.007530744514680732
17,근무시간,6.0,28,12.579215850234815,0.007233760746598732
18,배송,4.0,11,11.91570062095044,0.0068522019533073224
19,채용,4.0,11,11.91570062095044,0.0068522019533073224
20,수출,3.0,4,11.563181677774528,0.006649483618242679
21,통관,2.0,0,10.92766361005122,0.0062840247767072316
22,감독,2.0,0,10.92766361005122,0.0062840247767072316
23,발생,4.0,15,10.764972331143316,0.006190468087547155
24,C,7.0,53,10.323934309229353,0.0059368462744975575
25,모집,6.0,42,10.215790135992286,0.005874657256942774
26,자동차,5.0,31,9.990479511129418,0.005745090901350409
27,총괄,4.0,23,9.143111898710655,0.005257806586840493
28,접수,4.0,25,8.822941068016512,0.005073690246453666
29,서류,5.0,41,8.630810933711208,0.004963204550022079
30,지게차,3.0,14,8.2673448117702,0.0047541909678625646
31,특근,2.0,3,8.15507488781144,0.004689629410240405
32,법인,3.0,15,8.073729248357488,0.004642851065660366
33,출고,5.0,47,7.963153970588595,0.004579264025467083
34,영업,3.0,17,7.720380141388336,0.004439655339450497
35,운전,3.0,17,7.720380141388336,0.004439655339450497
