idx,skill,tf,df,tfidf,pr
0,개발,283.0,42,481.8447680809695,0.04919227034555299
1,JAVA,69.0,0,377.0043945467671,0.038488956042560286
2,C,197.0,53,290.54500841688315,0.02966218489518299
3,경험,122.0,24,273.884629579204,0.02796130130334388
4,경력,70.0,20,169.3516557111531,0.017289369903068334
5,보수,30.0,1,143.12053873396997,0.014611394996447407
6,SPRING,26.0,0,142.05962693066587,0.014503084885602428
7,설계,40.0,6,140.71686623881186,0.014366000390058076
8,API,25.0,0,136.59579512564025,0.013945273928463871
9,AS,41.0,10,125.7033978213168,0.012833252405350826
10,서버,23.0,0,125.66813151558904,0.012829652014186763
11,IPT,28.0,2,122.22614645801002,0.012478254488066217
12,프로젝트,38.0,9,120.12737505719946,0.012263987701371878
13,IT,32.0,5,117.50631474552176,0.011996399639852485
14,IP,29.0,4,111.77742288515378,0.011411528295709752
15,DB,20.0,0,109.2766361005122,0.011156219142771097
16,유지보수,24.0,2,104.76526839258,0.010695646704056755
17,PHP,21.0,1,100.18437711377896,0.010227976497513183
18,SQL,37.0,15,99.57599406307568,0.010165865740094274
19,자격,41.0,20,99.19168405938969,0.010126630943225742
20,JSP,18.0,0,98.348972490461,0.01004059722849399
21,JAVASCRIPT,24.0,3,97.86089865373728,0.009990769022990531
22,서비스,53.0,39,94.0724745983187,0.009604003008989876
23,CSS,17.0,0,92.88514068543536,0.009482786271355431
24,REACT,21.0,2,91.66960984350752,0.009358690866049662
25,지원,52.0,41,89.76043371059657,0.009163780150630935
26,HTML,22.0,3,89.70582376592583,0.00915820493774132
27,JQUERY,16.0,0,87.42130888040977,0.008924975314216878
28,UI,16.0,0,87.42130888040977,0.008924975314216878
29,GIT,15.0,0,81.95747707538416,0.008367164357078323
30,WEB,15.0,0,81.95747707538416,0.008367164357078323
31,기술,28.0,13,79.09368531148985,0.008074795469845363
32,웹 개발,19.0,3,77.47321143420868,0.007909358809867505
33,프론트엔드,14.0,0,76.49364527035854,0.007809353399939768
34,프론트,17.0,2,74.2087317780775,0.007576083082040203
35,업무,73.0,88,71.18926677642332,0.00726782127554208
36,백엔드,13.0,0,71.02981346533294,0.007251542442801214
37,UX,13.0,0,71.02981346533294,0.007251542442801214
38,채용,22.0,11,65.53635341522741,0.006690706692745138
39,유지,30.0,27,63.948818845512186,0.006528632857125075
40,MYSQL,23.0,15,61.89859090407406,0.006319321946545088
41,프로그램,23.0,19,56.76628922384724,0.005795357407604138
42,게임,10.0,0,54.6383180502561,0.005578109571385549
43,환경,16.0,7,54.15024421353239,0.0055282813658820915
44,관리,41.0,69,49.82879908202629,0.0050870984138721214
45,수행,17.0,12,49.28100160858925,0.005031172930826516
46,AWS,9.0,0,49.1744862452305,0.005020298614246995
47,연구,11.0,2,48.01741467993251,0.0049021714060260135
48,쇼핑몰,15.0,9,47.41870068047347,0.00484104777685732
49,NODE.JS,8.0,0,43.71065444020488,0.004462487657108438
50,정보처리기사,8.0,0,43.71065444020488,0.004462487657108438
51,LINUX,9.0,1,42.93616162019099,0.004383418498934222
52,학력,16.0,17,41.17536075407113,0.004203655641747202
53,급여,16.0,17,41.17536075407113,0.004203655641747202
54,BI,11.0,5,40.39279569377311,0.004123762376199292
55,CS,21.0,34,40.078158614260126,0.004091640594867556
56,솔루션,17.0,22,39.58173901463983,0.004040960357647985
57,테스트,12.0,8,39.19928673227268,0.004001915218394097
58,모집,23.0,42,39.16052885463709,0.003997958367306426
59,C#,10.0,4,38.54393892591509,0.003935009757141293
60,PL,10.0,4,38.54393892591509,0.003935009757141293
61,SPRING BOOT,7.0,0,38.24682263517927,0.003904676699969884
62,웹사이트,7.0,0,38.24682263517927,0.003904676699969884
63,프로그램 개발,11.0,7,37.22829289680352,0.003800693439043938
64,제품,12.0,10,36.79123838672688,0.0037560738747368285
65,경력자,18.0,32,35.41183638406434,0.0036152486116538215
66,SI,9.0,4,34.68954503332358,0.003541508781427164
67,열정,13.0,16,34.19803999260212,0.003491330279052496
68,CE,9.0,5,33.04865102217799,0.003373987398708511
69,AJAX,6.0,0,32.782990830153665,0.0033468657428313295
70,HTML5,6.0,0,32.782990830153665,0.0033468657428313295
71,기능,12.0,16,31.567421531632725,0.003222766411433073
72,GO,7.0,2,30.556536614502505,0.0031195636220165543
73,기타,12.0,20,29.031712407626244,0.0029638919833831433
74,앱 개발,6.0,1,28.62410774679399,0.002922278999289481
75,REST API,5.0,0,27.31915902512805,0.0027890547856927743
76,ORACLE,5.0,0,27.31915902512805,0.0027890547856927743
77,DBMS,5.0,0,27.31915902512805,0.0027890547856927743
78,앱스토어,5.0,0,27.31915902512805,0.0027890547856927743
79,CI,5.0,0,27.31915902512805,0.0027890547856927743
80,MVC,5.0,0,27.31915902512805,0.0027890547856927743
81,소프트웨어 개발,7.0,4,26.980757248140566,0.0027545068299989054
82,운영,19.0,58,26.33959286127792,0.002689049375765039
83,학사,6.0,2,26.191317098145003,0.0026739116760141892
84,기획,8.0,8,26.132857821515124,0.0026679434789293986
85,PYTHON,7.0,5,25.70450635058289,0.002624212421217731
86,제작,9.0,14,24.8020344353106,0.002532077681201454
87,데이터베이스,10.0,19,24.680995314716192,0.0025197206120017995
88,협의,8.0,10,24.527492257817915,0.0025040492498245516
89,서류,14.0,41,24.166270614391383,0.0024671715790160207
90,유경험자,17.0,57,23.857609506146243,0.002435659893743553
91,카페,5.0,1,23.853423122328326,0.002435232499407901
92,분석,14.0,43,23.514990395502885,0.0024006813839976735
93,소통,6.0,4,23.126363355549056,0.002361005854284776
94,진행,19.0,69,23.09139469654877,0.0023574358503309833
95,교육,8.0,13,22.598195803282813,0.002307084419955818
96,구축,19.0,73,22.03556752460737,0.002249644837289218
97,디자인,6.0,5,22.03243401478533,0.0022493249324723407
98,협업,12.0,37,21.91494774359069,0.0022373305791092957
99,MYBATIS,4.0,0,21.85532722010244,0.002231243828554219
100,ANDROID,4.0,0,21.85532722010244,0.002231243828554219
101,NEXTJS,4.0,0,21.85532722010244,0.002231243828554219
102,SPRING FRAMEWORK,4.0,0,21.85532722010244,0.002231243828554219
103,공간,4.0,0,21.85532722010244,0.002231243828554219
104,W 개발,4.0,0,21.85532722010244,0.002231243828554219
105,경험 보유자,4.0,0,21.85532722010244,0.002231243828554219
106,프로젝트 개발,5.0,2,21.8260975817875,0.0022282597300118242
107,웹개발,5.0,2,21.8260975817875,0.0022282597300118242
108,AI,7.0,11,20.852476086663263,0.002128861220418907
109,AR,15.0,59,20.54230864205264,0.0020971957509598486
110,최적화,5.0,3,20.3876872195286,0.0020814102131230276
111,커뮤니케이션,7.0,12,20.292177132948517,0.002071659442105036
112,펌웨어,4.0,1,19.08273849786266,0.0019481859995263207
113,등록,6.0,9,18.967480272189388,0.001936419110742928
114,MES,5.0,5,18.360361678987772,0.0018744374437269502
115,전자,5.0,6,17.589608279851483,0.0017957500487572596
116,.NET,6.0,12,17.39329468538444,0.0017757080932328877
117,보고,5.0,7,16.921951316728872,0.0017275879268381538
118,CONFLUENCE,3.0,0,16.391495415076832,0.0016734328714156648
119,DJANGO,3.0,0,16.391495415076832,0.0016734328714156648
120,JIRA,3.0,0,16.391495415076832,0.0016734328714156648
121,웹 접근성,3.0,0,16.391495415076832,0.0016734328714156648
122,클라우드 서비스,3.0,0,16.391495415076832,0.0016734328714156648
123,네트워크,3.0,0,16.391495415076832,0.0016734328714156648
124,관련학과 전공자,3.0,0,16.391495415076832,0.0016734328714156648
125,POP,3.0,0,16.391495415076832,0.0016734328714156648
126,TYPESCRIPT,3.0,0,16.391495415076832,0.0016734328714156648
127,안드로이드,3.0,0,16.391495415076832,0.0016734328714156648
128,GITHUB,4.0,3,16.31014977562288,0.001665128170498422
129,인터넷 쇼핑몰,4.0,3,16.31014977562288,0.001665128170498422
130,POS,4.0,3,16.31014977562288,0.001665128170498422
131,ERP,5.0,9,15.806233560157825,0.0016136825922857736
132,VUE.JS,4.0,4,15.417575570366038,0.0015740039028565174
133,정규직,9.0,44,14.914523837297612,0.001522646580975744
134,NAVER,4.0,5,14.68828934319022,0.0014995499549815606
135,백엔드 기술,3.0,1,14.312053873396994,0.0014611394996447405
136,시스템 설계,3.0,1,14.312053873396994,0.0014611394996447405
137,판매,5.0,13,14.123872377051756,0.001441927762472386
138,백엔드 개발,3.0,2,13.0956585490725,0.0013369558380070944
139,모니터링,3.0,2,13.0956585490725,0.0013369558380070944
140,이미지,3.0,2,13.0956585490725,0.0013369558380070944
141,공학,3.0,2,13.0956585490725,0.0013369558380070944
142,자격증,8.0,47,12.741046352941751,0.0013007529357957277
143,실무,4.0,9,12.644986848126258,0.0012909460738286186
144,딥러닝,3.0,3,12.23261233171716,0.0012488461278738164
145,상품 등록,3.0,3,12.23261233171716,0.0012488461278738164
146,시행,3.0,3,12.23261233171716,0.0012488461278738164
147,인터넷,4.0,11,11.91570062095044,0.0012164921259536618
148,PM,3.0,4,11.563181677774528,0.001180502927142388
149,홈페이지,3.0,4,11.563181677774528,0.001180502927142388
150,온라인,6.0,34,11.450902461217176,0.0011690401699621584
151,클라우드,5.0,25,11.02867633502064,0.0011259344580758662
152,접수,5.0,25,11.02867633502064,0.0011259344580758662
153,경력자 우대,6.0,37,10.957473871795344,0.0011186652895546476
154,UI 설계,2.0,0,10.92766361005122,0.0011156219142771095
155,모듈 구현하기,2.0,0,10.92766361005122,0.0011156219142771095
156,SPRING MVC,2.0,0,10.92766361005122,0.0011156219142771095
157,데이터베이스 관리,2.0,0,10.92766361005122,0.0011156219142771095
158,채용 프로세스,2.0,0,10.92766361005122,0.0011156219142771095
159,인터페이스 설계,2.0,0,10.92766361005122,0.0011156219142771095
160,MS-SQL,2.0,0,10.92766361005122,0.0011156219142771095
