idx,skill,tf,df,tfidf,pr
0,기획,52.0,8,169.8635758398483,0.062357349518680195
1,경험,30.0,24,67.34867940472228,0.024723871027072783
2,프로젝트,20.0,9,63.22493424063129,0.023210033718210097
3,주차,14.0,6,49.25090318358415,0.018080131474595824
4,UX,9.0,0,49.1744862452305,0.01805207862270862
5,설계,13.0,6,45.73298152761386,0.016788693512124697
6,개발,26.0,42,44.26842392263324,0.01625105070075399
7,서비스 기획,9.0,1,42.93616162019099,0.015761973830487937
8,경력,17.0,20,41.12825924413718,0.015098288282825088
9,UI,7.0,0,38.24682263517927,0.014040505595440038
10,디자인,10.0,5,36.72072335797555,0.01348027068010704
11,CE,10.0,5,36.72072335797555,0.01348027068010704
12,채용,12.0,11,35.74710186285132,0.013122851759834204
13,서비스,20.0,39,35.49904701823348,0.013031790197229281
14,C,24.0,53,35.396346203072056,0.0129940884675017
15,커뮤니케이션,12.0,12,34.78658937076888,0.012770245187826594
16,제품,10.0,10,30.659365322272397,0.011255130771675096
17,지원,16.0,41,27.618594987875863,0.010138856269560693
18,PM,7.0,4,26.980757248140566,0.009904704417545176
19,IT,7.0,5,25.70450635058289,0.009436189476074929
20,관리,21.0,69,25.522067822501278,0.009369215829694232
21,자격,10.0,20,24.19309367302187,0.008881346048720639
22,제안,7.0,8,22.866250593825733,0.008394258589053103
23,공간,4.0,0,21.85532722010244,0.008023146054537163
24,업무,21.0,88,20.479104141162875,0.007517931071720484
25,수행,7.0,12,20.292177132948517,0.007449309692898848
26,소통,5.0,4,19.271969462957543,0.007074788869675124
27,기능,7.0,16,18.41432922678576,0.0067599469637289675
28,기술,6.0,13,16.94864685246211,0.006221891246679661
29,모바일 서비스 기획,3.0,0,16.391495415076832,0.006017359540902874
30,콘텐츠 기획,3.0,0,16.391495415076832,0.006017359540902874
31,UNITY,3.0,0,16.391495415076832,0.006017359540902874
32,XR,3.0,0,16.391495415076832,0.006017359540902874
33,전략기획,3.0,0,16.391495415076832,0.006017359540902874
34,홈페이지,4.0,4,15.417575570366038,0.0056598310957401005
35,분석,9.0,43,15.11677953996614,0.005549408110066219
36,촬영,4.0,5,14.68828934319022,0.005392108272042816
37,문서,5.0,12,14.494412237820368,0.005320935494927749
38,UX 설계,3.0,1,14.312053873396994,0.005253991276829312
39,UX 기획,3.0,1,14.312053873396994,0.005253991276829312
40,온라인 마케팅,3.0,1,14.312053873396994,0.005253991276829312
41,운영,10.0,58,13.862943611198906,0.005089121760490409
42,작성,11.0,66,13.850531041981082,0.005084565074848336
43,온라인,7.0,34,13.359386204753374,0.004904264559403053
44,SNS,3.0,2,13.0956585490725,0.004807449468105672
45,학력,5.0,17,12.867300235647228,0.004723618552058187
46,해외,8.0,51,12.100704691553462,0.00444219938349207
47,SI,3.0,4,11.563181677774528,0.004244873321805075
48,FIGMA,2.0,0,10.92766361005122,0.0040115730272685815
49,네트워크,2.0,0,10.92766361005122,0.0040115730272685815
50,소통 역량,2.0,0,10.92766361005122,0.0040115730272685815
51,사업기획,2.0,0,10.92766361005122,0.0040115730272685815
52,게임,2.0,0,10.92766361005122,0.0040115730272685815
53,데이터 분석,2.0,0,10.92766361005122,0.0040115730272685815
54,컨설팅,2.0,0,10.92766361005122,0.0040115730272685815
55,UNREAL,2.0,0,10.92766361005122,0.0040115730272685815
56,운영 기획,2.0,0,10.92766361005122,0.0040115730272685815
57,WEB,2.0,0,10.92766361005122,0.0040115730272685815
58,프로젝트 기획,2.0,0,10.92766361005122,0.0040115730272685815
59,서류,6.0,41,10.35697312045345,0.0038020711010852606
60,모집,6.0,42,10.215790135992286,0.0037502424694047663
61,환경,3.0,7,10.153170790037322,0.003727254748682189
62,실행,2.0,1,9.54136924893133,0.0035026608512195414
63,PPT,2.0,1,9.54136924893133,0.0035026608512195414
64,실무,3.0,9,9.483740136094694,0.0034815050577315146
65,협업,5.0,37,9.131228226496122,0.003352097041635936
66,마케팅,8.0,77,8.856983826688147,0.0032514212268957006
67,프로젝트 관리,3.0,12,8.69664734269222,0.0031925612969566485
68,교육,3.0,13,8.474323426231056,0.0031109456233398306
69,개선,6.0,57,8.420332766875145,0.0030911255153528495
70,정규직,5.0,44,8.285846576276452,0.0030417552936844606
71,SNS 마케팅,2.0,3,8.15507488781144,0.0029937486751705003
72,제안서 작성,2.0,3,8.15507488781144,0.0029937486751705003
73,제품 관리,2.0,3,8.15507488781144,0.0029937486751705003
74,구축,7.0,73,8.118366982750082,0.002980273110119593
75,엑셀,3.0,16,7.891855382908181,0.002897120127312414
76,영업,3.0,17,7.720380141388336,0.002834171131234912
77,소프트웨어 개발,2.0,4,7.708787785183019,0.0028299155478700502
78,확정,2.0,4,7.708787785183019,0.0028299155478700502
79,BI,2.0,5,7.34414467159511,0.002696054136021408
80,기타,3.0,20,7.257928101906561,0.002664403814616192
81,파워포인트,2.0,6,7.035843311940593,0.002582875924942261
82,참여,2.0,6,7.035843311940593,0.002582875924942261
83,3D,3.0,23,6.857333924032993,0.002517344675884989
84,프로모션,2.0,7,6.768780526691549,0.0024848364991214593
85,보고,2.0,7,6.768780526691549,0.0024848364991214593
86,사무실,2.0,7,6.768780526691549,0.0024848364991214593
87,접수,3.0,25,6.617205801012384,0.0024291930328830874
88,기업,7.0,94,6.369684393975485,0.0023383272965670937
89,문서작성 우수자,2.0,9,6.322493424063129,0.0023210033718210096
90,보고서,2.0,9,6.322493424063129,0.0023210033718210096
91,근무시간,3.0,28,6.289607925117408,0.002308931021749986
92,AI,2.0,11,5.957850310475219,0.002187141959972367
93,유경험자,4.0,57,5.613555177916763,0.0020607503435685665
94,인사,2.0,14,5.5115632078468,0.0020233088326719172
95,제작,2.0,14,5.5115632078468,0.0020233088326719172
96,GIT,1.0,0,5.4638318050256105,0.002005786513634291
97,모바일 앱 구축,1.0,0,5.4638318050256105,0.002005786513634291
98,제안시기획지원,1.0,0,5.4638318050256105,0.002005786513634291
99,UNREAL 지식,1.0,0,5.4638318050256105,0.002005786513634291
100,원활한 협업 경험,1.0,0,5.4638318050256105,0.002005786513634291
101,XR 프로젝트 개발 경험,1.0,0,5.4638318050256105,0.002005786513634291
102,영어능통,1.0,0,5.4638318050256105,0.002005786513634291
103,디자인 직군 경험,1.0,0,5.4638318050256105,0.002005786513634291
104,전략적인 사고,1.0,0,5.4638318050256105,0.002005786513634291
105,서비스 기획 초기부터 출시까지 참여 경험,1.0,0,5.4638318050256105,0.002005786513634291
106,관련 기술의 이해,1.0,0,5.4638318050256105,0.002005786513634291
107,프로모션 페이지,1.0,0,5.4638318050256105,0.002005786513634291
108,개발 직군,1.0,0,5.4638318050256105,0.002005786513634291
109,UNITY3D,1.0,0,5.4638318050256105,0.002005786513634291
110,유연한 사고,1.0,0,5.4638318050256105,0.002005786513634291
111,기획안 작성,1.0,0,5.4638318050256105,0.002005786513634291
112,프로젝트관리,1.0,0,5.4638318050256105,0.002005786513634291
113,인공지능,1.0,0,5.4638318050256105,0.002005786513634291
114,개발에 대한 지식과 이해도,1.0,0,5.4638318050256105,0.002005786513634291
115,벤치마킹,1.0,0,5.4638318050256105,0.002005786513634291
116,당사 SNS 계정 운영,1.0,0,5.4638318050256105,0.002005786513634291
