idx,skill,tf,df,tfidf,pr
0,홈페이지,21.0,4,80.9422717444217,0.04185184205106476
1,관리,49.0,69,59.5514915858363,0.030791569918192926
2,디자인,16.0,5,58.75315737276088,0.030378784896602572
3,쇼핑몰,12.0,9,37.934960544378775,0.019614571505106412
4,경력,14.0,20,33.87033114223062,0.017512922711853438
5,등록,10.0,9,31.61246712031565,0.016345476254255347
6,경험,12.0,24,26.93947176188891,0.013929267029688913
7,SNS,6.0,2,26.191317098145003,0.013542427741119831
8,제작,9.0,14,24.8020344353106,0.012824088147775822
9,상품,10.0,21,23.72789351667294,0.012268695086788415
10,온라인,11.0,34,20.99332117889816,0.010854762822580025
11,업무,21.0,88,20.479104141162875,0.010588882834540935
12,운영,14.0,58,19.408121055678468,0.010035122556171377
13,자격,8.0,20,19.354474938417496,0.010007384406773392
14,오픈마켓,4.0,1,19.08273849786266,0.00986688093010388
15,상품등록,4.0,1,19.08273849786266,0.00986688093010388
16,모집,11.0,42,18.728948582652524,0.009683951055125982
17,쇼핑몰관리,4.0,2,17.460878065430002,0.009028285160746554
18,근무시간,8.0,28,16.772287800313087,0.008672244115783418
19,지원,9.0,41,15.535459680680177,0.008032732350279266
20,제품,5.0,10,15.329682661136196,0.007926333714139096
21,운영 관리,3.0,1,14.312053873396994,0.007400160697577911
22,카페,3.0,1,14.312053873396994,0.007400160697577911
23,C,9.0,53,13.27362982615202,0.006863235327549373
24,기획,4.0,8,13.066428910757562,0.006756100454793315
25,홈페이지 관리,4.0,9,12.644986848126258,0.0065381905017021374
26,런칭,4.0,10,12.263746128908958,0.006341066971311277
27,협의,4.0,10,12.263746128908958,0.006341066971311277
28,포토샵,3.0,5,11.016217007392664,0.005696022168112981
29,제품설계,2.0,0,10.92766361005122,0.005650234933349895
30,미디어,3.0,6,10.55376496791089,0.005456907682004951
31,유튜브,5.0,28,10.48267987519568,0.005420152572364638
32,급여,4.0,17,10.293840188517782,0.0053225115181974045
33,회사 홈페이지 개선,2.0,1,9.54136924893133,0.00493344046505194
34,카페24,2.0,1,9.54136924893133,0.00493344046505194
35,상품 기획,2.0,1,9.54136924893133,0.00493344046505194
36,온라인 쇼핑,2.0,1,9.54136924893133,0.00493344046505194
37,실행,2.0,1,9.54136924893133,0.00493344046505194
38,주문,3.0,9,9.483740136094694,0.004903642876276603
39,인원,3.0,10,9.19780959668172,0.004755800228483459
40,전화,4.0,24,8.979823920629636,0.004643089009896305
41,블로그,3.0,11,8.936775465712829,0.0046208304656660485
42,쇼핑몰 관리,2.0,2,8.730439032715001,0.004514142580373277
43,판매,3.0,13,8.474323426231056,0.0043817159795580185
44,정규직,5.0,44,8.285846576276452,0.004284262532989465
45,상품 등록,2.0,3,8.15507488781144,0.0042166459967539855
46,생산,3.0,16,7.891855382908181,0.004080546269052312
47,경력자,4.0,32,7.869296974236519,0.00406888226535804
48,사무,4.0,33,7.749885121637795,0.0040071394221405056
49,농업,2.0,4,7.708787785183019,0.0039858897191490245
50,정비,2.0,4,7.708787785183019,0.0039858897191490245
51,계약,3.0,19,7.404298594414858,0.00382845117382967
52,프로그램,3.0,19,7.404298594414858,0.00382845117382967
53,진행,6.0,69,7.292019377857507,0.0037703963165134197
54,기타,3.0,20,7.257928101906561,0.0037527691525400223
55,금속,2.0,6,7.035843311940593,0.003637938454669967
56,설계,2.0,6,7.035843311940593,0.003637938454669967
57,솔루션,3.0,22,6.985012767289382,0.003611656119367725
58,4대보험,3.0,23,6.857333924032993,0.003545638763219115
59,일러스트,2.0,7,6.768780526691549,0.0034998515284560294
60,시공,2.0,7,6.768780526691549,0.0034998515284560294
61,식품,2.0,7,6.768780526691549,0.0034998515284560294
62,환경,2.0,7,6.768780526691549,0.0034998515284560294
63,웹디자인,2.0,8,6.533214455378781,0.0033780502273966576
64,CCTV,2.0,8,6.533214455378781,0.0033780502273966576
65,건강보험,2.0,8,6.533214455378781,0.0033780502273966576
66,실무,2.0,9,6.322493424063129,0.0032690952508510687
67,SNS 관리,2.0,10,6.131873064454479,0.0031705334856556387
68,인터넷,2.0,11,5.957850310475219,0.003080553643777366
69,채용,2.0,11,5.957850310475219,0.003080553643777366
70,행사,2.0,12,5.797764895128147,0.002997780213116315
71,문서,2.0,12,5.797764895128147,0.002997780213116315
72,임금,2.0,13,5.649548950820703,0.002921143986372012
73,마케팅,5.0,77,5.535614891680092,0.002862233479604352
74,온라인 프로모션 등록,1.0,0,5.4638318050256105,0.002825117466674948
75,DJANGO,1.0,0,5.4638318050256105,0.002825117466674948
76,네트워크,1.0,0,5.4638318050256105,0.002825117466674948
77,회사 홈페이지 운영,1.0,0,5.4638318050256105,0.002825117466674948
78,전산입력 사무 보조,1.0,0,5.4638318050256105,0.002825117466674948
79,온라인 상품 등록,1.0,0,5.4638318050256105,0.002825117466674948
80,오프라인홍보,1.0,0,5.4638318050256105,0.002825117466674948
81,그 외 디자인 관련 업무,1.0,0,5.4638318050256105,0.002825117466674948
82,회사 홈페이지 유지,1.0,0,5.4638318050256105,0.002825117466674948
83,오픈마켓 운영,1.0,0,5.4638318050256105,0.002825117466674948
84,MVC,1.0,0,5.4638318050256105,0.002825117466674948
85,온라인 배너 등록,1.0,0,5.4638318050256105,0.002825117466674948
86,온라인홍보,1.0,0,5.4638318050256105,0.002825117466674948
87,관련전공자,1.0,0,5.4638318050256105,0.002825117466674948
88,금속구조물,1.0,0,5.4638318050256105,0.002825117466674948
89,JQUERY,1.0,0,5.4638318050256105,0.002825117466674948
90,상세 페이지,1.0,0,5.4638318050256105,0.002825117466674948
91,SNS 운영,1.0,0,5.4638318050256105,0.002825117466674948
92,전화주문 상담,1.0,0,5.4638318050256105,0.002825117466674948
93,회사 홈페이지 제작,1.0,0,5.4638318050256105,0.002825117466674948
94,포토샵 자격증,1.0,0,5.4638318050256105,0.002825117466674948
95,제조사,1.0,0,5.4638318050256105,0.002825117466674948
96,웹사이트,1.0,0,5.4638318050256105,0.002825117466674948
97,JAVA,1.0,0,5.4638318050256105,0.002825117466674948
98,기업,6.0,94,5.459729480550416,0.002822996327345919
99,홍보,2.0,15,5.382486165571658,0.002783057060158074
100,법인,2.0,15,5.382486165571658,0.002783057060158074
101,보조,2.0,16,5.261236921938788,0.002720364179368208
102,학력,2.0,17,5.146920094258891,0.0026612557590987023
103,전산,2.0,18,5.03878565171834,0.002605343989982845
104,이미지제작,1.0,1,4.770684624465665,0.00246672023252597
105,온라인 상품등록,1.0,1,4.770684624465665,0.00246672023252597
106,온라인 마케팅,1.0,1,4.770684624465665,0.00246672023252597
