idx,skill,tf,df,tfidf,pr
0,IT,35.0,5,128.52253175291443,0.060972752372658603
1,C,81.0,53,119.4626684353682,0.05667463596414525
2,CE,19.0,5,69.76937438015355,0.033099494145157525
3,SI,18.0,4,69.37909006664717,0.032914338215860185
4,경력,25.0,20,60.48273418255468,0.028693791849852927
5,UI,9.0,0,49.1744862452305,0.023329012679639768
6,관리,40.0,69,48.613462519050046,0.0230628557632996
7,매니저,12.0,5,44.06486802957066,0.020904943670625807
8,지원,20.0,41,34.52324373484483,0.01637827361969858
9,채용,11.0,11,32.768176707613705,0.015545647108305919
10,AS,10.0,10,30.659365322272397,0.014545199695347583
11,AR,22.0,59,30.128719341677208,0.014293454374654868
12,POS,7.0,3,28.54276210734004,0.013541055737591186
13,급여,11.0,17,28.3080605184239,0.013429710266355333
14,CI,5.0,0,27.31915902512805,0.01296056259979987
15,PL,7.0,4,26.980757248140566,0.012800020417278962
16,교육,9.0,13,25.422970278693164,0.01206098611845208
17,홀서빙,4.0,1,19.08273849786266,0.009053098107803144
18,IA,7.0,15,18.838701579500803,0.008937323835462552
19,협의,6.0,10,18.39561919336344,0.008727119817208551
20,경력자,9.0,32,17.70591819203217,0.008399916736225106
21,업무,18.0,88,17.553517835282463,0.008327616034652645
22,판매,6.0,13,16.94864685246211,0.008040657412301389
23,근무시간,8.0,28,16.772287800313087,0.00795699039556356
24,BI,4.0,5,14.68828934319022,0.006968314556875269
25,구미,4.0,5,14.68828934319022,0.006968314556875269
26,카페,3.0,1,14.312053873396994,0.006789823580852358
27,GO,3.0,2,13.0956585490725,0.006212749896684014
28,모집,7.0,42,11.918421825324334,0.005654253559410694
29,관리자,5.0,23,11.428889873388322,0.0054220132660022045
30,OA,3.0,5,11.016217007392664,0.005226235917656451
31,홀 관리,2.0,0,10.92766361005122,0.005184225039919947
32,매장 관리,2.0,0,10.92766361005122,0.005184225039919947
33,직원관리,3.0,8,9.79982168306817,0.004649162233488108
34,고객응대,3.0,8,9.79982168306817,0.004649162233488108
35,MANAGEMENT,4.0,21,9.491157406669176,0.004502727906102281
36,4대보험,4.0,23,9.143111898710655,0.004337610612801763
37,응대,5.0,37,9.131228226496122,0.004331972844907433
38,경험,4.0,24,8.979823920629636,0.004260144682764633
39,AI,3.0,11,8.936775465712829,0.004239721938628887
40,서비스,5.0,39,8.874761754558369,0.00421030183149001
41,프론트,2.0,2,8.730439032715001,0.00414183326445601
42,매장관리,2.0,3,8.15507488781144,0.003868873067883196
43,PM,2.0,4,7.708787785183019,0.003657148690651132
44,소통,2.0,4,7.708787785183019,0.003657148690651132
45,기본급,4.0,36,7.411655569525542,0.0035161853221263605
46,경력자 우대,4.0,37,7.304982581196897,0.003465578275925946
47,자격,3.0,20,7.257928101906561,0.0034432550219823514
48,주차,2.0,6,7.035843311940593,0.0033378951234521717
