idx,skill,tf,df,tfidf,pr
0,개발,234.0,42,398.4158153036992,0.05427462604747
1,C,165.0,53,243.3498801461204,0.03315060104619471
2,경험,74.0,24,166.12674253164826,0.022630795468087994
3,JAVA,27.0,0,147.5234587356915,0.020096542979865704
4,AI,49.0,11,145.96733260664288,0.019884558012169505
5,경력,58.0,20,140.31994330352686,0.019115236286480822
6,연구,28.0,2,122.22614645801002,0.016650389210014375
7,IT,27.0,5,99.145953066534,0.013506264862262817
8,기술,35.0,13,98.8671066393623,0.013468278705644309
9,지원,56.0,41,96.66508245756552,0.013168305576004851
10,C#,24.0,4,92.50545342219624,0.012601655604495124
11,DB,14.0,0,76.49364527035854,0.010420429693263697
12,제어,22.0,7,74.45658579360703,0.010142929059276901
13,설계,21.0,6,73.87635477537623,0.01006388646024851
14,소프트웨어 개발,19.0,4,73.23348395923868,0.00997631068689197
15,통신,22.0,8,71.8653590091666,0.00978993638346535
16,자격,29.0,20,70.15997165176343,0.009557618143240411
17,프로젝트,22.0,9,69.54742766469442,0.009474173675027084
18,빅데이터,16.0,3,65.24059910249152,0.008887471288511768
19,프로그램 개발,19.0,7,64.30341500356971,0.008759802369375505
20,프로그램,26.0,19,64.1705878182621,0.008741707842163996
21,채용,21.0,11,62.557428259989805,0.00852195343378693
22,공학,14.0,2,61.11307322900501,0.008325194605007188
23,업무,62.0,88,60.46211698819515,0.008236517385915645
24,인공지능,11.0,0,60.10214985528172,0.008187480473278622
25,API,11.0,0,60.10214985528172,0.008187480473278622
26,UI,11.0,0,60.10214985528172,0.008187480473278622
27,SI,15.0,4,57.81590838887264,0.00787603475280945
28,AS,18.0,10,55.18685758009031,0.007517889458306794
29,보수,11.0,1,52.47753086912232,0.00714880849206523
30,솔루션,22.0,22,51.223426960122126,0.0069779668284787304
31,GIT,9.0,0,49.1744862452305,0.0066988476599552345
32,C++,15.0,8,48.99910841534086,0.006674956625090011
33,딥러닝,11.0,3,44.852911882962914,0.0061101365108518395
34,WEB,8.0,0,43.71065444020488,0.0059545312532935405
35,정보처리기사,8.0,0,43.71065444020488,0.0059545312532935405
36,유지보수,10.0,2,43.652195163575,0.005946567575005134
37,알고리즘,15.0,12,43.483236713461096,0.005923551027104036
38,경력자,22.0,32,43.281133358300856,0.005896019278606804
39,SQL,16.0,15,43.05988932457326,0.005865880070436451
40,전자,12.0,6,42.21505987164356,0.005750792262999149
41,관리,34.0,69,41.32144314119254,0.005629058355829772
42,유지,19.0,27,40.50091860215772,0.005517281511617548
43,JSP,7.0,0,38.24682263517927,0.005210214846631848
44,네트워크,7.0,0,38.24682263517927,0.005210214846631848
45,SPRING,7.0,0,38.24682263517927,0.005210214846631848
46,개발 경험자,7.0,0,38.24682263517927,0.005210214846631848
47,어플리케이션,7.0,0,38.24682263517927,0.005210214846631848
48,IPT,8.0,2,34.921756130860004,0.004757254060004107
49,IP,9.0,4,34.68954503332358,0.004725620851685671
50,PYTHON,9.0,5,33.04865102217799,0.004502088287420937
51,MES,9.0,5,33.04865102217799,0.004502088287420937
52,UX,6.0,0,32.782990830153665,0.004465898439970157
53,모집,19.0,42,32.3500020973089,0.004406914080777478
54,분석,19.0,43,31.913201251039627,0.004347410412303845
55,기능,12.0,16,31.567421531632725,0.004300306195441111
56,BI,8.0,5,29.37657868638044,0.004001856255485279
57,HTML,7.0,3,28.54276210734004,0.0038882686887238985
58,자동화,8.0,6,28.143373247762373,0.003833861508666099
59,백엔드,5.0,0,27.31915902512805,0.0037215820333084634
60,서버,5.0,0,27.31915902512805,0.0037215820333084634
61,프론트엔드,5.0,0,27.31915902512805,0.0037215820333084634
62,PL,7.0,4,26.980757248140566,0.0036754828846444106
63,프론트,6.0,2,26.191317098145003,0.0035679405450030803
64,수행,9.0,12,26.08994202807666,0.003554130616262422
65,급여,10.0,17,25.734600471294456,0.0035057238277448055
66,디자인,7.0,5,25.70450635058289,0.003501624223549619
67,검사,8.0,10,24.527492257817915,0.0033412842036919083
68,웹 개발,6.0,3,24.46522466343432,0.0033328017331919133
69,환경,7.0,7,23.69073184342042,0.0032272956097699227
70,AR,17.0,59,23.28128312765966,0.0031715180149056413
71,학력,9.0,17,23.16114042416501,0.0031551514449703246
72,교육,8.0,13,22.598195803282813,0.0030784637041472705
73,접수,10.0,25,22.05735267004128,0.0030047867624208215
74,데이터 분석,4.0,0,21.85532722010244,0.0029772656266467703
75,데이터 시각화,4.0,0,21.85532722010244,0.0029772656266467703
76,서비스,12.0,39,21.29942821094009,0.002901537681912832
77,운전,8.0,17,20.587680377035564,0.002804579062195844
78,JAVASCRIPT,5.0,3,20.3876872195286,0.0027773347776599276
79,컴퓨터,11.0,36,20.38205281619524,0.002776567224962037
80,.NET,7.0,12,20.292177132948517,0.002764323812648551
81,홈페이지,5.0,4,19.271969462957543,0.0026253449176031497
82,ERP,6.0,9,18.967480272189388,0.002583865547734659
83,협의,6.0,10,18.39561919336344,0.002505963152768932
84,CE,5.0,5,18.360361678987772,0.0025011601596782985
85,유지관리,5.0,6,17.589608279851483,0.002396163442916312
86,개발업무,4.0,2,17.460878065430002,0.0023786270300020537
87,연구소,6.0,12,17.39329468538444,0.0023694204108416148
88,모듈 구현하기,3.0,0,16.391495415076832,0.0022329492199850785
89,MSSQL,3.0,0,16.391495415076832,0.0022329492199850785
