idx,skill,tf,df,tfidf,pr
0,인사,95.0,14,261.799252372723,0.045045533409962944
1,관리,184.0,69,223.6219275876302,0.03847669127797112
2,채용,55.0,11,163.84088353806854,0.028190683993339287
3,업무,168.0,88,163.832833129303,0.028189298829120038
4,급여,56.0,17,144.11376263924896,0.024796408893328566
5,지원,69.0,41,119.10519088521468,0.020493400216749245
6,경력,46.0,20,111.2882308959006,0.019148403509647575
7,노무,31.0,8,101.2648240583711,0.017423762573932557
8,근태,26.0,5,95.47388073073644,0.016427365033542377
9,교육,26.0,13,73.44413636066915,0.012636897425093996
10,정산,21.0,7,71.07219553026125,0.012228778078097241
11,총무,39.0,41,67.32032528294742,0.011583226209466963
12,신고,25.0,17,64.33650117823613,0.011069825398807395
13,사무,29.0,33,56.18666713187401,0.009667553931284639
14,4대보험,24.0,23,54.85867139226394,0.009439057188399646
15,소싱,10.0,0,54.6383180502561,0.009401142894376836
16,인사관리,12.0,2,52.382634196290006,0.009013026879967887
17,계약,19.0,19,46.89389109796076,0.008068626319715356
18,자격,19.0,20,45.96687797874155,0.007909123188767478
19,연말정산,17.0,15,45.75113240735909,0.007872001713989833
20,기획,13.0,8,42.46589395996208,0.007306739143907202
21,행정,12.0,6,42.21505987164356,0.007263580291453249
22,보조,16.0,16,42.0898953755103,0.007242044318981162
23,기타,17.0,20,41.12825924413718,0.007076583905739323
24,근태관리,14.0,13,39.546842655744925,0.006804483228896767
25,운영,27.0,58,37.42994775023705,0.006440247428652095
26,협의,12.0,10,36.79123838672688,0.006330350231801846
27,C,22.0,53,32.44665068614939,0.005582814596595929
28,운전,12.0,17,30.881520565553345,0.00531351619142755
29,인원,10.0,10,30.659365322272397,0.0052752918598348705
30,총무 업무,10.0,11,29.789251552376097,0.00512557890787987
31,학력,11.0,17,28.3080605184239,0.004870723175475254
32,근무시간,13.0,28,27.25496767550877,0.004689526596763141
33,경험,12.0,24,26.93947176188891,0.004635241943201805
34,회계,10.0,15,26.912430827858287,0.004630589243523431
35,조직,6.0,2,26.191317098145003,0.0045065134399839436
36,문서,9.0,12,26.08994202807666,0.004489070708332443
37,구매,8.0,9,25.28997369625252,0.004351427075313989
38,징수,6.0,3,24.46522466343432,0.00420951964137008
39,평가,9.0,15,24.22118774507246,0.004167530319171088
40,연차관리,5.0,1,23.853423122328326,0.004104252240831743
41,엑셀,9.0,16,23.675566148724545,0.004073649929426904
42,경력자,12.0,32,23.60789092270956,0.004062005638517529
43,차량,8.0,13,22.598195803282813,0.0038882761307981522
44,원천세,8.0,14,22.0462528313872,0.0037933080766284584
45,현장,18.0,70,21.620734703717304,0.0037200928521280837
46,정규직,13.0,44,21.54320109831877,0.003706752315129903
47,계획,8.0,19,19.744796251772957,0.003397316345143308
48,계산,6.0,8,19.59964336613634,0.0033723411433417847
49,관련 업무,12.0,46,19.364210439786618,0.0033318322356440913
50,하우스키핑,4.0,1,19.08273849786266,0.003283401792665394
51,서류,11.0,41,18.987784054164656,0.0032670638026701692
52,실무,6.0,9,18.967480272189388,0.0032635703064854914
53,모집,11.0,42,18.728948582652524,0.0032225282214031767
54,근로계약,5.0,5,18.360361678987772,0.00315910866029661
55,서비스,10.0,39,17.749523509116738,0.0030540070187157833
56,임금,6.0,13,16.94864685246211,0.0029162070980986144
57,환경,5.0,7,16.921951316728872,0.0029116138281183915
58,보험,35.0,146,16.56897263864058,0.002850879839412443
59,사업장 관리,3.0,0,16.391495415076832,0.002820342868313051
60,채용 프로세스,3.0,0,16.391495415076832,0.002820342868313051
61,공동주택,3.0,0,16.391495415076832,0.002820342868313051
62,상실,5.0,8,16.333036138446953,0.0028102842861181545
63,퇴직연금,5.0,8,16.333036138446953,0.0028102842861181545
64,운전가능,5.0,8,16.333036138446953,0.0028102842861181545
65,인사제도,4.0,3,16.31014977562288,0.0028063464275800533
66,원천세신고,4.0,3,16.31014977562288,0.0028063464275800533
67,급여관리,6.0,15,16.147458496714975,0.0027783535461140593
68,총무업무,5.0,9,15.806233560157825,0.002719641922071243
69,접수,7.0,25,15.440146869028895,0.0026566525509147763
70,4대보험 신고,4.0,4,15.417575570366038,0.0026527689027423342
71,업무지원,4.0,4,15.417575570366038,0.0026527689027423342
72,사무보조,7.0,27,14.921391063952845,0.0025673947255490377
73,더존,5.0,11,14.894625776188049,0.002562789453939935
74,컴퓨터,8.0,36,14.823311139051084,0.00255051896103112
75,대응,4.0,5,14.68828934319022,0.0025272869282372884
76,인사기획,3.0,1,14.312053873396994,0.002462551344499045
77,실행,3.0,1,14.312053873396994,0.002462551344499045
78,운전가능자,5.0,14,13.778908019617,0.0023708175478927866
79,인건비,5.0,15,13.456215413929144,0.0023152946217617153
80,법인,5.0,15,13.456215413929144,0.0023152946217617153
81,진행,11.0,69,13.368702192738764,0.0023002369785743606
82,노무관리,5.0,16,13.15309230484697,0.0022631388496816133
83,경력자 우대,7.0,37,12.78371951709457,0.002199584068296128
84,작성,10.0,66,12.59139185634644,0.002166491910891661
85,인사업무,4.0,10,12.263746128908958,0.002110116743933948
86,컴퓨터활용능력,3.0,3,12.23261233171716,0.00210475982068504
87,비품관리,3.0,3,12.23261233171716,0.00210475982068504
88,커뮤니케이션,4.0,12,11.595529790256291,0.001995142537036641
89,제조업,4.0,12,11.595529790256291,0.001995142537036641
90,인근거주자,3.0,4,11.563181677774528,0.001989576677056751
91,퇴사자 관리,4.0,13,11.299097901641408,0.0019441380653990765
92,원사,6.0,35,11.281877199417,0.0019411750480857642
93,전화,5.0,24,11.224779900787045,0.0019313508096674185
94,서류 관리,4.0,14,11.0231264156936,0.0018966540383142292
95,OA,3.0,5,11.016217007392664,0.001895465196177966
96,매니저,3.0,5,11.016217007392664,0.001895465196177966
97,배치,3.0,5,11.016217007392664,0.001895465196177966
98,CE,3.0,5,11.016217007392664,0.001895465196177966
99,외근,3.0,5,11.016217007392664,0.001895465196177966
100,HRM,2.0,0,10.92766361005122,0.001880228578875367
101,사무용품 관리,2.0,0,10.92766361005122,0.001880228578875367
102,직원교육,2.0,0,10.92766361005122,0.001880228578875367
103,지원금 신청 업무,2.0,0,10.92766361005122,0.001880228578875367
104,경비지도사,2.0,0,10.92766361005122,0.001880228578875367
