idx,skill,tf,df,tfidf,pr
0,노무,9.0,8,29.399465049204515,0.03420135240718123
1,인사,9.0,14,24.8020344353106,0.028853012077512414
2,관리,15.0,69,18.230048444643767,0.0212076073565195
3,조직,4.0,2,17.460878065430002,0.020312806476414133
4,업무,15.0,88,14.627931529402051,0.017017147774215504
5,경력,6.0,20,14.515856203813122,0.0168867669084344
6,급여,5.0,17,12.867300235647228,0.014968948215616751
7,협의,4.0,10,12.263746128908958,0.014266814123489261
8,인적자원 기획하기,2.0,0,10.92766361005122,0.012712505941484967
9,인사 노무 관리,2.0,0,10.92766361005122,0.012712505941484967
10,조리원,2.0,0,10.92766361005122,0.012712505941484967
11,인적자원 평가하기,2.0,0,10.92766361005122,0.012712505941484967
12,슈퍼비전하기,2.0,0,10.92766361005122,0.012712505941484967
13,인적자원 관리하기,2.0,0,10.92766361005122,0.012712505941484967
14,단시간 업무,2.0,0,10.92766361005122,0.012712505941484967
15,노무 관리,3.0,6,10.55376496791089,0.012277537509134054
16,인사관리,2.0,2,8.730439032715001,0.010156403238207067
17,조리,2.0,2,8.730439032715001,0.010156403238207067
18,차량,3.0,13,8.474323426231056,0.009858455636110361
19,사회복지,4.0,29,8.250537693453818,0.009598118425973926
20,지원,4.0,41,6.904648746968967,0.008032402108258008
21,기획,2.0,8,6.533214455378781,0.0076003005349291625
22,총무 업무,2.0,11,5.957850310475219,0.006930960740842139
23,경력자,3.0,32,5.9019727306773895,0.006865956537700093
24,관련업무,2.0,12,5.797764895128147,0.006744728178570284
25,노무사,2.0,14,5.5115632078468,0.0064117804616694255
26,총무 업무 경력자,1.0,0,5.4638318050256105,0.006356252970742484
27,소싱,1.0,0,5.4638318050256105,0.006356252970742484
28,PPT 사용가능자,1.0,0,5.4638318050256105,0.006356252970742484
29,평가,2.0,15,5.382486165571658,0.006261620946755116
30,운전,2.0,17,5.146920094258891,0.005987579286246701
31,자격,2.0,20,4.838618734604374,0.0056289223028114675
32,퇴직금 관리,1.0,1,4.770684624465665,0.005549892346401253
33,안전 관리,1.0,1,4.770684624465665,0.005549892346401253
34,컴퓨터 활용 능력,1.0,1,4.770684624465665,0.005549892346401253
35,근무 지,1.0,1,4.770684624465665,0.005549892346401253
36,PPT,1.0,1,4.770684624465665,0.005549892346401253
37,경험,2.0,24,4.489911960314818,0.005223260388409688
38,법인차량,1.0,2,4.3652195163575005,0.005078201619103533
39,인원 관리,1.0,2,4.3652195163575005,0.005078201619103533
40,오피스,1.0,2,4.3652195163575005,0.005078201619103533
41,근무시간,2.0,28,4.193071950078272,0.0048779367649471545
42,운영,3.0,58,4.158883083359672,0.00483816374604739
