idx,skill,tf,df,tfidf,pr
0,설계,23.0,6,80.91219808731682,0.08081374400621057
1,감리,17.0,6,59.80466815149504,0.05973189774372085
2,채용,9.0,11,26.81032639713849,0.026777703552722118
3,연구,6.0,2,26.191317098145003,0.026159447465150018
4,경력,9.0,20,21.773784305719683,0.021747289933094778
5,경영,8.0,18,20.15514260687336,0.020130617799837665
6,공학,4.0,2,17.460878065430002,0.017439631643433345
7,협의,5.0,10,15.329682661136196,0.015311029480828032
8,기술,5.0,13,14.123872377051756,0.014106686428462842
9,토목,4.0,6,14.071686623881186,0.014054564174993142
10,급여,5.0,17,12.867300235647228,0.012851643285879878
11,관리,10.0,69,12.153365629762511,0.012138577396668963
12,자격,5.0,20,12.096546836510935,0.01208182774060821
13,지원,7.0,41,12.083135307195692,0.012068432530461476
14,수행,4.0,12,11.595529790256291,0.011581420332629051
15,조경,3.0,4,11.563181677774528,0.01154911158137792
16,시공,3.0,7,10.153170790037322,0.010140816396953484
17,경력자,5.0,32,9.83662121779565,0.009824652002694815
18,실무경력,2.0,1,9.54136924893133,0.009529759296858526
19,업무,9.0,88,8.776758917641232,0.008766079344539102
20,보고서 작성,2.0,2,8.730439032715001,0.008719815821716673
21,공정관리,2.0,2,8.730439032715001,0.008719815821716673
22,평가,3.0,15,8.073729248357488,0.008063905122786335
23,화학,2.0,4,7.708787785183019,0.007699407720918614
24,안전관리,2.0,4,7.708787785183019,0.007699407720918614
25,출장,2.0,6,7.035843311940593,0.007027282087496571
26,보고,2.0,7,6.768780526691549,0.006760544264635657
27,보고서,2.0,9,6.322493424063129,0.0063148002048071805
28,실무,2.0,9,6.322493424063129,0.0063148002048071805
29,인원,2.0,10,6.131873064454479,0.0061244117923312125
30,검토,3.0,33,5.812413841228346,0.005805341287555662
31,일러스트 사용 가능자,1.0,0,5.4638318050256105,0.00545718340648498
32,결과 보고서 작성,1.0,0,5.4638318050256105,0.00545718340648498
33,도면 작업,1.0,0,5.4638318050256105,0.00545718340648498
34,서류,3.0,41,5.178486560226725,0.005172185370197775
35,공정,2.0,17,5.146920094258891,0.0051406573143519515
36,정규직,3.0,44,4.971507945765871,0.00496545860761806
37,자격증,3.0,47,4.777892382353158,0.004772078635906404
38,민원업무,1.0,1,4.770684624465665,0.004764879648429263
39,별도,4.0,78,4.377535810234354,0.004372209218250767
40,모니터링,1.0,2,4.3652195163575005,0.004359907910858336
41,제출,4.0,81,4.228450231045428,0.004223305046612892
42,사회적기업,1.0,3,4.07753744390572,0.004072575890373546
43,작업관리,1.0,3,4.07753744390572,0.004072575890373546
44,도면,2.0,32,3.93464848711826,0.0039298608010779265
45,경력직,2.0,36,3.705827784762771,0.0037013185280881083
46,포토샵,1.0,5,3.672072335797555,0.003667604152802619
47,캐드,1.0,6,3.5179216559702966,0.0035136410437482854
48,현장관리,2.0,41,3.4523243734844837,0.0034481235801318505
49,시공관리,1.0,7,3.3843902633457743,0.0033802721323178287
50,근무 형태,1.0,7,3.3843902633457743,0.0033802721323178287
51,일러스트,1.0,7,3.3843902633457743,0.0033802721323178287
52,CAD,1.0,7,3.3843902633457743,0.0033802721323178287
53,분석,2.0,43,3.3592843422146976,0.0033551967601083447
54,관련 업무,2.0,46,3.227368406631103,0.003223441340028323
55,중급,1.0,9,3.1612467120315646,0.0031574001024035903
56,화학공학,1.0,10,3.0659365322272394,0.0030622058961656063
57,자재관리,1.0,11,2.9789251552376097,0.002975300394746902
58,연구소,1.0,12,2.8988824475640733,0.0028953550831572633
59,품질관리,1.0,12,2.8988824475640733,0.0028953550831572633
60,교육,1.0,13,2.824774475410352,0.002821337285692569
61,안전,2.0,58,2.772588722239781,0.002769215032222868
62,제작,1.0,14,2.7557816039234,0.0027524283648326636
63,발생,1.0,15,2.691243082785829,0.0026879683742621115
64,엑셀,1.0,16,2.630618460969394,0.0026274175205742707
65,품질,1.0,17,2.573460047129445,0.0025703286571759753
66,작성,2.0,66,2.518278371269288,0.002515214126459803
67,계약,1.0,19,2.468099531471619,0.002465096344347873
68,건축,1.0,20,2.419309367302187,0.002416365548121642
69,현장,2.0,70,2.402303855968589,0.002399380729119135
70,실험,1.0,21,2.372789351667294,0.0023699021381098895
71,조정,1.0,23,2.2857779746776643,0.002282996636691185
72,4대보험,1.0,23,2.2857779746776643,0.002282996636691185
73,전화,1.0,24,2.244955980157409,0.002242224314433634
74,경험,1.0,24,2.244955980157409,0.002242224314433634
75,인증,1.0,26,2.167994939021281,0.002165356919605049
76,원가,1.0,26,2.167994939021281,0.002165356919605049
77,기본급,1.0,36,1.8529138923813853,0.001850659264044054
78,경력자 우대,1.0,37,1.826245645299224,0.0018240234669239905
79,기업,2.0,94,1.8199098268501384,0.0018176953579080708
80,모집,1.0,42,1.7026316893320477,0.0017005599245994336
81,협의 가능,1.0,44,1.6571693152552902,0.0016551528692060199
82,자재,1.0,47,1.5926307941177191,0.0015906928786354679
83,C,1.0,53,1.4748477584613358,0.001473053161549332
84,보험,1.0,146,0.4733992182468737,0.00047282318538494826
85,법인세 관리,0.01,0,0.0546383180502561,5.4571834064849796e-05
86,소모품 수입,0.01,0,0.0546383180502561,5.4571834064849796e-05
87,영문 서신 작성,0.01,0,0.0546383180502561,5.4571834064849796e-05
88,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,5.4571834064849796e-05
89,유해화학물질관리자,0.01,0,0.0546383180502561,5.4571834064849796e-05
90,가구 설치,0.01,0,0.0546383180502561,5.4571834064849796e-05
91,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,5.4571834064849796e-05
92,타이어 탈착,0.01,0,0.0546383180502561,5.4571834064849796e-05
93,현장 조율,0.01,0,0.0546383180502561,5.4571834064849796e-05
94,경영계획 분석,0.01,0,0.0546383180502561,5.4571834064849796e-05
95,폐기물 관련 업무,0.01,0,0.0546383180502561,5.4571834064849796e-05
96,납품계획 세우기,0.01,0,0.0546383180502561,5.4571834064849796e-05
97,불량재고 처리하기,0.01,0,0.0546383180502561,5.4571834064849796e-05
98,매뉴얼 업무,0.01,0,0.0546383180502561,5.4571834064849796e-05
99,건축업무 경험,0.01,0,0.0546383180502561,5.4571834064849796e-05
100,UX 시나리오 제작,0.01,0,0.0546383180502561,5.4571834064849796e-05
101,평가계획 수립하기,0.01,0,0.0546383180502561,5.4571834064849796e-05
102,현장상황파악,0.01,0,0.0546383180502561,5.4571834064849796e-05
103,인허가관리,0.01,0,0.0546383180502561,5.4571834064849796e-05
104,사건 수임,0.01,0,0.0546383180502561,5.4571834064849796e-05
105,PF심의자료 작성,0.01,0,0.0546383180502561,5.4571834064849796e-05
106,디지털 교육 이해,0.01,0,0.0546383180502561,5.4571834064849796e-05
107,여행상품개발,0.01,0,0.0546383180502561,5.4571834064849796e-05
108,주차매출 관리,0.01,0,0.0546383180502561,5.4571834064849796e-05
109,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,5.4571834064849796e-05
110,어도비 포토샵,0.01,0,0.0546383180502561,5.4571834064849796e-05
111,데미지 관리,0.01,0,0.0546383180502561,5.4571834064849796e-05
112,기관 소통 업무,0.01,0,0.0546383180502561,5.4571834064849796e-05
113,비디오메타 사용,0.01,0,0.0546383180502561,5.4571834064849796e-05
114,소프트웨어 테스트하기,0.01,0,0.0546383180502561,5.4571834064849796e-05
115,자습감독,0.01,0,0.0546383180502561,5.4571834064849796e-05
116,JLPT 2급이상,0.01,0,0.0546383180502561,5.4571834064849796e-05
117,한자 관련 자격증,0.01,0,0.0546383180502561,5.4571834064849796e-05
118,기성취합,0.01,0,0.0546383180502561,5.4571834064849796e-05
119,KUBERNETES,0.01,0,0.0546383180502561,5.4571834064849796e-05
120,프로젝트 코디네이팅,0.01,0,0.0546383180502561,5.4571834064849796e-05
121,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,5.4571834064849796e-05
122,경비지도사 직무교육,0.01,0,0.0546383180502561,5.4571834064849796e-05
123,데이터 마이닝,0.01,0,0.0546383180502561,5.4571834064849796e-05
124,채권현황 파악,0.01,0,0.0546383180502561,5.4571834064849796e-05
