idx,skill,tf,df,tfidf,pr
0,화학,4.0,4,15.417575570366038,0.03474250329185707
1,분석,6.0,43,10.077853026644092,0.02270978600721212
2,시험,4.0,20,9.677237469208748,0.02180702491747769
3,원료,2.0,5,7.34414467159511,0.0165495521175973
4,공학,1.0,2,4.3652195163575005,0.00983673812556046
5,연구,1.0,2,4.3652195163575005,0.00983673812556046
6,농약,1.0,3,4.07753744390572,0.009188465295403224
7,식품,1.0,7,3.3843902633457743,0.007626503228641413
8,환경,1.0,7,3.3843902633457743,0.007626503228641413
9,제조,3.0,77,3.321368935008055,0.007484488766170487
10,측정,1.0,10,3.0659365322272394,0.0069088884680589754
11,검사,1.0,10,3.0659365322272394,0.0069088884680589754
12,제품,1.0,10,3.0659365322272394,0.0069088884680589754
13,제조업,1.0,12,2.8988824475640733,0.006532442958851692
14,품질관리,1.0,12,2.8988824475640733,0.006532442958851692
15,판매,1.0,13,2.824774475410352,0.006365445465973998
16,품질,1.0,17,2.573460047129445,0.005799124755432263
17,경험,1.0,24,2.244955980157409,0.005058862217001687
18,업무,2.0,88,1.9503908705869404,0.004395078910592035
19,지원,1.0,41,1.7261621867422416,0.0038897941626076108
20,모집,1.0,42,1.7026316893320477,0.0038367697178755857
21,유경험자,1.0,57,1.4033887944791907,0.003162445326725973
22,관리,1.0,69,1.2153365629762511,0.0027386818600114177
23,관리 업무,1.0,88,0.9751954352934702,0.0021975394552960176
24,직원,1.0,147,0.4666195312614949,0.0010514967497261569
25,법인세 관리,0.01,0,0.0546383180502561,0.00012312389428926847
26,소모품 수입,0.01,0,0.0546383180502561,0.00012312389428926847
27,영문 서신 작성,0.01,0,0.0546383180502561,0.00012312389428926847
28,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00012312389428926847
29,유해화학물질관리자,0.01,0,0.0546383180502561,0.00012312389428926847
30,가구 설치,0.01,0,0.0546383180502561,0.00012312389428926847
31,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00012312389428926847
32,타이어 탈착,0.01,0,0.0546383180502561,0.00012312389428926847
33,현장 조율,0.01,0,0.0546383180502561,0.00012312389428926847
34,경영계획 분석,0.01,0,0.0546383180502561,0.00012312389428926847
35,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00012312389428926847
36,납품계획 세우기,0.01,0,0.0546383180502561,0.00012312389428926847
37,불량재고 처리하기,0.01,0,0.0546383180502561,0.00012312389428926847
38,매뉴얼 업무,0.01,0,0.0546383180502561,0.00012312389428926847
39,건축업무 경험,0.01,0,0.0546383180502561,0.00012312389428926847
40,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00012312389428926847
41,평가계획 수립하기,0.01,0,0.0546383180502561,0.00012312389428926847
42,현장상황파악,0.01,0,0.0546383180502561,0.00012312389428926847
43,인허가관리,0.01,0,0.0546383180502561,0.00012312389428926847
44,사건 수임,0.01,0,0.0546383180502561,0.00012312389428926847
45,PF심의자료 작성,0.01,0,0.0546383180502561,0.00012312389428926847
46,디지털 교육 이해,0.01,0,0.0546383180502561,0.00012312389428926847
47,여행상품개발,0.01,0,0.0546383180502561,0.00012312389428926847
48,주차매출 관리,0.01,0,0.0546383180502561,0.00012312389428926847
49,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00012312389428926847
50,어도비 포토샵,0.01,0,0.0546383180502561,0.00012312389428926847
51,데미지 관리,0.01,0,0.0546383180502561,0.00012312389428926847
52,기관 소통 업무,0.01,0,0.0546383180502561,0.00012312389428926847
53,비디오메타 사용,0.01,0,0.0546383180502561,0.00012312389428926847
54,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00012312389428926847
55,자습감독,0.01,0,0.0546383180502561,0.00012312389428926847
56,JLPT 2급이상,0.01,0,0.0546383180502561,0.00012312389428926847
57,한자 관련 자격증,0.01,0,0.0546383180502561,0.00012312389428926847
58,기성취합,0.01,0,0.0546383180502561,0.00012312389428926847
59,KUBERNETES,0.01,0,0.0546383180502561,0.00012312389428926847
60,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00012312389428926847
61,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00012312389428926847
62,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00012312389428926847
63,데이터 마이닝,0.01,0,0.0546383180502561,0.00012312389428926847
64,채권현황 파악,0.01,0,0.0546383180502561,0.00012312389428926847
65,제품표준서 작성,0.01,0,0.0546383180502561,0.00012312389428926847
66,일용직 투입,0.01,0,0.0546383180502561,0.00012312389428926847
67,영업 손익관리,0.01,0,0.0546383180502561,0.00012312389428926847
68,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00012312389428926847
69,생산검토,0.01,0,0.0546383180502561,0.00012312389428926847
70,화학사고대응,0.01,0,0.0546383180502561,0.00012312389428926847
71,나라사업 발굴,0.01,0,0.0546383180502561,0.00012312389428926847
72,영상 프로그램,0.01,0,0.0546383180502561,0.00012312389428926847
73,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00012312389428926847
74,운영 원칙 이해,0.01,0,0.0546383180502561,0.00012312389428926847
75,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00012312389428926847
76,법규 검토,0.01,0,0.0546383180502561,0.00012312389428926847
77,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00012312389428926847
78,각종 사무관리,0.01,0,0.0546383180502561,0.00012312389428926847
79,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00012312389428926847
80,가격별 상품 구성,0.01,0,0.0546383180502561,0.00012312389428926847
