idx,skill,tf,df,tfidf,pr
0,연구,11.0,2,48.01741467993251,0.05808913439700555
1,화학,7.0,4,26.980757248140566,0.03264000872115304
2,환경,5.0,7,16.921951316728872,0.020471354212825983
3,홈페이지,4.0,4,15.417575570366038,0.018651433554944592
4,공학,3.0,2,13.0956585490725,0.01584249119918333
5,보고서 작성,3.0,2,13.0956585490725,0.01584249119918333
6,과학,4.0,15,10.764972331143316,0.013022940295558394
7,보고,3.0,7,10.153170790037322,0.012282812527695587
8,보고서,3.0,9,9.483740136094694,0.011472967860181654
9,채용,3.0,11,8.936775465712829,0.010811276587129744
10,C,6.0,53,8.849086550768014,0.010705194799942527
11,접수,4.0,25,8.822941068016512,0.010673565265708954
12,서류,5.0,41,8.630810933711208,0.010441135567696916
13,SI,2.0,4,7.708787785183019,0.009325716777472296
14,자격,3.0,20,7.257928101906561,0.008780288646644943
15,경력,3.0,20,7.257928101906561,0.008780288646644943
16,실험,3.0,21,7.118368055001882,0.008611455685205095
17,제출,6.0,81,6.342675346568141,0.007673060349026862
18,인원,2.0,10,6.131873064454479,0.007418041994154591
19,업무,6.0,88,5.851172611760822,0.007078464229909891
20,생화학,1.0,0,5.4638318050256105,0.00660987814859199
21,식품공학,1.0,0,5.4638318050256105,0.00660987814859199
22,데이터 분석,1.0,0,5.4638318050256105,0.00660987814859199
23,지원,3.0,41,5.178486560226725,0.006264681340618149
24,모집,3.0,42,5.107895067996143,0.006179283184411685
25,분석,3.0,43,5.038926513322046,0.006095848379178301
26,작성,4.0,66,5.036556742538576,0.006092981545666987
27,계획,2.0,19,4.936199062943238,0.0059715737027699065
28,계약,2.0,19,4.936199062943238,0.0059715737027699065
29,기타,2.0,20,4.838618734604374,0.005853525764429962
30,수질,1.0,1,4.770684624465665,0.005771342379916392
31,용해,1.0,1,4.770684624465665,0.005771342379916392
32,E-MAIL,1.0,1,4.770684624465665,0.005771342379916392
33,이메일 접수,1.0,1,4.770684624465665,0.005771342379916392
34,에너지,1.0,2,4.3652195163575005,0.005280830399727777
35,학사,1.0,2,4.3652195163575005,0.005280830399727777
36,회원관리,1.0,2,4.3652195163575005,0.005280830399727777
37,근무시간,2.0,28,4.193071950078272,0.00507257464126249
38,공학계열 전공자,1.0,4,3.8543938925915096,0.004662858388736148
39,CS,2.0,34,3.8169674870723926,0.004617581742446706
40,스캔,1.0,5,3.672072335797555,0.0044422946310521795
41,관리,3.0,69,3.6460096889287534,0.0044107653076432655
