idx,skill,tf,df,tfidf,pr
0,관리,484.0,69,588.2228964805056,0.048853596143119356
1,구매,171.0,9,540.5731877573976,0.04489615137137689
2,자재,290.0,47,461.86293029413855,0.03835903907357561
3,부품,106.0,10,324.9892724160874,0.026991289799253696
4,경력,110.0,20,266.12403040324057,0.022102362868035696
5,업무,219.0,88,213.56780032927,0.017737417446493927
6,발주,82.0,18,206.59021172045192,0.01715790872966633
7,지원,108.0,41,186.4255161681621,0.015483173015101758
8,운전,70.0,17,180.14220329906118,0.014961325886769015
9,자재관리,54.0,11,160.86195838283092,0.01336004633047558
10,생산,57.0,16,149.94525227525546,0.012453382624279146
11,외주,61.0,33,118.18574810497635,0.009815664848034863
12,출고,73.0,47,116.2620479705935,0.009655896042658686
13,자동차,56.0,31,111.89337052464948,0.009293064869474702
14,입출고,36.0,10,110.37371516018062,0.00916685313936918
15,채용,34.0,11,101.28345527807872,0.008411881022892032
16,재고,53.0,34,101.1496384074184,0.008400767148550365
17,납품,42.0,22,97.79017874205134,0.00812175440230583
18,제품,31.0,10,95.04403249904442,0.007893679092234571
19,모집,55.0,42,93.64474291326262,0.007777464084760236
20,협의,28.0,10,85.8462229023627,0.007129774663953806
21,자격,35.0,20,84.67582785557654,0.007032570003465903
22,기계,28.0,11,83.40990434665306,0.006927431430616967
23,수불,23.0,6,80.91219808731682,0.0067199897726879
24,자재 입,21.0,5,77.11351905174865,0.006404498599883592
25,출고 관리,25.0,10,76.64841330568099,0.006365870235673042
26,1톤,16.0,1,76.33095399145064,0.00633950433046589
27,입고,34.0,25,74.99499907814035,0.006228549448922207
28,자재 구매,25.0,11,74.47312888094024,0.006185206634479435
29,경험,33.0,24,74.0835473451945,0.006152850772227192
30,운전가능,22.0,8,71.8653590091666,0.005968623878330218
31,지게차,26.0,14,71.6503217020084,0.005950764414133113
32,자재 관리,24.0,11,71.49420372570263,0.0059377983691002575
33,ERP,22.0,9,69.54742766469442,0.005776113041931529
34,경력자,34.0,32,66.88902428101042,0.005555325027610661
35,협력,34.0,34,64.88844728023068,0.005389171378315329
36,마감,28.0,23,64.0017832909746,0.005315531394722478
