idx,skill,tf,df,tfidf,pr
0,관리,87.0,69,105.73428097893384,0.03841863867334394
1,구매,33.0,9,104.32114149704164,0.037905173270759235
2,자재,53.0,47,84.40943208823911,0.030670237145380756
3,경력,19.0,20,45.96687797874155,0.016702103231390125
4,지원,26.0,41,44.880216855298286,0.01630726401107846
5,생산,15.0,16,39.45927691454091,0.014337560988315668
6,채용,13.0,11,38.72602701808893,0.01407113403039586
7,식품,11.0,7,37.22829289680352,0.013526931095437927
8,운전,14.0,17,36.02844065981224,0.013090963790155402
9,발주,14.0,18,35.271499562028374,0.012815928614585838
10,부자재 구매,7.0,1,33.394792371259655,0.012134025500569533
11,재고,17.0,34,32.44422364011534,0.011788635563853659
12,업무,30.0,88,29.255863058804103,0.010630142102701412
13,제품,8.0,10,24.527492257817915,0.00891208465118414
14,자격,10.0,20,24.19309367302187,0.008790580648100066
15,자재 구매,8.0,11,23.83140124190088,0.008659159403320531
16,자재관리,8.0,11,23.83140124190088,0.008659159403320531
17,ERP,7.0,9,22.128726984220958,0.00804049129985802
18,지게차,8.0,14,22.0462528313872,0.008010524248034577
19,매입,10.0,30,20.29844600540464,0.007375457188453337
20,원부자재 구매,5.0,4,19.271969462957543,0.007002486085554406
21,출고,12.0,47,19.11156952941263,0.006944204636689983
22,재고관리,7.0,15,18.838701579500803,0.006845057840815074
23,입출고,6.0,10,18.39561919336344,0.006684063488388107
24,자재 입,5.0,5,18.360361678987772,0.006671252641302582
25,면허,8.0,25,17.645882136033023,0.00641164590689122
26,수불,5.0,6,17.589608279851483,0.00639119875458283
27,운전가능,5.0,8,16.333036138446953,0.005934622224997038
28,재고 관리,5.0,9,15.806233560157825,0.005743208071327157
29,경력자,8.0,32,15.73859394847304,0.0057186311623316655
30,창고관리,4.0,4,15.417575570366038,0.005601988868443527
31,더존,5.0,11,14.894625776188049,0.005411974627075331
32,운전면허,5.0,12,14.494412237820368,0.005266556706034266
33,창고,8.0,40,14.00207790657042,0.0050876666185087
34,납품,6.0,22,13.970025534578763,0.005076020362566255
35,운전가능자,5.0,14,13.778908019617,0.005006577655021611
36,GO,3.0,2,13.0956585490725,0.004758318393317901
37,물류,5.0,19,12.340497657358096,0.0044839300570999035
38,출고 관리,4.0,10,12.263746128908958,0.00445604232559207
39,가공,4.0,10,12.263746128908958,0.00445604232559207
40,식자재,5.0,20,12.096546836510935,0.004395290324050033
41,기타,5.0,20,12.096546836510935,0.004395290324050033
42,C,8.0,53,11.798782067690686,0.004287097248379181
43,생산계획,3.0,4,11.563181677774528,0.004201491651332645
44,구매관리,3.0,4,11.563181677774528,0.004201491651332645
45,지게차 운전,3.0,4,11.563181677774528,0.004201491651332645
46,거래명세서,3.0,4,11.563181677774528,0.004201491651332645
47,차량,4.0,13,11.299097901641408,0.004105536592284464
48,경험,5.0,24,11.224779900787045,0.004078533085046182
49,이메일,6.0,36,11.117483354288312,0.004039546795900718
50,원료,3.0,5,11.016217007392664,0.004002751584781549
51,식품회사 원,2.0,0,10.92766361005122,0.003970575634425053
52,단가 관리,2.0,0,10.92766361005122,0.003970575634425053
53,부자재 관리,2.0,0,10.92766361005122,0.003970575634425053
54,원부자재 관리,2.0,0,10.92766361005122,0.003970575634425053
55,보조,4.0,16,10.522473843877576,0.003823349596884178
56,근무시간,5.0,28,10.48267987519568,0.003808890425364653
57,포장,4.0,17,10.293840188517782,0.0037402753686158288
58,검수,3.0,7,10.153170790037322,0.0036891630260285258
59,프로그램,4.0,19,9.872398125886477,0.003587144045679923
60,거래명세서 관리,2.0,1,9.54136924893133,0.003466864428734153
61,제과제빵,2.0,1,9.54136924893133,0.003466864428734153
62,자재창고,2.0,1,9.54136924893133,0.003466864428734153
63,유통,3.0,9,9.483740136094694,0.0034459248427962936
