idx,skill,tf,df,tfidf,pr
0,관리,394.0,69,478.8426058126429,0.04832648051359885
1,구매,137.0,9,433.0907995483244,0.0437090472546218
2,자재,221.0,47,351.9714055000159,0.03552219260099811
3,발주,67.0,18,168.79931933256438,0.017035821201811987
4,경력,69.0,20,166.9323463438509,0.016847399719130098
5,업무,167.0,88,162.85763769400953,0.016436165785944548
6,재고,77.0,34,146.95324825228712,0.014831038846307066
7,지원,76.0,41,131.18832619241036,0.013239987445540247
8,생산,49.0,16,128.9003045875003,0.013009072255116187
9,자재관리,38.0,11,113.19915589902917,0.011424457087368547
10,운전,39.0,17,100.36494183804838,0.010129183049101318
11,출고,59.0,47,93.96521685294545,0.009483300287144295
12,제품,29.0,10,88.91215943458994,0.008973327954068735
13,채용,29.0,11,86.38882950189068,0.008718664619307575
14,재고관리,32.0,15,86.11977864914653,0.00869151106063407
15,자격,33.0,20,79.83720912097218,0.00805745203958396
16,입고,34.0,25,74.99499907814035,0.007568759165480722
17,재고 관리,23.0,9,72.70867437672598,0.007338015232527745
18,지게차,25.0,14,68.894540098085,0.006953079381675089
19,사무,31.0,33,60.06160969269291,0.006061628967838742
20,자재 입,16.0,5,58.75315737276088,0.005929575356120428
21,입출고,19.0,10,58.252794112317545,0.005879076935424344
22,자재구매,17.0,7,57.53463447687816,0.005806597738280191
23,마감,24.0,23,54.85867139226394,0.005536530128811208
24,자재 출고,15.0,6,52.76882483955445,0.005325615461904054
25,수불,15.0,6,52.76882483955445,0.005325615461904054
26,엑셀,20.0,16,52.61236921938788,0.005309825410251505
27,경험,23.0,24,51.63398754362041,0.005211083689245712
28,C,34.0,53,50.14482378768542,0.005060792043600236
29,창고관리,13.0,4,50.10712060368962,0.005056986905618454
30,협의,16.0,10,49.05498451563583,0.004950801629831027
31,자재 발주,15.0,8,48.99910841534086,0.004945162417197685
32,자재 구매,16.0,11,47.66280248380176,0.004810297720997283
33,창고,27.0,40,47.25701293467516,0.004769344011990526
34,납품,20.0,22,46.566751781929206,0.0046996804278763675
35,문서,16.0,12,46.38211916102517,0.004681046654172896
36,출고 관리,15.0,10,45.98904798340859,0.004641376527966587
37,모집,27.0,42,45.97105561196528,0.0046395606745371016
38,전자,13.0,6,45.73298152761386,0.004615533400316847
39,전산,18.0,18,45.34907086546506,0.00457678778556143
40,ERP,14.0,9,44.25745396844191,0.004466617967625585
41,학력,17.0,17,43.74882080120057,0.004415284918839036
42,매입,21.0,30,42.62673661134974,0.004302040234516478
43,차량,15.0,13,42.37161713115528,0.004276292678976108
44,외주,21.0,33,40.686896888598426,0.004106264784664954
45,견적,12.0,7,40.61268316014929,0.004098774874080134
46,부품,13.0,10,39.85717491895412,0.00402252632423771
47,서류,23.0,41,39.70173029507156,0.004006838305887181
48,자재 관리,13.0,11,38.72602701808893,0.003908366898310292
49,급여,15.0,17,38.60190070694168,0.0038958396342697373
50,운전가능,11.0,8,35.9326795045833,0.0036264524392783026
51,면허,16.0,25,35.29176427206605,0.0035617690190497516
52,납기,9.0,4,34.68954503332358,0.0035009909346589295
53,지게차 운전,9.0,4,34.68954503332358,0.0035009909346589295
54,기타,14.0,20,33.87033114223062,0.0034183129864901653
55,운전면허,11.0,12,31.887706923204806,0.003218219574743866
56,경력자,16.0,32,31.47718789694608,0.0031767885502649866
57,판매,11.0,13,31.07251922951387,0.0031359479645824786
58,영업,12.0,17,30.881520565553345,0.00311667170741579
59,환경,9.0,7,30.45951237011197,0.003074081155560101
60,생산관리,11.0,14,30.3135976431574,0.003059354927937039
