idx,skill,tf,df,tfidf,pr
0,구매,51.0,9,161.2235823136098,0.051692860214833665
1,자재,78.0,47,124.22520194118208,0.03983012848960204
2,관리,101.0,69,122.74899286060136,0.03935681392509937
3,전자,19.0,6,66.84051146343563,0.021430966650067385
4,부품,21.0,10,64.38466717677203,0.020643553210928197
5,경력,25.0,20,60.48273418255468,0.019392482654479595
6,생산,22.0,16,57.87360614132667,0.018555922089441106
7,전자부품,15.0,4,57.81590838887264,0.018537422551039125
8,업무,41.0,88,39.98301284703228,0.012819689678208228
9,지원,23.0,41,39.70173029507156,0.012729502501923475
10,자재관리,13.0,11,38.72602701808893,0.012416664315447074
11,입출고,12.0,10,36.79123838672688,0.011796316120530401
12,자재 입,9.0,5,33.04865102217799,0.01059633629933338
13,ERP,10.0,9,31.61246712031565,0.010135854944085034
14,제품,10.0,10,30.659365322272397,0.009830263433775332
15,출고 관리,9.0,10,27.59342879004516,0.0088472370903978
16,자재 구매,9.0,11,26.81032639713849,0.008596152218386437
17,출고,16.0,47,25.482092705883503,0.008170282767097855
18,발주,9.0,18,22.67453543273253,0.007270100153714244
19,자격,9.0,20,21.773784305719683,0.006981293755612654
20,경력자,10.0,32,19.6732424355913,0.006307800363952755
21,C,13.0,53,19.173020859997365,0.0061474151174984075
22,마감,8.0,23,18.286223797421314,0.005863082788835102
23,입고,8.0,25,17.645882136033023,0.0056577710626169635
24,참여,5.0,6,17.589608279851483,0.005639728065807207
25,공학,4.0,2,17.460878065430002,0.005598453502346812
26,재고,9.0,34,17.176353691825767,0.0055072269059558004
27,자재구매,5.0,7,16.921951316728872,0.0054256582779332275
28,중국어,3.0,0,16.391495415076832,0.005255579047706883
29,창고,9.0,40,15.75233764489172,0.005050646910638157
30,영업,6.0,17,15.440760282776672,0.004950746357662042
31,구매관리,4.0,4,15.417575570366038,0.0049433126802770995
32,협의,5.0,10,15.329682661136196,0.004915131716887665
33,자재 관리,5.0,11,14.894625776188049,0.004775640121325798
34,채용,5.0,11,14.894625776188049,0.004775640121325798
35,입출고 관리,6.0,19,14.808597188829715,0.004748056912486389
36,기구,4.0,5,14.68828934319022,0.004709482799703725
37,수불,4.0,6,14.071686623881186,0.004511782452645765
38,납품,6.0,22,13.970025534578763,0.004479187019625454
39,전기,9.0,49,13.966279196377174,0.004477985837179356
40,사무,7.0,33,13.56229896286614,0.004348458298833131
41,경험,6.0,24,13.469735880944455,0.004318779945417535
42,재고관리,5.0,15,13.456215413929144,0.004314444899629368
43,포장,5.0,17,12.867300235647228,0.004125621964718369
44,운전,5.0,17,12.867300235647228,0.004125621964718369
45,수입,4.0,10,12.263746128908958,0.0039321053735101325
46,기타,5.0,20,12.096546836510935,0.0038784965308959187
47,납기,3.0,4,11.563181677774528,0.003707484510207825
48,협력,6.0,34,11.450902461217176,0.003671484603970533
49,CE,3.0,5,11.016217007392664,0.0035321120997777932
50,ERP 모듈 사용 가능자,2.0,0,10.92766361005122,0.0035037193651379214
51,출사,2.0,0,10.92766361005122,0.0035037193651379214
52,엑셀,4.0,16,10.522473843877576,0.0033738040162620193
53,급여,4.0,17,10.293840188517782,0.0033004975717746948
54,모집,6.0,42,10.215790135992286,0.0032754725078413503
55,자재 입출고,4.0,19,9.872398125886477,0.0031653712749909256
56,자재 발주,3.0,8,9.79982168306817,0.003142101205813336
57,자재창고,2.0,1,9.54136924893133,0.0030592340138163782
58,검사,3.0,10,9.19780959668172,0.0029490790301326003
59,인원,3.0,10,9.19780959668172,0.0029490790301326003
60,조정,4.0,23,9.143111898710655,0.0029315413944175505
61,접수,4.0,25,8.822941068016512,0.0028288855313084818
62,불출,2.0,2,8.730439032715001,0.002799226751173406
63,학사,2.0,2,8.730439032715001,0.002799226751173406
64,행사,3.0,12,8.69664734269222,0.002788392175463677
65,문서,3.0,12,8.69664734269222,0.002788392175463677
66,업체 관리,4.0,26,8.671979756085124,0.002780483046488751
67,마감업무,2.0,3,8.15507488781144,0.0026147486624948347
68,자재 입출고 관리,2.0,3,8.15507488781144,0.0026147486624948347
69,영어,6.0,63,7.829692329995629,0.0025104217716259802
70,관리 업무,8.0,88,7.8015634823477615,0.00250140286404063
71,학력,3.0,17,7.720380141388336,0.002475373178831021
