idx,skill,tf,df,tfidf,pr
0,관리,947.0,69,1150.9237251385098,0.04933408418795464
1,자재,512.0,47,815.4269665882722,0.03495309179933097
2,물류,200.0,19,493.6199062943239,0.02115890521853978
3,구매,143.0,9,452.05827982051375,0.0193773755353277
4,제품,144.0,10,441.4948606407225,0.01892457697036132
5,출고,270.0,47,430.0103144117842,0.01843229450355344
6,업무,438.0,88,427.13560065854,0.018309070551156638
7,재고,218.0,34,416.0494560908908,0.01783386548111221
8,경력,151.0,20,365.31571446263024,0.015659175164117196
9,입출고,118.0,10,361.7805108028143,0.015507639461823862
10,운전,132.0,17,339.6967262210868,0.014561023049330947
11,자재관리,106.0,11,315.7660664551866,0.013535240751357952
12,지원,176.0,41,303.8045448666345,0.01302251284404624
13,지게차,108.0,14,297.6244132237272,0.012757602904226258
14,재고관리,94.0,15,252.9768497818679,0.010843795233468017
15,창고,141.0,40,246.78662310330364,0.010578452572236439
16,자재 입,63.0,5,231.340557155246,0.009916360462038198
17,발주,90.0,18,226.7453543273253,0.009719388136051884
18,자격,91.0,20,220.15715242449903,0.009436986357183211
19,출고 관리,71.0,10,217.681493788134,0.009330867811775372
20,입고,92.0,25,202.92764456437976,0.008698447414312905
21,재고 관리,58.0,9,183.35230929783077,0.007859355112230817
22,포장,71.0,17,182.71566334619064,0.007832065428049222
23,급여,71.0,17,182.71566334619064,0.007832065428049222
24,지게차 운전,47.0,4,181.15651295180092,0.007765232800362058
25,부품,57.0,10,174.75838233695265,0.007490978384101356
26,채용,58.0,11,172.77765900378137,0.007406075128101521
27,배송,51.0,11,151.9251829171181,0.006512238474709958
28,모집,89.0,42,151.53422035055223,0.006495479953052949
29,납품,65.0,22,151.34194329126993,0.006487238040558788
30,자재 출고,42.0,6,147.75270955075246,0.006333386351122439
31,물류관리,42.0,6,147.75270955075246,0.006333386351122439
32,창고관리,36.0,4,138.75818013329433,0.005947837889639023
33,협의,45.0,10,137.96714395022576,0.005913930303237912
34,상품,58.0,21,137.62178239670305,0.005899126458652363
35,하차,30.0,2,130.95658549072502,0.005613424306453491
36,생산,47.0,16,123.63906766556153,0.005299760566147825
37,운전 가능,40.0,10,122.63746128908956,0.005256826936211477
38,경험,53.0,24,118.98266694834268,0.0051001650065302835
39,사무,60.0,33,116.24827682456691,0.0049829559946534705
40,엑셀,44.0,16,115.74721228265334,0.004961477976819241
41,근무시간,52.0,28,109.01987070203506,0.004673112007250398
42,운전가능,33.0,8,107.79803851374989,0.004620738447887757
43,입출고 관리,43.0,19,106.12827985327962,0.004549164621986052
44,학력,40.0,17,102.93840188517784,0.004412431227069984
45,출하,52.0,32,102.30086066507477,0.004385103167408975
46,ERP,32.0,9,101.15989478501008,0.0043361959239894155
47,영업,37.0,17,95.21802174378948,0.0040814988850397345
48,차량,31.0,13,87.5680087377209,0.0037535828142897677
49,유통,27.0,9,85.35366122485225,0.003658665310866069
