idx,skill,tf,df,tfidf,pr
0,회계,34.0,15,91.5022648147182,0.05272128042490341
1,재무,14.0,5,51.40901270116577,0.029620567102614716
2,경력,15.0,20,36.2896405095328,0.020909168944573144
3,관리,25.0,69,30.38341407440628,0.017506151316869608
4,결산,10.0,12,28.988824475640733,0.016702624218791207
5,세무,10.0,17,25.734600471294456,0.01482762301913789
6,업무,24.0,88,23.404690447043286,0.013485188053161165
7,법인,8.0,15,21.52994466228663,0.012405007158800802
8,보고,6.0,7,20.306341580074644,0.011699998147748455
9,재무제표 작성,4.0,1,19.08273849786266,0.010994989136696111
10,대응,5.0,5,18.360361678987772,0.01057877396521954
11,보고서 작성,4.0,2,17.460878065430002,0.010060514357940871
12,회계감사,4.0,4,15.417575570366038,0.008883215369185737
13,채용,5.0,11,14.894625776188049,0.008581904983012995
14,사무실,4.0,7,13.537561053383095,0.007799998765165636
15,경험,6.0,24,13.469735880944455,0.007760919623865193
16,법인결산,3.0,2,13.0956585490725,0.0075453857684556515
17,보고서,4.0,9,12.644986848126258,0.007285720183420502
18,협의,4.0,10,12.263746128908958,0.007066058966204224
19,자격,5.0,20,12.096546836510935,0.006969722981524382
20,검토,6.0,33,11.624827682456692,0.006697930388706596
21,사무,6.0,33,11.624827682456692,0.006697930388706596
22,감사,4.0,12,11.595529790256291,0.006681049687516482
23,제조업,4.0,12,11.595529790256291,0.006681049687516482
24,총괄,5.0,23,11.428889873388322,0.0065850360008064485
25,인사,4.0,14,11.0231264156936,0.006351245404665261
26,외부 회계감사,2.0,0,10.92766361005122,0.006296242161230673
27,세무조사 대응,2.0,0,10.92766361005122,0.006296242161230673
28,회계 업무 총괄,2.0,0,10.92766361005122,0.006296242161230673
29,이사회,2.0,0,10.92766361005122,0.006296242161230673
30,제조업체 기반 연결재무제표 작성,2.0,0,10.92766361005122,0.006296242161230673
31,원가,5.0,26,10.839974695106404,0.006245718036124893
32,지원,6.0,41,10.35697312045345,0.005967424799181403
33,작성,8.0,66,10.073113485077153,0.005803872088565027
34,계획,4.0,19,9.872398125886477,0.005688224997655265
35,사업계획,2.0,1,9.54136924893133,0.005497494568348056
36,회계결산,2.0,1,9.54136924893133,0.005497494568348056
37,회계 관리,3.0,11,8.936775465712829,0.005149142989807797
38,더존,3.0,11,8.936775465712829,0.005149142989807797
39,재무회계,2.0,3,8.15507488781144,0.004698746975465438
40,법인세,2.0,3,8.15507488781144,0.004698746975465438
41,부가세,2.0,3,8.15507488781144,0.004698746975465438
42,신고,3.0,17,7.720380141388336,0.0044482869057413665
43,예산,2.0,4,7.708787785183019,0.004441607684592869
44,세무사,2.0,4,7.708787785183019,0.004441607684592869
45,인근거주자,2.0,4,7.708787785183019,0.004441607684592869
46,총무,4.0,41,6.904648746968967,0.003978283199454268
47,경리,3.0,25,6.617205801012384,0.0038126658763134344
48,접수,3.0,25,6.617205801012384,0.0038126658763134344
49,결산 업무,2.0,8,6.533214455378781,0.003764272196710196
50,운전가능,2.0,8,6.533214455378781,0.003764272196710196
51,건설,3.0,27,6.394881884551219,0.0036845684836571326
52,실무,2.0,9,6.322493424063129,0.003642860091710251
53,자금,3.0,31,5.9942877066776505,0.0034537562952263725
54,유경험자,4.0,57,5.613555177916763,0.0032343878844407997
55,원천세,2.0,14,5.5115632078468,0.0031756227023326303
56,운전가능자,2.0,14,5.5115632078468,0.0031756227023326303
57,국내법인관리,1.0,0,5.4638318050256105,0.003148121080615337
58,내부거래위원회 운영,1.0,0,5.4638318050256105,0.003148121080615337
59,회계처리 진단,1.0,0,5.4638318050256105,0.003148121080615337
60,내부 회계 관리,1.0,0,5.4638318050256105,0.003148121080615337
61,기성 관리,1.0,0,5.4638318050256105,0.003148121080615337
62,내부 회계 관리 제도 수립,1.0,0,5.4638318050256105,0.003148121080615337
63,자금 기획 관리,1.0,0,5.4638318050256105,0.003148121080615337
64,외부 회계감사 대응,1.0,0,5.4638318050256105,0.003148121080615337
65,IFRS 기준 재무제표 작성,1.0,0,5.4638318050256105,0.003148121080615337
66,더존활용,1.0,0,5.4638318050256105,0.003148121080615337
67,준공 지원,1.0,0,5.4638318050256105,0.003148121080615337
68,세무 이슈 검토,1.0,0,5.4638318050256105,0.003148121080615337
69,원도업체 관리,1.0,0,5.4638318050256105,0.003148121080615337
70,연결회계,1.0,0,5.4638318050256105,0.003148121080615337
71,자금 기획,1.0,0,5.4638318050256105,0.003148121080615337
72,예산 수립,1.0,0,5.4638318050256105,0.003148121080615337
73,공동도급원가안분,1.0,0,5.4638318050256105,0.003148121080615337
74,주주총회,1.0,0,5.4638318050256105,0.003148121080615337
75,상장사 결산업무,1.0,0,5.4638318050256105,0.003148121080615337
76,회계감사 대응,1.0,0,5.4638318050256105,0.003148121080615337
77,자금 유동성 관리,1.0,0,5.4638318050256105,0.003148121080615337
78,실적 분석,1.0,0,5.4638318050256105,0.003148121080615337
79,손익 분석,1.0,0,5.4638318050256105,0.003148121080615337
80,산재고용보험신고,1.0,0,5.4638318050256105,0.003148121080615337
81,금속공사,1.0,0,5.4638318050256105,0.003148121080615337
82,일일마감,1.0,0,5.4638318050256105,0.003148121080615337
83,현설 입찰 견적작업,1.0,0,5.4638318050256105,0.003148121080615337
84,연결 재무제표 작성,1.0,0,5.4638318050256105,0.003148121080615337
85,주주총회 운영,1.0,0,5.4638318050256105,0.003148121080615337
86,취득세,1.0,0,5.4638318050256105,0.003148121080615337
87,투자사 대응,1.0,0,5.4638318050256105,0.003148121080615337
88,감사 대응,1.0,0,5.4638318050256105,0.003148121080615337
89,법인체 인수합병,1.0,0,5.4638318050256105,0.003148121080615337
90,기준 정비,1.0,0,5.4638318050256105,0.003148121080615337
91,지분법 평가,1.0,0,5.4638318050256105,0.003148121080615337
92,투자 유치,1.0,0,5.4638318050256105,0.003148121080615337
93,미수금 관리,1.0,0,5.4638318050256105,0.003148121080615337
94,회계 업무,2.0,15,5.382486165571658,0.0031012517897002004
95,평가,2.0,15,5.382486165571658,0.0031012517897002004
96,학력,2.0,17,5.146920094258891,0.002965524603827578
97,운전,2.0,17,5.146920094258891,0.002965524603827578
98,모집,3.0,42,5.107895067996143,0.0029430393751028717
99,분석,3.0,43,5.038926513322046,0.002903301446005313
100,경영,2.0,18,5.03878565171834,0.0029032202851277636
101,기타,2.0,20,4.838618734604374,0.002787889192609753
102,IPO 진행 경력자,1.0,1,4.770684624465665,0.002748747284174028
103,현장 착공,1.0,1,4.770684624465665,0.002748747284174028
104,세무리스크 검토,1.0,1,4.770684624465665,0.002748747284174028
105,매출입력,1.0,1,4.770684624465665,0.002748747284174028
106,회계 업무 총괄 관리,1.0,1,4.770684624465665,0.002748747284174028
107,해외법인,1.0,1,4.770684624465665,0.002748747284174028
108,해외출장,1.0,1,4.770684624465665,0.002748747284174028
109,영어 가능자,1.0,1,4.770684624465665,0.002748747284174028
110,현장 공정,1.0,1,4.770684624465665,0.002748747284174028
111,I-CUBE,1.0,1,4.770684624465665,0.002748747284174028
112,원가 관리,1.0,1,4.770684624465665,0.002748747284174028
113,창호,1.0,1,4.770684624465665,0.002748747284174028
