idx,skill,tf,df,tfidf,pr
0,가스,21.0,17,54.04266098971836,0.04224417075992697
1,채용,17.0,11,50.64172763903937,0.03958572266395799
2,자격,15.0,20,36.2896405095328,0.028366955705469904
3,지원,19.0,41,32.79708154810259,0.02563688552658214
4,안전관리,8.0,4,30.83515114073208,0.024103280007715836
5,관리,24.0,69,29.168077511430027,0.02280015869992151
6,가스안전,5.0,0,27.31915902512805,0.02135489255598781
7,안전,15.0,58,20.79441541679836,0.016254618474231163
8,서류,12.0,41,20.7139462409069,0.01619171717468346
9,홈페이지,5.0,4,19.271969462957543,0.015064550004822392
10,전기,11.0,49,17.069896795572102,0.013343229624160595
11,경력,7.0,20,16.93516557111531,0.013237912662552623
12,가스기능사,3.0,0,16.391495415076832,0.012812935533592688
13,시설,9.0,42,15.323685203988427,0.011978247602423012
14,관리자,6.0,23,13.714667848065986,0.010720507833609528
15,자격증,8.0,47,12.741046352941751,0.009959445518351059
16,가스기사,2.0,0,10.92766361005122,0.008541957022395123
17,가스안전관리자,2.0,0,10.92766361005122,0.008541957022395123
18,기능,4.0,16,10.522473843877576,0.00822522750984076
19,C,7.0,53,10.323934309229353,0.008070032746098988
20,시공,3.0,7,10.153170790037322,0.007936549991323337
21,실무경력,2.0,1,9.54136924893133,0.007458315790779714
22,보수,2.0,1,9.54136924893133,0.007458315790779714
23,접수,4.0,25,8.822941068016512,0.006896733474189432
24,가스관련 자격증,2.0,2,8.730439032715001,0.0068244263060494095
25,인근거주자,2.0,4,7.708787785183019,0.006025820001928958
26,계약,3.0,19,7.404298594414858,0.005787806308047205
27,전시,2.0,6,7.035843311940593,0.005499791477075036
28,설비,3.0,23,6.857333924032993,0.005360253916804764
29,모집,4.0,42,6.810526757328191,0.005323665601076895
30,시공관리,2.0,7,6.768780526691549,0.005291033327548892
31,환경,2.0,7,6.768780526691549,0.005291033327548892
32,실무,2.0,9,6.322493424063129,0.0049421787703135475
33,등록,2.0,9,6.322493424063129,0.0049421787703135475
34,근무시간,3.0,28,6.289607925117408,0.004916472770506233
35,협의,2.0,10,6.131873064454479,0.004793174282485709
36,점검,3.0,33,5.812413841228346,0.0045434587849574526
37,안내,2.0,14,5.5115632078468,0.004308289285583243
38,카트 관리,1.0,0,5.4638318050256105,0.0042709785111975625
39,보일러자격,1.0,0,5.4638318050256105,0.0042709785111975625
40,CAD설계,1.0,0,5.4638318050256105,0.0042709785111975625
41,전기 안전 관리,1.0,0,5.4638318050256105,0.0042709785111975625
42,시설안전,1.0,0,5.4638318050256105,0.0042709785111975625
43,인원의 업무관리,1.0,0,5.4638318050256105,0.0042709785111975625
44,가스일반시설 안전관리자,1.0,0,5.4638318050256105,0.0042709785111975625
45,냉난방 관리,1.0,0,5.4638318050256105,0.0042709785111975625
46,LPG충전시설 안전관리자,1.0,0,5.4638318050256105,0.0042709785111975625
47,경리과장,1.0,0,5.4638318050256105,0.0042709785111975625
48,가스 관리 담당자,1.0,0,5.4638318050256105,0.0042709785111975625
49,예방조치,1.0,0,5.4638318050256105,0.0042709785111975625
50,설비대리,1.0,0,5.4638318050256105,0.0042709785111975625
51,변전시설의 설비 조작,1.0,0,5.4638318050256105,0.0042709785111975625
52,정밀점검,1.0,0,5.4638318050256105,0.0042709785111975625
53,설비과장,1.0,0,5.4638318050256105,0.0042709785111975625
54,전기과장,1.0,0,5.4638318050256105,0.0042709785111975625
55,시설 전체의 관리,1.0,0,5.4638318050256105,0.0042709785111975625
56,가스안전관리자격,1.0,0,5.4638318050256105,0.0042709785111975625
57,표시기,1.0,0,5.4638318050256105,0.0042709785111975625
58,관리소장,1.0,0,5.4638318050256105,0.0042709785111975625
59,전기기사,1.0,0,5.4638318050256105,0.0042709785111975625
60,일반점검,1.0,0,5.4638318050256105,0.0042709785111975625
61,가스산업기사,1.0,0,5.4638318050256105,0.0042709785111975625
62,발표,1.0,0,5.4638318050256105,0.0042709785111975625
63,제출,5.0,81,5.285562788806785,0.004131628845129399
64,기타,2.0,20,4.838618734604374,0.003782260760729321
65,전기캐드,1.0,1,4.770684624465665,0.003729157895389857
66,정기검사,1.0,1,4.770684624465665,0.003729157895389857
67,운영 관리,1.0,1,4.770684624465665,0.003729157895389857
68,안전 관리,1.0,1,4.770684624465665,0.003729157895389857
69,전기안전관리,1.0,2,4.3652195163575005,0.0034122131530247048
70,보일러,1.0,2,4.3652195163575005,0.0034122131530247048
71,유지보수,1.0,2,4.3652195163575005,0.0034122131530247048
72,산업기사 자격,1.0,2,4.3652195163575005,0.0034122131530247048
73,업무처리,1.0,2,4.3652195163575005,0.0034122131530247048
74,회원관리,1.0,2,4.3652195163575005,0.0034122131530247048
75,기타 자격증,1.0,2,4.3652195163575005,0.0034122131530247048
76,유지,2.0,27,4.2632545897008125,0.0033325090138442144
77,안전교육,1.0,3,4.07753744390572,0.0031873372795821514
78,시설관리,1.0,3,4.07753744390572,0.0031873372795821514
79,업무,4.0,88,3.9007817411738808,0.0030491705432992124
80,전기안전,1.0,4,3.8543938925915096,0.003012910000964479
81,이메일,2.0,36,3.705827784762771,0.0028967785612219214
82,현장대리인,1.0,5,3.672072335797555,0.002870392537216999
83,영선,1.0,5,3.672072335797555,0.002870392537216999
84,전기산업기사,1.0,5,3.672072335797555,0.002870392537216999
85,NAVER,1.0,5,3.672072335797555,0.002870392537216999
86,현장,3.0,70,3.603455783952884,0.0028167562195376174
87,용역,1.0,6,3.5179216559702966,0.002749895738537518
88,심사,1.0,6,3.5179216559702966,0.002749895738537518
89,참여,1.0,6,3.5179216559702966,0.002749895738537518
90,설계,1.0,6,3.5179216559702966,0.002749895738537518
91,캐드,1.0,6,3.5179216559702966,0.002749895738537518
92,미화,1.0,7,3.3843902633457743,0.002645516663774446
93,수행업무,1.0,7,3.3843902633457743,0.002645516663774446
94,CAD,1.0,7,3.3843902633457743,0.002645516663774446
95,경비,1.0,7,3.3843902633457743,0.002645516663774446
96,아파트,1.0,9,3.1612467120315646,0.0024710893851567738
97,개인,1.0,10,3.0659365322272394,0.0023965871412428546
98,검사,1.0,10,3.0659365322272394,0.0023965871412428546
99,인원,1.0,10,3.0659365322272394,0.0023965871412428546
100,계획수립,1.0,11,2.9789251552376097,0.0023285719214092937
101,기계,1.0,11,2.9789251552376097,0.0023285719214092937
102,운전면허,1.0,12,2.8988824475640733,0.0022660039843550635
103,수행,1.0,12,2.8988824475640733,0.0022660039843550635
104,교육,1.0,13,2.824774475410352,0.002208075122729813
105,운영,2.0,58,2.772588722239781,0.0021672824632308217
106,청구,1.0,14,2.7557816039234,0.0021541446427916213
107,발생,1.0,15,2.691243082785829,0.0021036960479667403
108,성실,1.0,16,2.630618460969394,0.00205630687746019
109,엑셀,1.0,16,2.630618460969394,0.00205630687746019
110,영업,1.0,17,2.573460047129445,0.0020116271790441413
111,운전,1.0,17,2.573460047129445,0.0020116271790441413
