idx,skill,tf,df,tfidf,pr
0,보안,83.0,8,271.1283998982194,0.08691384375227425
1,네트워크,25.0,0,136.59579512564025,0.043787613541127715
2,지원,43.0,41,74.2249740299164,0.02379381059960711
3,기술지원,13.0,0,71.02981346533294,0.022769559041386413
4,기술,25.0,13,70.6193618852588,0.02263798328424762
5,자격,29.0,20,70.15997165176343,0.02249071958560769
6,방화벽,12.0,0,65.56598166030733,0.021018054499741305
7,C,28.0,53,41.29573723691741,0.013237902245547774
8,경력,17.0,20,41.12825924413718,0.013184214929494164
9,IT,11.0,5,40.39279569377311,0.0129484522276679
10,대응,11.0,5,40.39279569377311,0.0129484522276679
11,솔루션,17.0,22,39.58173901463983,0.012688457134896759
12,네트워크 보안,8.0,1,38.16547699572532,0.012234455356143871
13,제품,11.0,10,33.725301854499634,0.01081109768279762
14,컨설팅,6.0,0,32.782990830153665,0.010509027249870653
15,정보처리기사,6.0,0,32.782990830153665,0.010509027249870653
16,DB,6.0,0,32.782990830153665,0.010509027249870653
17,채용,11.0,11,32.768176707613705,0.010504278384269526
18,진단,8.0,5,29.37657868638044,0.009417056165576653
19,업무,30.0,88,29.255863058804103,0.009378359152657438
20,보수,6.0,1,28.62410774679399,0.009175841517107902
21,정보보안기사,5.0,0,27.31915902512805,0.008757522708225543
22,UX,5.0,0,27.31915902512805,0.008757522708225543
23,유지보수,6.0,2,26.191317098145003,0.00839597785694524
24,LINUX,5.0,1,23.853423122328326,0.007646534597589919
25,관리,19.0,69,23.09139469654877,0.00740225616877959
26,경험,10.0,24,22.44955980157409,0.007196507387768349
27,웹방화벽,4.0,0,21.85532722010244,0.007006018166580434
28,WINDOWS,4.0,0,21.85532722010244,0.007006018166580434
29,정보보안 솔루션,4.0,0,21.85532722010244,0.007006018166580434
30,운영체제,4.0,0,21.85532722010244,0.007006018166580434
31,개인,7.0,10,21.461555725590674,0.006879789434507576
32,자격증,13.0,47,20.704200323530348,0.006637009006104198
33,관제,4.0,1,19.08273849786266,0.006117227678071936
34,설치,6.0,9,18.967480272189388,0.006080280108503083
35,유지,8.0,27,17.05301835880325,0.005466573673942239
36,교육,6.0,13,16.94864685246211,0.005433115988219429
37,보안업무,3.0,0,16.391495415076832,0.005254513624935326
38,DDOS,3.0,0,16.391495415076832,0.005254513624935326
39,접수,7.0,25,15.440146869028895,0.004949546093255858
40,계약,6.0,19,14.808597188829715,0.004747094375740334
41,CCNA,3.0,1,14.312053873396994,0.004587920758553951
42,운영,10.0,58,13.862943611198906,0.004443952442542494
43,리눅스,4.0,7,13.537561053383095,0.004339646701054937
44,정규직,8.0,44,13.257354522042322,0.00424982274055334
45,공학,3.0,2,13.0956585490725,0.004197988928472619
46,학력,5.0,17,12.867300235647228,0.004124785609380899
47,구축,11.0,73,12.757433830035843,0.004089566460023928
48,인원,4.0,10,12.263746128908958,0.003931308248290044
49,서류,7.0,41,12.083135307195692,0.003873411027843017
50,개발,7.0,42,11.918421825324334,0.0038206099128265366
51,모집,7.0,42,11.918421825324334,0.0038206099128265366
52,분석,7.0,43,11.757495197751442,0.00376902272472783
53,ISMS-P,2.0,0,10.92766361005122,0.003503009083290217
54,JSP,2.0,0,10.92766361005122,0.003503009083290217
55,DAP,2.0,0,10.92766361005122,0.003503009083290217
56,MS-OFFICE,2.0,0,10.92766361005122,0.003503009083290217
57,해외 출장,2.0,0,10.92766361005122,0.003503009083290217
58,SERVER,2.0,0,10.92766361005122,0.003503009083290217
59,CI,2.0,0,10.92766361005122,0.003503009083290217
60,VPN,2.0,0,10.92766361005122,0.003503009083290217
61,UNIX,2.0,0,10.92766361005122,0.003503009083290217
62,보안장비,2.0,0,10.92766361005122,0.003503009083290217
63,JAVA,2.0,0,10.92766361005122,0.003503009083290217
64,UI,2.0,0,10.92766361005122,0.003503009083290217
65,평가,4.0,15,10.764972331143316,0.0034508562125464388
66,설계,3.0,6,10.55376496791089,0.003383150860491088
67,제어,3.0,7,10.153170790037322,0.003254735025791203
68,환경,3.0,7,10.153170790037322,0.003254735025791203
69,프로그램,4.0,19,9.872398125886477,0.0031647295838268894
70,시험,4.0,20,9.677237469208748,0.0031021682187045087
71,정보처리산업기사,2.0,1,9.54136924893133,0.003058613839035968
72,IPS,2.0,1,9.54136924893133,0.003058613839035968
73,운영 관리,2.0,1,9.54136924893133,0.003058613839035968
74,장비 운영,2.0,1,9.54136924893133,0.003058613839035968
75,프로젝트,3.0,9,9.483740136094694,0.0030401400542515414
76,협의,3.0,10,9.19780959668172,0.0029484811862175333
77,ISMS,2.0,2,8.730439032715001,0.0027986592856484127
78,NAC,2.0,2,8.730439032715001,0.0027986592856484127
79,모니터링,2.0,2,8.730439032715001,0.0027986592856484127
80,수행,3.0,12,8.69664734269222,0.0027878269063481708
81,안내,3.0,14,8.2673448117702,0.002650208224170209
82,운전,3.0,17,7.720380141388336,0.0024748713656285387
83,급여,3.0,17,7.720380141388336,0.0024748713656285387
84,IP,2.0,4,7.708787785183019,0.0024711552804219435
85,CE,2.0,5,7.34414467159511,0.0023542640413941633
86,기타,3.0,20,7.257928101906561,0.0023266261640283816
87,유지관리,2.0,6,7.035843311940593,0.0022554339069940587
88,자동화,2.0,6,7.035843311940593,0.0022554339069940587
89,출장,2.0,6,7.035843311940593,0.0022554339069940587
90,워드,2.0,6,7.035843311940593,0.0022554339069940587
91,클라우드,3.0,25,6.617205801012384,0.0021212340399667964
92,제안,2.0,8,6.533214455378781,0.0020943094880066086
93,테스트,2.0,8,6.533214455378781,0.0020943094880066086
94,통신,2.0,8,6.533214455378781,0.0020943094880066086
95,기업,7.0,94,6.369684393975485,0.002041887734287922
96,점검,3.0,33,5.812413841228346,0.001863247186977532
97,커뮤니케이션,2.0,12,5.797764895128147,0.0018585512708987804
98,감사,2.0,12,5.797764895128147,0.0018585512708987804
99,문서,2.0,12,5.797764895128147,0.0018585512708987804
100,차량,2.0,13,5.649548950820703,0.0018110386627398093
101,임금,2.0,13,5.649548950820703,0.0018110386627398093
102,SIEM,1.0,0,5.4638318050256105,0.0017515045416451086
103,내PC지키미,1.0,0,5.4638318050256105,0.0017515045416451086
104,정보보안 제품군,1.0,0,5.4638318050256105,0.0017515045416451086
105,법규 준수,1.0,0,5.4638318050256105,0.0017515045416451086
106,보안감사 대응,1.0,0,5.4638318050256105,0.0017515045416451086
107,DB접근제어,1.0,0,5.4638318050256105,0.0017515045416451086
108,전략물자 인허가,1.0,0,5.4638318050256105,0.0017515045416451086
109,외부 위해 요소로부터 침해되지 않도록 예방·관리,1.0,0,5.4638318050256105,0.0017515045416451086
110,시스템접근제어,1.0,0,5.4638318050256105,0.0017515045416451086
111,사용자 네트워크 환경,1.0,0,5.4638318050256105,0.0017515045416451086
112,ORACLE,1.0,0,5.4638318050256105,0.0017515045416451086
113,패스워드 관리,1.0,0,5.4638318050256105,0.0017515045416451086
114,SSL가시화,1.0,0,5.4638318050256105,0.0017515045416451086
115,인프라 관리,1.0,0,5.4638318050256105,0.0017515045416451086
116,리눅스마스터1급,1.0,0,5.4638318050256105,0.0017515045416451086
117,백엔드,1.0,0,5.4638318050256105,0.0017515045416451086
118,사전기술협의,1.0,0,5.4638318050256105,0.0017515045416451086
119,PPT능력 우수자,1.0,0,5.4638318050256105,0.0017515045416451086
120,제품안내,1.0,0,5.4638318050256105,0.0017515045416451086
121,기술정보제공,1.0,0,5.4638318050256105,0.0017515045416451086
122,EDR,1.0,0,5.4638318050256105,0.0017515045416451086
123,시스템 접근제어,1.0,0,5.4638318050256105,0.0017515045416451086
124,시스템공학,1.0,0,5.4638318050256105,0.0017515045416451086
125,메일 대응,1.0,0,5.4638318050256105,0.0017515045416451086
126,제품 장애,1.0,0,5.4638318050256105,0.0017515045416451086
127,게임,1.0,0,5.4638318050256105,0.0017515045416451086
128,서버,1.0,0,5.4638318050256105,0.0017515045416451086
129,NETWORK,1.0,0,5.4638318050256105,0.0017515045416451086
130,이수자,1.0,0,5.4638318050256105,0.0017515045416451086
131,감사 대응,1.0,0,5.4638318050256105,0.0017515045416451086
132,영상보안 관리,1.0,0,5.4638318050256105,0.0017515045416451086
133,API,1.0,0,5.4638318050256105,0.0017515045416451086
134,DB보안,1.0,0,5.4638318050256105,0.0017515045416451086
135,정보보안산업기사,1.0,0,5.4638318050256105,0.0017515045416451086
136,보안컨설팅,1.0,0,5.4638318050256105,0.0017515045416451086
137,대외 협력,1.0,0,5.4638318050256105,0.0017515045416451086
138,네트워크 관리,1.0,0,5.4638318050256105,0.0017515045416451086
139,WEB,1.0,0,5.4638318050256105,0.0017515045416451086
140,프로젝트 유지보수,1.0,0,5.4638318050256105,0.0017515045416451086
141,어플리케이션,1.0,0,5.4638318050256105,0.0017515045416451086
142,제조사,1.0,0,5.4638318050256105,0.0017515045416451086
143,동종업계 경력,1.0,0,5.4638318050256105,0.0017515045416451086
144,SQL,2.0,15,5.382486165571658,0.0017254281062732194
145,작성,4.0,66,5.036556742538576,0.001614535791657346
146,진행,4.0,69,4.861346251905005,0.0015583697197430716
147,현장,4.0,70,4.804607711937178,0.001540181420032134
148,유지보수 배포지원,1.0,1,4.770684624465665,0.001529306919517984
149,군 보안담당 업무 경력,1.0,1,4.770684624465665,0.001529306919517984
150,ROUTER,1.0,1,4.770684624465665,0.001529306919517984
151,해당직무 근무 경험,1.0,1,4.770684624465665,0.001529306919517984
152,TOEIC 800점 이상,1.0,1,4.770684624465665,0.001529306919517984
153,이슈 대응,1.0,1,4.770684624465665,0.001529306919517984
154,답변,1.0,1,4.770684624465665,0.001529306919517984
155,차단,1.0,1,4.770684624465665,0.001529306919517984
156,사업 관리,1.0,1,4.770684624465665,0.001529306919517984
157,대인관계,1.0,1,4.770684624465665,0.001529306919517984
158,PPT,1.0,1,4.770684624465665,0.001529306919517984
159,운전면허증,1.0,1,4.770684624465665,0.001529306919517984
160,마감,2.0,23,4.571555949355329,0.0014654735528856645
161,네트워크 설계,1.0,2,4.3652195163575005,0.0013993296428242063
162,GO,1.0,2,4.3652195163575005,0.0013993296428242063
163,연구,1.0,2,4.3652195163575005,0.0013993296428242063
164,인증,2.0,26,4.335989878042562,0.0013899596903648045
165,제안서 작성,1.0,3,4.07753744390572,0.0013071092973908592
166,산업공학,1.0,3,4.07753744390572,0.0013071092973908592
167,경력자,2.0,32,3.93464848711826,0.0012613043265032177
168,사무,2.0,33,3.8749425608188974,0.0012421647913183546
169,보안관리,1.0,4,3.8543938925915096,0.0012355776402109718
170,SI,1.0,4,3.8543938925915096,0.0012355776402109718
171,성상,1.0,4,3.8543938925915096,0.0012355776402109718
172,소통,1.0,4,3.8543938925915096,0.0012355776402109718
173,홈페이지,1.0,4,3.8543938925915096,0.0012355776402109718
174,인근거주자,1.0,4,3.8543938925915096,0.0012355776402109718
175,확정,1.0,4,3.8543938925915096,0.0012355776402109718
176,온라인,2.0,34,3.8169674870723926,0.0012235801041257852
177,정보처리기능사,1.0,5,3.672072335797555,0.0011771320206970816
178,OA,1.0,5,3.672072335797555,0.0011771320206970816
179,면담,1.0,5,3.672072335797555,0.0011771320206970816
180,배치,1.0,5,3.672072335797555,0.0011771320206970816
181,지시,1.0,5,3.672072335797555,0.0011771320206970816
182,NAVER,1.0,5,3.672072335797555,0.0011771320206970816
183,근로계약,1.0,5,3.672072335797555,0.0011771320206970816
184,경력 무관,1.0,6,3.5179216559702966,0.0011277169534970293
185,심사,1.0,6,3.5179216559702966,0.0011277169534970293
186,참여,1.0,6,3.5179216559702966,0.0011277169534970293
187,행정,1.0,6,3.5179216559702966,0.0011277169534970293
188,사무실,1.0,7,3.3843902633457743,0.0010849116752637345
189,운전가능,1.0,8,3.2666072276893905,0.0010471547440033043
190,제출,3.0,81,3.1713376732840706,0.0010166148110083058
191,야간근무,1.0,9,3.1612467120315646,0.001013380018083847
192,고객 관리,1.0,9,3.1612467120315646,0.001013380018083847
193,문서작성 우수자,1.0,9,3.1612467120315646,0.001013380018083847
194,수학,1.0,10,3.0659365322272394,0.000982827062072511
195,운전 가능,1.0,10,3.0659365322272394,0.000982827062072511
196,가공,1.0,10,3.0659365322272394,0.000982827062072511
197,해외,2.0,51,3.025176172888365,0.0009697607823902814
198,윈도우,1.0,12,2.8988824475640733,0.0009292756354493902
199,연구소,1.0,12,2.8988824475640733,0.0009292756354493902
200,운전면허,1.0,12,2.8988824475640733,0.0009292756354493902
201,안전,2.0,58,2.772588722239781,0.0008887904885084988
202,인사,1.0,14,2.7557816039234,0.0008834027413900697
203,운전가능자,1.0,14,2.7557816039234,0.0008834027413900697
204,발생,1.0,15,2.691243082785829,0.0008627140531366097
205,열정,1.0,16,2.630618460969394,0.000843280017786302
206,기능,1.0,16,2.630618460969394,0.000843280017786302
207,정보통신공사,1.0,17,2.573460047129445,0.0008249571218761795
208,계획,1.0,19,2.468099531471619,0.0007911823959567224
209,정보통신,1.0,21,2.372789351667294,0.0007606294399453861
210,납품,1.0,22,2.3283375890964604,0.0007463798314645152
211,데스크,1.0,23,2.2857779746776643,0.0007327367764428322
212,경력 3년 이상,1.0,23,2.2857779746776643,0.0007327367764428322
213,설비,1.0,23,2.2857779746776643,0.0007327367764428322
214,4대보험,1.0,23,2.2857779746776643,0.0007327367764428322
215,면허,1.0,25,2.205735267004128,0.0007070780133222655
216,원가,1.0,26,2.167994939021281,0.0006949798451824022
217,근무시간,1.0,28,2.096535975039136,0.0006720727161889989
218,공학계열,1.0,31,1.9980959022258835,0.0006405164310094849
219,검토,1.0,33,1.9374712804094487,0.0006210823956591773
220,협력,1.0,34,1.9084837435361963,0.0006117900520628926
221,책임감,1.0,36,1.8529138923813853,0.000593976391220209
222,경력직,1.0,36,1.8529138923813853,0.000593976391220209
223,컴퓨터,1.0,36,1.8529138923813853,0.000593976391220209
224,차량소지자,1.0,37,1.826245645299224,0.0005854275270624294
225,경력자 우대,1.0,37,1.826245645299224,0.0005854275270624294
226,서비스,1.0,39,1.7749523509116738,0.0005689847738295976
227,문서작성,1.0,40,1.7502597383213023,0.00056106922579656
228,시설,1.0,42,1.7026316893320477,0.0005458014161180767
229,협의 가능,1.0,44,1.6571693152552902,0.0005312278425691675
230,전기,1.0,49,1.551808799597464,0.0004974531166497104
231,훈련,1.0,52,1.4935398914734883,0.0004787742369078464
232,근무 가능자,1.0,53,1.4748477584613358,0.0004727822230552775
233,업무 지원,1.0,55,1.4384801142904609,0.00046112408711565517
234,PC,1.0,60,1.3529579408522987,0.0004337088077780806
235,영어,1.0,63,1.304948721665938,0.0004183188088823601
236,성과급,1.0,66,1.259139185634644,0.0004036339479143365
237,문화,1.0,77,1.1071229783360184,0.0003549031145013634
238,제조,1.0,77,1.1071229783360184,0.0003549031145013634
239,별도,1.0,78,1.0943839525585886,0.00035081944898940906
240,관리 업무,1.0,88,0.9751954352934702,0.00031261197175524796
241,보험,2.0,146,0.9467984364937476,0.0003035089330560961
242,직원,2.0,147,0.93323906252299,0.00029916229393191923
243,법인세 관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
244,소모품 수입,0.01,0,0.0546383180502561,1.7515045416451084e-05
245,영문 서신 작성,0.01,0,0.0546383180502561,1.7515045416451084e-05
246,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,1.7515045416451084e-05
247,유해화학물질관리자,0.01,0,0.0546383180502561,1.7515045416451084e-05
248,가구 설치,0.01,0,0.0546383180502561,1.7515045416451084e-05
249,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,1.7515045416451084e-05
250,타이어 탈착,0.01,0,0.0546383180502561,1.7515045416451084e-05
251,현장 조율,0.01,0,0.0546383180502561,1.7515045416451084e-05
252,경영계획 분석,0.01,0,0.0546383180502561,1.7515045416451084e-05
253,폐기물 관련 업무,0.01,0,0.0546383180502561,1.7515045416451084e-05
254,납품계획 세우기,0.01,0,0.0546383180502561,1.7515045416451084e-05
255,불량재고 처리하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
256,매뉴얼 업무,0.01,0,0.0546383180502561,1.7515045416451084e-05
257,건축업무 경험,0.01,0,0.0546383180502561,1.7515045416451084e-05
258,UX 시나리오 제작,0.01,0,0.0546383180502561,1.7515045416451084e-05
259,평가계획 수립하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
260,현장상황파악,0.01,0,0.0546383180502561,1.7515045416451084e-05
261,인허가관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
262,사건 수임,0.01,0,0.0546383180502561,1.7515045416451084e-05
263,PF심의자료 작성,0.01,0,0.0546383180502561,1.7515045416451084e-05
264,디지털 교육 이해,0.01,0,0.0546383180502561,1.7515045416451084e-05
265,여행상품개발,0.01,0,0.0546383180502561,1.7515045416451084e-05
266,주차매출 관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
267,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
268,어도비 포토샵,0.01,0,0.0546383180502561,1.7515045416451084e-05
269,데미지 관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
270,기관 소통 업무,0.01,0,0.0546383180502561,1.7515045416451084e-05
271,비디오메타 사용,0.01,0,0.0546383180502561,1.7515045416451084e-05
272,소프트웨어 테스트하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
273,자습감독,0.01,0,0.0546383180502561,1.7515045416451084e-05
274,JLPT 2급이상,0.01,0,0.0546383180502561,1.7515045416451084e-05
275,한자 관련 자격증,0.01,0,0.0546383180502561,1.7515045416451084e-05
276,기성취합,0.01,0,0.0546383180502561,1.7515045416451084e-05
277,KUBERNETES,0.01,0,0.0546383180502561,1.7515045416451084e-05
278,프로젝트 코디네이팅,0.01,0,0.0546383180502561,1.7515045416451084e-05
279,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,1.7515045416451084e-05
280,경비지도사 직무교육,0.01,0,0.0546383180502561,1.7515045416451084e-05
281,데이터 마이닝,0.01,0,0.0546383180502561,1.7515045416451084e-05
282,채권현황 파악,0.01,0,0.0546383180502561,1.7515045416451084e-05
283,제품표준서 작성,0.01,0,0.0546383180502561,1.7515045416451084e-05
284,일용직 투입,0.01,0,0.0546383180502561,1.7515045416451084e-05
285,영업 손익관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
286,불꽃놀이 연출,0.01,0,0.0546383180502561,1.7515045416451084e-05
287,생산검토,0.01,0,0.0546383180502561,1.7515045416451084e-05
288,화학사고대응,0.01,0,0.0546383180502561,1.7515045416451084e-05
289,나라사업 발굴,0.01,0,0.0546383180502561,1.7515045416451084e-05
290,영상 프로그램,0.01,0,0.0546383180502561,1.7515045416451084e-05
291,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,1.7515045416451084e-05
292,운영 원칙 이해,0.01,0,0.0546383180502561,1.7515045416451084e-05
293,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,1.7515045416451084e-05
294,법규 검토,0.01,0,0.0546383180502561,1.7515045416451084e-05
295,분양 타당성 분석하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
296,각종 사무관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
297,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,1.7515045416451084e-05
298,가격별 상품 구성,0.01,0,0.0546383180502561,1.7515045416451084e-05
299,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,1.7515045416451084e-05
300,국제계약규범 활용하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
301,수입신고서 작성,0.01,0,0.0546383180502561,1.7515045416451084e-05
302,근무표관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
303,직업훈련 평가,0.01,0,0.0546383180502561,1.7515045416451084e-05
304,제품 기술정보,0.01,0,0.0546383180502561,1.7515045416451084e-05
305,지장물 조서 작성,0.01,0,0.0546383180502561,1.7515045416451084e-05
306,의료 비품 관리,0.01,0,0.0546383180502561,1.7515045416451084e-05
307,어도브 프로그램,0.01,0,0.0546383180502561,1.7515045416451084e-05
308,농산식품 매장 관리하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
309,UX 콘셉트 디자인,0.01,0,0.0546383180502561,1.7515045416451084e-05
310,에어컨 조립,0.01,0,0.0546383180502561,1.7515045416451084e-05
311,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,1.7515045416451084e-05
