idx,skill,tf,df,tfidf,pr
0,접수,17.0,25,37.497499539070176,0.03860646823497514
1,채용,10.0,11,29.789251552376097,0.030670252895188373
2,국제,7.0,3,28.54276210734004,0.029386899184766283
3,계약,9.0,19,22.212895783244573,0.022869830415468546
4,발표,4.0,0,21.85532722010244,0.022501686951385318
5,행정,6.0,6,21.10752993582178,0.021731773958341576
6,C,13.0,53,19.173020859997365,0.01974005280082094
7,연구,4.0,2,17.460878065430002,0.017977274289594225
8,협력,8.0,34,15.26786994828957,0.01571940911847236
9,보수,3.0,1,14.312053873396994,0.014735325289219413
10,서류,8.0,41,13.809297493937931,0.014217700156021031
11,사무,7.0,33,13.56229896286614,0.013963396774165585
12,기획,4.0,8,13.066428910757562,0.013452861627803129
13,시험,5.0,20,12.096546836510935,0.012454295804712443
14,HIVE센터 업무전담,2.0,0,10.92766361005122,0.011250843475692659
15,업무,11.0,88,10.727149788228171,0.011044399563750766
16,운영,7.0,58,9.704060527839234,0.009991052980158031
17,정책 기획,2.0,1,9.54136924893133,0.009823550192812943
18,일반행정업무,2.0,1,9.54136924893133,0.009823550192812943
19,E-MAIL,2.0,1,9.54136924893133,0.009823550192812943
20,인원,3.0,10,9.19780959668172,0.009469829945744902
21,학사,2.0,2,8.730439032715001,0.008988637144797113
22,공학,2.0,2,8.730439032715001,0.008988637144797113
23,공무,3.0,12,8.69664734269222,0.008953846083432838
24,수행,3.0,12,8.69664734269222,0.008953846083432838
25,영어,6.0,63,7.829692329995629,0.00806125133524304
26,자격,3.0,20,7.257928101906561,0.007472577482827466
27,행정업무,2.0,6,7.035843311940593,0.007243924652780525
28,마감,3.0,23,6.857333924032993,0.007060135944236934
29,개발,4.0,42,6.810526757328191,0.007011944480358781
30,일반행정,2.0,11,5.957850310475219,0.006134050579037675
31,AI,2.0,11,5.957850310475219,0.006134050579037675
32,기술,2.0,13,5.649548950820703,0.005816631369900807
33,안내,2.0,14,5.5115632078468,0.005674564771634678
34,네트워크,1.0,0,5.4638318050256105,0.00562542173784633
35,영어활용,1.0,0,5.4638318050256105,0.00562542173784633
36,국제협력사업 개발,1.0,0,5.4638318050256105,0.00562542173784633
37,AE,1.0,0,5.4638318050256105,0.00562542173784633
38,UI,1.0,0,5.4638318050256105,0.00562542173784633
39,제출,5.0,81,5.285562788806785,0.005441880509856945
40,지원,3.0,41,5.178486560226725,0.005331637558507888
41,기타,2.0,20,4.838618734604374,0.0049817183218849774
42,경력,2.0,20,4.838618734604374,0.0049817183218849774
43,PIC,1.0,1,4.770684624465665,0.0049117750964064715
44,조정,2.0,23,4.571555949355329,0.004706757296157956
45,학사관리,1.0,2,4.3652195163575005,0.004494318572398556
46,조사분석,1.0,2,4.3652195163575005,0.004494318572398556
47,네트워크 구축,1.0,2,4.3652195163575005,0.004494318572398556
48,회의,1.0,2,4.3652195163575005,0.004494318572398556
49,발굴,2.0,26,4.335989878042562,0.004464224483006016
50,AR,3.0,59,4.1084617284105285,0.00422996730881286
51,취득,2.0,30,4.059689201080928,0.004179752359809987
52,자동차,2.0,31,3.996191804451767,0.004114377061294066
53,홈페이지,1.0,4,3.8543938925915096,0.003968385551265113
54,이메일,2.0,36,3.705827784762771,0.0038154256794553157
55,기구,1.0,5,3.672072335797555,0.003780671930958697
56,IT,1.0,5,3.672072335797555,0.003780671930958697
57,근로계약,1.0,5,3.672072335797555,0.003780671930958697
58,관리,3.0,69,3.6460096889287534,0.0037538384951075576
59,전자,1.0,6,3.5179216559702966,0.0036219623263902623
60,구축,3.0,73,3.479300135464321,0.003582198594863396
61,모집,2.0,42,3.405263378664096,0.003505972240179391
62,수행업무,1.0,7,3.3843902633457743,0.0034844818135267523
63,분석,2.0,43,3.3592843422146976,0.0034586333980704946
64,정규직,2.0,44,3.3143386305105804,0.0034123584407391295
65,보건,2.0,47,3.1852615882354383,0.003279464013278237
66,설치,1.0,9,3.1612467120315646,0.0032547389098252534
67,문자,1.0,9,3.1612467120315646,0.0032547389098252534
68,가공,1.0,10,3.0659365322272394,0.0031566099819149663
69,검사,1.0,10,3.0659365322272394,0.0031566099819149663
70,협의,1.0,10,3.0659365322272394,0.0031566099819149663
71,IA,1.0,15,2.691243082785829,0.0027708351720868926
72,평가,1.0,15,2.691243082785829,0.0027708351720868926
73,회계,1.0,15,2.691243082785829,0.0027708351720868926
74,프로그램 운영,1.0,17,2.573460047129445,0.0026495687655109226
75,급여,1.0,17,2.573460047129445,0.0026495687655109226
76,전산,1.0,18,2.51939282585917,0.002593902534797342
77,프로그램,1.0,19,2.468099531471619,0.002541092268385394
78,경험,1.0,24,2.244955980157409,0.002311349364683895
79,별도,2.0,78,2.188767905117177,0.0022534995570729927
80,근무시간,1.0,28,2.096535975039136,0.002158539916494872
81,학생,1.0,30,2.029844600540464,0.0020898761799049933
82,자격증,1.0,47,1.5926307941177191,0.0016397320066391186
83,해외,1.0,51,1.5125880864441827,0.0015573220782645607
84,성과급,1.0,66,1.259139185634644,0.0012963775604015052
85,직원,2.0,147,0.93323906252299,0.0009608391136958785
86,법인세 관리,0.01,0,0.0546383180502561,5.625421737846331e-05
87,소모품 수입,0.01,0,0.0546383180502561,5.625421737846331e-05
88,영문 서신 작성,0.01,0,0.0546383180502561,5.625421737846331e-05
89,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,5.625421737846331e-05
90,유해화학물질관리자,0.01,0,0.0546383180502561,5.625421737846331e-05
91,가구 설치,0.01,0,0.0546383180502561,5.625421737846331e-05
92,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,5.625421737846331e-05
93,타이어 탈착,0.01,0,0.0546383180502561,5.625421737846331e-05
94,현장 조율,0.01,0,0.0546383180502561,5.625421737846331e-05
95,경영계획 분석,0.01,0,0.0546383180502561,5.625421737846331e-05
96,폐기물 관련 업무,0.01,0,0.0546383180502561,5.625421737846331e-05
97,납품계획 세우기,0.01,0,0.0546383180502561,5.625421737846331e-05
98,불량재고 처리하기,0.01,0,0.0546383180502561,5.625421737846331e-05
99,매뉴얼 업무,0.01,0,0.0546383180502561,5.625421737846331e-05
100,건축업무 경험,0.01,0,0.0546383180502561,5.625421737846331e-05
101,UX 시나리오 제작,0.01,0,0.0546383180502561,5.625421737846331e-05
102,평가계획 수립하기,0.01,0,0.0546383180502561,5.625421737846331e-05
103,현장상황파악,0.01,0,0.0546383180502561,5.625421737846331e-05
104,인허가관리,0.01,0,0.0546383180502561,5.625421737846331e-05
105,사건 수임,0.01,0,0.0546383180502561,5.625421737846331e-05
106,PF심의자료 작성,0.01,0,0.0546383180502561,5.625421737846331e-05
107,디지털 교육 이해,0.01,0,0.0546383180502561,5.625421737846331e-05
108,여행상품개발,0.01,0,0.0546383180502561,5.625421737846331e-05
109,주차매출 관리,0.01,0,0.0546383180502561,5.625421737846331e-05
110,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,5.625421737846331e-05
111,어도비 포토샵,0.01,0,0.0546383180502561,5.625421737846331e-05
112,데미지 관리,0.01,0,0.0546383180502561,5.625421737846331e-05
113,기관 소통 업무,0.01,0,0.0546383180502561,5.625421737846331e-05
114,비디오메타 사용,0.01,0,0.0546383180502561,5.625421737846331e-05
115,소프트웨어 테스트하기,0.01,0,0.0546383180502561,5.625421737846331e-05
116,자습감독,0.01,0,0.0546383180502561,5.625421737846331e-05
117,JLPT 2급이상,0.01,0,0.0546383180502561,5.625421737846331e-05
118,한자 관련 자격증,0.01,0,0.0546383180502561,5.625421737846331e-05
119,기성취합,0.01,0,0.0546383180502561,5.625421737846331e-05
120,KUBERNETES,0.01,0,0.0546383180502561,5.625421737846331e-05
121,프로젝트 코디네이팅,0.01,0,0.0546383180502561,5.625421737846331e-05
122,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,5.625421737846331e-05
123,경비지도사 직무교육,0.01,0,0.0546383180502561,5.625421737846331e-05
124,데이터 마이닝,0.01,0,0.0546383180502561,5.625421737846331e-05
125,채권현황 파악,0.01,0,0.0546383180502561,5.625421737846331e-05
126,제품표준서 작성,0.01,0,0.0546383180502561,5.625421737846331e-05
127,일용직 투입,0.01,0,0.0546383180502561,5.625421737846331e-05
128,영업 손익관리,0.01,0,0.0546383180502561,5.625421737846331e-05
129,불꽃놀이 연출,0.01,0,0.0546383180502561,5.625421737846331e-05
130,생산검토,0.01,0,0.0546383180502561,5.625421737846331e-05
131,화학사고대응,0.01,0,0.0546383180502561,5.625421737846331e-05
132,나라사업 발굴,0.01,0,0.0546383180502561,5.625421737846331e-05
133,영상 프로그램,0.01,0,0.0546383180502561,5.625421737846331e-05
134,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,5.625421737846331e-05
135,운영 원칙 이해,0.01,0,0.0546383180502561,5.625421737846331e-05
136,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,5.625421737846331e-05
137,법규 검토,0.01,0,0.0546383180502561,5.625421737846331e-05
138,분양 타당성 분석하기,0.01,0,0.0546383180502561,5.625421737846331e-05
139,각종 사무관리,0.01,0,0.0546383180502561,5.625421737846331e-05
140,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,5.625421737846331e-05
141,가격별 상품 구성,0.01,0,0.0546383180502561,5.625421737846331e-05
142,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,5.625421737846331e-05
143,국제계약규범 활용하기,0.01,0,0.0546383180502561,5.625421737846331e-05
144,수입신고서 작성,0.01,0,0.0546383180502561,5.625421737846331e-05
145,근무표관리,0.01,0,0.0546383180502561,5.625421737846331e-05
146,직업훈련 평가,0.01,0,0.0546383180502561,5.625421737846331e-05
147,제품 기술정보,0.01,0,0.0546383180502561,5.625421737846331e-05
148,지장물 조서 작성,0.01,0,0.0546383180502561,5.625421737846331e-05
149,의료 비품 관리,0.01,0,0.0546383180502561,5.625421737846331e-05
150,어도브 프로그램,0.01,0,0.0546383180502561,5.625421737846331e-05
151,농산식품 매장 관리하기,0.01,0,0.0546383180502561,5.625421737846331e-05
152,UX 콘셉트 디자인,0.01,0,0.0546383180502561,5.625421737846331e-05
153,에어컨 조립,0.01,0,0.0546383180502561,5.625421737846331e-05
154,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,5.625421737846331e-05
155,서버 기본 설치,0.01,0,0.0546383180502561,5.625421737846331e-05
156,CLAIM 업무,0.01,0,0.0546383180502561,5.625421737846331e-05
157,PPT 활용능력,0.01,0,0.0546383180502561,5.625421737846331e-05
158,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,5.625421737846331e-05
159,중량 점검표,0.01,0,0.0546383180502561,5.625421737846331e-05
