idx,skill,tf,df,tfidf,pr
0,연구,2.0,2,8.730439032715001,0.02286491554212422
1,이메일,3.0,36,5.558741677144156,0.014558278053613684
2,CAN,1.0,0,5.4638318050256105,0.014309710232227787
3,통화,1.0,2,4.3652195163575005,0.01143245777106211
4,프로젝트,1.0,9,3.1612467120315646,0.008279267377913456
5,C,2.0,53,2.9496955169226715,0.0077252173248892565
6,전화,1.0,24,2.244955980157409,0.005879512896171383
7,지원,1.0,41,1.7261621867422416,0.004520798148176959
8,업무,1.0,88,0.9751954352934702,0.0025540251963842055
9,법인세 관리,0.01,0,0.0546383180502561,0.00014309710232227786
10,소모품 수입,0.01,0,0.0546383180502561,0.00014309710232227786
11,영문 서신 작성,0.01,0,0.0546383180502561,0.00014309710232227786
12,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00014309710232227786
13,유해화학물질관리자,0.01,0,0.0546383180502561,0.00014309710232227786
14,가구 설치,0.01,0,0.0546383180502561,0.00014309710232227786
15,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00014309710232227786
16,타이어 탈착,0.01,0,0.0546383180502561,0.00014309710232227786
17,현장 조율,0.01,0,0.0546383180502561,0.00014309710232227786
18,경영계획 분석,0.01,0,0.0546383180502561,0.00014309710232227786
19,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00014309710232227786
20,납품계획 세우기,0.01,0,0.0546383180502561,0.00014309710232227786
21,불량재고 처리하기,0.01,0,0.0546383180502561,0.00014309710232227786
22,매뉴얼 업무,0.01,0,0.0546383180502561,0.00014309710232227786
23,건축업무 경험,0.01,0,0.0546383180502561,0.00014309710232227786
24,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00014309710232227786
25,평가계획 수립하기,0.01,0,0.0546383180502561,0.00014309710232227786
26,현장상황파악,0.01,0,0.0546383180502561,0.00014309710232227786
27,인허가관리,0.01,0,0.0546383180502561,0.00014309710232227786
28,사건 수임,0.01,0,0.0546383180502561,0.00014309710232227786
29,PF심의자료 작성,0.01,0,0.0546383180502561,0.00014309710232227786
30,디지털 교육 이해,0.01,0,0.0546383180502561,0.00014309710232227786
31,여행상품개발,0.01,0,0.0546383180502561,0.00014309710232227786
32,주차매출 관리,0.01,0,0.0546383180502561,0.00014309710232227786
33,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00014309710232227786
34,어도비 포토샵,0.01,0,0.0546383180502561,0.00014309710232227786
35,데미지 관리,0.01,0,0.0546383180502561,0.00014309710232227786
36,기관 소통 업무,0.01,0,0.0546383180502561,0.00014309710232227786
37,비디오메타 사용,0.01,0,0.0546383180502561,0.00014309710232227786
38,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00014309710232227786
39,자습감독,0.01,0,0.0546383180502561,0.00014309710232227786
40,JLPT 2급이상,0.01,0,0.0546383180502561,0.00014309710232227786
41,한자 관련 자격증,0.01,0,0.0546383180502561,0.00014309710232227786
42,기성취합,0.01,0,0.0546383180502561,0.00014309710232227786
43,KUBERNETES,0.01,0,0.0546383180502561,0.00014309710232227786
44,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00014309710232227786
45,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00014309710232227786
46,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00014309710232227786
47,데이터 마이닝,0.01,0,0.0546383180502561,0.00014309710232227786
48,채권현황 파악,0.01,0,0.0546383180502561,0.00014309710232227786
49,제품표준서 작성,0.01,0,0.0546383180502561,0.00014309710232227786
50,일용직 투입,0.01,0,0.0546383180502561,0.00014309710232227786
51,영업 손익관리,0.01,0,0.0546383180502561,0.00014309710232227786
52,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00014309710232227786
53,생산검토,0.01,0,0.0546383180502561,0.00014309710232227786
54,화학사고대응,0.01,0,0.0546383180502561,0.00014309710232227786
55,나라사업 발굴,0.01,0,0.0546383180502561,0.00014309710232227786
56,영상 프로그램,0.01,0,0.0546383180502561,0.00014309710232227786
57,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00014309710232227786
58,운영 원칙 이해,0.01,0,0.0546383180502561,0.00014309710232227786
59,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00014309710232227786
60,법규 검토,0.01,0,0.0546383180502561,0.00014309710232227786
61,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00014309710232227786
62,각종 사무관리,0.01,0,0.0546383180502561,0.00014309710232227786
63,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00014309710232227786
64,가격별 상품 구성,0.01,0,0.0546383180502561,0.00014309710232227786
65,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00014309710232227786
66,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00014309710232227786
67,수입신고서 작성,0.01,0,0.0546383180502561,0.00014309710232227786
68,근무표관리,0.01,0,0.0546383180502561,0.00014309710232227786
69,직업훈련 평가,0.01,0,0.0546383180502561,0.00014309710232227786
70,제품 기술정보,0.01,0,0.0546383180502561,0.00014309710232227786
71,지장물 조서 작성,0.01,0,0.0546383180502561,0.00014309710232227786
72,의료 비품 관리,0.01,0,0.0546383180502561,0.00014309710232227786
73,어도브 프로그램,0.01,0,0.0546383180502561,0.00014309710232227786
74,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00014309710232227786
75,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00014309710232227786
76,에어컨 조립,0.01,0,0.0546383180502561,0.00014309710232227786
77,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00014309710232227786
78,서버 기본 설치,0.01,0,0.0546383180502561,0.00014309710232227786
79,CLAIM 업무,0.01,0,0.0546383180502561,0.00014309710232227786
80,PPT 활용능력,0.01,0,0.0546383180502561,0.00014309710232227786
81,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00014309710232227786
82,중량 점검표,0.01,0,0.0546383180502561,0.00014309710232227786
83,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00014309710232227786
84,관련업계 경험,0.01,0,0.0546383180502561,0.00014309710232227786
85,대표 업무,0.01,0,0.0546383180502561,0.00014309710232227786
86,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.00014309710232227786
87,농업법인 상담,0.01,0,0.0546383180502561,0.00014309710232227786
88,온라인 MD 경력,0.01,0,0.0546383180502561,0.00014309710232227786
89,GUI 프로그래밍,0.01,0,0.0546383180502561,0.00014309710232227786
90,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.00014309710232227786
91,인터칩 통신,0.01,0,0.0546383180502561,0.00014309710232227786
92,품질 개선방법 파악,0.01,0,0.0546383180502561,0.00014309710232227786
93,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.00014309710232227786
94,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.00014309710232227786
95,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.00014309710232227786
96,입출납업무,0.01,0,0.0546383180502561,0.00014309710232227786
97,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.00014309710232227786
98,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.00014309710232227786
99,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.00014309710232227786
100,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.00014309710232227786
101,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.00014309710232227786
102,축구 전공자,0.01,0,0.0546383180502561,0.00014309710232227786
103,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.00014309710232227786
104,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.00014309710232227786
105,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.00014309710232227786
106,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.00014309710232227786
107,DB DESIGN,0.01,0,0.0546383180502561,0.00014309710232227786
108,식자재 입고하기,0.01,0,0.0546383180502561,0.00014309710232227786
109,펌웨어 검증하기,0.01,0,0.0546383180502561,0.00014309710232227786
110,불만사항 수집,0.01,0,0.0546383180502561,0.00014309710232227786
111,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,0.00014309710232227786
112,화장품과학,0.01,0,0.0546383180502561,0.00014309710232227786
113,노무 관련 업무,0.01,0,0.0546383180502561,0.00014309710232227786
114,구내통신구축 공사관리,0.01,0,0.0546383180502561,0.00014309710232227786
115,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,0.00014309710232227786
116,소분하기,0.01,0,0.0546383180502561,0.00014309710232227786
117,자재사무원,0.01,0,0.0546383180502561,0.00014309710232227786
118,사진 찍기,0.01,0,0.0546383180502561,0.00014309710232227786
119,경제적 환경분석하기,0.01,0,0.0546383180502561,0.00014309710232227786
120,인적관리,0.01,0,0.0546383180502561,0.00014309710232227786
121,공구자재 관리,0.01,0,0.0546383180502561,0.00014309710232227786
122,봉제부,0.01,0,0.0546383180502561,0.00014309710232227786
123,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,0.00014309710232227786
124,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,0.00014309710232227786
