idx,skill,tf,df,tfidf,pr
0,근태정리,1.0,0,5.4638318050256105,0.014871786793486197
1,인원 수급,1.0,2,4.3652195163575005,0.011881517636454657
2,근태,1.0,5,3.672072335797555,0.00999486785409642
3,인원,1.0,10,3.0659365322272394,0.008345050883100932
4,정리,1.0,33,1.9374712804094487,0.00527352613128562
5,관리,1.0,69,1.2153365629762511,0.0033079763235549305
6,업무,1.0,88,0.9751954352934702,0.002654345725343475
7,법인세 관리,0.01,0,0.0546383180502561,0.00014871786793486198
8,소모품 수입,0.01,0,0.0546383180502561,0.00014871786793486198
9,영문 서신 작성,0.01,0,0.0546383180502561,0.00014871786793486198
10,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00014871786793486198
11,유해화학물질관리자,0.01,0,0.0546383180502561,0.00014871786793486198
12,가구 설치,0.01,0,0.0546383180502561,0.00014871786793486198
13,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00014871786793486198
14,타이어 탈착,0.01,0,0.0546383180502561,0.00014871786793486198
15,현장 조율,0.01,0,0.0546383180502561,0.00014871786793486198
16,경영계획 분석,0.01,0,0.0546383180502561,0.00014871786793486198
17,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00014871786793486198
18,납품계획 세우기,0.01,0,0.0546383180502561,0.00014871786793486198
19,불량재고 처리하기,0.01,0,0.0546383180502561,0.00014871786793486198
20,매뉴얼 업무,0.01,0,0.0546383180502561,0.00014871786793486198
21,건축업무 경험,0.01,0,0.0546383180502561,0.00014871786793486198
22,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00014871786793486198
23,평가계획 수립하기,0.01,0,0.0546383180502561,0.00014871786793486198
24,현장상황파악,0.01,0,0.0546383180502561,0.00014871786793486198
25,인허가관리,0.01,0,0.0546383180502561,0.00014871786793486198
26,사건 수임,0.01,0,0.0546383180502561,0.00014871786793486198
27,PF심의자료 작성,0.01,0,0.0546383180502561,0.00014871786793486198
28,디지털 교육 이해,0.01,0,0.0546383180502561,0.00014871786793486198
29,여행상품개발,0.01,0,0.0546383180502561,0.00014871786793486198
30,주차매출 관리,0.01,0,0.0546383180502561,0.00014871786793486198
31,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00014871786793486198
32,어도비 포토샵,0.01,0,0.0546383180502561,0.00014871786793486198
33,데미지 관리,0.01,0,0.0546383180502561,0.00014871786793486198
34,기관 소통 업무,0.01,0,0.0546383180502561,0.00014871786793486198
35,비디오메타 사용,0.01,0,0.0546383180502561,0.00014871786793486198
36,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00014871786793486198
37,자습감독,0.01,0,0.0546383180502561,0.00014871786793486198
38,JLPT 2급이상,0.01,0,0.0546383180502561,0.00014871786793486198
39,한자 관련 자격증,0.01,0,0.0546383180502561,0.00014871786793486198
40,기성취합,0.01,0,0.0546383180502561,0.00014871786793486198
41,KUBERNETES,0.01,0,0.0546383180502561,0.00014871786793486198
42,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00014871786793486198
43,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00014871786793486198
44,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00014871786793486198
45,데이터 마이닝,0.01,0,0.0546383180502561,0.00014871786793486198
46,채권현황 파악,0.01,0,0.0546383180502561,0.00014871786793486198
47,제품표준서 작성,0.01,0,0.0546383180502561,0.00014871786793486198
48,일용직 투입,0.01,0,0.0546383180502561,0.00014871786793486198
49,영업 손익관리,0.01,0,0.0546383180502561,0.00014871786793486198
50,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00014871786793486198
51,생산검토,0.01,0,0.0546383180502561,0.00014871786793486198
52,화학사고대응,0.01,0,0.0546383180502561,0.00014871786793486198
53,나라사업 발굴,0.01,0,0.0546383180502561,0.00014871786793486198
54,영상 프로그램,0.01,0,0.0546383180502561,0.00014871786793486198
55,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00014871786793486198
56,운영 원칙 이해,0.01,0,0.0546383180502561,0.00014871786793486198
57,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00014871786793486198
58,법규 검토,0.01,0,0.0546383180502561,0.00014871786793486198
59,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00014871786793486198
60,각종 사무관리,0.01,0,0.0546383180502561,0.00014871786793486198
61,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00014871786793486198
62,가격별 상품 구성,0.01,0,0.0546383180502561,0.00014871786793486198
63,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00014871786793486198
64,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00014871786793486198
65,수입신고서 작성,0.01,0,0.0546383180502561,0.00014871786793486198
66,근무표관리,0.01,0,0.0546383180502561,0.00014871786793486198
67,직업훈련 평가,0.01,0,0.0546383180502561,0.00014871786793486198
68,제품 기술정보,0.01,0,0.0546383180502561,0.00014871786793486198
69,지장물 조서 작성,0.01,0,0.0546383180502561,0.00014871786793486198
70,의료 비품 관리,0.01,0,0.0546383180502561,0.00014871786793486198
71,어도브 프로그램,0.01,0,0.0546383180502561,0.00014871786793486198
72,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00014871786793486198
73,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00014871786793486198
74,에어컨 조립,0.01,0,0.0546383180502561,0.00014871786793486198
75,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00014871786793486198
76,서버 기본 설치,0.01,0,0.0546383180502561,0.00014871786793486198
77,CLAIM 업무,0.01,0,0.0546383180502561,0.00014871786793486198
78,PPT 활용능력,0.01,0,0.0546383180502561,0.00014871786793486198
79,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00014871786793486198
80,중량 점검표,0.01,0,0.0546383180502561,0.00014871786793486198
