idx,skill,tf,df,tfidf,pr
0,직무기술서,1.0,1,4.770684624465665,0.013134421227880414
1,채용,1.0,11,2.9789251552376097,0.008201434568650015
2,기술,1.0,13,2.824774475410352,0.00777703427376737
3,전산,1.0,18,2.51939282585917,0.006936272090515855
4,CS,1.0,34,1.9084837435361963,0.005254346360607327
5,C,1.0,53,1.4748477584613358,0.004060480461710686
6,법인세 관리,0.01,0,0.0546383180502561,0.00015042760965054239
7,소모품 수입,0.01,0,0.0546383180502561,0.00015042760965054239
8,영문 서신 작성,0.01,0,0.0546383180502561,0.00015042760965054239
9,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00015042760965054239
10,유해화학물질관리자,0.01,0,0.0546383180502561,0.00015042760965054239
11,가구 설치,0.01,0,0.0546383180502561,0.00015042760965054239
12,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00015042760965054239
13,타이어 탈착,0.01,0,0.0546383180502561,0.00015042760965054239
14,현장 조율,0.01,0,0.0546383180502561,0.00015042760965054239
15,경영계획 분석,0.01,0,0.0546383180502561,0.00015042760965054239
16,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00015042760965054239
17,납품계획 세우기,0.01,0,0.0546383180502561,0.00015042760965054239
18,불량재고 처리하기,0.01,0,0.0546383180502561,0.00015042760965054239
19,매뉴얼 업무,0.01,0,0.0546383180502561,0.00015042760965054239
20,건축업무 경험,0.01,0,0.0546383180502561,0.00015042760965054239
21,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00015042760965054239
22,평가계획 수립하기,0.01,0,0.0546383180502561,0.00015042760965054239
23,현장상황파악,0.01,0,0.0546383180502561,0.00015042760965054239
24,인허가관리,0.01,0,0.0546383180502561,0.00015042760965054239
25,사건 수임,0.01,0,0.0546383180502561,0.00015042760965054239
26,PF심의자료 작성,0.01,0,0.0546383180502561,0.00015042760965054239
27,디지털 교육 이해,0.01,0,0.0546383180502561,0.00015042760965054239
28,여행상품개발,0.01,0,0.0546383180502561,0.00015042760965054239
29,주차매출 관리,0.01,0,0.0546383180502561,0.00015042760965054239
30,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00015042760965054239
31,어도비 포토샵,0.01,0,0.0546383180502561,0.00015042760965054239
32,데미지 관리,0.01,0,0.0546383180502561,0.00015042760965054239
33,기관 소통 업무,0.01,0,0.0546383180502561,0.00015042760965054239
34,비디오메타 사용,0.01,0,0.0546383180502561,0.00015042760965054239
35,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00015042760965054239
36,자습감독,0.01,0,0.0546383180502561,0.00015042760965054239
37,JLPT 2급이상,0.01,0,0.0546383180502561,0.00015042760965054239
38,한자 관련 자격증,0.01,0,0.0546383180502561,0.00015042760965054239
39,기성취합,0.01,0,0.0546383180502561,0.00015042760965054239
40,KUBERNETES,0.01,0,0.0546383180502561,0.00015042760965054239
41,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00015042760965054239
42,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00015042760965054239
43,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00015042760965054239
44,데이터 마이닝,0.01,0,0.0546383180502561,0.00015042760965054239
45,채권현황 파악,0.01,0,0.0546383180502561,0.00015042760965054239
46,제품표준서 작성,0.01,0,0.0546383180502561,0.00015042760965054239
47,일용직 투입,0.01,0,0.0546383180502561,0.00015042760965054239
48,영업 손익관리,0.01,0,0.0546383180502561,0.00015042760965054239
49,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00015042760965054239
50,생산검토,0.01,0,0.0546383180502561,0.00015042760965054239
51,화학사고대응,0.01,0,0.0546383180502561,0.00015042760965054239
