idx,skill,tf,df,tfidf,pr
0,관리,1940.0,69,2357.752932173927,0.03660415269606989
1,업무,1904.0,88,1856.7721087987672,0.028826417248734897
2,지원,902.0,41,1556.998292441502,0.024172423864403696
3,사무,776.0,33,1503.4777135977322,0.023341516005634513
4,경력,504.0,20,1219.3319211203022,0.018930147946726136
5,채용,307.0,11,914.5300226579462,0.014198093505771236
6,총무,525.0,41,906.2351480396768,0.01406931544214184
7,문서,279.0,12,808.7882028703765,0.012556450030305087
8,급여,310.0,17,797.7726146101281,0.012385432843044763
9,행정,222.0,6,780.9786076254059,0.012124705610916655
10,자격,296.0,20,716.1155727214474,0.011117705936966144
11,서류,387.0,41,668.0247662692475,0.010371095383064556
12,보조,202.0,16,531.3849291158176,0.008249759684451453
13,인사,190.0,14,523.598504745446,0.008128875319206835
14,회계,192.0,15,516.7186718948792,0.00802206580208182
15,엑셀,189.0,16,497.18688912321545,0.00771883455624418
16,기타,193.0,20,466.9267078893221,0.0072490447494407625
17,계약,182.0,19,449.1941147278347,0.006973745951622329
18,모집,254.0,42,432.4684490903401,0.006714079720023683
19,작성,317.0,66,399.1471218461821,0.006196765571523708
20,협의,124.0,10,380.1761299961777,0.005902240613883985
21,교육,127.0,13,358.74635837711463,0.0055695430602591325
22,접수,160.0,25,352.91764272066047,0.005479052154702671
23,구매,110.0,9,347.7371383234721,0.005398624739510146
24,C,229.0,53,337.7401366876459,0.005243421126193783
25,환경,99.0,7,335.05463607123164,0.00520172868535861
26,운전,130.0,17,334.54980612682795,0.005193891192244579
27,경영,130.0,18,327.5210673616921,0.0050847699083691736
28,차량,112.0,13,316.3747412459594,0.004911723013771834
29,경력자,159.0,32,312.80455472590165,0.0048562958098649555
30,영업,119.0,17,306.241745608404,0.004754408091362345
31,경험,134.0,24,300.8241013410928,0.004670299075821517
32,공간,55.0,0,300.5107492764086,0.004665434279910627
33,경리,132.0,25,291.1570552445449,0.0045202180276297035
34,계산,87.0,8,284.194828808977,0.004412129348754786
35,4대보험,121.0,23,276.5791349359974,0.004293895577264557
36,상담,86.0,9,271.86721723471453,0.004220742978162478
37,근태,71.0,5,260.71713584162643,0.004047637782822995
38,사무실,77.0,7,260.5980502776246,0.0040457889775011415
39,근무시간,124.0,28,259.97046090485287,0.004036045642261097
40,비품,128.0,33,247.99632389240944,0.0038501469700015696
41,등록,77.0,9,243.41599682643047,0.0037790373176571023
42,건설,110.0,27,234.47900243354468,0.003640290334062224
43,전산,92.0,18,231.78413997904363,0.0035984525505381847
44,정산,68.0,7,230.13853790751264,0.0035729045515594496
45,프로그램,93.0,19,229.5332564268606,0.003563507546708113
46,신고,89.0,17,229.03794419452063,0.00355581781622898
47,운영,163.0,58,225.96598086254212,0.0035081255354365267
48,시설,131.0,42,223.04475130249824,0.0034627733989098524
49,정리,114.0,33,220.8717259666772,0.0034290371451576483
50,노무,67.0,8,218.86268425518915,0.0033978467398456396
51,컴퓨터,115.0,36,213.08509762385933,0.003308149613237478
52,총무업무,66.0,9,208.64228299408327,0.0032391748437060877
53,제품,67.0,10,205.41774765922503,0.0031891138800824756
54,유지,96.0,27,204.636220305639,0.0031769806551815776
55,총무 업무,68.0,11,202.56691055615747,0.0031448545875975373
56,학력,78.0,17,200.7298836760968,0.0031163347153467472
57,전화,89.0,24,199.8010822340094,0.0031019150578217546
58,사무업무,99.0,32,194.76510011235385,0.003023731353312142
59,업무지원,50.0,4,192.71969462957549,0.002991976399858234
60,발주,75.0,18,188.9544619394377,0.002933521100982215
61,일반사무,57.0,8,186.19661197829527,0.002890705435391067
62,연구,42.0,2,183.33921968701503,0.0028463443735022975
63,문서관리,47.0,4,181.15651295180092,0.0028124578158667396
64,보수,37.0,1,176.51533110522962,0.002740403392061832
65,문서작성,99.0,40,173.27571409380894,0.0026901082851638037
66,생산,65.0,16,170.9901999630106,0.0026546256410363584
67,학사,39.0,2,170.24356113794252,0.0026430340611092763
68,응대,90.0,37,164.36210807693018,0.0025517244064875923
69,자격증,103.0,47,164.04097179412506,0.002546738760463516
70,운전가능,50.0,8,163.3303613844695,0.002535706522272865
71,세금계산서,49.0,8,160.0637541567801,0.002484992391827408
72,임금,55.0,13,155.36259614756935,0.002412006837120097
73,컴퓨터활용,44.0,6,154.78855286269305,0.002403094805767265
74,경영지원,81.0,34,154.5871832264319,0.0023999685388826093
75,기획,47.0,8,153.53053970140135,0.0023835641309364938
76,사무원,90.0,43,151.1677953996614,0.0023468824871465672
77,컴퓨터활용능력,37.0,3,150.86888542451163,0.0023422419049110603
78,비품관리,37.0,3,150.86888542451163,0.0023422419049110603
79,사무행정,37.0,3,150.86888542451163,0.0023422419049110603
80,공무,52.0,12,150.74188727333183,0.0023402702565443172
81,입찰,41.0,5,150.55496576769977,0.002337368297123138
82,파워포인트,42.0,6,147.75270955075246,0.0022938632236869346
83,인원,48.0,10,147.1649535469075,0.0022847383021486396
84,건설업,40.0,5,146.8828934319022,0.002280359314266476
85,안전관리,37.0,4,142.61257402588586,0.002214062535895093
86,기술,50.0,13,141.2387237705176,0.002192733488290997
87,워드,40.0,6,140.71686623881186,0.0021846316416066045
88,계획,57.0,19,140.68167329388228,0.002184085270563037
89,현장,116.0,70,139.33362364617818,0.002163156777813397
90,행사,48.0,12,139.14635748307552,0.0021602494675793697
91,관련 업무,86.0,46,138.77684148513742,0.0021545127256894147
92,안전,99.0,58,137.24314175086917,0.0021307020123203448
93,홈페이지,35.0,4,134.90378624070283,0.0020943834799007637
94,ERP,42.0,9,132.7723619053257,0.002061293082358419
95,제출,125.0,81,132.13906972016963,0.0020514612108631703
96,성실,50.0,16,131.5309230484697,0.002042019723874122
97,경력자 우대,72.0,37,131.48968646154415,0.002041379525190074
98,사무보조,61.0,27,130.0292649858748,0.0020187064579799607
99,매입,64.0,30,129.91005443458968,0.002016855712228497
100,자재,81.0,47,129.00309432353524,0.002002775141723736
101,한글,63.0,30,127.88020983404924,0.0019853423417249268
102,수행,44.0,12,127.55082769281924,0.0019802286786144226
103,운전가능자,46.0,14,126.7659537804764,0.001968043498334286
104,행정업무,36.0,6,126.64517961493068,0.0019661684774459442
105,법인,47.0,15,126.48842489093396,0.0019637348578012783
106,세무,49.0,17,126.09954230934284,0.001957697449384495
107,마감,55.0,23,125.71778860727152,0.0019517707169384349
108,견적,36.0,7,121.83804948044788,0.0018915377037667675
109,행정 업무,38.0,9,120.12737505719946,0.0018649794554671415
110,수출,31.0,4,119.4862106703368,0.0018550253679121052
111,근태관리,42.0,13,118.64052796723476,0.0018418961301644374
112,판매,42.0,13,118.64052796723476,0.0018418961301644374
113,지원업무,32.0,5,117.50631474552176,0.0018242874514131809
114,용역,33.0,6,116.0914146470198,0.001802321104325449
115,경리업무,37.0,10,113.43965169240786,0.0017611524412395763
116,인근거주자,29.0,4,111.77742288515378,0.001735346311917776
117,대관,33.0,7,111.68487869041056,0.0017339095617862036
118,유통,35.0,9,110.64363492110476,0.0017177442352986829
119,사무직,73.0,51,110.41893031042534,0.0017142556925558957
120,홍보,41.0,15,110.34096639421898,0.0017130453014862217
121,출고,69.0,47,109.89152479412262,0.0017060677133202196
122,사무관리,32.0,7,108.30048842706478,0.001681366847792682
123,제조업,37.0,12,107.25865055987072,0.0016651922979257642
124,업무 보조,29.0,5,106.4900977381291,0.0016532605028431952
125,출장,30.0,6,105.5376496791089,0.0016384737312049535
